Word	happiness_average	happiness_standard_deviation
here	5.48	1.0925
highway	5.48	1.2656
holmes	5.48	1.2329
ikea	5.48	1.6567
indicate	5.48	0.9528
janet	5.48	0.9528
joan	5.48	1.2329
jump	5.48	1.7407
kate	5.48	1.4741
katherine	5.48	1.5418
katie	5.48	1.6066
katy	5.48	1.1993
korean	5.48	1.4741
laurie	5.48	1.1993
led	5.48	1.1292
lei	5.48	1.581
longest	5.48	1.4462
luna	5.48	1.7407
madison	5.48	1.1993
mark	5.48	1.2974
may	5.48	1.6318
methods	5.48	0.9947
mixed	5.48	0.8389
motor	5.48	1.1822
naval	5.48	1.2493
nicole	5.48	1.568
nose	5.48	1.2329
oklahoma	5.48	1.432
ole	5.48	1.3285
operates	5.48	1.2329
palm	5.48	1.3285
particles	5.48	1.1648
pepper	5.48	1.4879
physics	5.48	1.7984
picking	5.48	0.9528
portion	5.48	1.5151
post	5.48	1.0925
powell	5.48	1.1648
predicted	5.48	1.2329
quoted	5.48	0.9947
remote	5.48	1.729
requested	5.48	0.8389
roller	5.48	1.2656
route	5.48	1.2162
run	5.48	1.432
sally	5.48	0.9089
sell	5.48	1.1292
server	5.48	1.313
sessions	5.48	0.9311
shape	5.48	0.8628
spread	5.48	1.1292
square	5.48	0.9947
stephanie	5.48	1.3589
surfaces	5.48	1.2162
surname	5.48	0.9947
tampa	5.48	0.9739
township	5.48	1.5939
trek	5.48	1.4741
tried	5.48	1.6443
truck	5.48	1.555
tweet	5.48	1.5939
user	5.48	1.015
users	5.48	1.1471
utility	5.48	1.2162
vamos	5.48	1.2329
wells	5.48	0.8862
ceiling	5.47	1.1012
dwell	5.47	1.6596
elaborate	5.47	1.6596
grip	5.47	1.7091
halls	5.47	1.0821
loaded	5.47	1.8383
metabolism	5.47	1.5014
spinning	5.47	1.4157
#nowplaying	5.46	1.5147
alex	5.46	0.8855
appeared	5.46	0.9941
arlington	5.46	1.6563
blogger	5.46	1.1287
bricks	5.46	1.0919
cam	5.46	1.1817
caption	5.46	0.8381
carries	5.46	1.2324
carroll	5.46	1.0343
cavalry	5.46	1.7286
challenged	5.46	1.4737
chi	5.46	1.4028
chronicle	5.46	1.5281
coalition	5.46	1.4172
colonies	5.46	1.3433
competitive	5.46	1.9082
conducted	5.46	1.1988
consisted	5.46	1.328
contract	5.46	1.1104
developers	5.46	1.7168
diameter	5.46	1.1671
directed	5.46	1.073
distributed	5.46	1.1104
domestic	5.46	1.6563
dozen	5.46	1.1104
enough	5.46	1.4028
equation	5.46	1.5012
expectations	5.46	1.5414
explain	5.46	1.3433
followed	5.46	1.2157
fox	5.46	1.7168
further	5.46	1.1104
gears	5.46	0.8855
guts	5.46	1.9295
helen	5.46	1.0144
index	5.46	1.2324
instructions	5.46	1.4458
jeffrey	5.46	1.0539
jerry	5.46	1.9919
lafayette	5.46	1.5806
laid	5.46	1.2324
let's	5.46	1.0144
linked	5.46	1.4028
list	5.46	0.8621
local	5.46	1.3584
loop	5.46	1.3126
manufacturers	5.46	1.1466
math	5.46	1.9505
matthew	5.46	1.0343
meeting	5.46	1.3433
megan	5.46	1.2651
mornin	5.46	1.6807
needed	5.46	1.4875
object	5.46	1.0343
organ	5.46	1.6563
particularly	5.46	1.2651
philly	5.46	1.5546
process	5.46	1.1104
projects	5.46	1.5935
pulls	5.46	1.1466
quote	5.46	0.9082
rebecca	5.46	1.3433
reform	5.46	1.3433
religious	5.46	2.0123
richmond	5.46	1.0919
sandra	5.46	0.9304
segment	5.46	1.4875
sent	5.46	0.9082
series	5.46	0.9304
serve	5.46	1.3126
sharon	5.46	0.9733
shipping	5.46	1.3126
shoulder	5.46	1.2157
stacks	5.46	1.328
statements	5.46	0.9733
surrounding	5.46	1.2324
therapy	5.46	1.5281
thy	5.46	1.1643
twitter	5.46	1.9082
uno	5.46	0.9521
vincent	5.46	0.9304
watched	5.46	1.2651
wide	5.46	1.328
william	5.46	1.0539
dome	5.46	1.3202
filter	5.46	1.2709
notions	5.46	1.1291
unfold	5.46	1.3202
administered	5.45	1.5554
furthermore	5.45	1.4652
situations	5.45	1.1376
sociology	5.45	1.4586
subsequent	5.45	1.2258
sway	5.45	1.2087
wrists	5.45	1.3395
drawers	5.45	1.3156
undoubtedly	5.45	1.4567
2nite	5.44	1.7861
amp	5.44	1.248
anita	5.44	1.2961
area	5.44	0.8843
arthur	5.44	1.091
assigned	5.44	1.2316
aug	5.44	1.3726
axis	5.44	1.402
battery	5.44	1.198
beside	5.44	0.993
bob	5.44	1.1634
brown	5.44	1.2803
calculation	5.44	1.198
carolina	5.44	1.514
carried	5.44	1.1095
centres	5.44	1.2316
chair	5.44	1.248
charter	5.44	0.9293
columbia	5.44	1.473
company	5.44	1.58
consist	5.44	1.2803
cope	5.44	1.6056
counter	5.44	1.1808
curtains	5.44	1.3726
deck	5.44	1.3874
den	5.44	1.3426
doors	5.44	1.0721
earl	5.44	1.091
editors	5.44	1.1808
evelyn	5.44	1.0333
fisher	5.44	1.2643
flow	5.44	1.5928
georgia	5.44	1.2803
i'd	5.44	0.8122
imports	5.44	1.4868
jay	5.44	1.1278
joel	5.44	1.0134
jordan	5.44	1.7515
kong	5.44	1.1808
lab	5.44	1.5407
lateral	5.44	1.2643
mass	5.44	1.1095
meant	5.44	0.993
metal	5.44	1.2803
mister	5.44	1.4309
montana	5.44	1.2803
moore	5.44	1.5928
noche	5.44	1.1808
nov	5.44	1.248
operating	5.44	1.4165
overall	5.44	1.2149
passes	5.44	1.4868
passing	5.44	1.7398
paul	5.44	1.2149
phrase	5.44	0.8369
possess	5.44	1.5928
quantitative	5.44	1.402
recently	5.44	1.1095
refers	5.44	1.1634
represent	5.44	1.0529
saw	5.44	0.8122
search	5.44	1.1808
sept	5.44	1.0333
seventy	5.44	1.567
signal	5.44	0.9723
solomon	5.44	1.2961
stations	5.44	0.9071
storage	5.44	1.0721
street	5.44	0.8369
subject	5.44	1.0333
submit	5.44	1.5005
surround	5.44	1.402
ten	5.44	1.198
tenants	5.44	1.1634
thurs	5.44	1.3577
tone	5.44	0.8609
tongue	5.44	1.091
trunk	5.44	0.9723
tweeted	5.44	1.6922
versions	5.44	1.0333
wagner	5.44	0.9723
wax	5.44	1.198
wilson	5.44	0.7866
worked	5.44	1.58
yen	5.44	1.4309
zion	5.44	1.5274
measurements	5.44	1.5966
reactions	5.44	0.9655
adjacent	5.43	1.1365
bailar	5.43	1.0408
kara	5.43	1.3385
modes	5.43	1.2076
proposition	5.43	1.4577
remainder	5.43	1.2416
steam	5.43	1.4434
10am	5.42	1.1622
again	5.42	1.2631
also	5.42	1.0319
ashley	5.42	1.2469
aye	5.42	1.6424
background	5.42	1.2137
bailey	5.42	1.1622
barrel	5.42	1.295
bedford	5.42	1.2304
booth	5.42	1.1082
bowl	5.42	1.2631
businessman	5.42	1.3864
calls	5.42	1.0319
came	5.42	1.4155
carolyn	5.42	1.4721
category	5.42	1.4995
centre	5.42	0.8352
chip	5.42	1.0515
com	5.42	1.0708
comprehensive	5.42	1.3864
compromise	5.42	1.8193
conductor	5.42	1.3566
course	5.42	1.3716
crow	5.42	1.6793
dennis	5.42	0.9495
derived	5.42	1.2137
duration	5.42	1.2469
enzyme	5.42	1.2631
ever	5.42	1.012
financial	5.42	1.7853
floors	5.42	0.8352
frances	5.42	1.1796
gene	5.42	0.9708
going	5.42	1.1622
gotten	5.42	1.3864
he	5.42	0.9055
himself	5.42	0.9708
hockey	5.42	1.6793
hopkins	5.42	0.8352
initial	5.42	1.0515
inner	5.42	1.0319
instance	5.42	1.1082
jeanne	5.42	1.0319
jeremy	5.42	1.1445
jr	5.42	1.3415
julia	5.42	1.1082
julie	5.42	1.1796
listenin	5.42	1.5398
livingston	5.42	0.9278
memphis	5.42	1.5661
mentioned	5.42	1.1082
mercury	5.42	1.5398
mini	5.42	1.0708
monthly	5.42	0.9055
nine	5.42	1.1265
note	5.42	0.9916
nowadays	5.42	1.4581
om	5.42	1.6174
oprah	5.42	2.0513
pasa	5.42	1.1622
penn	5.42	1.295
peter	5.42	1.0515
point	5.42	0.9055
polls	5.42	1.2792
presentation	5.42	1.5791
primarily	5.42	0.9495
ranks	5.42	1.6793
references	5.42	1.4721
resulting	5.42	1.2137
riley	5.42	1.1445
rolled	5.42	1.3566
roof	5.42	1.012
sam	5.42	1.295
sean	5.42	0.9278
secretary	5.42	1.3107
select	5.42	1.2469
signals	5.42	1.1445
snl	5.42	1.295
spencer	5.42	1.4721
state's	5.42	0.9916
subjects	5.42	1.012
tables	5.42	0.8352
tell	5.42	1.0319
terry	5.42	1.1622
theory	5.42	1.4859
tom	5.42	1.3415
topic	5.42	0.8827
toss	5.42	1.3716
treasury's	5.42	1.5398
tweets	5.42	1.9701
yorkers	5.42	1.3716
you'll	5.42	1.3107
calculated	5.42	1.3966
configuration	5.42	1.4117
inhabitants	5.42	1.4415
statute	5.42	1.661
interlude	5.41	1.4143
clerk	5.41	1.3527
constitutes	5.41	1.3681
cylinder	5.41	1.2062
knocks	5.41	1.5932
ratio	5.41	1.4277
tissue	5.41	1.4849
variables	5.41	1.2403
vector	5.41	1.0977
vols	5.41	1.4566
whassup	5.41	1.7902
width	5.41	0.9336
absolute	5.4	1.6162
ah	5.4	1.2122
alison	5.4	1.1066
anne	5.4	1.1429
arabia	5.4	1.6413
arkansas	5.4	1.2289
boldface	5.4	1.088
cast	5.4	1.3702
chamber	5.4	1.3702
china	5.4	1.7023
claimed	5.4	1.178
conquest	5.4	2.1093
consecutive	5.4	1.1606
daily	5.4	1.0302
dana	5.4	1.0498
definitions	5.4	1.1952
distribution	5.4	0.9689
dna	5.4	1.3553
document	5.4	1.2289
each	5.4	0.9897
earlier	5.4	1.2289
embassy	5.4	1.3401
esp	5.4	1.1429
estimate	5.4	0.9897
fam	5.4	1.6162
figured	5.4	1.178
fuel	5.4	1.178
gulf	5.4	1.7143
headquarters	5.4	1.0102
healthcare	5.4	2.0603
hee	5.4	1.4983
holds	5.4	1.069
inside	5.4	0.7284
intent	5.4	1.4569
jan	5.4	1.1429
johnson	5.4	1.3702
joseph	5.4	1.6162
lah	5.4	1.2289
lawrence	5.4	1.3401
lick	5.4	1.5649
lou	5.4	1.3093
lung	5.4	1.3093
main	5.4	1.2122
malcolm	5.4	1.0102
margaret	5.4	1.2289
matter	5.4	1.0102
mexican	5.4	1.5253
ministers	5.4	1.7728
mixtape	5.4	1.0498
nancy	5.4	1.3248
oakland	5.4	1.3851
obedience	5.4	1.6162
one	5.4	1.5908
paula	5.4	1.3401
picks	5.4	1.3553
processes	5.4	1.4846
putting	5.4	1.088
ranging	5.4	0.8806
reminds	5.4	1.1952
reorganization	5.4	1.4846
represents	5.4	0.8806
rien	5.4	1.1606
riverdale	5.4	1.3997
sarah	5.4	1.6288
seen	5.4	1.1952
statistical	5.4	1.2617
stayed	5.4	1.2454
stomach	5.4	1.069
string	5.4	1.088
sushi	5.4	2.2497
tap	5.4	1.2289
testament	5.4	1.5386
thee	5.4	1.069
they'll	5.4	1.2778
transfer	5.4	1.5119
two	5.4	0.9689
xxx	5.4	1.8516
origins	5.4	1.5122
actin	5.39	1.3665
cielo	5.39	1.525
defence	5.39	1.525
dub	5.39	1.2553
empirical	5.39	1.4835
explicitly	5.39	1.4835
jive	5.39	1.9453
reprinted	5.39	1.1331
spins	5.39	1.4694
#letsbehonest	5.38	1.4968
ahh	5.38	1.427
am	5.38	1.0859
announcement	5.38	1.427
arms	5.38	0.9875
baltimore	5.38	1.1933
basis	5.38	1.0079
butler	5.38	1.6022
camino	5.38	1.4412
carved	5.38	1.3076
clark	5.38	1.1761
coefficient	5.38	1.5635
comp	5.38	0.9452
control	5.38	1.4831
copy	5.38	1.0669
core	5.38	1.0859
curriculum	5.38	1.4831
dec	5.38	1.3536
deemed	5.38	1.4412
detective	5.38	1.5372
different	5.38	1.2436
doctrine	5.38	1.701
door	5.38	1.2103
files	5.38	1.427
following	5.38	1.6399
grams	5.38	0.9452
hp	5.38	1.427
hudson	5.38	1.2436
i'll	5.38	1.2919
industry	5.38	1.3076
items	5.38	1.5372
jamie	5.38	0.9666
jesse	5.38	1.4412
latin	5.38	1.3834
let	5.38	1.0079
lite	5.38	1.427
lookin	5.38	1.3686
machine	5.38	1.2599
manner	5.38	1.3536
mit	5.38	1.2599
nelson	5.38	1.276
nitrogen	5.38	1.4412
nucleus	5.38	1.4553
official	5.38	1.028
overtime	5.38	1.9472
personnel	5.38	1.1045
pitching	5.38	1.427
projected	5.38	1.2919
province	5.38	1.4831
rope	5.38	1.2599
said	5.38	0.901
second	5.38	1.1933
securities	5.38	2.0493
send	5.38	1.3536
sensitivity	5.38	1.7715
shall	5.38	1.2436
soldiers	5.38	1.6399
standards	5.38	1.0859
statistically	5.38	1.4126
steps	5.38	1.1229
steve	5.38	0.901
tan	5.38	1.713
technical	5.38	1.6022
text	5.38	1.3231
thread	5.38	1.3536
tierra	5.38	1.6149
timbaland	5.38	1.4968
tricks	5.38	1.5238
tunnel	5.38	1.4553
twelve	5.38	1.1586
wants	5.38	1.3231
wednesday	5.38	1.3384
whew	5.38	1.1933
wordpress	5.38	1.2103
would	5.38	0.8545
yards	5.38	0.9234
year	5.38	1.3536
yesterday's	5.38	1.4693
comparison	5.37	1.2195
ella	5.37	1.6033
givin	5.37	1.2532
hem	5.37	1.2195
parish	5.37	1.7041
silently	5.37	1.5505
sits	5.37	1.0934
whispering	5.37	1.6291
illusions	5.36	1.8109
asked	5.36	1.2739
bee	5.36	1.6507
briefing	5.36	1.2578
britney	5.36	1.6753
capitol	5.36	1.2898
caps	5.36	1.0254
claire	5.36	1.5487
clip	5.36	1.2578
clips	5.36	1.1739
colonial	5.36	1.3516
constitute	5.36	1.1386
contracts	5.36	1.2415
covering	5.36	0.8751
customs	5.36	1.6383
dash	5.36	1.4813
delta	5.36	1.0451
dishes	5.36	1.8156
economic	5.36	1.6874
edit	5.36	1.1739
eileen	5.36	1.2081
establishment	5.36	1.2898
finger	5.36	1.1739
georgetown	5.36	1.4675
gloria	5.36	1.4675
greene	5.36	1.0451
gud	5.36	1.5618
hall	5.36	1.2081
hay	5.36	1.4813
heard	5.36	0.802
jimmy	5.36	1.1205
linear	5.36	1.1911
liquor	5.36	2.2836
listing	5.36	1.0053
lmaoo	5.36	1.8926
mason	5.36	0.9424
miller	5.36	1.0254
milwaukee	5.36	1.1739
monde	5.36	1.2739
mouse	5.36	1.9563
moving	5.36	1.495
msn	5.36	1.7468
nba	5.36	1.849
nude	5.36	1.9667
nuestro	5.36	1.3211
overview	5.36	1.4394
oz	5.36	1.5086
pattern	5.36	1.77
port	5.36	1.4394
possession	5.36	1.9873
press	5.36	1.2249
principal	5.36	1.3962
pronto	5.36	1.2415
quiero	5.36	0.9848
rabbi	5.36	1.4535
reposing	5.36	1.5354
russell	5.36	1.3815
same	5.36	1.2739
si	5.36	1.4251
sim	5.36	0.9638
sit	5.36	1.2249
sold	5.36	1.2898
sounded	5.36	1.0451
staff	5.36	0.8751
standing	5.36	0.8514
stocks	5.36	1.2898
structure	5.36	1.3815
stuart	5.36	1.3815
subsequently	5.36	1.1563
sympathy	5.36	1.9141
taiwan	5.36	1.2739
target	5.36	1.5221
teeth	5.36	1.8709
trenton	5.36	1.3516
tres	5.36	1.5221
trucks	5.36	1.663
tuesdays	5.36	1.1386
tummy	5.36	1.3815
tweeting	5.36	1.9667
verb	5.36	1.1563
vest	5.36	1.1386
wakes	5.36	1.6753
walter	5.36	1.4251
we'd	5.36	1.1563
westchester	5.36	1.3962
wi	5.36	0.8751
wright	5.36	0.9848
you'd	5.36	1.1563
yugoslavia	5.36	1.3815
emperor	5.35	2.0576
thesis	5.35	1.8507
chevy	5.35	1.7145
della	5.35	1.1824
finite	5.35	1.4513
loot	5.35	2.0872
motive	5.35	1.4938
define	5.34	1.0689
#news	5.34	1.394
adams	5.34	1.0806
advised	5.34	1.6977
andrea	5.34	1.2224
anonymity	5.34	1.3342
anthony	5.34	1.4654
anything	5.34	1.0224
anywhere	5.34	1.2875
arc	5.34	1.1713
areas	5.34	1.0224
ay	5.34	0.9607
backs	5.34	1.4373
bros	5.34	1.5334
campaign	5.34	1.5467
candidate	5.34	1.0994
carter	5.34	1.6113
checked	5.34	1.1359
classified	5.34	1.4514
colts	5.34	1.5858
comparable	5.34	1.2554
crossing	5.34	1.3342
currently	5.34	0.8234
denver	5.34	1.493
ding	5.34	1.5986
doctor	5.34	1.6239
drank	5.34	1.4654
editorial	5.34	1.3644
flick	5.34	1.3644
fur	5.34	1.7333
gear	5.34	1.2875
geek	5.34	1.891
german	5.34	1.394
giant	5.34	1.1886
giants	5.34	1.493
hampton	5.34	1.3342
harold	5.34	1.1537
ily	5.34	1.5729
iron	5.34	1.3494
karen	5.34	1.3793
korea	5.34	1.3793
liebe	5.34	1.394
lillian	5.34	1.4654
log	5.34	0.9607
manufacturer	5.34	1.0224
massive	5.34	1.2875
maureen	5.34	0.7982
mc	5.34	1.394
middle	5.34	0.7174
moderate	5.34	1.2715
nog	5.34	1.1359
noticed	5.34	1.423
occurred	5.34	1.0224
ohhhh	5.34	1.9651
orleans	5.34	1.2554
ounce	5.34	0.9607
pack	5.34	1.2715
percent	5.34	0.9172
phil	5.34	1.1178
physician	5.34	1.8363
rate	5.34	1.2224
regional	5.34	0.8234
request	5.34	1.2224
revolution	5.34	1.394
rihanna	5.34	1.9755
roosevelt	5.34	1.8693
session	5.34	1.1178
six	5.34	1.1537
sullivan	5.34	0.8947
surgeon	5.34	1.6239
susan	5.34	1.2715
sylvia	5.34	1.3188
then	5.34	0.7453
they're	5.34	1.0994
thinkin	5.34	1.0994
tmrw	5.34	1.0022
transmitted	5.34	1.5729
tube	5.34	1.2875
typing	5.34	1.2056
upon	5.34	0.6884
walmart	5.34	2.2733
whitman	5.34	0.7982
whitney	5.34	1.1713
wider	5.34	1.0422
within	5.34	1.3644
yo	5.34	1.6734
blink	5.33	1.4341
noches	5.33	1.3422
threshold	5.33	1.478
bringin	5.33	1.4774
tutti	5.33	1.4774
verdad	5.33	1.1252
abraham	5.32	1.5043
alter	5.32	1.2526
andre	5.32	1.2196
beep	5.32	1.5178
bench	5.32	1.0388
bucket	5.32	1.1856
calif	5.32	1.3316
chin	5.32	0.9781
commerce	5.32	1.3161
compare	5.32	0.9988
cover	5.32	1.2688
currents	5.32	1.1683
deepest	5.32	1.449
dorothy	5.32	1.3005
editorials	5.32	1.0962
emeritus	5.32	1.6468
endless	5.32	1.8455
estimates	5.32	1.1147
evaluation	5.32	1.8007
firm	5.32	1.1683
francis	5.32	1.4348
general	5.32	1.1328
gregory	5.32	1.1147
hoffman	5.32	0.957
hour	5.32	0.7939
identified	5.32	1.2688
indicates	5.32	1.0774
jacqueline	5.32	1.6591
joshua	5.32	0.9781
kristen	5.32	1.449
label	5.32	1.019
literally	5.32	1.5178
louise	5.32	1.1683
mas	5.32	1.0388
measure	5.32	1.0962
medium	5.32	0.7939
mention	5.32	0.7407
michigan	5.32	1.2848
names	5.32	0.9988
nassau	5.32	1.4348
negotiations	5.32	1.3768
nineteenth	5.32	1.449
pa	5.32	1.6468
palmer	5.32	1.019
partly	5.32	1.1683
peeps	5.32	1.5836
plz	5.32	1.8892
posts	5.32	1.1147
presumably	5.32	1.1507
quite	5.32	1.7076
rebounds	5.32	1.3161
remind	5.32	1.4348
reserve	5.32	1.1147
review	5.32	1.019
rite	5.32	1.1856
rye	5.32	1.3468
selena	5.32	0.9355
site	5.32	0.7939
skip	5.32	1.463
someone's	5.32	1.2848
speech	5.32	1.7548
step	5.32	0.8676
subway	5.32	1.6835
surface	5.32	1.0774
table	5.32	0.6833
taking	5.32	1.3005
tells	5.32	1.2688
ticket	5.32	1.4769
ting	5.32	1.3468
tribes	5.32	1.3161
turning	5.32	1.019
two-year	5.32	1.0774
types	5.32	0.7407
urself	5.32	1.8674
vancouver	5.32	1.449
varies	5.32	0.9134
yield	5.32	1.6092
zone	5.32	0.9781
preceding	5.31	0.9927
affecting	5.31	1.3261
alles	5.31	1.0841
bop	5.31	1.4463
consume	5.31	1.8842
discipline	5.31	1.8129
disposition	5.31	1.3875
gypsy	5.31	1.6981
heed	5.31	1.2111
ion	5.31	1.1218
shelf	5.31	1.1031
stash	5.31	1.6609
varying	5.31	1.4463
vivir	5.31	1.3261
#fact	5.3	1.1112
*estimated	5.3	1.1112
actually	5.3	1.1112
aire	5.3	1.4178
ancora	5.3	1.1473
atlanta	5.3	1.4178
barnes	5.3	0.9091
bat	5.3	1.359
biblical	5.3	1.9299
bishop	5.3	1.6194
bonnie	5.3	1.6812
boundary	5.3	1.165
brad	5.3	1.1294
brian	5.3	1.4321
bring	5.3	0.9949
calendar	5.3	1.1294
carnegie	5.3	1.4604
catholic	5.3	1.8323
center	5.3	0.9949
chairman	5.3	1.4743
chrysler	5.3	1.0152
circuits	5.3	0.7626
colin	5.3	1.1294
constantly	5.3	1.1995
cornell	5.3	1.4743
correspondent	5.3	1.165
counts	5.3	1.1473
county	5.3	1.0546
creature	5.3	1.6444
dave	5.3	1.4033
drake	5.3	1.2495
editing	5.3	1.233
eight	5.3	1.2817
elevator	5.3	1.3887
glen	5.3	1.2495
irene	5.3	1.374
jk	5.3	1.233
junior	5.3	1.2657
km/h	5.3	1.165
lee	5.3	0.9091
lesson	5.3	1.488
levels	5.3	0.953
lexington	5.3	1.2817
md	5.3	1.1294
medicare	5.3	1.6812
mic	5.3	0.9313
mike	5.3	1.4463
miles	5.3	1.165
miriam	5.3	0.9949
mph	5.3	1.2817
murphy	5.3	0.8864
neck	5.3	1.1824
nova	5.3	1.6444
number	5.3	0.9313
one's	5.3	0.7354
patch	5.3	1.0351
pay	5.3	2.3234
peggy	5.3	1.0546
placed	5.3	1.5551
pounds	5.3	1.8211
president's	5.3	1.5152
profile	5.3	1.233
quiz	5.3	1.488
rail	5.3	1.1112
randy	5.3	1.359
reviews	5.3	1.2164
ritual	5.3	1.7642
robert	5.3	1.0546
roberts	5.3	0.8864
roger	5.3	0.8391
samuel	5.3	1.1473
scales	5.3	1.2817
sec	5.3	1.0351
seth	5.3	1.1473
seymour	5.3	1.0351
silly	5.3	1.9821
singular	5.3	1.4463
somebody	5.3	1.1294
someone	5.3	1.165
spray	5.3	1.4463
suit	5.3	1.5811
system	5.3	1.7291
tactics	5.3	1.5811
telling	5.3	1.0546
tend	5.3	1.4178
third	5.3	1.1473
transition	5.3	1.359
trump	5.3	1.7053
via	5.3	1.1473
vids	5.3	1.4321
visitation	5.3	1.8323
washing	5.3	1.8323
ways	5.3	1.165
weekly	5.3	1.594
windy	5.3	1.8434
year's	5.3	1.165
you're	5.3	1.0926
hitherto	5.29	1.3677
incorporated	5.29	1.2197
prescribed	5.29	1.6237
assumption	5.29	1.8028
cama	5.29	1.3844
clergy	5.29	1.8819
heel	5.29	1.354
playas	5.29	1.7795
rodeo	5.29	1.5546
shakin	5.29	1.6202
transferred	5.29	1.3693
2-bath	5.28	1.6293
alert	5.28	1.8075
already	5.28	1.2296
annual	5.28	1.0506
assessment	5.28	1.3708
beef	5.28	2.1763
behalf	5.28	1.0887
borough	5.28	1.0698
code	5.28	1.1256
comin	5.28	1.2129
congregation	5.28	1.7266
copies	5.28	1.1787
craig	5.28	0.9044
cuore	5.28	1.2129
dean	5.28	1.2784
declared	5.28	1.3407
defended	5.28	1.7617
diplomat	5.28	1.4852
dot	5.28	1.1787
empire	5.28	1.8299
estar	5.28	1.3254
esther	5.28	1.2296
etsy	5.28	1.4148
eventually	5.28	1.5654
extract	5.28	1.4574
feelin	5.28	1.4434
follower	5.28	1.1787
form	5.28	1.1073
gates	5.28	1.1436
handling	5.28	1.0887
hannah	5.28	1.4291
happen	5.28	1.0506
harriet	5.28	1.3856
harvey	5.28	1.4434
held	5.28	1.2784
holla	5.28	1.7847
inches	5.28	1.1959
institute	5.28	1.4148
interviewed	5.28	1.4003
jacobs	5.28	0.9044
james	5.28	1.0698
l	5.28	1.1436
length	5.28	0.8816
mag	5.28	1.0309
martha	5.28	1.1959
meanwhile	5.28	0.8816
minutes	5.28	0.9044
mode	5.28	1.1787
morton	5.28	0.9485
nonprofit	5.28	1.9382
ora	5.28	0.8581
packed	5.28	1.1613
packing	5.28	1.5258
pandora	5.28	1.5784
parameter	5.28	1.2129
posse	5.28	1.2784
preacher	5.28	2.1193
representatives	5.28	1.6665
rewind	5.28	1.0887
says	5.28	1.1959
scheduled	5.28	1.1959
secrets	5.28	1.8187
section	5.28	0.834
serum	5.28	1.3263
sheila	5.28	0.9697
someday	5.28	1.4434
sometimes	5.28	0.9485
somewhere	5.28	0.8581
sort	5.28	0.834
stands	5.28	0.8816
state	5.28	0.9697
stats	5.28	1.1787
stays	5.28	1.3099
temporal	5.28	1.3099
that's	5.28	0.8581
theodore	5.28	1.0698
theology	5.28	1.7266
tracks	5.28	1.1073
tyler	5.28	1.0506
unions	5.28	1.6542
version	5.28	0.834
wandering	5.28	1.7296
years	5.28	1.4714
york's	5.28	0.7835
specified	5.28	1.2972
leben	5.27	1.2158
anyhow	5.27	1.2379
bumpin	5.27	1.7651
governed	5.27	1.7414
holdin	5.27	1.5245
implies	5.27	1.1138
moet	5.27	1.4401
quieres	5.27	1.2874
revised	5.27	1.3961
semi	5.27	1.335
africa	5.26	2.0782
agency	5.26	0.9216
asking	5.26	0.9858
based	5.26	0.7508
berlin	5.26	1.5884
bid	5.26	1.192
boyz	5.26	1.9568
carrier	5.26	1.3524
carrying	5.26	1.2747
clinton's	5.26	1.5493
commander	5.26	1.5093
companies	5.26	1.0264
conan	5.26	1.7935
conference	5.26	1.1572
converted	5.26	0.9649
counsel	5.26	1.0063
cynthia	5.26	1.4542
dale	5.26	1.192
department	5.26	1.1031
desk	5.26	0.9858
detected	5.26	1.3524
dias	5.26	1.0461
digging	5.26	1.0654
directions	5.26	1.2747
doris	5.26	1.1214
dormir	5.26	1.2423
dramatic	5.26	1.9146
drove	5.26	1.1214
edward	5.26	1.2423
elliott	5.26	0.9435
facility	5.26	1.5884
facing	5.26	1.1031
fare	5.26	1.688
floyd	5.26	1.2906
foto	5.26	1.4682
frog	5.26	1.8049
george	5.26	1.0654
glenn	5.26	1.1031
goes	5.26	1.1214
ground	5.26	1.2906
guidelines	5.26	1.5493
hispanic	5.26	1.482
hmmmm	5.26	1.1214
houston	5.26	1.3063
jake	5.26	1.482
jim	5.26	1.209
justin	5.26	1.4542
kay	5.26	1.1031
lines	5.26	1.0063
mainly	5.26	1.2257
marcus	5.26	0.9858
marshall	5.26	0.9435
martin	5.26	0.9435
matt	5.26	1.3219
mayor	5.26	1.3063
mr	5.26	1.1395
mundo	5.26	0.9216
nc	5.26	1.3822
nearly	5.26	1.2423
nina	5.26	1.3063
papers	5.26	1.3063
perry	5.26	1.0264
philip	5.26	1.0461
piece	5.26	1.0654
plot	5.26	1.3822
pouring	5.26	1.5754
preliminary	5.26	1.1031
print	5.26	1.209
prudential	5.26	1.3969
qual	5.26	1.4115
reasons	5.26	1.0063
reed	5.26	1.2586
register	5.26	1.0844
richard	5.26	0.9649
robinson	5.26	0.7775
roslyn	5.26	0.9649
semester	5.26	1.7001
sergeant	5.26	1.2747
shift	5.26	1.0461
shirley	5.26	1.0844
siempre	5.26	1.482
sir	5.26	1.1214
spot	5.26	1.4682
stated	5.26	0.7775
statement	5.26	0.9649
tool	5.26	1.5361
uniform	5.26	1.6264
units	5.26	1.0264
walls	5.26	1.0264
week's	5.26	1.3822
lend	5.26	1.775
hangin	5.25	1.7564
borne	5.24	1.3774
differentiation	5.24	1.1093
intermediate	5.24	1.2671
motives	5.24	1.451
#followfriday	5.24	1.3486
a	5.24	0.9161
abc	5.24	1.0012
asks	5.24	0.8704
beijing	5.24	1.685
bet	5.24	1.3933
