Word	vi
nimble	nhanh nhẹn
nimrod	nimrod
nincompoop	nincompoop
nine	chín
nineteen	mười chín
ninety	chín mươi
ninja	ninja
ninny	ninny
nintendo	nintendo
ninth	thứ chín
nip	nip
nipper	nipper
nipple	núm vú
nippy	nippy
nitrate	nitrat
nitro	nitro
nitrogen	nitơ
nitrous	nitơ
nitwit	nitwit
nix	nix
no anticipation	không có dự đoán
no disgust	không ghê tởm
no emotion	không cảm xúc
no sentiment	không có tình cảm
no surprise	Không bất ngờ
no trust	không tin tưởng
nobility	quý tộc
noble	cao quý
nobleman	quý tộc
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	về đêm
nod	gật đầu
nodding	gật đầu
node	nút
nodular	nốt sần
nodule	nốt sần
noggin	noggin
nohope	NO TRANSLATION
noir	noir
noise	tiếng ồn
noisy	ồn ào
nomad	nomad
nomadic	dân du mục
nomenclature	danh pháp
nominal	trên danh nghĩa
nominate	đề cử
nomination	đề cử
nominee	người được đề cử
nonce	nonce
nonchalant	nonchalant
noncompliance	sự không tuân thủ
nondescript	nondescript
nonexistent	không tồn tại
nonfat	nonfat
nonfiction	phi hư cấu
nonpayment	không trả tiền
nonresident	không thường trú
nonsense	vô lý
nonsensical	vô lý
nonviolent	bất bạo động
noob	người mới
noodle	mì sợi
nook	nook
noon	buổi trưa
noose	ngỗng
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	tiêu chuẩn
normal	bình thường
normalcy	bình thường
normality	tính bình thường
north	Bắc
northbound	hướng bắc
northeast	đông bắc
northern	Phương bắc
northwest	Tây Bắc
northwestern	tây bắc
noschool	NO TRANSLATION
nose	mũi
nosebleed	chảy máu cam
nosey	buồn rầu
nosnow	không có tuyết
nostalgia	Hoài cổ
nostalgic	Hoài niệm
nostress	NO TRANSLATION
nostril	lỗ mũi
nosun	NO TRANSLATION
nosy	buồn rầu
not negative	không tiêu cực
not positive	không tích cực
notable	đáng chú ý
notables	danh nhân
notably	đáng chú ý
notamorningperson	NO TRANSLATION
notary	công chứng viên
notation	ký hiệu
notch	notch
notched	khắc
note	chú thích
notebook	sổ tay
noted	lưu ý
noteworthy	đáng chú ý
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	hư vô
notice	để ý
noticeable	đáng chú ý
notification	thông báo
notify	thông báo
notion	khái niệm
notional	ý kiến
notoriety	tai tiếng
notorious	khét tiếng
notready	chưa sẵn sàng
notwithstanding	bất kể
nought	hư không
noun	danh từ
nourish	nuôi
nourishment	sự nuôi dưỡng
nouveau	NO TRANSLATION
novel	cuốn tiểu thuyết
novelist	tiểu thuyết gia
novelty	sự mới lạ
novice	người mới làm quen
nowadays	ngày nay
nowork	không có công việc
noworries	đừng lo lắng
noxious	độc hại
nozzle	vòi phun
nuance	sắc thái
nuances	sắc thái
nuclear	Nguyên tử
nucleus	Trung tâm
nude	khỏa thân
nudge	nudge
nudie	nudie
nudist	nudist
nudity	ảnh khoả thân
nugget	nugget
nuisance	phiền toái
nuke	nuke
nul	NO TRANSLATION
null	vô giá trị
nullify	vô hiệu
numb	tê
number	con số
numbering	đánh số
numbers	số
numbness	tê
numbskull	numbskull
numeral	số
numerator	tử số
numerical	số học
numerically	số lượng
numerous	vô số
nun	NO TRANSLATION
nunchucks	nunchucks
nunnery	ni viện
nuptials	nuptials
nurse	y tá
nursemaid	y tá
nursery	vườn ươm
nursing	điều dưỡng
nurture	dưỡng dục
nut	hạt
nutcase	hạt dẻ
nutcracker	nutcracker
nuthouse	nuthouse
nutmeg	hạt nhục đậu khấu
nutrition	dinh dưỡng
nutritional	dinh dưỡng
nutritious	bổ dưỡng
nutritive	dinh dưỡng
nuts	quả hạch
nutshell	nutshell
nutty	hấp dẫn
nylon	nylon
nylong	NO TRANSLATION
nylons	nylons
nymph	nymph
nymphomaniac	nymphomaniac
oaf	oaf
oak	cây sồi
oar	oar
oasis	ốc đảo
oat	yến mạch
oath	tuyên thệ
oatmeal	cháo bột yến mạch
obedience	sự vâng lời
obedient	vâng lời
obediently	ngoan ngoãn
obelisk	obelisk
obese	mập
obesity	béo phì
obey	tuân theo
obi	obi
obit	chê bai
obituary	cáo phó
object	vật
objection	sự phản đối
objectionable	phản đối
objective	mục tiêu
objectivity	tính khách quan
obligation	nghĩa vụ
obligatory	bắt buộc
oblige	bắt buộc
obliged	băt buộc
obliging	mang ơn
obligor	nghĩa vụ
oblique	xiên
obliterate	bôi
obliterated	xóa sạch
obliteration	sự xóa bỏ
oblivion	lãng quên
oblivious	quên
oblong	hình chữ nhật
obnoxious	đáng ghét
oboe	oboe
obscene	khiêu dâm
obscenity	tục tĩu
obscure	che khuất
obscured	che khuất
obscurity	tối tăm
observance	sự chấp hành
observant	quan sát
observation	quan sát
observatory	đài thiên văn
observe	quan sát
observer	người quan sát
observing	quan sát
obsess	ám ảnh
obsessed	bị ám ảnh
obsessing	ám ảnh
obsession	ám ảnh
obsessive	ám ảnh
obsolescence	lỗi thời
obsolete	lỗi thời
obstacle	trở ngại
obstetrician	bác sĩ sản khoa
obstetrics	sản khoa
obstinate	bướng bỉnh
obstruct	cản trở
obstruction	sự tắc nghẽn
obstructive	tắc nghẽn
obtain	đạt được
obtainable	có thể đạt được
obtuse	u mê
obverse	ngược lại
obvious	hiển nhiên
ocarina	ocarina
occasion	dịp
occasional	thỉnh thoảng
occasionally	thỉnh thoảng
occipital	chẩm
occlusion	bế tắc
occult	huyền bí
occupancy	sự chiếm dụng
occupant	người cư ngụ
occupation	nghề nghiệp
occupational	nghề nghiệp
occupied	bị chiếm đóng
occupier	người chiếm đóng
occupy	chiếm
occupying	chiếm đóng
occur	xảy ra
occurrence	sự xuất hiện
ocd	ocd
ocean	đại dương
oceanic	đại dương
octagon	hình bát giác
octave	quãng tám
octopus	bạch tuộc
ocular	mắt
odd	lẻ
oddball	kỳ quặc
oddity	kỳ quặc
odds	tỷ lệ cược
ode	ode
odious	đáng ghét
odometer	đồng hồ đo đường
odor	mùi hôi
odyssey	odyssey
oedipal	oedipal
oestrogen	estrogen
oeuvre	NO TRANSLATION
offal	bộ phận nội tạng
offence	xúc phạm
offend	xúc phạm
offended	bị xúc phạm
offender	người phạm tội
offense	xúc phạm
offensive	phản cảm
offer	phục vụ
offered	được cung cấp
offering	chào bán
offhand	ngay
office	văn phòng
officer	nhân viên văn phòng
offices	văn phòng
official	chính thức
officiate	làm việc
offing	offing
offload	offload
offset	bù lại
offshoot	offshoot
offshore	ngoài khơi
offside	việt vị
offspring	con cái
oft	của
oftentimes	đôi khi
ogre	ogre
ohdear	NO TRANSLATION
ohgod	NO TRANSLATION
ohno	ồ không
ohshit	NO TRANSLATION
oil	dầu
oils	dầu
oily	có dầu
oink	oink
ointment	thuốc mỡ
okra	đậu bắp
old	cũ
olden	già đi
older	lớn hơn
oldie	người già
oldies	oldies
olfactory	khứu giác
oligarchy	đầu sỏ
olive	Ôliu
omega	omega
omelet	trứng tráng
omen	điềm
omgomgomg	NO TRANSLATION
ominous	đáng ngại
omission	bỏ xót
omit	bỏ sót
omitted	bỏ qua
omnibus	omnibus
omnipotence	sự toàn năng
omnipotent	toàn năng
omnipresent	ở khắp nơi
omniscient	toàn trí
onboard	trên tàu
oncologist	bác sĩ chuyên khoa ung thư
oncology	ung thư
oncoming	đang đến
one	một
oneday	NO TRANSLATION
onedge	trên mép
onelove	một tình yêu
oneness	sự hợp nhất
onerous	công kích
oneself	chính mình
ongoing	liên tục
onion	củ hành
onset	bắt đầu
onslaught	tấn công dữ dội
onstage	trên sân khấu
ontology	bản thể luận
onus	onus
onward	trở đi
onyx	onyx
oodles	hình tượng trưng
oomph	oomph
ooze	lông
oozing	rỉ ra
op	op
opacity	độ mờ
opal	opal
opaque	mờ mịt
ope	ope
open	mở
opener	cái mở
opening	khai mạc
openly	công khai
openness	sự cởi mở
opera	opera
operate	vận hành
operatic	có tính toán
operation	hoạt động
operational	hoạt động
operations	hoạt động
operative	hợp tác
operator	nhà điều hành
ophthalmic	nhỏ mắt
ophthalmologist	bác sĩ nhãn khoa
opiate	làm mờ
opinion	ý kiến
opinionated	khăng khăng
opium	thuốc phiện
opponent	phản đối
opportune	thích hợp
opportunism	chủ nghĩa cơ hội
opportunity	cơ hội
oppose	phản đối
opposed	phản đối
opposing	phản đối
opposite	đối diện
opposites	đối diện
opposition	Sự đối lập
oppress	đàn áp
oppressed	bị áp bức
oppression	sự đàn áp
oppressive	áp bức
oppressor	người đàn áp
ops	ops
opt	opt
optic	quang
optical	quang học
optics	quang học
optimism	lạc quan
optimist	người lạc quan
optimistic	lạc quan
optimum	tối ưu
option	Tùy chọn
optional	không bắt buộc
optionally	tùy chọn
options	tùy chọn
optometrist	người đo thị lực
opulence	sự sang trọng
opulent	sang trọng
opus	opus
oracle	oracle
oral	miệng
orange	trái cam
orange juice	nước cam
orangutan	đười ươi
oration	oration
orator	người chỉ huy
oratory	nhà thờ
orb	quả cầu
orbit	quỹ đạo
orbital	quỹ đạo
orbiting	quay quanh
orbs	quả cầu
orc	orc
orchard	vườn cây ăn quả
orchestra	dàn nhạc
orchid	phong lan
ordained	thụ phong
ordeal	thử thách
order	gọi món
orderly	có trật tự
ordinance	pháp lệnh
ordinary	bình thường
ordination	sự phong chức
ordnance	vật nổ
ore	quặng
oregano	rau oregano
organ	đàn organ
organic	hữu cơ
organism	sinh vật
organist	người chơi đàn organ
organization	cơ quan
organize	tổ chức
organized	có tổ chức
organizer	người tổ chức
orgasm	cực khoái
orgies	orgies
orgy	orgy
orient	định hướng
oriental	phương đông
orientation	sự định hướng
orifice	lỗ
origami	origami
origin	gốc
original	nguyên
originality	độc đáo
originate	có nguồn gốc
origination	nguồn gốc
originator	người khởi xướng
ornament	vật trang trí
ornamental	trang trí
ornamentation	trang trí
ornamented	trang trí
ornate	văn hoa
ornery	ornery
orphan	mồ côi
orphanage	cô nhi viện
orphaned	mồ côi
orthodontist	bác sĩ chỉnh nha
orthodox	chính thống
orthodoxy	chính thống
orthogonal	trực giao
orthopedic	chỉnh hình
oscillate	dao động
oscillating	dao động
oscillation	dao động
oscillatory	dao động
ostensible	có thể mở được
ostensibly	bề ngoài
ostentatious	phô trương
ostracized	bị tẩy chay
ostrich	đà điểu
other	khác
otter	rái cá
otto	otto
ottoman	ottoman
ought	nên
ounce	ounce
oust	oust
outage	mất điện
outback	vùng hẻo lánh
outbid	trả giá cao hơn
outboard	phía ngoài
outbreak	bùng phát
outburst	bùng nổ
outcast	bỏ bơ vơ
outcome	kết quả
outcry	phản đối kịch liệt
outdated	lỗi thời
outdo	vượt qua
outdoor	ngoài trời
outdoors	ngoài trời
outer	bên ngoài
outfit	trang phục
outgoing	hướng ngoaị
outgrow	cao hơn
outgrowth	phát triển quá mức
outhouse	nhà nghỉ
outing	đi chơi
outlandish	xa lạ
outlast	lâu hơn
outlaw	ngoài vòng pháp luật
outlet	lối thoát
outline	đề cương
outlines	vạch ra
outlive	sống lâu hơn
outlook	triển vọng
outlying	xa cách
outnumber	đông hơn
outpatient	ngoại trú
outpost	tiền đồn
outpouring	sự tuôn ra
output	đầu ra
outrage	phẫn nộ
outraged	xúc phạm
outrageous	thái quá
outrank	cao hơn
outreach	tiếp cận
outright	ngay
outrun	chạy nhanh hơn
outset	bắt đầu
outsider	người ngoài
outskirts	ngoại ô
outsmart	outsmart
outspoken	thẳng thắn
outstanding	nổi bật
outstretched	dang ra
outward	bề ngoài
outwards	ra ngoài
outweigh	lớn hơn
outwit	đánh lừa
oval	hình trái xoan
ovary	buồng trứng
ovate	noãn
ovation	sự hoan hô
oven	lò nướng
overactive	hoạt động quá mức
overall	tổng thể
overalls	yếm
overbearing	hách
overburden	quá tải
overcast	u ám
overcharged	quá mức
overcoat	áo choàng
overcome	vượt qua
overcoming	khắc phục
overcrowded	quá đông đúc
overdo	lạm dụng
overdose	quá liều
overdrive	tăng tốc
overdue	quá hạn
overestimate	đánh giá quá cao
overestimated	đánh giá quá cao
overflow	tràn ra
overflowing	tràn ra
overgrown	phát triển quá mức
overgrowth	phát triển quá mức
overhanging	nhô ra
overhaul	đại tu
overhead	trên không
overhear	nghe lỏm được
overheated	quá nóng
overjoyed	vui mừng
overkill	quá mức
overlaid	phủ lên
overlap	chồng lên nhau
overlapping	qua nối chồng
overlay	lớp phủ
overload	quá tải
overlook	bỏ qua
overlord	chúa tể
overlying	nằm trên
overpaid	trả thừa
overpass	cầu vượt
overplayed	quá mức
overpower	chế ngự
overpowering	chế ngự
overpriced	đắt đỏ
overprotective	quá bảo vệ
overrated	đánh giá quá cao
overreact	phản ứng quá mức
override	ghi đè
overriding	ghi đè
overrule	quá mức
overrun	tràn ngập
oversee	giám sát
overseer	giám thị
overshadow	làm lu mờ
oversight	giám sát
oversized	quá khổ
overslept	ngủ quên
overstate	quá sức
overstock	overstock
overt	công khai
overtake	vượt qua
overtaken	vượt qua
overthemoon	NO TRANSLATION
overthinker	overthinker
overthinking	quá mức
overthrow	lật đổ
overtime	tăng ca
overtired	quá mệt mỏi
overture	sự vượt qua
overturn	lật ngửa
overview	tổng quan
overweight	thừa cân
overwhelm	áp đảo
overwhelmed	bị choáng ngợp
overwhelming	áp đảo
overworked	làm việc quá sức
overwrought	quá hạn
overzealous	quá hăng hái
owe	nợ
owing	owing
owl	con cú
owner	chủ nhân
ownership	quyền sở hữu
ox	bò
oxidation	Quá trình oxy hóa
oxide	oxit
oxygen	ôxy
oxymoron	oxymoron
oyster	con hàu
ozone	ozon
pace	tốc độ
pacemaker	máy tạo nhịp tim
pacific	thái bình dương
pacified	bình định
pacifier	núm vú giả
pacifist	Hòa bình
pacify	bình định
pacing	nhịp độ
pack	đóng gói
package	gói
packaging	bao bì
packer	người đóng gói
packet	gói
pact	hiệp ước
pad	tập giấy
padded	độn
padding	đệm
paddle	chèo thuyền
paddle boat	thuyền chèo
paddock	paddock
paddy	lúa
padlock	ổ khóa
padre	NO TRANSLATION
paean	paean
pagan	ngoại giáo
paganism	ngoại giáo
page	trang
pageant	cuộc thi
pager	máy nhắn tin
pagination	phân trang
paging	phân trang
pagoda	chùa
pail	thùng
pain	đau đớn
pained	đau khổ
painful	đau đớn
painfully	đau đớn
painkiller	thuốc giảm đau
painless	không đau
pains	đau đớn
painstaking	siêng năng
paint	Sơn
paintball	paintball
paintbrush	cọ sơn
painted	Sơn
painter	họa sĩ
painting	bức vẽ
pair	đôi
paisley	paisley
pajama	pajama
pajamas	đồ ngủ
pal	bạn thân
palace	cung điện
palatable	ngon miệng
palate	vòm miệng
pale	nhợt nhạt
paleontology	cổ sinh vật học
palette	bảng màu
pall	cái bạt
palladium	palladium
pallet	pallet
palliative	làm giảm bớt
palm	lòng bàn tay
palmer	lòng bàn tay
palomino	palomino
palpable	sờ thấy được
palpitations	đánh trống ngực
palsy	bại liệt
paltry	lòng bàn tay
pamper	nuông chiều
pamphlet	tập sách nhỏ
pan	cái chảo
panacea	thuốc chữa bách bệnh
panache	phô trương
pancake	bánh kếp
pancakes	bánh xèo
pancreas	tuyến tụy
panda	gấu trúc
pandemic	đại dịch
pandemonium	pandemonium
pane	cửa sổ
panel	bảng điều khiển
pang	NO TRANSLATION
panhandle	panhandle
panic	hoảng loạn
panicattack	NO TRANSLATION
panicked	hoảng hốt
panicking	vội vã, hoảng loạn
panicky	hoảng loạn
panier	NO TRANSLATION
panorama	bức tranh toàn cảnh
panoramic	toàn cảnh
pansy	pansy
pant	quần
pantheon	đền
panther	con beo
panties	quần lót
pantomime	kịch câm
pantry	nhà bếp
pants	quân dai
panty	panty
pantyhose	pantyhose
pap	pap
papa	cha
papacy	giáo hoàng
papal	NO TRANSLATION
papaya	đu đủ
paper	giấy
paperback	bìa mềm
paperboy	người bán giấy
paperweight	chặn giấy
paperwork	giấy tờ
paprika	ớt cựa gà
papyrus	giấy cói
par	NO TRANSLATION
parable	dụ ngôn
parabola	parabola
parabolic	parabol
parachute	cái dù bay
parade	diễu hành
paradigm	mô hình
paradise	thiên đường
paradox	nghịch lý
paradoxical	nghịch lý
paraffin	parafin
paragon	paragon
paragraph	đoạn văn
parakeet	con vẹt đuôi dài
paralegal	paralegal
parallax	thị sai
parallel	song song, tương đông
parallelism	song song
paralysis	tê liệt
paralyze	làm tê liệt
paralyzed	bị tê liệt
paramedic	nhân viên y tế
paramedics	nhân viên y tế
paramilitary	bán quân sự
paramount	tối thượng
paranoia	hoang tưởng
paranoid	hoang tưởng
paranormal	siêu linh
parapet	lan can
paraphernalia	đồ dùng
paraphrase	diễn giải
paraplegic	liệt dương
parasite	ký sinh trùng
parasitic	ký sinh trùng
parasol	cây dù
parcel	Bưu kiện
parcels	bưu kiện
parched	khô
parchment	giấy da
pardon	ân xá
pare	NO TRANSLATION
parenchyma	nhu mô
parent	cha mẹ
parentage	cha mẹ
parental	của cha mẹ
parenthesis	NO TRANSLATION
parenthetical	cha mẹ
parenthood	làm cha mẹ
parenting	nuôi dạy con cái
pariah	pariah
parietal	thuộc về thành phố
paring	gọt
parish	giáo xứ
parity	chẵn lẻ
park	công viên
parka	parka
parking	đậu xe
parkinsons	parkinsons
parlance	lời nói
parlay	đánh nhau
parliament	quốc hội
parliamentary	quốc hội
parlor	phòng khách
parmesan	parmesan
parody	châm biếm
parole	tạm tha
parquet	sàn gỗ
parrot	con vẹt
parry	parry
parse	phân tích cú pháp
parsimonious	phân tích
parsimony	phân tích cú pháp
parsley	mùi tây
parson	người phân tích
part	phần
partake	chia
partial	một phần
partiality	một phần
partially	một phần
participant	người tham gia
participate	tham dự
participation	sự tham gia
particle	hạt
particular	cụ thể
particularity	tính đặc thù
particulars	cụ thể
parting	chia tay
partisan	đảng viên
partisanship	sự chia tay
partition	vách ngăn
partly	từng phần
partner	cộng sự
partnership	quan hệ đối tác
partridge	chim đa đa
parts	các bộ phận
party	buổi tiệc
pas	NO TRANSLATION
pass	vượt qua
passable	có thể vượt qua được
passage	đoạn văn
passageway	lối đi
passe	NO TRANSLATION
passenger	hành khách
passim	NO TRANSLATION
passing	đi qua
passion	niềm đam mê
passionate	đam mê
passive	thụ động
passivity	sự thụ động
passkey	passkey
passport	hộ chiếu
password	mật khẩu
past	quá khứ
pasta	mỳ ống
paste	dán
pastel	phấn màu
pastime	sự tiêu khiển
pastor	mục sư
pastrami	pastrami
pastry	bánh ngọt
pasture	đồng cỏ
pasty	nhão nhão
pat	vỗ nhẹ
patch	vá
patchwork	chắp vá
pate	pate
patella	patella
patent	bằng sáng chế
patented	cấp bằng sáng chế
paternal	người cha
paternity	quan hệ cha con
path	con đường
pathetic	thảm hại
pathological	bệnh lý
pathologist	nhà nghiên cứu bệnh học
pathology	bệnh lý
pathos	NO TRANSLATION
pathway	con đường
patience	kiên nhẫn
patient	bệnh nhân
patio	sân
patriarch	tộc trưởng
patriarchal	gia trưởng
patrimony	patrimony
patriot	nhà ái quốc
patriotic	yêu nước
patriotism	lòng yêu nước
patrol	tuần tra
patrolman	người tuần tra
patron	người bảo trợ
patronage	sự bảo trợ
patronising	bảo trợ
patronize	bảo trợ
patronizing	bảo trợ
patter	patter
pattern	mẫu
paucity	số lượng
pauper	pauper
pause	tạm ngừng
pave	pave
pavement	vỉa hè
pavilion	gian hàng
paving	lát
paw	chân
pawn	cầm đồ
pawnshop	hiệu cầm đồ
pax	pax
pay	trả
payable	phải trả
payback	hoàn vốn
paycheck	tiền lương
payday	ngày trả lương
payer	người trả tiền
payload	khối hàng
payment	thanh toán
payoff	trả tiền
payout	thanh toán
payphone	điện thoại trả tiền
payroll	lương bổng
pea	đậu xanh
peace	hòa bình
peaceable	dễ chịu
peaceful	bình yên
peacefully	một cách hòa bình
peacekeeper	người bảo vệ
peaceofmind	NO TRANSLATION
peacetime	thời bình
peach	đào
peachy	đào
peacock	con công
peak	cao điểm
peaked	đạt đỉnh điểm
peanut	đậu phụng
peanuts	đậu phộng
pear	Lê
pearl	Ngọc trai
pearly	ngọc trai
peas	đậu hà lan
peasant	nông dân
peat	than bùn
pebble	đá cuội
pecan	pecan
peck	mổ
pecker	cuốc
peculiar	riêng
peculiarities	đặc thù
peculiarity	tính đặc thù
peculiarly	đặc biệt
pecuniary	tiền bạc
pedal	bàn đạp
pedantic	Kinh tế
peddle	người đi bộ
peddler	người bán rong
pedestal	bệ đỡ
pedestrian	người đi bộ
pediatric	nhi khoa
pediatrician	bác sĩ nhi khoa
pediatrics	khoa nhi
pedicure	móng chân
pedigree	phả hệ
pedometer	pedometer
pedophile	ấu dâm
pee	tiểu
peek	nhìn trộm
peekaboo	ú òa
peel	lột vỏ
peep	nhìn trộm
peeper	người nhìn trộm
peephole	lổ nhìn trộm
peer	ngang nhau
peering	nhòm ngó
peerless	vô song
peeved	nhăn nhó
peg	cái chốt
pegs	chốt
peice	NO TRANSLATION
pelagic	pelagic
pelican	Bồ nông
pellet	viên nhỏ
pelvic	xương chậu
pelvis	xương chậu
pen	cây bút
penal	hình phạt
penalty	hình phạt
penance	sự ăn năn
penchant	thiên hướng
pencil	bút chì
pendant	mặt dây chuyền
pendency	sự lạc hậu
pendent	NO TRANSLATION
pending	đang chờ xử lý
pendulum	con lắc
penetrate	thâm nhập
penetrating	thâm nhập
penetration	thâm nhập
penguin	chim cánh cụt
penicillin	penicillin
penile	dương vật
peninsula	bán đảo
penis	dương vật
penitent	ăn năn
penitentiary	nhà tù
penmanship	viết tay
pennant	cờ hiệu
penniless	không có tiền
penny	đồng xu
pension	lương hưu
pensioner	người nghỉ hưu
pensive	trầm ngâm
pentagon	hình ngũ giác
pentagram	năm cánh
penthouse	căn hộ áp mái
penultimate	áp chót
people	những người
peopled	có nhiều người
pep	pep
pepper	tiêu
peppermint	bạc hà
pepperoni	pepperoni
peppy	peppy
peptic	thuộc về dạ dày
peptide	peptide
perceive	nhận thức
percent	phần trăm
percentage	tỷ lệ phần trăm
percentile	phần trăm
perceptible	có thể nhận thấy
perception	nhận thức
perceptive	cảm nhận
perch	cá rô
perchance	perchance
percolation	sự thấm qua
percussion	bộ gõ
perdition	sự hư hỏng
peremptory	sự từ bỏ
perennial	lâu năm
perfect	hoàn hảo
perfection	sự hoàn hảo
perfectionist	người cầu toàn
perfecto	NO TRANSLATION
perforated	đục lỗ
perforation	thủng
perforce	lực lượng
perform	biểu diễn
performance	hiệu suất
performer	người biểu diễn
perfume	nước hoa
perfumed	thơm
peri	peri
peridot	peridot
peril	nguy hiểm
perilous	nguy hiểm
perimeter	chu vi
period	giai đoạn
periodic	định kỳ
periodical	định kỳ
periodically	định kỳ
periodicity	tính chu kỳ
peripheral	ngoại vi
periphery	ngoại vi
periscope	kính tiềm vọng
perish	hư mất
perishable	hư hỏng
perished	hư mất
perishing	sự hư mất
perjury	khai man
perk	perk
perky	vui tươi
perm	perm
permanence	vĩnh cửu
permanent	dài hạn
permeable	thấm qua
permeate	thấm vào
permeation	sự thấm vào
permissible	cho phép
permission	sự cho phép
permissive	cho phép
permit	giấy phép
permitted	được phép
permitting	cho phép
permutation	hoán vị
pernicious	nguy hiểm
peroxide	peroxide
perpendicular	vuông góc
perpetrate	sự cố gắng
perpetrator	thủ phạm
perpetual	vĩnh viễn
perpetually	vĩnh viễn
perpetuate	làm cho lâu dài
perpetuation	kéo dài
perpetuity	vĩnh cửu
perplexed	lúng túng
perplexing	bối rối
perplexity	sự bối rối
persecute	bức hại
persecution	bức hại
perseverance	kiên trì
persevere	kiên trì
persist	kiên trì
persistence	kiên trì
persistent	kiên trì
persisting	bền bỉ
person	người
persona	NO TRANSLATION
personable	đáng tin cậy
personage	nhân cách
personal	cá nhân
personality	nhân cách
personification	nhân cách hoá
personnel	nhân viên
persons	người
perspective	quan điểm
perspiration	mồ hôi
persuade	truy vấn
persuasion	thuyết phục
persuasive	thuyết phục
pert	pert
pertinent	thích hợp
perturbation	sự bối rối
pertussis	ho gà
perusal	sự nhìn chăm chú
peruse	nghiên cứu
pervading	tràn ngập
perverse	ngược lại
perversion	sự đảo lộn
pervert	biến thái
perverted	biến thái
pesky	pesky
pessimism	bi quan
pessimist	người bi quan
pessimistic	bi quan
pest	côn trùng
pester	pester
pestilence	bệnh dịch
pestle	chày
pesto	sốt lá húng
pet	vật nuôi
petal	cánh hoa
petite	nhỏ nhắn
petition	thỉnh cầu
petitioner	người yêu cầu
petloss	NO TRANSLATION
petpeeve	NO TRANSLATION
petrified	hóa đá
petrify	sự hóa đá
petrol	xăng dầu
petroleum	xăng dầu
petticoat	váy lót
petting	vuốt ve
petty	nhỏ
petulant	người có thân phận
petunia	cây dã yên thảo
pew	pew
pewter	thiếc
peyote	NO TRANSLATION
phalanx	phalanx
phantom	ma
pharaoh	pharaoh
pharmaceutical	dược phẩm
pharmacist	dược sĩ
pharmacology	dược lý
pharmacy	tiệm thuốc
phase	giai đoạn
pheasant	gà lôi
phenomenal	phi thường
phenomenon	hiện tượng
pheromone	pheromone
phew	nhai
phi	phi
philanthropic	từ thiện
philanthropist	nhà từ thiện
philanthropy	từ thiện
philistine	philistine
philosopher	nhà triết học
philosophic	triết học
philosophical	triết học
philosophy	triết học
phlegm	đờm
pho	món phở
phobia	ám ảnh
phoenix	Phượng Hoàng
phone	điện thoại
phonetic	ngữ âm
phonetics	ngữ âm học
phonics	ngữ âm
phonograph	máy quay đĩa
phonology	ngữ âm học
phony	giả mạo
phooey	phooey
phosphate	phốt phát
phosphor	phốt pho
phosphorus	phốt pho
photo	hình chụp
photogenic	ăn ảnh
photograph	ảnh chụp
photographer	nhiếp ảnh gia
photographic	nhiếp ảnh
photography	nhiếp ảnh
photometry	trắc quang
photon	photon
phrase	cụm từ
phraseology	thuật ngữ
phylogeny	phylogeny
physical	vật lý
physical therapist	vật lý trị liệu
physician	bác sĩ
physicist	nhà vật lý học
physics	vật lý
physiological	sinh lý học
physiology	sinh lý học
physique	vóc dáng
pi	số Pi
pianist	nghệ sĩ piano
piano	đàn piano
piazza	quảng trường
piccolo	NO TRANSLATION
pick	chọn
picked	đã chọn
picker	người hái
picket	cái cuốc
picketing	picketing
pickle	dưa chua
pickled	ngâm
pickpocket	người nhặt tiền
pickup	nhặt lên
picky	kén chọn, khó tính
picnic	đi chơi picnic
pictorial	hình ảnh
picture	hình ảnh
pictures	những bức ảnh
picturesque	đẹp như tranh vẽ
pie	bánh
piece	cái
piecemeal	từng phần
pieceofshit	pieceofshit
pied	pied
pier	đê
pierce	khoan
piety	lòng tốt
pig	con lợn
pigeon	chim bồ câu
piggy	heo con
piggyback	cõng
pigheaded	lảo đảo
piglet	heo con
pigment	thuốc màu
pigskin	da heo
pigsty	chuồng heo
pike	pike
pile	Đóng cọc
piles	cọc
pileup	chồng chất
pilgrim	người hành hương
pilgrimage	đi hành hương
pill	Viên thuốc
pillage	cướp bóc
pillar	trụ cột
pillbox	hộp đựng thuốc
pillow	cái gối
pillowcase	áo gối
pilot	Phi công
pimp	pimp
pimple	mụn
pin	ghim
pinball	bắn đạn
pinch	nhúm
pinching	véo
pine	cây thông
pineapple	Trái dứa
ping	ping
pinhead	pinhead
pinhole	pinhole
pinion	bánh răng
pink	Hồng
pinkie	hồng hào
pinnacle	đỉnh cao
pinot	pinot
pinpoint	xác định
pint	pint
pinto	pinto
pinup	pinup
pioneer	tiên phong
pious	ngoan đạo
pip	pip
pipe	ống
piped	đường ống
pipeline	đường ống
piper	piper
pipette	pipette
piping	đường ống
pipsqueak	pipsqueak
pique	khiêu gợi
piracy	vi phạm bản quyền
piranha	piranha
pirate	cướp biển
piscina	NO TRANSLATION
piss	đi tiểu
pissed	tức giận
pissedoff	bực mình
pisser	NO TRANSLATION
pissesmeoff	pissesmeoff
pissingmeoff	pissingmeoff
pissoff	pissoff
pistachio	quả hồ trăn
pistol	súng lục
piston	pít tông
pit	hố
pita	banh my Pita
pitch	sân cỏ
