Word	hmn
kappa	kappa
kaput	NO TRANSLATION
karaoke	Karaoke
karate	karate
karma	karma
karmic	karmic
kayak	kayak
kazoo	khib lav
kebab	kebab
keel	keel
keen	ntse
keep	cia
keeper	keeper
keeping	khaws cia
keepsake	nco ntsoov
keg	keg
kelp	lub siab
ken	ken
kennel	kennel
kerchief	kerchief
kern	kern
kernel	ntsiav
kerosene	kerosene
ketchup	ketchup
kettle	hwj kais
key	qhov tseem ceeb
keyboard	keyboard
keyed	keyed
keyhole	keyhole
keynote	keynote
keypad	keypad
keystone	keystone
keyword	lo lus tseem ceeb
khaki	khaki
khan	khan
kibble	kibble
kick	ncaws
kickboxing	kickboxing
kicker	kicker
kicking	roj hmab
kickoff	kickoff
kid	menyuam
kidder	kidder
kidding	kidding
kiddo	kiddo
kiddos	kiddos
kidnap	nyaum
kidnapped	tu siab
kidnapper	kidnapper
kidnapping	kidnapping
kidney	raum
kids	cov me nyuam
kill	tua
killer	killer
killing	tua
killjoy	killjoy
kiln	kiln
kilo	NO TRANSLATION
kilogram	kilogram
kilometer	kmeter
kilt	kilt
kimono	kimono
kin	kwvtij
kind	zoo
kindergarten	kindergarten
kindling	kindling
kindness	ua siab zoo
kindred	tsev neeg
kinematics	kos duab
kinesiology	kinesiology
kinetic	kinetic
king	huab tais
king snake	huab tais nab
kingdom	lub nceeg vaj
kingpin	huab tais
kink	kink
kinky	kinky
kinship	kev sib raug zoo
kiosk	kiosk
kirk	kirk
kiss	hnia
kisser	Kisser
kissy	hnia
kit	khoom siv
kitchen	chav ua noj
kite	kite
kitten	me nyuam miv
kiwi	kiwi
klutz	klutz
knack	knack
knapsack	knapsack
knead	knead
knee	hauv caug
kneecap	kneecap
kneel	txhos caug
kneeling	txhos caug
knell	knell
knick	knick
knickers	knickers
knife	riam
knight	knight
knighthood	knighthood
knit	knit
knob	pob qhov rooj
knock	khob
knockoff	knockoff
knockout	knockout
knoll	knoll
knot	pob txha
knots	pob caus ntawd
knotted	knotted
know	paub
knowing	paub
knowingly	txhob txwm
knowledge	paub
knowledgeable	paub
knuckle	knuckle
knucklehead	knucklehead
knuckles	knuckles
koala	koala
kook	NO TRANSLATION
kooky	kooky
kool-aid	kool-aid
kos	kos
kosher	kosher
kraut	NO TRANSLATION
kris	kris
kryptonite	kryptonite
kudos	kudos
kumquat	kumquat
lab	(lab)
label	daim ntawv lo
labor	ua zog
laboratory	kuaj
labored	ua haujlwm
laborer	neeg ua haujlwm
laboring	ua haujlwm
laborious	muaj zog
labyrinth	labyrinth
lac	lac
lace	lace
laceration	laceration
lack	tsis muaj
lackey	lackey
lacking	tsis muaj
lackluster	lackluster
lacquer	lacquer
lacrosse	lacrosse
lactose	lactose
lad	tub
ladder	ntaiv
laddie	laddie
laden	laden
lading	lading
ladle	ladle
lady	pojniam
lady bug	NO TRANSLATION
ladybug	ladybug
ladylike	ladylike
ladyship	poj niam
lag	lag
lager	NO TRANSLATION
lagging	lagging
lagoon	lagoon
lair	hais tias
laity	laity
lake	pas dej
lama	NO TRANSLATION
lamb	yaj
lame	lame
lament	lament
lamenting	lamenting
lamina	lamina
laminated	laminated
lamp	teeb
lamppost	lamppost
lance	ntau heev
lancer	lancer
land	av
landed	tsaws
landfall	landfall
landfill	khiab av
landing	tsaws
landlady	landlady
landlocked	landlocked
landlord	tus tswv tsev
landmark	thaj av
lands	thaj av
landscape	toj roob hauv pes
landscaping	toj roob hauv pes
landslide	landslide
lane	txoj kab
language	lus
languid	languid
languish	languish
languishing	languishing
lanky	lanky
lantern	teeb
lap	ncej puab
lapdog	lapdog
lapel	lapel
lapse	lapse
lapsed	lapsed
laptop	laptop
larceny	larceny
lard	lard
larder	larder
large	loj
larger	loj dua
largo	NO TRANSLATION
lark	lark
larva	larva
laryngitis	koob tshuaj tiv thaiv
larynx	larynx
lasagna	lasagna
laser	laser
lash	lash
lass	lass
lasso	lasso
lastday	NO TRANSLATION
lasting	kawg
lastminute	lastminute
latch	latch
late	lig
lateness	lateness
latent	latent
lateral	ib sab
laterally	laterally
latex	xim
lathe	tshuab dhos
lather	lather
latitude	latitude
latrine	cov plag tsev
latrines	cov tsev tawm rooj
latte	latte
lattice	lattice
laud	laud
laudable	laudable
laudation	laudation
laudatory	laudatory
laugh	luag
laughable	txaus luag
laughing	luag
laughingstock	NO TRANSLATION
laughs	luag
laughter	luag
launch	tso tawm
launcher	launcher
launches	xa
launder	launder
laundering	ntxhua khaub ncaws
laundry	ntxhua khaub ncaws
laureate	laureate
laurel	laurel
laurels	laurels
lava	lava
lavage	lavage
lavatory	lavatory
lavender	lavender
lavish	lavish
law	txoj cai
lawful	raws li txoj cai
lawless	txhaum cai
lawlessness	kev tsis ncaj ncees
lawman	tus lawm
lawn	nyom
lawnmower	lawnmower
lawsuit	kev sib foob
lawyer	kws lij choj
lax	lax
laxative	laxative
lay	nteg
layaway	layaway
layer	txheej
layered	fawm kib
layman	layman
layout	layout
layover	kev tsim tsa
laziness	laziness
lazy	tub nkeeg
lazyday	NO TRANSLATION
lea	lea
lead	txhuas
leaded	leaded
leader	tus thawj coj
leadership	kev coj
leading	ua
leads	ua rau
leaf	nplooj
leaflet	leaflet
leafy	nplooj
league	Pab Koomtes
leak	paim quav
leakage	tov
leaky	leaky
lean	lean
leaned	leaned
leaning	leaning
leap	leap
learn	kawm
learned	kawm
learner	kawm
learning	kawm
lease	daim ntawv xauj tsev
leash	leash
leather	tawv
leathery	leathery
leave	tawm
leavemealone	leavemealone
leaving	tawm hauv
lecherous	lecherous
lecture	kev qhuab ntuas
lecturer	lecturer
ledge	Tshaj tawm
ledger	ledger
lee	lee
leech	leech
leeches	leeches
leer	NO TRANSLATION
leery	leery
lees	NO TRANSLATION
leeway	lub caij
left	sab laug
leftout	NO TRANSLATION
leftover	sab laug
leftovers	cov laug
lefty	lefty
leg	ceg
legacy	txojsia
legal	raws li txoj cai
legality	txoj cai
legalize	legalize
legalized	legalized
legally	raws cai
legend	lus dab neeg
legendary	legendary
legibility	txoj cai
legible	legible
legion	legion
legislate	cai lij choj
legislation	kev cai
legislative	tsim cai
legislator	cai lij choj
legislature	legislature
legit	legit
legitimacy	legitimacy
legitimate	tsim nyog
lego	lego
legs	ob txhais ceg
legume	legume
legwork	legwork
leisure	leisure
leisurely	leisurely
lemma	lemma
lemon	txiv qaub
lemonade	qos yaj ywm
lend	qiv
lender	qiv
lending	txais nyiaj
length	ntev
lengthen	ntev
lengthened	ntev
lengthening	ntev
lengthwise	lengthwise
lengthy	ntev
leniency	leniency
lenient	yws
lens	lens
leopard	tsov txaij
leotard	leotard
leper	tus neeg mob ruas
leprechaun	leprechaun
leprosy	leprosy
lesbian	poj niam txiv neej
lesbianism	poj niam nyiam poj niam
lesion	qhov nqaij ntuag
less	tsawg dua
lessee	tsawg
lessen	tsawg
lessening	txo qis
lesser	tsawg dua
lesson	zaj lus qhia
lessor	tus tswv tsev
let	cia
lethal	lethal
lethargic	lethargic
lethargy	lethargy
letter	daim ntawv
lettered	sau ntawv
letterhead	letterhead
lettering	sau ntawv
letters	cov ntawv
lettuce	lettuce
leukemia	leukemia
levee	levee
level	theem
lever	qib
leverage	leverage
levitate	levitate
levy	levy
lewd	lewd
lexicon	lexicon
ley	NO TRANSLATION
liabilities	liabilities
liability	kev lav
liable	tsim nyog
liaison	tus neeg sib tw
liar	zab
libel	libel
libelous	libelous
liberal	liberal
liberalism	liberalism
liberate	tso dim
liberated	dim
liberating	kev dim
liberation	kev tsim txom
liberty	kev ywj pheej
libido	libido
librarian	tus kws ceev ntawv
library	tsev qiv ntawv
libretto	libretto
lice	ntshauv
license	daim ntawv tso cai
lichen	lichen
lick	yaim
licorice	licorice
lid	hau
lie	pw
liege	liege
lien	lien
lieu	lieu
lieutenant	lieutenant
life	lub neej
lifeblood	tuag taus
lifeboat	lifeboat
lifeguard	kev tiv thaiv
lifeisgood	lub neej
lifeless	tsis muaj sia
lifelike	lifelike
lifeline	lifeline
lifelong	lub neej
lifer	lifer
lifesaver	lifesaver
lifestyle	txoj kev ua neej
lifesucks	lifesucks
lifetime	lub neej
lift	nqa
lifted	tsa
liftoff	nqa dej
ligament	ligament
ligation	ligation
ligature	ligature
light	lub teeb
light year	lub teeb xyoo
lightbulb	lub teeb txawb
lighten	qee
lightheaded	lightheaded
lighthouse	lighthouse
lighting	teeb pom kev zoo
lightness	lub teebmeem
lightning	xob laim
lights	teeb
lightweight	hnav
likable	nyiam
like	zoo li
likelihood	ntxim yuav
likely	yuav yog
likeness	yam ntxwv
likewise	zoo li no
liking	nyiam
lilac	lilac
lily	Lily
limb	limb
limber	limber
limbo	limbo
lime	txiv qaub
limelight	limelight
limestone	limestone
limey	limey
limit	txwv
limitation	txwv
limited	txwv
limitless	tsis txawj
limo	limo
limousine	limousine
limp	limp
lin	lin
line	kab
lineage	lineage
lineal	kabmob
linear	tawm
linebacker	linebacker
lined	lined
linen	linen
liner	kab ntsig
lines	kab
lineup	lineup
linger	linger
lingerie	lingerie
lingering	lingering
lingo	lingo
lingual	lingual
linguini	linguini
linguist	linguist
linguistic	lus
linguistics	linguistics
lining	hauv ob sab phlu
link	txuas
linoleum	linoleum
lint	lint
lion	tsov ntxhuav
lip	di ncauj
liposuction	liposuction
lipstick	mem pleev di ncauj
liquefaction	liquefaction
liquefied	liquefied
liqueur	liqueur
liquid	kua
liquidate	liquidate
liquidation	liquidation
liquidator	tus neeg soj ntsuam
liquidity	liquidity
liquor	cawv
lira	NO TRANSLATION
lisp	lisp
list	sau
listen	mloog
listener	mloog
listenting	NO TRANSLATION
listing	teev
listless	tsis hais
listneing	NO TRANSLATION
litany	litany
liter	liter
literacy	nyeem ntawv
literal	tiag
literally	cia
literary	zaj lus
literature	ntawv nyeem
lithe	lithe
lithium	lithium
lithograph	lithograph
lithography	lithography
lithology	lithology
lithosphere	lithosphere
litigant	litigant
litigate	litigate
litigation	kev plaub ntug
litigator	litigator
litigious	litigious
litter	khib nyiab
little	me ntsis
littlethings	littlethings
littoral	littoral
liturgy	liturgy
live	nyob
livelife	livelife
livelihood	livelihood
lively	nyob ntsiag to
liven	liven
liver	nplooj siab
livery	livery
livestock	tsiaj nyeg
livid	livid
living	nyob
lizard	nabqa
llama	llama
lml	lml
load	ntsaws
loader	loader
loaf	loaf
loafer	loafer
loam	loam
loan	nyiaj txais
loath	loath
loathe	loathe
loathful	loathful
loathing	loathing
loathsome	loathsome
lobby	chaw tos txais
lobbyist	lobbyist
lobe	lobe
lobotomy	lobotomy
lobster	tus cw
local	hauv zos
locale	thaj chaw
locality	qhov chaw nyob
localization	thaj chaw
localize	localize
localized	laus zog
locate	nrhiav
location	qhov chaw
locator	locator
loch	loch
lock	xauv
locker	chav rau khoom
locket	locket
locksmith	locksmith
lockup	txhav tas
loco	loco
locomotion	locomotion
locomotive	locomotive
locust	locust
lode	NO TRANSLATION
lodge	tsev pw
lodger	pw
lodging	chaw pw
loft	loft
lofty	lofty
log	cav
logarithm	logarithm
logarithmic	logarithmic
logic	logic
logical	zajlus kom
logistics	logistics
logo	logo
logotype	logotype
loin	NO TRANSLATION
lollipop	lollipop
lone	leeg
loneliness	kev kho siab
lonely	kho siab
loner	loner
lonesome	kev hlub
long	ntev
longboat	ntevboat
longevity	thiav
longing	siab ntev
longitude	longitude
longitudinal	longitudinal
longitudinally	longitudinally
longtime	ntev
loo	u
look	saib
looker	looker
lookout	xyuas
loom	loom
looming	looming
loon	loon
loony	loony
loop	voj
loophole	loopole
loopy	loopy
loose	xoob
loosen	loosen
loosening	loosening
loot	loot
lop	lop
lopsided	lopsided
lord	tus tswv
lords	lords
lordship	kev ua haujlwm
lore	lore
lorry	lorry
lose	poob
loser	tsis yog
losing	poob
loss	poob
lost	poob
lot	ntau
lotion	lotion
lots	ntau ntau
lottery	lottery
lotto	lotto
lotus	lotus
loud	nrov
loudly	nrov nrov
loudmouth	nrov tshaj
loudness	nrov nrov
loudspeaker	lus nrov
lounge	chaw so
lounging	lounging
louse	louse
lousy	lousy
lovable	lovable
love	hlub
loved	hlub
lovee	lovee
loveee	loveee
loveless	loveless
lovelife	NO TRANSLATION
loveliness	loveliness
lovelovelove	NO TRANSLATION
lovely	ntxim hlub
lovemaking	lovemaking
lovemylife	NO TRANSLATION
lover	tus hlub
lovesick	hlub nws
lovethis	lovethis
loving	hlub
lovinglife	kev hlub
lovinlife	lovinlife
low	tsawg
lowdown	lowdown
lower	qis dua
lowering	txo qis
lowest	qis tshaj
lowlands	lowlands
lowlife	tsawg lub neej
lowly	lowly
lox	lox
loyal	loyal
loyalty	kev ncaj ncees
lsd	lsd
luau	luau
lube	lube
lubricant	lubricant
lubricate	ntub dej
lubrication	lubrication
lucid	lucid
luck	hmoov
luckiest	luckiest
lucky	muaj hmoo
luckygirl	luckygirl
lucrative	lucrative
ludicrous	ludicrous
lug	lug
luggage	nra
lukewarm	sov so
lull	lull
lullaby	lullaby
lumbar	lumbar
lumber	lumber
lumbering	lumbering
lumberjack	lumberjack
luminescent	luminescent
luminous	luminous
lump	pob
lumpy	lumpy
lunacy	lunacy
lunar	lunar
lunatic	lunatic
lunch	noj su
lunchbox	noj su
luncheon	noj su
lunchtime	noj su
lung	mob ntsws
lunge	lunge
lungs	lub ntsws
lurch	lurch
lure	ntxias
lurid	lurid
lurk	ua ntej
lurking	lurking
luscious	luscious
lush	lush
lust	ntshaw
luster	lus
lustful	lustful
lustrous	lustrous
lusty	lusty
lute	lute
luxuriant	luxuriant
luxurious	luxurious
luxury	khoom kim heev
lycra	lycra
lye	lye
lying	dag
lymph	lymph
lymphatic	lymphatic
lymphoma	lymphoma
lynch	lynch
lynching	lynching
lynx	lynx
lyre	lyre
lyric	lyric
lyrical	lyrical
lyrics	lyrics
macadamia	macadamia
macarena	macarena
macaroni	macaroni
mace	mace
mach	mach
machete	tshuab raj
machine	tshuab
machinery	machinery
machinist	machinist
macho	macho
mackerel	mackerel
macro	macro
mad	chim chim
madam	madam
madame	madame
madden	madden
madder	madder
mademoiselle	NO TRANSLATION
mademyday	mademyday
madhouse	madhouse
madman	madman
madness	kev chim
maestro	maestro
mafia	mafia
magazine	magazine
mage	mage
magenta	magenta
maggot	maggot
magic	khawv koob
magical	tej yam yees siv
magician	tus txawj ua yees siv
magistrate	tus kws lij choj
magma	magma
magna	magna
magnate	magnate
magnesium	magnesium
magnet	hlau nplaum
magnetic	sib nqus
magnetism	magnetism
magnetite	magnetite
magnification	magnification
magnificence	magnificence
magnificent	zoo kawg li
magnifier	loj tshaj
magnify	loj dua
magnifying	magnifying
magnitude	qhov ntau
magnolia	magnolia
magpie	magpie
mahi mahi	NO TRANSLATION
mahjong	mahjong
mahogany	mahogany
maid	tub txib
maiden	hluas nkauj
mail	xa ntawv
mailbox	mailbox
mailing	xa ntawv
mailman	xa ntawv
maim	NO TRANSLATION
main	lub ntsiab
mainframe	mainframe
mainland	mainland
mainstay	mainstay
mainstream	mainstream
maintain	tswj
maintenance	txij nkawm
majestic	majestic
majesty	majesty
major	loj
majority	feem ntau
make	ua
makeover	makeover
maker	txiag
makeshift	ua lag luam
makesmehappy	NO TRANSLATION
makesmemad	NO TRANSLATION
makeup	pleev
makingdisciples	NO TRANSLATION
malady	malady
malaise	ua tsis taus pa
malaria	Malaria
malarkey	malarkey
male	txiv neej
malevolent	malevolent
malfeasance	tsis ncaj ncees
malformation	malformation
malfunction	malfunction
malice	NO TRANSLATION
malicious	siab phem
malign	mob plab
malignancy	malignancy
malignant	malignant
maligned	maligned
mall	mall
malleable	malleable
mallet	mallet
malnutrition	malnutrition
malpractice	kev ua tsis ncaj ncees
malt	malt
mama	niam
mambo	mambo
mamma	NO TRANSLATION
mammal	tus tsiaj
mammoth	mammoth
mammy	Mammy
man	txiv neej
manage	tswj
manageable	tswj tau
management	kev tswj hwm
manager	tus thawj tswj hwm
managerial	kev tswj hwm
mandamus	mandamus
mandarin	mandarin
mandate	yuam cai
mandatory	yuav tsum tau ua
mandible	mandible
mandolin	mandolin
mandrel	mandrel
mane	NO TRANSLATION
maneuver	maneuver
maneuvering	maneuvering
mange	NO TRANSLATION
manger	manger
mangle	mangle
mango	mango
mangosteen	mangosteen
mangy	mangy
manhole	manhole
manhood	manhood
manhunt	manhunt
mania	mania
maniac	maniac
maniacal	maniacal
manic	manic
manicure	Manicure
manicurist	manicurist
manifest	manifest
manifestation	tshwm sim
manifested	pom
manifestly	tshwm sim
manifesto	manifesto
manifold	manifold
manipulate	tswj
manipulation	manipulation
manipulative	manipulative
mankind	noob neej
manly	manly
manna	manna
manned	manned
mannequin	mannequin
manner	lub sijhawm
mannered	mannered
manners	tus cwj pwm
manor	manor
manpower	txiv neej
mansion	tsev loj
mansions	lub tsev kaw neeg
manslaughter	manslaughter
mantel	mantel
mantis	ntsuas
mantle	mantle
mantra	mantra
manual	phau ntawv
manufacture	ua lag luam
manufacturer	chaw tsim tshuaj paus
manufacturing	kev tsim
manure	manure
manuscript	ntawv sau
map	daim ntawv qhia
maple	maple
mar	mar
marathon	marathon
marble	marble
marbled	marbled
marbles	marbles
march	Lub peb hlis ntuj
mare	NO TRANSLATION
margarine	margarine
margarita	margarita
margin	paj
marginal	marginal
mariachi	mariachi
marijuana	tshuaj maj
marinara	marinara
marine	marine
mariner	mariner
marital	txij nkawm
maritime	dej hiav txwv
mark	kos
marked	cim
marker	cim
market	kev ua lag luam
marketable	kev lag luam
marketing	kev lag luam
marketplace	kev ua lag luam
marks	cov qhab nia
marksman	marksman
marksmanship	marksmanship
marl	marl
marmalade	marmalade
maroon	maroon
marooned	marooned
marquee	marquee
marquis	marquis
marred	sib yuav
marriage	sib yuav
married	sib yuav
marrow	pob txha
marry	yuav
marsh	hav iav
marshal	marshal
marshmallow	marshmallow
mart	Lub Peb Hlis
martial	sib ntaus
martingale	martingale
martini	martini
martyr	martyr
martyrdom	martyrdom
marvel	xav tsis thoob
marvellous	zoo kawg li
marvelous	zoo kawg li
marvelously	marvelously
marzipan	NO TRANSLATION
mascara	mascara
mascot	mascot
masculine	masculine
masculinity	masculinity
mash	mash
mashed	mashed
mask	lub npog ncauj
masked	masked
masks	qhov ncauj qhov ntswg
masochism	masochism
masochist	masochist
mason	Mason
masquerade	masquerade
mass	pawg
massacre	kev tua neeg pov tseg
massage	zaws
masses	pawg
masseur	masseur
masseuse	masseuse
massive	loj heev
mast	mast
master	tus tswv
masterful	masterful
mastermind	mastermind
masterpiece	masterpiece
mastery	kev paub
masturbate	masturbate
masturbation	masturbation
mat	lev
matador	matador
match	phim
matchbook	phim ntawv
matching	txuam
matchmaker	matchmaker
mate	phooj ywg
material	khoom
materialism	materialism
materialist	materialist
materialistic	materialistic
materiality	materiality
materialize	materialize
materially	khoom noj khoom haus
materials	cov ntaub ntawv
materiel	khoom noj khoom haus
maternal	niam txiv
maternity	poj niam
math	lej
mathematical	lej
mathematician	mathematician
mathematics	lej
matinee	Matinee
mating	mating
matriculation	matriculation
matrimony	Matrimony
matrix	Matrix
matron	matron
matted	matted
matter	teeb meem
matting	matting
mattress	daim txaj pw
maturation	maturation
mature	paub tab
maturity	loj hlob
maudlin	maudlin
mausoleum	Mausoleum
mauve	mauve
maverick	Maverick
maxim	maxim
maximize	maximize
maximum	siab kawg
may	tej zaum yuav
mayday	hnub twg
mayflower	mayflower
mayhem	mayhem
mayonnaise	mayonnaise
mayor	tus kav nroog
maze	tshawb
mead	mead
meadow	tiaj nyom
meager	meager
meal	noj mov
mean	txhais tias
meander	meander
meandering	meandering
meanie	meanie
meaning	lub ntsiab lus
meaningful	muaj txiaj ntsim
meaningless	tsis tseem ceeb
meanness	meanness
means	txhais tau tias
meantime	meantime
measles	measles
measurable	ntsuas tau
measure	ntsuas
measured	ntsuas
measurement	ntsuas
measuring	ntsuas
measuring cup	ntsuas khob
measuring tape	ntsuas daim kab xev
meat	nqaij
meatball	nqaij pob txha
meathead	meathead
meatloaf	nqaij npab
mechanic	kws kho tsheb
mechanical	mechanical
mechanics	mechanics
mechanism	mechanism
med	NO TRANSLATION
medal	khoom plig
medallion	medallion
medallist	medalist
meddle	sib tham
meddling	sib cav
media	xov xwm
medial	mob hlwb
median	nruab nrab
mediate	sib kho
mediation	kev kho kom haum xeeb
mediator	tus neeg tuaj daws teeb meem
medic	tshuaj
medical	kev kho mob
medicate	tshuaj
medication	tshuaj noj
medicinal	medicinal
medicine	tshuaj
medieval	medieval
mediocre	nruab nrab
mediocrity	mediocrity
meditate	ua tib zoo xav
meditating	xav txog
meditation	xav
meditative	meditative
mediterranean	mediterranean
medium	nruab nrab
medley	sib tham
meek	meek
meet	sib ntsib
meeting	sib tham
mega	mega
meh	kuv
melancholic	melancholic
melancholy	melancholy
melee	melee
mellow	mellow
melodious	melodious
melodrama	melodrama
melodramatic	melodramatic
melody	suab paj nruag
melon	melon
melt	qhuav
meltdown	meltdown
melting	melting
member	tus tswv cuab
membership	kev koom tes
membrane	membrane
memento	memento
memo	memo
memoir	memoir
memorabilia	memorabilia
memorable	nco
memorandum	memorandum
memorial	memorial
memorials	memorials
memories	nco
memoriesiwontforget	NO TRANSLATION
memorize	cim cia
memory	nco
menace	mob siab
menacing	menacing
menagerie	menagerie
mend	khoov
mending	mending
menial	menial
meningitis	meningitis
meniscus	Meniscus
menopause	menopause
menses	menses
menstrual	cev
mental	hlwb
mentalhealth	NO TRANSLATION
mentality	kev xav
menthol	chaw nyob
mention	hais txog
mentor	cob qhia
menu	zaub mov
meow	meow
mercantile	mercantile
mercenary	mercenary
merchandise	khoom muag
merchant	ua lag luam
merciful	hlub tshua
merciless	merciless
mercurial	mercurial
mercury	mercury
mercy	kev hlub tshua
mere	mere
merengue	merengue
merge	ua ke
merger	ua ke
meridian	meridian
meridional	meridional
meringue	meringue
merit	zoo
meritorious	meritorious
mermaid	mermaid
merriment	merriment
merry	zoo siab
merrychristmas	NO TRANSLATION
mesa	mesa
mescaline	mescaline
mesh	Mesh
meshes	meshes
mesmerized	mesmerized
mess	mess
message	lus
messedup	NO TRANSLATION
messenger	tus tub txib
messiah	messiah
messy	ntxhov siab
metabolic	metabolic
metabolism	metabolism hauv
metal	hlau
metallic	metallic
metallurgy	metallurgy
metamorphosis	metamorphosis
metaphor	ua piv txwv qhia
metaphorical	metaphorical
metaphysical	metaphysical
metaphysics	metaphysics
metastasis	metastasis
meteor	meteor
meteoric	meteoric
meteorite	meteorite
meteorological	meteorological
meteorology	meteorology
meter	meter
meth	meth
methadone	tshuaj txiav yeeb (Methadone)
methane	methane
methanol	methanol
method	txoj kev
methodical	txoj kev
methodology	vib this
meticulous	ceevfaj heev
metime	metime
metric	metric
metrical	metrical
metrology	metrology
metropolis	metropolis
metropolitan	tsam
mettle	mettle
mew	Mew
mezzanine	mezzanine
mica	mica
mick	mick
micro	micro
microbe	microbe
microbiology	microbiology
microchip	microchip
microcosm	microcosm
microfilm	microfilm
microgram	microgram
micrometer	micrometer
micron	micron
microphone	microphone
microscope	tshuab raj
microscopic	tsom
microscopically	microscopically
microscopy	microscopy
microwave	microwave
mid	nruab nrab
midair	midair
midday	midday
middle	nruab nrab
middleman	middleman
middleweight	theem nrab
midget	midget
midland	midland
midlife	qhov nruab nrab
midline	midline
midnight	ib tag hmo
midshipman	midshipman
midst	nruab nrab
midsummer	midsummer
midterm	midterm
midtown	midtown
midway	tog
midwife	tus poj niam
midwifery	midwifery
mien	NO TRANSLATION
miffed	miffed
mighty	mighty
mignon	mignon
migraine	migraine
migrate	migrate
migration	kev tsiv teb tsaws
migratory	khiav haujlwm
mike	Mike
mil	NO TRANSLATION
mild	me me
mildew	mildew
mildness	muaj lub siab mos siab muag
mile	mais
mileage	mileage
milestone	milestone
militant	tub rog
militants	tua neeg
military	ua tub rog
militia	tub rog
milk	mis nyuj haus
milkman	milkman
milkshake	milkshake
milky	milky
mill	zeb
millennium	xyoo txhiab
milligram	milligram
millimeter	millimeter
million	lab
millionaire	millionaire
millionth	lab tus
millstone	millstone
mime	mime
mimic	ntsig txog
mimicking	mimicking
mimicry	mimicry
mince	mince
mincemeat	mincemeat
mind	lub hlwb
minded	minded
mindful	nco ntsoov
mindfulness	mindfulness
mindless	mindless
mine	kuv
minefield	minefield
miner	miner
mineral	ntxhia
mineralogy	mineralogy
mingle	mingle
mingled	mingled
mini	mini
miniature	me quas kub
minibus	minibus
minim	NO TRANSLATION
minimal	tsawg
minimize	txo qis
minimized	minimized
minimum	yam tsawg kawg
mining	mining
minion	minion
minister	txhawb pab
ministerial	ministerial
ministry	ministry
minivan	minivan
mink	mink
minnow	minnow
minor	me me
minority	tsawg
minstrel	minstrel
mint	mint
minty	minty
minuscule	minuscule
minute	feeb
minutiae	minutiae
minx	minx
mir	NO TRANSLATION
miracle	txuj ci tseem ceeb
miracles	txuj ci tseem ceeb
miraculous	miraculous
mirage	ua zaim muag
mire	NO TRANSLATION
mirror	daim iav
mirth	zoo nkauj
misappropriation	kev yuam cai
misbehave	misbehave
misbehavior	kev coj tsis tus
miscalculation	miscalculation
miscarriage	nchuav menyuam
miscellaneous	lwm yam
miscellany	suav
mischief	mischief
mischievous	txhoj puab
misconception	misconception
misconduct	ua txhaum cai
misdemeanor	misdemeanor
misdirection	misdirection
miser	miser
miserable	miserable
miserably	miserably
misery	kev nyuaj siab
misfire	misfire
misfit	misfit
misfortune	khaum
misguided	NO TRANSLATION
mishap	mishap
misinformed	misinformed
misinterpretation	misinterpretation
mislead	mislead
misleading	hais tsis tiav
misled	misled
mismanagement	mismanagement
mismatch	mismatch
mismatched	mismatched
misnomer	misnomer
misplace	misplace
misplaced	misplaced
misread	misread
misrepresent	tsis tseeb
misrepresentation	lus tsis ncaj
misrepresented	misrepresented
miss	ploj
missile	missile
missiles	cuaj luaj
missing	nco
missingyou	NO TRANSLATION
mission	lub hom phiaj
missionary	cov tub txib
misspell	misspell
misstatement	kev tsis sib haum xeeb
missy	missy
mist	os
mistake	yuam kev
mistaken	yuam kev
mister	mister
mistletoe	mistletoe
mistreated	raug tsim txom
mistress	tus hluas nkauj
mistrial	mistrial
mistrust	Mistrust
misty	mob plab
misunderstand	tsis to taub
misunderstanding	tsis to taub
misunderstood	tsis to taub
misuse	txhaum cai
mite	mite
miter	miter
mitigate	mitigate
mitigating	mitigating
mitigation	mitigation
mitt	mitt
mitten	NO TRANSLATION
mitzvah	mitzvah
mix	sib tov
mixed	tov
mixedemotions	sib xyaw
mixer	tov khoom
mixture	sib tov
mnemonic	Mnemonic
moan	moan
moat	moat
mob	mob
mobile	mobile
mobility	mobility
mobilization	mobilization
mobilize	koom tes
mobster	mobster
mocha	mocha
mock	thuam
mocked	thuam
mockery	mockery
mocking	thuam
mockingbird	mockingbird
mod	mod
modal	modal
modality	modality
mode	hom
model	qauv
modeler	qauv
modeling	ua qauv
modem	modem
moderate	ntsis
moderate anticipation	ntsis kev cia siab
moderate disgust	sim qias neeg
moderate negative	sim tsis zoo
moderate positive	ntsis zoo
moderate surprise	ntsis surprise
moderate trust	kev ntseeg siab
moderately	moderately
moderating	moderating
moderation	cawv
moderator	moderator
modern	niaj hnub
modernism	niaj hnub no
modest	txaj muag
modesty	txo hwj chim
modicum	tsim nyog
modifiable	hloov kho
modification	kev hloov
modified	hloov
modify	hloov kho
modulate	modulate
modulation	tes taws los piav
module	module
modulus	modulus
mogul	mogul
moiety	moiety
moist	moist
moisture	noo noo
moisturizer	moisturizer
molar	molar
molasses	zib suab thaj
mold	pwm
molded	molded
molding	molding
moldy	moldy
mole	mole
molecular	molecular
molecule	molecule
molest	molest
molestation	molestation
molester	molester
molten	ntsev
mom	niam
moment	lub sijhawm
momentary	lub sijhawm
momentous	tseem ceeb
momentum	zog
momma	momma
mommy	mommy
monad	kev xav
monarch	huab tais
monarchy	monarchy
monastery	monastery
