Word	yo
mutilate	yọkufẹ
mutilated	mutilated
mutilation	ipalara
mutiny	mutiny
mutt	mutt
mutter	NO TRANSLATION
mutton	mutton
mutual	pelu owo
mutually	lapapọ
muzzle	muzzle
myfavorite	iferanju mi
myopia	myopia
myopic	myopic
myriad	ọpọlọpọ
mysterious	ohun to
mystery	ohun ijinlẹ
mystic	Igbon
mystical	iṣiro
mysticism	Iwakiri
mystified	Ifiyesi
mystique	mystique
myth	Adaparọ
mythic	mythic
mythical	iṣiro
mythological	itan-aiye atijọ
mythology	itan aye atijọ
nab	nab
nacho	nacho
nada	NO TRANSLATION
nadir	nadir
nag	NO TRANSLATION
nail	àlàfo
nail gun	Nail ibon
naive	rọrun
naked	ni ihooho
nakedness	ihoho
namaste	NO TRANSLATION
name	orukọ
named	ti a daruko
nameless	laini orukọ
namesake	namesake
naming	n pe orukọ
nana	wo
nanny	nanny
nanometer	nanometer
nap	nap
napalm	napalm
nape	nape
napkin	napkin
napping	sisọ
nappy	alaafia
narcissism	narcissism
narcissist	narcissist
narcissistic	narcissistic
narcotic	narcotic
narrate	sọ asọ
narration	alaye
narrative	alaye
narrator	narrator
narrow	dín
narrowing	narrowing
nasal	Ọna
nascent	Ọgbẹni
nasty	ẹgbin
natal	natal
nation	orilẹ-ede
national	Orilẹ-ede
nationality	orilẹ-ede
nationwide	orilẹ-ede
native	abinibi
nativity	Iseda
natural	adayeba
natural gas	adayeba gaasi
naturalist	naturalist
naturalization	ipilẹṣẹ
naturalized	naturalized
naturally	nipa ti
nature	iseda
naught	kosi
naughty	alaigbọran
nausea	Nausea
nauseate	nauseate
nauseating	tausa
nauseous	nauseous
nautical	nautical
nautilus	nautilus
naval	ọkọ na
nave	nave
navel	navel
navigable	navigable
navigate	lilö kiri
navigation	lilọ kiri
navigational	lilọ kiri
navigator	navigator
navy	awọn ọgagun
nay	NO TRANSLATION
nearsighted	ti a ko ni afojusọna
neat	ọfọ
neatly	maatly
nebula	Nebula
nebulae	nọnu
nebulous	ti ko dara
necessarily	dandan
necessary	pataki
necessitate	pataki
necessities	ohun pataki
necessity	tianillati
neck	ọrun
necklace	ẹgba ọrun
necktie	ọrun
necromancer	Necromancer
necrosis	Negirosisi
nectar	Nectar
need	nilo
needalife	NO TRANSLATION
needed	nilo
needful	nilo
needit	NO TRANSLATION
needle	abẹrẹ
needlepoint	needlepoint
needles	abere
needless	ailokoko
needtoknow	needtoknow
needtorelax	NO TRANSLATION
needy	alaini
nefarious	ko dara
negation	aṣoju
negative	odi
negativity	koṣe
neglect	aṣiṣe
neglected	ti gbagbe
neglecting	aṣiyẹ
negligee	aifiyesi
negligence	aifiyesi
negligent	aifiyesi
negligently	NO TRANSLATION
negligible	aifiyesi
negotiable	negotiable
negotiate	ṣe idunadura
negotiation	idunadura
negotiator	onisowo
negro	negro
neigh	arabinrin
neighbor	aladugbo
neighborhood	agbegbe
neighboring	adugbo
nemesis	nemesis
neon	Neon
neonatal	Neonatal
neophyte	neophyte
neoprene	Neoprene
nephew	ọmọ arakunrin
nepotism	nepotism
nerd	nerd
nerdy	nerdy
nerve	nafu ara
nerves	ara
nervous	aifọkanbalẹ
nervousness	nervousness
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	ṣii
nest	itẹ-ẹiyẹ
nestle	nestle
nestling	nestling
net	apapọ
nether	lapapọ
netting	npa
nettle	ipalara
network	nẹtiwọki
networking	Nẹtiwọki
neural	neural
neuralgia	Neuralgia
neurological	kooro
neurologist	Neurologist
neurology	kooro
neurosis	neurosis
neurosurgeon	neurosurgeon
neurosurgery	neurosurgery
neurotic	neurotic
neuter	Neuter
neutral	didoju
neutrality	Idaabobo
neutralize	yomi
neutron	neutron
new	titun
new age	ọjọ ori tuntun
newbeginnings	NO TRANSLATION
newborn	ọmọ ikoko
newcomer	titunṣe
newday	ọjọ tuntun
newfound	newfound
newjob	NO TRANSLATION
newlife	titunlife
newly	tuntun tuntun
newlywed	ni iyawo tuntun
newme	newme
newness	titun
news	iroyin
newscast	iroyin iroyin
newscaster	newscaster
newsflash	iroyin iroyin
newsletter	iwe iroyin
newsman	oni iroyin
newspaper	irohin
newspaperman	onise iroyin
newsreel	Ibalẹ
newsroom	iwe iroyin
newsstand	iwe iroyin
newstart	newstart
newt	titunt
newyear	NO TRANSLATION
nexus	Nexus
nib	nib
nibble	nibiti
nice	wuyi
niche	niche
nichts	NO TRANSLATION
nick	nick
nickel	nickel
nickname	inagije
nicotine	Nicotine
niece	niece
nifty	nifty
nigger	nigger
nigh	sunmọ
night	alẹ
nightcap	nightcap
nightclub	ile-iṣọ
nightfall	alẹpọ
nightgown	nightgown
nightie	nightie
nightingale	nightingale
nightlife	Idalaraye
nightly	alẹ
nightmare	alaburuku
nightmares	alarinrin
nightstand	akọle oru
nightstick	aṣalẹ alẹ
nighttime	alẹ
nihilism	nihilism
nil	nil
nimble	nimble
nimrod	nimrod
nincompoop	nincompoop
nine	mẹsan
nineteen	ọdun meedogun
ninety	aadọrun
ninja	ninja
ninny	ninny
nintendo	nintendo
ninth	kẹsan
nip	nip
nipper	nipper
nipple	ori ọmu
nippy	niyọ
nitrate	iyọ
nitro	nitro
nitrogen	nitrogen
nitrous	nitrous
nitwit	nitwit
nix	Nix
no anticipation	ko si ifojusona
no disgust	ko si ikorira
no emotion	ko si imolara
no sentiment	ko si itara
no surprise	ko si iyalenu
no trust	ko si igbekele
nobility	ipo-aṣẹ
noble	ọlọla
nobleman	ọlọlá
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	aṣalẹ
nod	nod
nodding	nodding
node	oju ipade
nodular	nodular
nodule	nodule
noggin	noggin
nohope	NO TRANSLATION
noir	dudu
noise	ariwo
noisy	alariwo
nomad	nomad
nomadic	nomadic
nomenclature	nomenclature
nominal	ipinnu
nominate	yan orukọ
nomination	ipinnu lati yan
nominee	nominee
nonce	kii ṣe
nonchalant	nonchalant
noncompliance	alaigbagbọ
nondescript	nondescript
nonexistent	ko si
nonfat	nonfat
nonfiction	aipe
nonpayment	aibowo
nonresident	alailẹgbẹ
nonsense	ọrọ isọkusọ
nonsensical	aigbọwọ
nonviolent	alaafia
noob	noob
noodle	Noodle
nook	Nook
noon	kẹfa
noose	noose
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	iwuwasi
normal	deede
normalcy	deedecy
normality	standardality
north	ariwa
northbound	ariwa
northeast	Ariwa
northern	Ariwa
northwest	ariwa-oorun
northwestern	ariwa-oorun
noschool	NO TRANSLATION
nose	imu
nosebleed	imu
nosey	ọpẹ
nosnow	wagbọn
nostalgia	nostalgia
nostalgic	nostalgic
nostress	NO TRANSLATION
nostril	aṣalẹ
nosun	NO TRANSLATION
nosy	ọpẹ
not negative	kii ṣe odi
not positive	kii ṣe rere
notable	ohun akiyesi
notables	awọn ọlọla
notably	paapaa
notamorningperson	NO TRANSLATION
notary	notary
notation	akọsilẹ
notch	ogbontarigi
notched	ti ṣe akiyesi
note	akọsilẹ
notebook	ajako
noted	woye
noteworthy	akiyesi
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	ohunkohun
notice	akiyesi
noticeable	ti ṣe akiyesi
notification	iwifunni
notify	sọ ọ
notion	iro
notional	notional
notoriety	akiyesi
notorious	mọ
notready	ko si tẹlẹ
notwithstanding	ṣugbọn
nought	kosi
noun	orúkọ
nourish	ntọju
nourishment	nmu
nouveau	NO TRANSLATION
novel	aramada
novelist	onkowe
novelty	aratuntun
novice	novice
nowadays	ni ode oni
nowork	Atilẹyin
noworries	ko si wahala
noxious	alakoye
nozzle	nozzle
nuance	nuance
nuances	nuances
nuclear	iparun
nucleus	nucleus
nude	ihoho
nudge	nudge
nudie	nudie
nudist	nudist
nudity	nudity
nugget	nugget
nuisance	iparun
nuke	Nuke
nul	NO TRANSLATION
null	null
nullify	nullify
numb	numb
number	nọmba
numbering	nọmba nọmba
numbers	awọn nọmba
numbness	numbness
numbskull	numbskull
numeral	nọmba nọmba
numerator	numerator
numerical	nọmba
numerically	lẹmeji
numerous	afonifoji
nun	NO TRANSLATION
nunchucks	awọn aṣoju
nunnery	nuninery
nuptials	Awọn iwe-iwe
nurse	nọọsi
nursemaid	nursemaid
nursery	nọsìrì
nursing	ntọjú
nurture	ntọju
nut	nut
nutcase	nutcase
nutcracker	nutcracker
nuthouse	nuthouse
nutmeg	nutmeg
nutrition	ounje
nutritional	onje tio dara
nutritious	ounjẹ
nutritive	nutritive
nuts	eso
nutshell	Ọpẹ
nutty	nutty
nylon	ọra
nylong	NO TRANSLATION
nylons	nylons
nymph	nymph
nymphomaniac	nymphomaniac
oaf	ologun
oak	oaku
oar	ologun
oasis	oasis
oat	oat
oath	ibura
oatmeal	oatmeal
obedience	ìgbọràn
obedient	igbọràn
obediently	igbọran
obelisk	obelisk
obese	sanra
obesity	isanraju
obey	gbọràn
obi	Obi
obit	obit
obituary	ibi ipamọ
object	ohun
objection	ipalara
objectionable	ohun ibanuje
objective	ohun
objectivity	ifarahan
obligation	ọranyan
obligatory	dandan
oblige	di dandan
obliged	ti rọ
obliging	rọwọ
obligor	obligor
oblique	oblique
obliterate	obliterate
obliterated	rọwọ
obliteration	imukuro
oblivion	aṣiṣe
oblivious	laanu
oblong	oblong
obnoxious	ohun ti o buru
oboe	oboe
obscene	oju-ara
obscenity	ẹgan
obscure	ibiti
obscured	bamu
obscurity	aibikita
observance	akiyesi
observant	akiyesi
observation	akiyesi
observatory	akiyesi
observe	ṣe akiyesi
observer	oluwoye
observing	wíwo
obsess	ojuju
obsessed	oju afẹju
obsessing	ojuju
obsession	fifọ
obsessive	ohun ti o ṣe akiyesi
obsolescence	aifọwọyi
obsolete	ti aijọpọ
obstacle	idiwọ
obstetrician	obstetrician
obstetrics	obstetrics
obstinate	obstinate
obstruct	dena
obstruction	idaduro
obstructive	obstructive
obtain	gba
obtainable	ti o gba
obtuse	obtuse
obverse	obverse
obvious	kedere
ocarina	ocarina
occasion	ayeye
occasional	lẹẹkọọkan
occasionally	Lẹẹkọọkan
occipital	ile-iṣẹ
occlusion	occlusion
occult	occult
occupancy	iṣiro
occupant	ti o jẹ oluṣe
occupation	iṣẹ
occupational	iṣẹ iṣe
occupied	ti tẹdo
occupier	ile-iṣẹ
occupy	gba
occupying	iṣẹ
occur	waye
occurrence	iṣẹlẹ
ocd	ocd
ocean	omi okun
oceanic	oceanic
octagon	octagon
octave	octave
octopus	ẹja ẹlẹsẹ mẹjọ
ocular	ocular
odd	odd
oddball	oddball
oddity	oddity
odds	Awọn aidọgba
ode	ode
odious	o buru
odometer	odometer
odor	odor
odyssey	odyssey
oedipal	oedipal
oestrogen	estrogen
oeuvre	NO TRANSLATION
offal	offal
offence	ẹṣẹ
offend	ṣe aiṣedede
offended	ti ṣẹ
offender	oluṣe
offense	ẹṣẹ
offensive	ibinu
offer	ipese
offered	ti a nṣe
offering	laimu
offhand	paṣẹ
office	ọfiisi
officer	Oṣiṣẹ
offices	awọn ifiweranṣẹ
official	osise
officiate	ṣiṣẹ
offing	pa
offload	ipese
offset	aiṣedeede
offshoot	ipasẹ
offshore	ti ilu okeere
offside	atẹgun
offspring	ọmọ
oft	igba diẹ
oftentimes	ọpọlọpọ igba
ogre	ogre
ohdear	NO TRANSLATION
ohgod	NO TRANSLATION
ohno	ohno
ohshit	NO TRANSLATION
oil	epo
oils	epo
oily	o ni irọrun
oink	oink
ointment	ikunra
okra	okra
old	atijọ
olden	atijọ
older	agbalagba
oldie	atijọie
oldies	oldies
olfactory	olfactory
oligarchy	oligarchy
olive	olifi
omega	Omega
omelet	omelet
omen	aṣa
omgomgomg	NO TRANSLATION
ominous	ominous
omission	ikuku kuro
omit	omit
omitted	ti sọnu
omnibus	gbogbo
omnipotence	agbara agbara
omnipotent	alakoso
omnipresent	ni ibi iwaju
omniscient	omniscient
onboard	wa ninu ọkọ
oncologist	oncologist
oncology	oncology
oncoming	nwọle
one	ọkan
oneday	NO TRANSLATION
onedge	onedge
onelove	ifẹ kan
oneness	isokan
onerous	onerous
oneself	araẹni
ongoing	ti nlọ lọwọ
onion	Alubosa
onset	ibẹrẹ
onslaught	onslaught
onstage	ori itage
ontology	pẹlẹpẹlẹ
onus	onus
onward	siwaju
onyx	onyx
oodles	oodles
oomph	oomph
ooze	ooze
oozing	oozing
op	op
opacity	opacity
opal	opal
opaque	opaque
ope	oṣiṣẹ
open	ṣii
opener	ibẹrẹ
opening	šiši
openly	gbangba
openness	ìmọlẹ
opera	opera
operate	ṣiṣẹ
operatic	iṣẹ-ṣiṣe
operation	iṣẹ
operational	iṣẹ-ṣiṣe
operations	iṣẹ
operative	iṣẹ
operator	oniṣẹ
ophthalmic	ophthalmic
ophthalmologist	ophthalmologist
opiate	opiate
opinion	ero
opinionated	ti a ṣe akiyesi
opium	opium
opponent	alatako
opportune	nigbakugba
opportunism	opportunism
opportunity	anfani
oppose	alatako
opposed	lodi
opposing	titako
opposite	idakeji
opposites	alatako
opposition	alatako
oppress	ibanujẹ
oppressed	inilara
oppression	irẹjẹ
oppressive	oppressive
oppressor	alainilara
ops	Ops
opt	jáde
optic	opiti
optical	opitika
optics	opitika
optimism	optimism
optimist	optimist
optimistic	ireti
optimum	ailorukọ
option	aṣayan
optional	aṣayan
optionally	optionally
options	awọn aṣayan
optometrist	optometrist
opulence	opulence
opulent	opulent
opus	aṣayan
oracle	ọrọ ẹnu
oral	oral
orange	ọsan
orange juice	oje osan orombo
orangutan	Orangutan
oration	oration
orator	Orator
oratory	ikede
orb	Orb
orbit	orbit
orbital	abe
orbiting	orbiting
orbs	orbs
orc	Orc
orchard	Orchard
orchestra	Ẹgbẹ onilu
orchid	orchid
ordained	ti a yàn
ordeal	ipọnju
order	aṣẹ
orderly	ni ibere
ordinance	ilana
ordinary	arinrin
ordination	igbasilẹ
ordnance	ibere
ore	ore
oregano	oregano
organ	eto ara
organic	Organic
organism	ohun-ara
organist	alamọ ara
organization	agbari
organize	ṣeto
organized	ṣeto
organizer	oluṣeto
orgasm	isosowo
orgies	igbiyanju
orgy	apọju
orient	Oorun
oriental	Oorun
orientation	Iṣalaye
orifice	orifice
origami	origami
origin	ibẹrẹ
original	atilẹba
originality	atilẹba
originate	bere
origination	ibẹrẹ
originator	olubẹrẹ
ornament	ohun ọṣọ
ornamental	tabi koriko
ornamentation	ornamentation
ornamented	ornamented
ornate	ornate
ornery	orire
orphan	orukan
orphanage	orphanage
orphaned	orukan
orthodontist	orthodontist
orthodox	orthodox
orthodoxy	orthodoxy
orthogonal	orthogonal
orthopedic	orthopedic
oscillate	oscillate
oscillating	oscillating
oscillation	oscillation
oscillatory	oscillatory
ostensible	ostensible
ostensibly	ostensibly
ostentatious	ostentatious
ostracized	ostracized
ostrich	ostrich
other	miiran
otter	otter
otto	Otto
ottoman	ottoman
ought	yẹ
ounce	ounce
oust	oust
outage	outage
outback	outback
outbid	outbid
outboard	outboard
outbreak	ibesile
outburst	outburst
outcast	aṣiṣe
outcome	abajade
outcry	outcry
outdated	igba atijọ
outdo	outdo
outdoor	ita gbangba
outdoors	ni awọn gbagede
outer	lode
outfit	aṣọ
outgoing	ti njade
outgrow	outgrow
outgrowth	outgrowth
outhouse	ile-ile
outing	jade
outlandish	jade
outlast	outlast
outlaw	oṣedede
outlet	iṣan jade
outline	ìlà
outlines	awọn akọle
outlive	outlive
outlook	Outlook
outlying	outlying
outnumber	jade ju
outpatient	alaisan
outpost	outpost
outpouring	outpouring
output	iṣẹ-ṣiṣe
outrage	irunu
outraged	outraged
outrageous	ibanujẹ
outrank	outrank
outreach	ijade
outright	ni gangan
outrun	jade
outset	outset
outsider	abẹ
outskirts	awọn ijinlẹ
outsmart	outsmart
outspoken	outspoken
outstanding	dayato
outstretched	ti o jade
outward	jade
outwards	jade
outweigh	jade
outwit	outwit
oval	ofurufu
ovary	nipasẹ ọna
ovate	ovate
ovation	ovation
oven	adiro
overactive	overactive
overall	ìwò
overalls	overalls
overbearing	mimuju
overburden	ibanujẹ
overcast	ti ṣoki
overcharged	overcharged
overcoat	bori
overcome	bori
overcoming	aṣeyọri
overcrowded	overcrowded
overdo	overdo
overdose	overdose
overdrive	overdrive
overdue	tipẹ
overestimate	overestimate
overestimated	ti o dara julọ
overflow	bomi
overflowing	iṣan omi
overgrown	ti dagba
overgrowth	overgrowth
overhanging	bii
overhaul	fifuyẹ
overhead	lori oke
overhear	atokun
overheated	overheated
overjoyed	yọyọ
overkill	Ikọju
overlaid	bò
overlap	aṣoju
overlapping	Iboju
overlay	Iboju
overload	apọju
overlook	aṣoju
overlord	alakoso
overlying	ti o dawọle
overpaid	ti o sanwo
overpass	aṣiṣe
overplayed	ti o pọju
overpower	overpower
overpowering	overpowering
overpriced	overpriced
overprotective	overprotective
overrated	bori
overreact	ibanujẹ
override	bori
overriding	ti o kọja
overrule	oniduro
overrun	yọkufẹ
oversee	Amojuto
overseer	alabojuto
overshadow	didiji
oversight	ifojusi
oversized	tobijulo pupo
overslept	yọ lori
overstate	overstate
overstock	ohun elo
overt	yọ
overtake	bamu
overtaken	ipilẹṣẹ
overthemoon	NO TRANSLATION
overthinker	overthinker
overthinking	ero pupo
overthrow	Gbigbọn
overtime	afikun asiko
overtired	ti o pọju
overture	yọ kuro
overturn	ijabọ
overview	àpapọ
overweight	apọju iwọn
overwhelm	lagbara
overwhelmed	bii irẹwẹsi
overwhelming	lagbara
overworked	ti lo
overwrought	overwrought
overzealous	ibanujẹ
owe	o jẹ
owing	nitoribi
owl	owiwi
owner	eni
ownership	nini
ox	ox
oxidation	iṣelọpọ
oxide	ohun elo afẹfẹ
oxygen	atẹgun
oxymoron	oxymoron
oyster	gigei
ozone	ozone
pace	Pace
pacemaker	pacemaker
pacific	pacific
pacified	pacified
pacifier	paarọ
pacifist	pacifist
pacify	papọ
pacing	iṣọnṣe
pack	Pack
package	package
packaging	apoti
packer	packer
packet	packet
pact	adehun
pad	paadi
padded	fifun
padding	padding
paddle	paddle
paddle boat	paddle ọkọ oju omi
paddock	paddock
paddy	paddy
padlock	padlock
padre	NO TRANSLATION
paean	alaini
pagan	keferi
paganism	aṣa ẹsin
page	oju iwe
pageant	pageant
pager	pager
pagination	pagination
paging	paging
pagoda	pagoda
pail	pail
pain	irora
pained	irora
painful	irora
painfully	irora
painkiller	painkiller
painless	laisi irora
pains	irora
painstaking	irora
paint	kun
paintball	paintball
paintbrush	paintbrush
painted	ya
painter	oluyaworan
painting	kikun
pair	bata
paisley	paisley
pajama	pajama
pajamas	pajamas
pal	pan
palace	ile ọba
palatable	ti o ṣe atunṣe
palate	alaafia
pale	agbari
paleontology	paleontology
palette	palette
pall	pall
palladium	palladium
pallet	pallet
palliative	palliative
palm	ọpẹ
palmer	palmer
palomino	palomino
palpable	palpable
palpitations	awọn irora
palsy	Palsy
paltry	alara
pamper	pamper
pamphlet	Iwe pelebe
pan	pan
panacea	Panacea
panache	panache
pancake	pancake
pancakes	pancakes
pancreas	ti oronro
panda	panda
pandemic	ajakaye
pandemonium	pandemonium
pane	PAN
panel	igbimo
pang	NO TRANSLATION
panhandle	panhandle
panic	ijaaya
panicattack	NO TRANSLATION
panicked	panicked
panicking	panicking
panicky	panicky
panier	NO TRANSLATION
panorama	Panorama
panoramic	panoramic
pansy	Pansy
pant	pant
pantheon	pantheon
panther	panther
panties	panties
pantomime	pantomime
pantry	ipamọ
pants	pátá
panty	panty
pantyhose	pantyhose
pap	pap
papa	atọka
papacy	papacy
papal	NO TRANSLATION
papaya	papaya
paper	iwe
paperback	iwe iwe-iwe
paperboy	paperboy
paperweight	iwe-iwe
paperwork	awọn iwe kikọ
paprika	paprika
papyrus	papyrus
par	NO TRANSLATION
parable	owe
parabola	parabola
parabolic	parabolic
parachute	parachute
parade	igbala
paradigm	Aye
paradise	paradise
paradox	paradox
paradoxical	paradoxical
paraffin	paraffin
paragon	paragon
paragraph	ìpínrọ
parakeet	parakeet
paralegal	alakoso
parallax	parallax
parallel	ni afiwe
parallelism	parallelism
paralysis	paralysis
paralyze	paralyze
paralyzed	paralyzed
paramedic	paramedic
paramedics	paramedics
paramilitary	paramilitary
paramount	akọkọ julọ
paranoia	paranoia
paranoid	paranoid
paranormal	paranormal
parapet	parapet
paraphernalia	ipilẹṣẹ
paraphrase	paraphrase
paraplegic	paraplegic
parasite	SAAW
parasitic	parasitic
parasol	parasol
parcel	apakan
parcels	awọn apejọ
parched	parched
parchment	parchment
pardon	dariji
pare	NO TRANSLATION
parenchyma	parenchyma
parent	obi
parentage	akọ
parental	obi
parenthesis	NO TRANSLATION
parenthetical	iyatọ
parenthood	obi
parenting	fifọ ọmọ
pariah	nipasẹ
parietal	parietal
paring	paring
parish	Parish
parity	parity
park	o duro si ibikan
parka	Parka
parking	pa
parkinsons	awọn parkinsons
parlance	parlance
parlay	parlay
parliament	ile asofin
parliamentary	ile asofin
parlor	parlor
parmesan	parmesan
parody	orin
parole	parole
parquet	parquet
parrot	Parrot
parry	parry
parse	parse
parsimonious	parsimonious
parsimony	parsimony
parsley	Parsley
parson	Parson
part	apakan
partake	ṣe alabapin
partial	apa kan
partiality	oju-ara ẹni
partially	apakan
participant	alabaṣe
participate	kopa
participation	ikopa
particle	patiku
particular	pato
particularity	pato
particulars	awọn alaye pataki
parting	apakan
partisan	partisan
partisanship	apakan
partition	ipin
partly	apakan
partner	alabaṣepọ
partnership	ajọṣepọ
partridge	partridge
parts	awọn ẹya ara
party	keta
pas	NO TRANSLATION
pass	kọja
passable	passable
passage	aye
passageway	irin-ajo
passe	NO TRANSLATION
passenger	irin ajo
passim	NO TRANSLATION
passing	n kọja
passion	ife gidigidi
passionate	ni igbadun
passive	passive
passivity	passivity
passkey	passkey
passport	iwe irinna
password	ọrọigbaniwọle
past	ti o ti kọja
pasta	pasita
paste	lẹẹ
pastel	pastel
pastime	akoko akoko
pastor	Aguntan
pastrami	pastrami
pastry	àkàrà
pasture	àgbegbe
pasty	pasty
pat	Pat
patch	patch
patchwork	patchwork
pate	Pate
patella	patella
patent	itọsi
patented	ti idasilẹ
paternal	baba
paternity	paternity
path	ọna
pathetic	pathetic
pathological	pathological
pathologist	pathologist
pathology	pathology
pathos	NO TRANSLATION
pathway	ọna ọna
patience	sũru
patient	alaisan
patio	patio
patriarch	patriarch
patriarchal	patriarchal
patrimony	patrimony
patriot	patiri
patriotic	patriotic
patriotism	patriotism
patrol	aṣoju
patrolman	patrolman
patron	oluwa
patronage	patronage
patronising	patronizing
patronize	patronize
patronizing	patronizing
patter	patter
pattern	apẹẹrẹ
paucity	ailopin
pauper	paupa
pause	duro
pave	pave
pavement	pavement
pavilion	iyẹwu
paving	paving
paw	paw
pawn	pawn
pawnshop	pawnshop
pax	pax
pay	sanwo
payable	sisan
payback	payback
paycheck	paycheck
payday	ọjọ igbowo-oṣu
payer	alawo
payload	payload
payment	sisan
payoff	payoff
payout	payout
payphone	payphone
payroll	owo-owo
pea	ewa
peace	alaafia
peaceable	alaafia
peaceful	alaafia
peacefully	ni alaafia
peacekeeper	alafia alafia
peaceofmind	NO TRANSLATION
peacetime	peacetime
peach	eso pishi
peachy	peachy
peacock	peacock
peak	tente oke
peaked	peaked
peanut	epa
peanuts	peanuts
pear	eso pia
pearl	parili
pearly	pearly
peas	Ewa
peasant	alalẹ
peat	Eésan
pebble	pebble
pecan	pecan
peck	gbe
pecker	pecker
peculiar	ti o yatọ
peculiarities	peculiarities
peculiarity	peculiarity
peculiarly	ti o yatọ
pecuniary	owo
pedal	pedal
pedantic	pedantic
peddle	peddle
peddler	peddler
pedestal	pedestal
pedestrian	arinkiri
pediatric	paediatric
pediatrician	pediatrician
pediatrics	paediatrics
pedicure	pedicure
pedigree	pedigree
pedometer	pedometer
pedophile	pedophile
pee	tọ
peek	tẹju
peekaboo	peekaboo
peel	Peeli
peep	peep
peeper	peeper
peephole	peephole
peer	ẹlẹgbẹ
peering	peering
peerless	peerless
peeved	peeved
peg	peg
pegs	pegs
peice	NO TRANSLATION
pelagic	irora
pelican	pelican
pellet	pellet
pelvic	irun
pelvis	pelvis
pen	pen
penal	ifiyaje
penalty	itanran
penance	iyipada
penchant	penchant
pencil	pencil
pendant	Pendanti
pendency	itọju
pendent	NO TRANSLATION
pending	ni isunmọtosi
pendulum	ile-iwe
penetrate	wọ inu
penetrating	ni fifẹ
penetration	irunkuro
penguin	Penguin
penicillin	penicillini
penile	penile
peninsula	ile larubawa
penis	kòfẹ
penitent	penitent
penitentiary	ile-igbimọ
penmanship	penmanship
pennant	pennant
penniless	ailopin
penny	Penny
pension	owo ifẹkufẹ
pensioner	owo ifẹhinti
pensive	pensive
pentagon	Pentagon
pentagram	pentagram
penthouse	ile penthouse
penultimate	igbadun
people	eniyan
peopled	peopled
pep	pep
pepper	Ata
peppermint	atamint
pepperoni	pepperoni
peppy	peppy
peptic	peptic
peptide	peptide
perceive	woye
percent	ogorun
percentage	ogorun
percentile	lapawọn
perceptible	perceptible
perception	iwoye
perceptive	oye
perch	perch
perchance	bakanna
percolation	percolation
percussion	percussion
perdition	perdition
peremptory	peremptory
perennial	perennial
perfect	pipe
perfection	pipe
perfectionist	perfectionist
perfecto	NO TRANSLATION
perforated	perforated
perforation	perforation
perforce	perforce
perform	ṣe
performance	išẹ
performer	oniṣẹ
perfume	turari
perfumed	alarawọn
peri	peri
peridot	peridot
peril	ewu
perilous	perilous
perimeter	agbegbe
period	akoko
periodic	igbakọọkan
periodical	igbasilẹ
periodically	lorekore
periodicity	akoko asiko
peripheral	agbeegbe
periphery	ẹba
periscope	periscope
perish	ṣegbe
perishable	perishable
perished	ti ṣègbé
perishing	sisun
perjury	ijamba
perk	perk
perky	perky
perm	perm
permanence	titọju
permanent	yẹ
permeable	permeable
permeate	permeate
permeation	permeation
permissible	iyọọda
permission	igbanilaaye
permissive	permissive
permit	iyọọda
permitted	idasilẹ
permitting	gbigba laaye
permutation	permutation
pernicious	ipalara
peroxide	peroxide
perpendicular	iṣiro kan
perpetrate	duro
perpetrator	alaisan
perpetual	alaisan
perpetually	nigbagbogbo
perpetuate	duro titi
perpetuation	ilọsiwaju
perpetuity	nigbagbogbo
perplexed	ti ṣoro
perplexing	ti n ṣaiya
perplexity	ailera
persecute	inunibini si
persecution	inunibini
perseverance	perseverance
persevere	farada
persist	jina
persistence	itẹramọṣẹ
persistent	jubẹẹlo
persisting	ilọsiwaju
person	eniyan
persona	NO TRANSLATION
personable	ṣalaye
personage	eniyan
personal	ti ara ẹni
personality	eniyan
personification	ara ẹni
personnel	eniyan
persons	eniyan
perspective	irisi
perspiration	simi
persuade	ṣe igbesiyanju
persuasion	ariyanjiyan
persuasive	ni igbesiyanju
pert	pert
pertinent	bamu
perturbation	ibanujẹ
pertussis	pertussis
perusal	perusal
peruse	peruse
pervading	pervading
perverse	alagidi
perversion	iṣiro
pervert	pervert
perverted	ti ṣubu
pesky	pesky
pessimism	iṣiro
pessimist	alafokoko
pessimistic	pessimistic
pest	kokoro
pester	pajawiri
pestilence	ajakalẹ-arun
pestle	pestle
pesto	pesto
pet	ọsin
petal	petal
petite	kekere
petition	ẹbẹ
petitioner	alabẹrẹ
petloss	NO TRANSLATION
petpeeve	NO TRANSLATION
petrified	petrified
petrify	ẹru
petrol	epo
petroleum	Epo ilẹ
petticoat	petticoat
petting	koja
petty	kekere
petulant	ti o ni
petunia	petunia
pew	pew
pewter	pewter
peyote	NO TRANSLATION
phalanx	phalanx
phantom	Phantom
pharaoh	Pharaoh
pharmaceutical	elegbogi
pharmacist	alaisan
pharmacology	Ẹkọ oogun
pharmacy	ile elegbogi
phase	alakoso
pheasant	eye aparo
phenomenal	phenomenal
phenomenon	lasan
pheromone	pheromone
phew	phew
phi	phi
philanthropic	Olufẹ
