Word	ar
litany	ابتهال
liter	لتر
literacy	معرفة القراءة والكتابة
literal	حرفي
literally	حرفيا
literary	أدبي
literature	الأدب
lithe	رشيق
lithium	الليثيوم
lithograph	طبع
lithography	طباعة الحجرية
lithology	الخصائص الصخرية
lithosphere	الغلاف الصخري
litigant	خصم
litigate	قاضى
litigation	دعوى
litigator	الدعوى القضائية
litigious	التقاضي
litter	تعبير
little	قليل
littlethings	أشياء قليلة
littoral	ساحلي
liturgy	طقس ديني
live	حي
livelife	عيش الحياة
livelihood	رزق
lively	حي
liven	نشط
liver	كبد
livery	كسوة
livestock	ماشية
livid	غاضب
living	المعيشة
lizard	سحلية
llama	اللاما نوع من الجمال
lml	LML
load	حمل
loader	محمل
loaf	رغيف
loafer	الكسول
loam	طين
loan	قرض
loath	متردد
loathe	أبغض
loathful	loathful
loathing	اشمئزاز
loathsome	كريه
lobby	ردهة
lobbyist	عضو مجموعة الضغط
lobe	فص
lobotomy	جراحة في فصوص المخ
lobster	سرطان البحر
local	محلي
locale	مكان
locality	مكان
localization	الموقع
localize	تمركز
localized	موضعية
locate	حدد
location	موقعك
locator	لتحديد المواقع
loch	بحيرة في الا سكتلندية
lock	قفل
locker	خزانة
locket	قلادة من المجوهرات
locksmith	قفال
lockup	اغلق
loco	قاطرة
locomotion	تنقل
locomotive	قاطرة
locust	جراد
lode	NO TRANSLATION
lodge	النزل
lodger	مستأجر
lodging	إقامة
loft	دور علوي
lofty	شامخ
log	سجل
logarithm	اللوغارثم في الرياضيات
logarithmic	وغاريتمي
logic	منطق
logical	منطقي
logistics	الخدمات اللوجستية
logo	شعار
logotype	الشعار
loin	NO TRANSLATION
lollipop	مصاصة
lone	وحيد
loneliness	الشعور بالوحدة
lonely	وحيد
loner	حيد
lonesome	وحيد
long	طويل
longboat	المركب الطويل
longevity	طول العمر
longing	شوق
longitude	خط الطول
longitudinal	طولي
longitudinally	طوليا
longtime	وقت طويل
loo	مرحاض
look	نظرة
looker	المشاهد
lookout	انتبه احذر خذ بالك
loom	نول
looming	تلوح في الأفق
loon	الوغد
loony	معتوه
loop	عقدة
loophole	ثغرة
loopy	loopy
loose	واسع
loosen	ترخي
loosening	فك
loot	نهب
lop	هذب
lopsided	غير متوازن
lord	رب
lords	مجلس اللوردات
lordship	سيادة
lore	معرفة
lorry	شاحنة
lose	تخسر
loser	الخاسر
losing	فقدان
loss	خسارة
lost	ضائع
lot	قطعة أرض
lotion	محلول
lots	الكثير
lottery	اليانصيب
lotto	لوتو
lotus	لوتس
loud	بصوت عال
loudly	بصوت عالي
loudmouth	ثرثار
loudness	بريق
loudspeaker	مكبر الصوت
lounge	استراحة
lounging	التسكع
louse	قملة
lousy	قذر
lovable	محبوب
love	حب
loved	أحب
lovee	lovee
loveee	loveee
loveless	بلا حب
lovelife	NO TRANSLATION
loveliness	سحر
lovelovelove	NO TRANSLATION
lovely	جميل
lovemaking	حبهم
lovemylife	أحب حياتي
lover	حبيب
lovesick	عاشق ولهان
lovethis	احب هذا
loving	محب
lovinglife	محب للحياة
lovinlife	lovinlife
low	منخفض
lowdown	المعلومات الداخلية
lower	خفض
lowering	خفض
lowest	أدنى
lowlands	الأراضي المنخفضة
lowlife	حياة بائسة
lowly	وضيع
lox	سمك مدخن
loyal	مخلص
loyalty	وفاء
lsd	LSD
luau	لوا
lube	تشحيم
lubricant	المزلق
lubricate	زيت
lubrication	تشحيم
lucid	واضح
luck	حظ
luckiest	حظا
lucky	سعيد الحظ
luckygirl	فتاة محظوظة
lucrative	مربح
ludicrous	مضحك
lug	مقبض
luggage	أمتعة
lukewarm	فاتر
lull	ركود
lullaby	التهويدة
lumbar	قطني
lumber	خشب
lumbering	أخرق
lumberjack	حطاب
luminescent	متألق
luminous	مضيء
lump	كتلة
lumpy	محفر
lunacy	جنون
lunar	قمري
lunatic	جنوني
lunch	غداء
lunchbox	صندوق الغداء
luncheon	غداء
lunchtime	موعد الغذاء
lung	رئة
lunge	اندفع
lungs	الرئتين
lurch	تمايل
lure	إغراء، شرك، طعم
lurid	متوهج
lurk	ثابر
lurking	يترصد
luscious	فاتنة
lush	الوفرة
lust	شهوة
luster	بريق
lustful	شهواني
lustrous	لامع
lusty	مفعم بالحيوية
lute	عود
luxuriant	مترف
luxurious	فاخر
luxury	ترف
lycra	ليكرا
lye	غسيل
lying	يكذب أو ملقاه
lymph	الليمفاوية
lymphatic	فاتر الهمة
lymphoma	سرطان الغدد الليمفاوية
lynch	أعدم من غير محاكمة
lynching	الإعدام خارج نطاق القانون
lynx	الوشق حيوان
lyre	قيثارة
lyric	كلمات الاغنية
lyrical	قيثاري
lyrics	كلمات الاغنية
macadamia	المكاديميا
macarena	ماكارينا
macaroni	معكرونة
mace	صولجان
mach	ماخ
machete	منجل
machine	آلة
machinery	مجموعة آلات
machinist	الميكانيكي
macho	مفتول العضلات
mackerel	سمك الأسقمري البحري
macro	دقيق
mad	مجنون
madam	سيدتي
madame	سيدتي
madden	خبل
madder	الفوة نبات صبغي
mademoiselle	NO TRANSLATION
mademyday	جعلت يومي
madhouse	مستشفى المجانين
madman	مجنون
madness	جنون
maestro	فنان قائد فرقة موسيقية
mafia	مافيا
magazine	مجلة
mage	بركه
magenta	أرجواني
maggot	يرقة
magic	سحر
magical	سحري
magician	ساحر
magistrate	قاض
magma	رواسب
magna	ماجنا
magnate	القطب
magnesium	المغنيسيوم
magnet	مغناطيس
magnetic	مغناطيسي
magnetism	مغنطيسية
magnetite	المغنتيت
magnification	تكبير
magnificence	روعة
magnificent	رائع
magnifier	المكبر
magnify	كبر
magnifying	المكبرة
magnitude	الحجم
magnolia	شجرة المغنولية
magpie	غراب العقعق
mahi mahi	NO TRANSLATION
mahjong	ما جونغ
mahogany	شجرة الماهوغاني
maid	عاملة نظافة
maiden	عذراء
mail	بريد
mailbox	صندوق بريد
mailing	المراسلات
mailman	ساعي البريد
maim	NO TRANSLATION
main	الأساسية
mainframe	المركزية
mainland	البر الرئيسى
mainstay	عماد
mainstream	التيار
maintain	الحفاظ
maintenance	اعمال صيانة
majestic	مهيب
majesty	جلالة
major	رائد
majority	أغلبية
make	يصنع
makeover	تحول
maker	صانع
makeshift	حيلة
makesmehappy	NO TRANSLATION
makesmemad	NO TRANSLATION
makeup	ميك أب
makingdisciples	NO TRANSLATION
malady	مرض
malaise	توعك
malaria	ملاريا
malarkey	مالاركيي
male	الذكر
malevolent	حاقد
malfeasance	المخالفات
malformation	تشوه
malfunction	عطل
malice	NO TRANSLATION
malicious	خبيث
malign	مؤذ
malignancy	خباثة
malignant	خبيث
maligned	يفترى
mall	مجمع تجاري
malleable	طيع
mallet	مطرقة
malnutrition	سوء التغذية
malpractice	سوء التصرف
malt	شراب الشعير
mama	ماما
mambo	مامبو
mamma	NO TRANSLATION
mammal	الحيوان الثديي
mammoth	ضخم
mammy	مامي
man	رجل
manage	تدبير
manageable	التحكم
management	إدارة
manager	مدير
managerial	إداري
mandamus	مستعجلا
mandarin	اليوسفي
mandate	تفويض
mandatory	إلزامي
mandible	الفك الأسفل
mandolin	مندولين آلة موسيقية
mandrel	الشاقة عمود دوران المخرطة
mane	NO TRANSLATION
maneuver	مناورة
maneuvering	المناورة
mange	NO TRANSLATION
manger	معلف
mangle	فسد
mango	مانجو
mangosteen	مانغوستين
mangy	أجرب
manhole	فتحة
manhood	رجولة
manhunt	مطاردة
mania	هوس
maniac	معتوه
maniacal	مهووس
manic	مهووس
manicure	صباغة الاظافر
manicurist	المدرم للأظافر
manifest	قائمة
manifestation	مظهر
manifested	تجلى
manifestly	واضح
manifesto	بيان رسمي
manifold	متشعب
manipulate	معالجة
manipulation	بمعالجة
manipulative	المتلاعبة
mankind	بشرية
manly	رجولي
manna	المن
manned	مؤنسن أو بشري
mannequin	عارضة أزياء
manner	أسلوب
mannered	متكلف
manners	أخلاق
manor	عزبة
manpower	القوى العاملة
mansion	قصر
mansions	القصور
manslaughter	قتل
mantel	رف المستوقد
mantis	فرس النبي
mantle	عباءة
mantra	تعويذة، شعار
manual	كتيب
manufacture	صناعة
manufacturer	الصانع
manufacturing	تصنيع
manure	سماد
manuscript	مخطوطة
map	خريطة
maple	خشب القيقب
mar	مارس
marathon	الماراثون
marble	رخام
marbled	رخامي
marbles	الرخام
march	مارس
mare	NO TRANSLATION
margarine	سمن
margarita	مارغريتا
margin	حافة
marginal	هامش
mariachi	مريش
marijuana	قنب هندي
marinara	مارينارا
marine	بحري
mariner	بحار
marital	زوجي
maritime	بحري
mark	علامة
marked	ملحوظ
marker	علامة
market	سوق
marketable	تسويق
marketing	تسويق
marketplace	السوق
marks	علامات
marksman	هداف
marksmanship	عضوية الرماة
marl	المرل طين
marmalade	البرتقال
maroon	كستنائي
marooned	تقطعت بهم السبل
marquee	سرادق
marquis	المركيز
marred	شاب
marriage	زواج
married	زوجت
marrow	نخاع
marry	تزوج
marsh	اهوار
marshal	مارشال
marshmallow	مرشملوو
mart	سوق
martial	عسكري
martingale	مارتينجال
martini	مارتيني
martyr	شهيد
martyrdom	استشهاد
marvel	أعجوبة
marvellous	رائع
marvelous	رائع
marvelously	رائع
marzipan	NO TRANSLATION
mascara	المسكرة
mascot	تعويذة
masculine	مذكر
masculinity	ذكورة
mash	الهريس
mashed	مهروس
mask	قناع
masked	مقنع
masks	أقنعة
masochism	ماسوشية تلذذ بالإضهاد
masochist	المنحرف جنسيا
mason	بناء مهنة
masquerade	حفلة تنكرية
mass	كتلة
massacre	مذبحة
massage	تدليك
masses	الجماهير
masseur	مدلك
masseuse	مدلكة
massive	كبير
mast	سارية
master	رئيس
masterful	بارع
mastermind	العقل المدبر
masterpiece	تحفة
mastery	تمكن
masturbate	مارس العادة السرية
masturbation	العادة السرية
mat	حصيرة
matador	مصارع الثيران
match	مباراة
matchbook	دفتر الثقاب
matching	مطابقة
matchmaker	صانع عيدان الثقاب
mate	زميل
material	مواد
materialism	مادية
materialist	المادي
materialistic	مادي
materiality	النسبية
materialize	تجسد
materially	ماديا
materials	المواد
materiel	عتاد
maternal	أمومية
maternity	التوليد
math	الرياضيات
mathematical	رياضي
mathematician	رياضياتي
mathematics	الرياضيات
matinee	سحر
mating	تزاوج
matriculation	شهادة الثانوية العامة
matrimony	نكاح
matrix	مصفوفة
matron	العاملة في المستشفي
matted	متلبد
matter	شيء
matting	حصيرة
mattress	فراش
maturation	إنضاج
mature	ناضج
maturity	نضج
maudlin	بكاء
mausoleum	ضريح
mauve	خبازي
maverick	مستقل
maxim	حكمة
maximize	تحقيق أقصى قدر
maximum	أقصى
may	قد
mayday	يوما ما
mayflower	ماي فلاور
mayhem	أذى
mayonnaise	مايونيز
mayor	عمدة
maze	متاهة
mead	الميد شراب مخمر
meadow	مرج
meager	هزيل
meal	وجبة
mean	تعني
meander	تسكع
meandering	التعرجات
meanie	القذر الشحيح
meaning	المعنى
meaningful	ذو معنى
meaningless	لا معنى له
meanness	خسة
means	يعني
meantime	غضون ذلك
measles	الحصبة
measurable	قابل للقياس
measure	قياس
measured	قياس
measurement	قياس
measuring	قياس
measuring cup	كوب القياس
measuring tape	شريط قياس
meat	لحم
meatball	اللحم المفروم
meathead	meathead
meatloaf	رغيف اللحم
mechanic	الميكانيكي
mechanical	ميكانيكي
mechanics	علم الميكانيكا
mechanism	آلية
med	NO TRANSLATION
medal	ميدالية
medallion	رصيعة
medallist	الميدالية
meddle	تطفل
meddling	التدخل
media	وسائل الإعلام
medial	وسطي
median	الوسيط
mediate	توسط
mediation	وساطة
mediator	وسيط
medic	مسعف
medical	طبي
medicate	NO TRANSLATION
medication	أدوية
medicinal	طبي
medicine	دواء
medieval	من القرون الوسطى
mediocre	متوسط
mediocrity	توسط
meditate	تأمل
meditating	متأمل
meditation	تأمل
meditative	تأملي
mediterranean	البحر الأبيض المتوسط
medium	متوسط
medley	مزيج
meek	وديع
meet	يجتمع
meeting	لقاء
mega	ميجا
meh	مه
melancholic	كئيب
melancholy	حزن
melee	شجار
mellow	يانع
melodious	رخيم
melodrama	ميلودراما
melodramatic	مليودرامي
melody	لحن
melon	شمام
melt	إنصهار
meltdown	الانهيار
melting	ذوبان
member	عضو
membership	عضوية
membrane	غشاء
memento	تذكار
memo	مذكرة
memoir	مذكرات
memorabilia	تذكارات
memorable	بارز
memorandum	مذكرة
memorial	النصب التذكاري
memorials	النصب التذكارية
memories	ذكريات
memoriesiwontforget	NO TRANSLATION
memorize	حفظ
memory	ذاكرة
menace	تهديد
menacing	متوعد
menagerie	حديقة الحيوانات
mend	يصلح
mending	إصلاح
menial	وضيع
meningitis	التهاب السحايا
meniscus	الغضروف المفصلي
menopause	السن يأس
menses	حيض
menstrual	حيضي
mental	عقلي
mentalhealth	NO TRANSLATION
mentality	عقلية
menthol	المنثول
mention	أشير
mentor	الناصح
menu	قائمة طعام
meow	مواء
mercantile	تجاري
mercenary	مرتزق
merchandise	بضائع
merchant	تاجر
merciful	رحيم
merciless	بدون رحمة
mercurial	زئبقي
mercury	والزئبق
mercy	رحمة
mere	مجرد
merengue	ميرينجو
merge	دمج
merger	الاندماج
meridian	خط الطول
meridional	جنوبي
meringue	مرنغ
merit	ميزة
meritorious	جدير بالتقدير
mermaid	حورية البحر
merriment	بهجة
merry	مرح
merrychristmas	NO TRANSLATION
mesa	ميسا
mescaline	مسكالين
mesh	شبكة
meshes	تنسجم
mesmerized	فتن
mess	تعبث
message	رسالة
messedup	NO TRANSLATION
messenger	رسول
messiah	المسيح
messy	فوضوي
metabolic	الأيض
metabolism	التمثيل الغذائي
metal	فلز
metallic	معدني
metallurgy	علم المعادن
metamorphosis	التحول
metaphor	تشابه مستعار
metaphorical	مجازي
metaphysical	غيبي
metaphysics	ما وراء الطبيعة
metastasis	ورم خبيث
meteor	نيزك
meteoric	نيزكي
meteorite	نيزك
meteorological	الأرصاد الجوية
meteorology	الأرصاد الجوية
meter	متر
meth	ميث
methadone	الميثادون
methane	الميثان
methanol	الميثانول
method	طريقة
methodical	المنهجي
methodology	المنهجية
meticulous	موسوس
metime	metime
metric	قياس
metrical	متري
metrology	علم القياس
metropolis	مدينة
metropolitan	محافظه
mettle	همة
mew	نورس
mezzanine	طابق الاوسط
mica	الميكا
mick	ميك
micro	الصغير
microbe	ميكروب
microbiology	علم الاحياء المجهري
microchip	رقاقة
microcosm	عالم مصغر
microfilm	فيلم مصغر لكتاب
microgram	ميكروجرام
micrometer	ميكرومتر
micron	ميكرون
microphone	ميكروفون
microscope	مجهر
microscopic	مجهري
microscopically	المجهر
microscopy	المجهر
microwave	الميكروويف
mid	منتصف
midair	الجو
midday	منتصف النهار
middle	وسط
middleman	وسيط
middleweight	المتوسط
midget	قزمة
midland	ميدلاند
midlife	منتصف العمر
midline	خط الوسط
midnight	منتصف الليل
midshipman	ضابط بحري
midst	وسط
midsummer	منتصف الصيف
midterm	النصفية
midtown	وسط المدينة
midway	منتصف الطريق
midwife	قابلة
midwifery	القبالة
mien	NO TRANSLATION
miffed	منزعج
mighty	الجبار
mignon	رقيق
migraine	صداع نصفي
migrate	يهاجر
migration	هجرة
migratory	مهاجر
mike	ميكروفون
mil	NO TRANSLATION
mild	معتدل
mildew	العفن الفطري
mildness	اعتدال
mile	ميل
mileage	عدد الأميال
milestone	معلما
militant	مناضل
militants	نشطاء
military	الجيش
militia	ميليشيا
milk	حليب
milkman	حلاب
milkshake	اللبن المخفوق
milky	حليبي
mill	مطحنة
millennium	ألف
milligram	مليغرام
millimeter	ملليمتر
million	مليون
millionaire	مليونير
millionth	مليون
millstone	حجر الرحى
mime	قلد
mimic	مقلد الصوت والحركة
mimicking	محاكاة
mimicry	تقليد
mince	اللحم المفروم
mincemeat	لحم مفروم
mind	عقل
minded	التفكير
mindful	إدراكا
mindfulness	تركيز كامل للذهن
mindless	الطائش
mine	الخاص بي
minefield	حقل ألغام
miner	عامل منجم
mineral	معدني
mineralogy	علم المعادن
mingle	مزج
mingled	ممتزج
mini	مصغرة
miniature	مصغر
minibus	حافلة صغيرة
minim	NO TRANSLATION
minimal	أدنى
minimize	خفض
minimized	الحد الأدنى
minimum	الحد الأدنى
mining	تعدين
minion	تابع
minister	وزير
ministerial	وزاري
ministry	وزارة
minivan	حافلة صغيرة
mink	فرو المنك
minnow	المنوة سمك اوروبي
minor	تحت السن القانوني
minority	أقلية
minstrel	حفل غنائي
mint	نعناع
minty	منتي
minuscule	حرف صغير
minute	اللحظة
minutiae	تفصيلات
minx	فتاة وقحة
mir	NO TRANSLATION
miracle	معجزة
miracles	المعجزات
miraculous	معجز
mirage	سراب
mire	NO TRANSLATION
mirror	مرآة
mirth	طرب
misappropriation	اختلاس
misbehave	أساء التصرف
misbehavior	سوء سلوك
miscalculation	حساب خاطئ
miscarriage	إجهاض
miscellaneous	متنوع
miscellany	المنوعات
mischief	الأذى
mischievous	مؤذ
misconception	سوء فهم
misconduct	سوء السلوك
misdemeanor	جنحة
misdirection	التضليل
miser	البخيل
miserable	تعيس
miserably	على نحو بائس
misery	بؤس
misfire	اختل
misfit	غير كفؤ
misfortune	مصيبة
misguided	المضللين
mishap	حادث
misinformed	معلومات خاطئة
misinterpretation	تفسير خاطئ
mislead	تضليل
misleading	مضلل
misled	ضلل
mismanagement	سوء التدبير
mismatch	عدم تطابق
mismatched	غير متطابقة
misnomer	الخطأ في التسمية
misplace	وضع الشيء في غير مكانه
misplaced	في غير محله
misread	أخطأت
misrepresent	شوه
misrepresentation	تحريف
misrepresented	تحريف
miss	يغيب
missile	صاروخ
missiles	صواريخ
missing	مفقود
missingyou	NO TRANSLATION
mission	مهمة
missionary	مبشر
misspell	أخطأ في التهجئة والإملاء
misstatement	أخطاء
missy	ميسي
mist	ضباب
mistake	خطأ
mistaken	مخطئ
mister	سيد
mistletoe	دبق نبات طفيلي
mistreated	سوء المعاملة
mistress	عشيقة
mistrial	تأجيل قضية
mistrust	عدم ثقة
misty	ضبابي
misunderstand	أساء الفهم
misunderstanding	سوء فهم
misunderstood	يساء فهمه
misuse	سوء استخدام
mite	العثه
miter	قلنسوة
mitigate	تخفيف
mitigating	مخففا
mitigation	تخفيف
mitt	قفاز بشكل عام
mitten	NO TRANSLATION
mitzvah	ميتزفه
mix	مزج
mixed	مختلط
mixedemotions	مشاعر مختلطة
mixer	خلاط
mixture	خليط
mnemonic	ذاكري
moan	أنين
moat	خندق
mob	تجمهر
mobile	التليفون المحمول
mobility	إمكانية التنقل
mobilization	تحريك
mobilize	حشد
mobster	الشقي
mocha	المخاوي
mock	قلد
mocked	سخر
mockery	سخرية
mocking	السخرية
mockingbird	الطائر المحاكي
mod	عصري
modal	شكلي
modality	شكل
mode	الوضع
model	نموذج
modeler	صانع التماثيل
modeling	تصميم
modem	مودم
moderate	معتدل
moderate anticipation	توقع معتدل
moderate disgust	الاشمئزاز المعتدل
moderate negative	معتدل سلبي
moderate positive	إيجابية معتدلة
moderate surprise	مفاجأة معتدلة
moderate trust	الثقة المعتدلة
moderately	باعتدال
moderating	اعتدال
moderation	الاعتدال
moderator	وسيط
modern	حديث
modernism	عصرية
modest	متواضع
modesty	تواضع
modicum	القليل
modifiable	قابل للتعديل
modification	تعديل
modified	تم التعديل
modify	تعديل
modulate	عدل
modulation	تعديل
module	وحدة
modulus	معام
mogul	قطب
moiety	شاردة
moist	رطب
moisture	رطوبة
moisturizer	مرطب
molar	ضرس
molasses	دبس السكر
mold	قالب
molded	مصبوب
molding	صب
moldy	متعفن
mole	خلد
molecular	جزيئي
molecule	مركب
molest	ضايق
molestation	مضايقة
molester	شابهها
molten	مصهور
mom	أمي
moment	لحظة
momentary	خاطف
momentous	خطير
momentum	قوة الدفع
momma	ألأم
mommy	الأم
monad	الكائن الدقيق الاحادي الخلية
monarch	العاهل
monarchy	الملكية
monastery	دير
monastic	رهباني
monetary	نقدي
money	مال
mongoloid	منغولي
mongoose	النمس
mongrel	الهجين
monitor	مراقب
monk	راهب
monkey	قرد
mono	NO TRANSLATION
monochrome	أحادية اللون
monogamous	بزوجة واحدة
monogamy	زواج أحادي
monogram	مونوغرام
monogrammed	بحروف
monograph	دراسة
monolayer	أحادي الطبقة
monolith	وحدة متراصة
monologue	مناجاة فردية
monopolist	محتكر
monopoly	احتكار
monotonous	رتيب
monotony	رتابة
monoxide	أول أكسيد
monsieur	مسيو
monsoon	ريح موسمية
monster	مسخ
monstrosity	بشاعة
monstrous	مشوه الخلقة
montage	مونتاج
monte	مونتي
month	شهر
monthly	شهريا
monument	نصب تذكاري
monumental	هائل
moo	خوار
mooch	تسكع
mood	مزاج
moods	المزاجية
moody	متقلب المزاج
moon	القمر
moonbeam	شعاع القمر
moonlight	ضوء القمر
moonlit	مقمر
moonshine	لغو
moonstruck	شارد الذهن
moonwalk	التمشي على سطح القمر
moor	مستنقع
moored	الراسية
mooring	مرسى
moorings	المراسي
moorland	المستنقعات
moose	الموظ غزال أمريكي ضخم
moot	متنازع فيه
mooted	طرحت
mop	ممسحة
mope	دقق
moped	الدراجة
moral	أخلاقي
morale	روح معنوية
morality	أخلاقية
morals	أخلاق
morass	مستنقع
moratorium	الوقف
moray	موراي
morbid	مرضي
morbidity	مرضية
morbidness	سقم
mores	عادات
morgue	مشرحة
moribund	هاجع
morn	الضحى
morning	صباح
moron	أحمق
moronic	مغفل
morose	كالح
morph	يتحول
morphine	مورفين
morphism	تطبيق محافظ على الشكل
morphology	علم التشكل المورفولوجيا
morrow	الغد
morsel	لقمة
mortal	البشر
mortality	معدل الوفيات
mortar	مونة الاسمنت
mortgage	الرهن العقاري
mortgagee	دائن
mortgagor	مديون
mortician	متعهد دفن الموتى
mortification	عار
mortified	بخزي
mortuary	ثلاجة الموتى
mosaic	فسيفساء
mosey	تفسح
mosque	مسجد
mosquito	بعوض
moss	طحلب
mossy	مطحلب
mote	NO TRANSLATION
motel	فندق صغير
moth	حشرة العتة
mother	أم
motherfucker	موظر
motherfucking	motherfucking
motherhood	أمومة
motherland	الوطن
motherless	أمهاتهم
motherly	رؤوم
motif	عنصر
motion	اقتراح
motionless	بلا حركة
motivate	تحفيز
motivating	مشوق
motivation	التحفيز
motivational	تحفيزية
motive	دافع
motley	متعدد الألوان
motor	محرك
motorbike	دراجات نارية
motorboat	زورق آلي
motorcade	موكب
motorcar	سيارة
motorcycle	دراجة نارية
motorist	سائق
motte	مونبيلييه
mottled	مرقش
motto	شعار
mould	قالب
mound	تل
mount	تتزايد
mountain	جبل
mountaineer	متسلق الجبال
mountainous	جبلي
mountains	الجبال
mountaintop	قمة الجبل
mourn	ندب
mournful	كئيب
mourning	الحداد
mouse	الفأر
mousetrap	مصيدة فئران
mousse	الموسية
moustache	شارب
mousy	فئرانية
mouth	فم
mouthful	جرعة
mouthpiece	لسان حال
mouthwash	غسول الفم
movable	متحرك
move	نقل
movement	حركة
mover	المحرك
movie	فيلم
movies	أفلام
moving	متحرك
movingforward	NO TRANSLATION
movingon	movingon
mow	جز
mower	جزازة
moxie	الجرأة
mozzarella	موزاريلا
mri	التصوير بالرنين المغناطيسي
muchneeded	NO TRANSLATION
mucis	NO TRANSLATION
muck	طين
mucked	ملوث
mucous	مخاطي
mucus	مخاط
mud	طين
muddle	فوضى
muddled	مشوش
muddy	موحل
muff	أداء غير بارع
muffin	فطيرة مسطحة ومدورة
muffled	معصب العينين
muffler	كاتم صوت
mug	قدح
mugger	قاطع طريق
mulberry	توت
mulch	نشارة
mule	بغل
mull	سخن
mullet	سمك البوري
multilateral	متعددة الأطراف
multimedia	الوسائط المتعددة
multinational	متعدد الجنسيات
multiple	مضاعف
multiple sclerosis	التصلب المتعدد
multiplex	متعدد
multiplication	عمليه الضرب
multiplicity	تعددية
multiplied	مضاعف
multiplier	مضاعف
multiply	تتضاعف
multitude	كثرة
mum	ماما
mumble	غمغم
mumbo	هراء
mummy	مومياء
mumps	النكاف
munch	مونش
munchies	المأكولات الخفيفة
munchkin	munchkin
mundane	دنيوي
municipal	البلدية
municipality	البلدية
mural	جدارية
murder	قتل
murderer	قاتل
murderess	قاتلة
murderous	قاتل
murky	مظلم
murmur	تذمر
muscle	عضلة
muscular	عضلي
muse	تأمل
muses	يفكر
museum	متحف
mush	NO TRANSLATION
mushroom	فطر
mushy	طري
music	موسيقى
musical	موسيقي
musician	موسيقي او عازف
musing	التفكير ألف
musk	عبير المسك
musket	بندقية قديمة
musketeer	المسكيتي جندي مسلح
muskrat	فأر المسك
muslin	اسلامية
muss	NO TRANSLATION
must	يجب
mustang	موستانج
mustard	خردل
muster	جمع
musty	عفن
mutable	متقلب
mutant	متحولة
mutate	تحول
mutation	طفره
mute	كتم الصوت
muted	صامتة
mutilate	بتر
mutilated	المشوهة
mutilation	بتر
mutiny	تمرد
mutt	المغفل
mutter	NO TRANSLATION
mutton	لحم الضأن
mutual	متبادل
mutually	متبادل
muzzle	كمامة
myfavorite	أُفضله
myopia	قصر النظر
myopic	أحسر
myriad	وافر
mysterious	غامض
mystery	الغموض
mystic	صوفي
mystical	الروحاني
mysticism	تصوف
mystified	دهشت
mystique	أحجية
myth	أسطورة
mythic	أسطوري
mythical	أسطوري
mythological	أسطوري
mythology	علم الأساطير
nab	اعتقل
nacho	ناتشو
nada	NO TRANSLATION
nadir	الحضيض
nag	NO TRANSLATION
nail	مسمار
nail gun	بندقية مسمار
naive	ساذج
naked	عار
nakedness	عري
namaste	NO TRANSLATION
name	اسم
named	اسمه
nameless	مجهول
namesake	السمي
naming	تسمية
nana	نانا
nanny	مربية
nanometer	نانومتر
nap	قيلولة
napalm	ناب المقنبلة
nape	مؤخر العنق
napkin	منديل
napping	غاف نائمة
nappy	شراب مسكر
narcissism	الأنانية
narcissist	نرجسي
narcissistic	نرجسي
narcotic	مخدر
narrate	حكى
narration	رواية
narrative	سرد
narrator	راوي
narrow	ضيق
narrowing	بتضييق
nasal	أنفي
nascent	ناشئ
nasty	مقرف
natal	ولادي
nation	الأمة
national	الوطني
nationality	جنسية
nationwide	على الصعيد الوطني
native	محلي
nativity	ميلاد السيد المسيح
natural	طبيعي >> صفة
natural gas	غاز طبيعي
naturalist	طبيعي
naturalization	التجنس
naturalized	المتجنس
naturally	بطبيعة الحال
nature	طبيعة
naught	صفر
naughty	شقي
nausea	غثيان
nauseate	أصاب بالغثيان
nauseating	مقرف
nauseous	بالغثيان
nautical	بحري
nautilus	النوتر البحار حيوان
naval	بحري
nave	صحن الكنيسة
navel	سرة البطن
navigable	صالح للملاحة
navigate	التنقل
navigation	التنقل
navigational	الملاحية
navigator	ملاح
navy	القوات البحرية
nay	NO TRANSLATION
nearsighted	حسير البصر
neat	أنيق
neatly	بعناية
nebula	سديم
nebulae	السدم
nebulous	ضبابي
necessarily	بالضرورة
necessary	ضروري
necessitate	يستلزم
necessities	الضروريات
necessity	ضرورة
neck	العنق
necklace	قلادة
necktie	ربطة عنق
necromancer	مستحضر الأرواح
necrosis	التنخر
nectar	رحيق
need	بحاجة إلى
needalife	NO TRANSLATION
needed	بحاجة
needful	ضروري
needit	NO TRANSLATION
needle	إبرة
needlepoint	التطريز
needles	الإبر
needless	لا داعي
needtoknow	بحاجة إلى معرفة
needtorelax	NO TRANSLATION
needy	محتاج
nefarious	شائن
negation	نفي
negative	نفي
negativity	سلبية
neglect	إهمال
neglected	مهمل
neglecting	إهمال
negligee	عباءة
negligence	إهمال
negligent	مهمل
negligently	NO TRANSLATION
negligible	ضئيلة
negotiable	قابل للتفاوض
negotiate	تفاوض
negotiation	تفاوض
negotiator	مفاوض
negro	زنجي
neigh	صهيل
neighbor	الجيران
neighborhood	حي
neighboring	مجاور
nemesis	عدو
neon	نيون
neonatal	حديثي الولادة
neophyte	كاهن كاثوليكي
neoprene	النيوبرين
nephew	ابن أخ
nepotism	المحسوبيات
nerd	فظة إهانة
nerdy	الذي يذاكر كثيرا
nerve	عصب
nerves	الأعصاب
