Word	mt
multimedia	multimedja
multinational	multinazzjonali
multiple	multiplu
multiple sclerosis	sklerożi multipla
multiplex	multiplex
multiplication	multiplikazzjoni
multiplicity	multipliċità
multiplied	immultiplikat
multiplier	multiplikatur
multiply	immultiplika
multitude	numru kbir
mum	simu
mumble	mumble
mumbo	mumbo
mummy	Mummy
mumps	gattone
munch	munch
munchies	munchies
munchkin	Munchkin
mundane	mundane
municipal	muniċipali
municipality	muniċipalità
mural	murali
murder	qtil
murderer	qattiel
murderess	qattiela
murderous	qattiela
murky	murky
murmur	murmur
muscle	muskolu
muscular	muskolari
muse	mużew
muses	muses
museum	mużew
mush	NO TRANSLATION
mushroom	faqqiegħ
mushy	mushy
music	mużika
musical	mużikali
musician	mużiċist
musing	musing
musk	Musk
musket	mosket
musketeer	Mosketeer
muskrat	muskrat
muslin	muslin
muss	NO TRANSLATION
must	trid
mustang	Mustang
mustard	mustarda
muster	ġemgħa
musty	musty
mutable	mutabbli
mutant	mutanti
mutate	mutate
mutation	mutazzjoni
mute	mutu
muted	siekta
mutilate	mutilat
mutilated	mutilat
mutilation	mutilazzjoni
mutiny	mutiny
mutt	mutt
mutter	NO TRANSLATION
mutton	muntun
mutual	reċiproku
mutually	reċiprokament
muzzle	geddum
myfavorite	Il-favorit tieghi
myopia	mijopija
myopic	mijopika
myriad	numru kbir
mysterious	misterjuż
mystery	misteru
mystic	mystic
mystical	mystical
mysticism	mysticism
mystified	mistmija
mystique	mystique
myth	leġġenda
mythic	mitiku
mythical	mitika
mythological	mitoloġiku
mythology	mitoloġija
nab	nab
nacho	Nacho
nada	NO TRANSLATION
nadir	nadir
nag	NO TRANSLATION
nail	dwiefer
nail gun	pistola tad-dwiefer
naive	naive
naked	naked
nakedness	nakedness
namaste	NO TRANSLATION
name	isem
named	isem
nameless	nameless
namesake	namesake
naming	ismijiet
nana	nana
nanny	nanny
nanometer	nanometru
nap	nap
napalm	napalm
nape	nape
napkin	srievet
napping	napping
nappy	ħrieqi
narcissism	narċisiżmu
narcissist	narċiżist
narcissistic	narċisistiku
narcotic	narkotiċi
narrate	narrate
narration	n-narrazzjoni
narrative	narrattiva
narrator	narratur
narrow	dojoq
narrowing	tidjiq
nasal	imnieħer
nascent	bidu
nasty	diżgustanti
natal	twelid
nation	nazzjon
national	nazzjonali
nationality	nazzjonalità
nationwide	nazzjon kollu
native	indiġeni
nativity	nativity
natural	naturali
natural gas	gass ​​naturali
naturalist	naturalist
naturalization	naturalizzazzjoni
naturalized	naturalizzat
naturally	naturalment
nature	natura
naught	xejn
naughty	imqareb
nausea	dardir
nauseate	nauseate
nauseating	nauseating
nauseous	nauseous
nautical	nawtiku
nautilus	nautilus
naval	navali
nave	nave
navel	żokkra
navigable	navigabbli
navigate	navża
navigation	navigazzjoni
navigational	navigazzjonali
navigator	navigatur
navy	navy
nay	NO TRANSLATION
nearsighted	nearsighted
neat	pura
neatly	pulit
nebula	nebula
nebulae	nebulae
nebulous	nebulous
necessarily	neċessarjament
necessary	meħtieġa
necessitate	jeħtieġu
necessities	ħtiġijiet
necessity	neċessità
neck	għonq
necklace	necklace
necktie	necktie
necromancer	nekromant
necrosis	nekrożi
nectar	nektar
need	bżonn
needalife	NO TRANSLATION
needed	meħtieġa
needful	bżonnjuż
needit	NO TRANSLATION
needle	labra
needlepoint	point tal-labar
needles	labar
needless	bla bżonn
needtoknow	mhemmx bżonnha
needtorelax	NO TRANSLATION
needy	fil-bżonn
nefarious	nefarious
negation	negazzjoni
negative	negattiv
negativity	negattività
neglect	negliġenza
neglected	traskurat
neglecting	jittraskuraw
negligee	negliġju
negligence	negliġenza
negligent	negliġenti
negligently	NO TRANSLATION
negligible	negliġibbli
negotiable	negozjabbli
negotiate	jinnegozjaw
negotiation	negozjar
negotiator	negozjatur
negro	negro
neigh	neigh
neighbor	ġar
neighborhood	viċinat
neighboring	ġirien
nemesis	nemesis
neon	neon
neonatal	tarbija tat-twelid
neophyte	neophyte
neoprene	neoprene
nephew	neputi
nepotism	nepotiżmu
nerd	nerd
nerdy	nerdy
nerve	nerv
nerves	nervituri
nervous	nervuż
nervousness	nervi
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	ness
nest	bejta
nestle	nestle
nestling	nestling
net	nett
nether	nieqsa
netting	netting
nettle	ħurrieq
network	netwerk
networking	netwerking
neural	newrali
neuralgia	newralġija
neurological	newroloġiku
neurologist	newrologu
neurology	newroloġija
neurosis	newrożi
neurosurgeon	newrokurur
neurosurgery	newrokirurġija
neurotic	newtiku
neuter	neuter
neutral	newtrali
neutrality	newtralità
neutralize	newtralizza
neutron	newtroni
new	ġdid
new age	età ġdida
newbeginnings	NO TRANSLATION
newborn	twelid
newcomer	ġdid
newday	newday
newfound	newfound
newjob	NO TRANSLATION
newlife	ħajja ġdida
newly	ġdid
newlywed	ġdid
newme	newme
newness	novità
news	aħbarijiet
newscast	newscast
newscaster	newscaster
newsflash	newsflash
newsletter	newsletter
newsman	newsman
newspaper	gazzetta
newspaperman	newspaperman
newsreel	newsreel
newsroom	newsroom
newsstand	newsstand
newstart	newstart
newt	newt
newyear	NO TRANSLATION
nexus	nexus
nib	nib
nibble	nibble
nice	sbieħ
niche	niche
nichts	NO TRANSLATION
nick	laqam
nickel	nikel
nickname	nickname
nicotine	nikotina
niece	neputija
nifty	nifty
nigger	nigger
nigh	nigh
night	lejl
nightcap	nightcap
nightclub	nightclub
nightfall	lejl
nightgown	nightgown
nightie	nightie
nightingale	nightingale
nightlife	nightlife
nightly	kull lejl
nightmare	ħmarillejl
nightmares	inkubi
nightstand	nightstand
nightstick	bil-lejl
nighttime	bil-lejl
nihilism	nihiliżmu
nil	xejn
nimble	nimble
nimrod	nimrod
nincompoop	nincompoop
nine	disa '
nineteen	dsatax
ninety	disgħin
ninja	Ninja
ninny	ninny
nintendo	nintendo
ninth	id-disa '
nip	nip
nipper	nipper
nipple	beżżula
nippy	nippy
nitrate	nitrat
nitro	nitro
nitrogen	nitroġenu
nitrous	nitruż
nitwit	nitwit
nix	nix
no anticipation	ebda antiċipazzjoni
no disgust	ebda disgust
no emotion	ebda emozzjoni
no sentiment	ebda sentiment
no surprise	ebda sorpriża
no trust	ebda fiduċja
nobility	nobbli
noble	nobbli
nobleman	nobleman
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	filgħodu
nod	nod
nodding	nodding
node	node
nodular	nodulari
nodule	nodulu
noggin	noggin
nohope	NO TRANSLATION
noir	noir
noise	storbju
noisy	storbjuż
nomad	nomad
nomadic	nomadiku
nomenclature	nomenklatura
nominal	nominali
nominate	jinnomina
nomination	nomina
nominee	nominee
nonce	nonce
nonchalant	non chalant
noncompliance	nuqqas ta 'konformità
nondescript	mhux deskritt
nonexistent	ma teżistix
nonfat	nonfat
nonfiction	nonfiction
nonpayment	nonpayment
nonresident	mhux residenti
nonsense	bluħa
nonsensical	bla sens
nonviolent	mhux vjolenti
noob	noob
noodle	noodle
nook	nook
noon	nofsinhar
noose	noose
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	norma
normal	normali
normalcy	normalità
normality	in-normalità
north	tramuntana
northbound	tramuntana
northeast	Grigal
northern	tramuntana
northwest	Majjistral
northwestern	Majjistral
noschool	NO TRANSLATION
nose	imnieħer
nosebleed	imnieħer
nosey	mimlija
nosnow	nosnow
nostalgia	nostalgia
nostalgic	nostalgic
nostress	NO TRANSLATION
nostril	imnifsejn
nosun	NO TRANSLATION
nosy	mimlija
not negative	mhux negattiv
not positive	mhux pożittiv
notable	magħruf
notables	notables
notably	notevolment
notamorningperson	NO TRANSLATION
notary	nutar
notation	notazzjoni
notch	talja
notched	notched
note	Nota
notebook	notebook
noted	innutat
noteworthy	ta 'min jinnota
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	xejn
notice	avviż
noticeable	notevoli
notification	notifika
notify	tinnotifika
notion	kunċett
notional	nozzjonali
notoriety	notorjetà
notorious	notorji
notready	mhux diġà
notwithstanding	minkejja
nought	xejn
noun	nom
nourish	nodru
nourishment	nutriment
nouveau	NO TRANSLATION
novel	ġdid
novelist	rumanz
novelty	novità
novice	novizzi
nowadays	illum
nowork	nowork
noworries	tinkwetax
noxious	ħżiena
nozzle	żennuna
nuance	influwenzata
nuances	sfumaturi
nuclear	nukleari
nucleus	nukleu
nude	nude
nudge	nudge
nudie	nudie
nudist	nudist
nudity	nudiżmu
nugget	nugget
nuisance	inkonvenjent
nuke	Nuke
nul	NO TRANSLATION
null	null
nullify	tannulla
numb	numb
number	in-numru
numbering	numerazzjoni
numbers	numri
numbness	tnemnim
numbskull	numbskull
numeral	numeral
numerator	numeratur
numerical	numeriku
numerically	numerikament
numerous	bosta
nun	NO TRANSLATION
nunchucks	Nunchucks
nunnery	suletta
nuptials	nuptials
nurse	infermier
nursemaid	nursemaid
nursery	mixtla
nursing	infermiera
nurture	nrawmu
nut	ġewż
nutcase	nutcase
nutcracker	nutcracker
nuthouse	nuthouse
nutmeg	noċemuskata
nutrition	nutrizzjoni
nutritional	nutrittiv
nutritious	nutrittivi
nutritive	nutrittivi
nuts	ġewż
nutshell	fil-qosor
nutty	nutty
nylon	najlon
nylong	NO TRANSLATION
nylons	nylon
nymph	nymph
nymphomaniac	nymphomaniac
oaf	oaf
oak	ballut
oar	oar
oasis	oasi
oat	ħafur
oath	ġurament
oatmeal	ħafur
obedience	ubbidjenza
obedient	ubbidjenti
obediently	obediently
obelisk	obelisk
obese	obeżi
obesity	obeżità
obey	jobdi
obi	obi
obit	obit
obituary	obituary
object	oġġett
objection	oġġezzjoni
objectionable	oġġezzjonabbli
objective	objettiv
objectivity	oġġettività
obligation	obbligu
obligatory	obbligatorju
oblige	jobbligaw
obliged	obbligat
obliging	jobbligaw
obligor	obbligant
oblique	oblikwu
obliterate	tinqered
obliterated	jinqerdu
obliteration	tħassir
oblivion	oblivion
oblivious	mhux obbligatorju
oblong	oblong
obnoxious	dwejjaq
oboe	oboe
obscene	oxxen
obscenity	obscenity
obscure	joskuraw
obscured	mgħottija
obscurity	oskurità
observance	osservanza
observant	attent
observation	osservazzjoni
observatory	osservatorju
observe	osserva
observer	osservatur
observing	osservazzjoni
obsess	obsess
obsessed	ossessjonat
obsessing	obsessing
obsession	ossessjoni
obsessive	obsessiv
obsolescence	obsolescence
obsolete	skaduti
obstacle	ostaklu
obstetrician	obstetriċi
obstetrics	ostetriċi
obstinate	iebsa
obstruct	jostakola
obstruction	ostruzzjoni
obstructive	ostruttiva
obtain	tikseb
obtainable	jista 'jinkiseb
obtuse	obtuse
obverse	anvers
obvious	ovvju
ocarina	ocarina
occasion	okkażjoni
occasional	okkażjonali
occasionally	kultant
occipital	occipital
occlusion	okklużjoni
occult	okkult
occupancy	okkupanza
occupant	okkupant
occupation	okkupazzjoni
occupational	okkupazzjonali
occupied	okkupat
occupier	detentur
occupy	tokkupa
occupying	jokkupaw
occur	iseħħu
occurrence	okkorrenza
ocd	okk
ocean	oċean
oceanic	oċeaniku
octagon	ottagonu
octave	octave
octopus	Qarnita
ocular	okulari
odd	stramb
oddball	oddball
oddity	oddity
odds	odds
ode	ode
odious	odjuż
odometer	odometru
odor	riħa
odyssey	odisea
oedipal	edipal
oestrogen	estroġenu
oeuvre	NO TRANSLATION
offal	interjuri
offence	reat
offend	toffendi
offended	reċidiv
offender	ħati
offense	reat
offensive	offensiv
offer	offerta
offered	offruti
offering	toffri
offhand	offhand
office	uffiċċju
officer	uffiċjal
offices	uffiċċji
official	uffiċjal
officiate	uffiċjalment
offing	offing
offload	ħatt
offset	ikkumpensat
offshoot	offshoot
offshore	offshore
offside	offside
offspring	frieħ
oft	oft
oftentimes	ħafna drabi
ogre	Ogre
ohdear	NO TRANSLATION
ohgod	NO TRANSLATION
ohno	ohno
ohshit	NO TRANSLATION
oil	żejt
oils	żjut
oily	żejtnija
oink	oink
ointment	ingwent
okra	okra
old	qodma
olden	olden
older	anzjani
oldie	oldie
oldies	oldies
olfactory	olfattut
oligarchy	oligarchy
olive	żebbuġa
omega	omega
omelet	omelet
omen	omen
omgomgomg	NO TRANSLATION
ominous	ominous
omission	ommissjoni
omit	nieqaf
omitted	imhaddem
omnibus	omnibus
omnipotence	omnipotenza
omnipotent	omnipotenti
omnipresent	omnipresent
omniscient	omniscient
onboard	abbord
oncologist	oncologist
oncology	onkoloġija
oncoming	li ġejja
one	waħda
oneday	NO TRANSLATION
onedge	onedge
onelove	imħabba waħda
oneness	oneness
onerous	oneruż
oneself	nnifsu
ongoing	għaddej
onion	basla
onset	bidu
onslaught	onslaught
onstage	fuq il-palk
ontology	ontoloġija
onus	onus
onward	'il quddiem
onyx	Onyx
oodles	Oodles
oomph	oomph
ooze	ooze
oozing	tnixxija
op	op
opacity	opaċità
opal	opal
opaque	opak
ope	ope
open	miftuħ
opener	opener
opening	ftuħ
openly	b'mod miftuħ
openness	ftuħ
opera	opra
operate	topera
operatic	operattiv
operation	operazzjoni
operational	operazzjonali
operations	operazzjonijiet
operative	operattiv
operator	operatur
ophthalmic	oftalmika
ophthalmologist	oftalmologu
opiate	opiate
opinion	opinjoni
opinionated	opinjonata
opium	opju
opponent	avversarju
opportune	opportun
opportunism	opportuniżmu
opportunity	opportunità
oppose	jopponi
opposed	kuntrarju
opposing	kontra
opposite	oppost
opposites	opposti
opposition	oppożizzjoni
oppress	oppress
oppressed	oppressed
oppression	oppressjoni
oppressive	oppressiva
oppressor	oppressor
ops	ops
opt	opt
optic	ottika
optical	ottika
optics	ottika
optimism	ottimiżmu
optimist	ottimist
optimistic	ottimist
optimum	l-aħjar
option	għażla
optional	mhux obbligatorju
optionally	b'mod fakultattiv
options	għażliet
optometrist	optometrist
opulence	opulenza
opulent	opulenti
opus	opus
oracle	oracle
oral	orali
orange	oranġjo
orange juice	meraq tal-larinġ
orangutan	orangutan
oration	oration
orator	orator
oratory	oratorju
orb	orb
orbit	orbita
orbital	orbitali
orbiting	orbiting
orbs	orbs
orc	orc
orchard	ġnien tal-frott
orchestra	orkestra
orchid	Orkidea
ordained	ordnat
ordeal	ordeal
order	ordni
orderly	ordnat
ordinance	ordinanza
ordinary	ordinarja
ordination	koordinazzjoni
ordnance	artillerija
ore	minerali
oregano	oregano
organ	organu
organic	organiku
organism	organiżmu
organist	organist
organization	organizzazzjoni
organize	torganizza
organized	organizzata
organizer	organizzatur
orgasm	orga
orgies	orgies
orgy	orgia
orient	orjent
oriental	orjentali
orientation	orjentazzjoni
orifice	orifiċju
origami	origami
origin	oriġini
original	oriġinali
originality	oriġinalità
originate	joriġinaw
origination	oriġini
originator	oriġinatur
ornament	ornament
ornamental	ornamentali
ornamentation	ornamentazzjoni
ornamented	imżejna
ornate	ornate
ornery	ornery
orphan	orfni
orphanage	orfanatrofju
orphaned	orfni
orthodontist	ortodonzja
orthodox	ortodoss
orthodoxy	orthodoxy
orthogonal	ortogonali
orthopedic	ortopedika
oscillate	ossillate
oscillating	joxxilla
oscillation	oxxillazzjoni
oscillatory	oxxillari
ostensible	ostensibbli
ostensibly	apparentement
ostentatious	ostentatjuż
ostracized	ostracized
ostrich	ngħam
other	oħrajn
otter	lontra
otto	otto
ottoman	ottoman
ought	kellha
ounce	uqija
oust	oust
outage	outage
outback	outback
outbid	outbid
outboard	outboard
outbreak	tifqigħa
outburst	splużjoni
outcast	outcast
outcome	riżultat
outcry	protesta
outdated	antikwat
outdo	outdo
outdoor	barra
outdoors	barra
outer	barra
outfit	ilbies
outgoing	outgoing
outgrow	jegħlbu
outgrowth	outgrowth
outhouse	outhouse
outing	ħarġa
outlandish	outlandish
outlast	outlast
outlaw	jillegalizza
outlet	iżbokk
outline	outline
outlines	tiddeskrivi
outlive	outlive
outlook	prospetti
outlying	imbiegħed
outnumber	in-numru akbar
outpatient	outpatient
outpost	imbiegħed
outpouring	għargħar
output	produzzjoni
outrage	għarrieda
outraged	imriegħex
outrageous	outrageous
outrank	outrank
outreach	outreach
outright	kollox
outrun	outrun
outset	bidu
outsider	outsider
outskirts	il-periferija
outsmart	outsmart
outspoken	outspoken
outstanding	pendenti
outstretched	outstretched
outward	barra
outwards	barra
outweigh	jegħleb
outwit	outwit
oval	ovali
ovary	ovarju
ovate	ovate
ovation	Ovation
oven	forn
overactive	mhux attiva
overall	b'mod ġenerali
overalls	overalls
overbearing	qawwija
overburden	piż żejjed
overcast	nieqes
overcharged	mgħobbija żżejjed
overcoat	overcoat
overcome	jingħelbu
overcoming	jingħelbu
overcrowded	iffullati wisq
overdo	overdo
overdose	doża eċċessiva
overdrive	overdrive
overdue	li suppost sar
overestimate	stmat iżżejjed
overestimated	stmat iżżejjed
overflow	overflow
overflowing	tħawwil
overgrown	ħaxix irħas
overgrowth	tkabbir eċċessiv
overhanging	li jisporġi
overhaul	reviżjoni ġenerali
overhead	overhead
overhear	overhear
overheated	żżejjed
overjoyed	kuntenti ħafna
overkill	overkill
overlaid	sovraposta
overlap	overlap
overlapping	overlapping
overlay	overlay
overload	eċċess ta 'tagħbija
overlook	jinjoraw
overlord	overlord
overlying	sovrastanti
overpaid	imħallas żejjed
overpass	passaġġ żejjed
overplayed	overplayed
overpower	qawwa żejda
overpowering	overpowering
overpriced	imprezzabbli
overprotective	overprotective
overrated	overrated
overreact	overreact
override	override
overriding	prevalenti
overrule	overrule
overrun	qbiż
oversee	tissorvelja
overseer	sorveljant
overshadow	tiskura
oversight	sorveljanza
oversized	kbir wisq
overslept	overslept
overstate	eċċessivament
overstock	overstock
overt	evidenti
overtake	overtake
overtaken	misruqa
overthemoon	NO TRANSLATION
overthinker	eċċessiv
overthinking	taħseb wisq
overthrow	jitwaqqa '
overtime	sahra
overtired	żejjed
overture	qtugħ
overturn	jinqaleb
overview	ħarsa ġenerali
overweight	piż żejjed
overwhelm	jisbqu
overwhelmed	megħlub
overwhelming	kbira ħafna
overworked	xogħol żejjed
overwrought	overwrought
overzealous	żejjed
owe	nirrispettaw
owing	minħabba
owl	Kokka
owner	sid
ownership	pussess
ox	ox
oxidation	ossidazzjoni
oxide	ossidu
oxygen	ossiġnu
oxymoron	oxymoron
oyster	gajdra
ozone	ożonu
pace	pass
pacemaker	pacemaker
pacific	Paċifiku
pacified	pacified
pacifier	ch pacifier
pacifist	pacifist
pacify	pacify
pacing	mixi
pack	pakkett
package	pakkett
packaging	ippakkjar
packer	pakkjatur
packet	pakkett
pact	patt
pad	kuxxinett
padded	ikkuttunat
padding	ikkuttunar
paddle	jaqdfu
paddle boat	dgħajsa tal-paddle
paddock	paddock
paddy	paddy
padlock	katnazz
padre	NO TRANSLATION
paean	paean
pagan	pagan
paganism	paganiżmu
page	paġna
pageant	pageant
pager	pager
pagination	paginazzjoni
paging	paging
pagoda	pagoda
pail	pail
pain	uġigħ
pained	uġigħ
painful	uġigħ
painfully	tbatija
painkiller	analġesiku
painless	mingħajr tbatija
pains	uġigħ
painstaking	iebes
paint	żebgħa
paintball	paintball
paintbrush	pinzell
painted	miżbugħa
painter	pittur
painting	pittura
pair	par
paisley	paisley
pajama	pajama
pajamas	piġami
pal	pal
palace	palazz
palatable	togħma tajba
palate	palat
pale	pallidu
paleontology	paleontoloġija
palette	paletta
pall	pall
palladium	palladju
pallet	pallet
palliative	palljattiva
palm	pala tal-palm
palmer	palmer
palomino	palomino
palpable	palpabbli
palpitations	palpitazzjonijiet
palsy	palsy
paltry	paltry
pamper	pamper
pamphlet	pamflet
pan	pan
panacea	rimedju
panache	panache
pancake	pancake
pancakes	pancakes
pancreas	frixa
panda	panda
pandemic	pandemija
pandemonium	pandemonium
pane	ħġieġa
panel	panel
pang	NO TRANSLATION
panhandle	panhandle
panic	paniku
panicattack	NO TRANSLATION
panicked	imwerwra
panicking	paniku
panicky	panicky
panier	NO TRANSLATION
panorama	panorama
panoramic	panoramiċi
pansy	pansy
pant	pant
pantheon	pantheon
panther	panther
panties	qliezet ta 'taħt
pantomime	pantomime
pantry	Pantry
pants	pants
panty	panty
pantyhose	pantyhose
pap	pap
papa	papa
papacy	papacy
papal	NO TRANSLATION
papaya	papaja
paper	karta
paperback	burokrazija
paperboy	paperboy
paperweight	piż tal-karti
paperwork	burokrazija
paprika	paprika
papyrus	papiro
par	NO TRANSLATION
parable	parabola
parabola	parabola
parabolic	parabolika
parachute	paraxut
parade	parata
paradigm	paradigma
paradise	paradijs
paradox	paradoss
paradoxical	paradossali
paraffin	paraffin
paragon	paragon
paragraph	paragrafu
parakeet	parakeet
paralegal	paralegal
parallax	parallax
parallel	parallel
parallelism	paralleliżmu
paralysis	paraliżi
paralyze	paralyze
paralyzed	paralizzati
paramedic	paramediku
paramedics	paramediċi
paramilitary	paramilitari
paramount	ferm importanti
paranoia	paranojja
paranoid	paranojde
paranormal	paranormal
parapet	parapett
paraphernalia	paraphernalia
paraphrase	parafrażi
paraplegic	paraplassi
parasite	parassita
parasitic	parassitiku
parasol	parasol
parcel	pakkett
parcels	pakketti
parched	parched
parchment	parċmina
pardon	maħfra
pare	NO TRANSLATION
parenchyma	parenkima
parent	ġenitur
parentage	parentela
parental	ġenituri
parenthesis	NO TRANSLATION
parenthetical	parentesi
parenthood	ġenituri
parenting	parenting
pariah	pariah
parietal	parietali
paring	paring
parish	parroċċa
parity	parità
park	park
parka	parka
parking	ipparkjar
parkinsons	parkinsoni
parlance	lingwaġġ
parlay	parlay
parliament	Parlament
parliamentary	parlamentari
parlor	parlor
parmesan	parmesan
parody	parodija
parole	parole
parquet	parquet
parrot	Pappagall
parry	parry
parse	parse
parsimonious	parsimonjuż
parsimony	parsimonija
parsley	tursin
parson	parson
part	parti
partake	sehem
partial	parzjali
partiality	parzjalità
partially	parzjalment
participant	parteċipant
participate	tipparteċipa
participation	parteċipazzjoni
particle	partiċella
particular	b'mod partikolari
particularity	partikolarità
particulars	dettalji
parting	firda
partisan	partisan
partisanship	partiġġjani
partition	diviżjoni
partly	parzjalment
partner	sieħeb
partnership	sħubija
partridge	perniċi
parts	partijiet
party	parti
pas	NO TRANSLATION
pass	pass
passable	passabbli
passage	passaġġ
passageway	passaġġ
passe	NO TRANSLATION
passenger	passiġġier
passim	NO TRANSLATION
passing	tgħaddi
passion	passjoni
passionate	passjonat
passive	passiv
passivity	passività
passkey	passkey
passport	passaport
password	password
past	passat
pasta	għaġin
paste	pejst
pastel	pastell
pastime	passatemp
pastor	ragħaj
pastrami	pastrami
pastry	għaġina
pasture	mergħa
pasty	pasty
pat	pat
patch	garża
patchwork	taħlita
pate	Patata
patella	patella
patent	privattiva
patented	privattiva
paternal	paternal
paternity	paternità
path	mogħdija
pathetic	pathetic
pathological	patoloġiku
pathologist	patologu
pathology	patoloġija
pathos	NO TRANSLATION
pathway	mogħdija
patience	paċenzja
patient	pazjent
patio	patio
patriarch	Patrijarka
patriarchal	patrijarkali
patrimony	patrimonju
patriot	patrijott
patriotic	patrijottiku
patriotism	patrijottiżmu
patrol	patrol
patrolman	patrolman
patron	patrun
patronage	patroċinju
patronising	patronizzazzjoni
patronize	patronize
patronizing	patronizzazzjoni
patter	patter
pattern	mudell
paucity	ftit li xejn
pauper	pauper
pause	nieqaf
pave	pavimentar
pavement	bankina
pavilion	pavilion
paving	pavimentar
paw	paw
pawn	pawn
pawnshop	pawnshop
pax	pax
pay	tħallas
payable	pagabbli
payback	ħlas lura
paycheck	paycheck
payday	Payday
payer	min iħallas
payload	tagħbija li tinġarr
payment	ħlas
payoff	payoff
payout	ħlas
payphone	payphone
payroll	pagi
pea	piżelli
peace	paċi
peaceable	paċifika
peaceful	paċifiku
peacefully	b'mod paċifiku
peacekeeper	peacekeeper
peaceofmind	NO TRANSLATION
peacetime	tul ta 'paċi
peach	ħawħ
peachy	peachy
peacock	peacock
peak	quċċata
peaked	laħaq il-quċċata
peanut	karawett
peanuts	karawett
pear	lanġas
pearl	perla
pearly	perla
peas	piżelli
peasant	peasant
peat	pit
pebble	pebble
pecan	pecan
peck	toqmar
pecker	pecker
peculiar	partikolari
peculiarities	Pekuljaretajiet
peculiarity	Pekuljaretà
peculiarly	B'mod partikolari
pecuniary	pekunjarjuż
pedal	pedala
pedantic	pedantic
peddle	peddle
peddler	bejjiegħ bl-imnut
pedestal	pedestall
pedestrian	pedestrian
pediatric	pedjatrika
pediatrician	pedjatra
pediatrics	pedjatrija
pedicure	pedikjur
pedigree	razza pura
pedometer	pedometer
pedophile	pedophile
pee	Pee
peek	peek
peekaboo	peekaboo
peel	qoxra
peep	peep
peeper	peeper
peephole	mirja
peer	peer
peering	peering
peerless	peerless
peeved	imqaxxar
peg	pinna
pegs	pinnijiet
peice	NO TRANSLATION
pelagic	pelaġiku
pelican	pelican
pellet	pellet
pelvic	pelvika
pelvis	pelvi
pen	pinna
penal	penali
penalty	piena
penance	penitenza
penchant	penchant
pencil	lapes
pendant	pendant
pendency	pendenza
pendent	NO TRANSLATION
pending	pendenti
pendulum	pendlu
penetrate	jippenetraw
penetrating	penetranti
penetration	penetrazzjoni
penguin	pingwin
penicillin	peniċillina
penile	pene
peninsula	peniżola
penis	pene
penitent	penitent
penitentiary	penitenza
penmanship	penmanship
pennant	pennant
penniless	penniless
penny	Penny
pension	pensjoni
pensioner	pensjonant
pensive	pensjonanti
pentagon	pentagonu
pentagram	pentagram
penthouse	Penthouse
penultimate	penultimate
people	in-nies
peopled	popli
pep	pep
pepper	bżar
peppermint	pepermint
pepperoni	pepperoni
peppy	peppy
peptic	peptiku
peptide	peptide
perceive	jipperċepixxu
percent	fil-mija
percentage	persentaġġ
percentile	perċentili
perceptible	perċettibbli
perception	perċezzjoni
perceptive	perċettivi
perch	Perch
perchance	kull ħaġa
percolation	perkolazzjoni
percussion	perkussjoni
perdition	perdition
peremptory	perentorju
perennial	perenni
perfect	perfetta
perfection	perfezzjoni
perfectionist	perfectionist
perfecto	NO TRANSLATION
perforated	imtaqqab
perforation	perforazzjoni
perforce	perforce
perform	twettaq
performance	prestazzjoni
performer	artist
perfume	fwieħa
perfumed	fwejjaħ
peri	peri
peridot	peridot
peril	periklu
perilous	perikoluż
perimeter	perimetru
period	perjodu
periodic	perjodiku
periodical	perjodiku
periodically	perjodikament
periodicity	perjodiċità
peripheral	periferali
periphery	periferija
periscope	periskopju
perish	tmut
perishable	li tista 'titħassar
perished	mietu
perishing	jitilfu
perjury	perjur
perk	Perk
perky	perky
perm	Perm
permanence	permanenza
permanent	permanenti
permeable	permeabbli
permeate	permeabbli
permeation	permeazzjoni
permissible	permissibbli
permission	permess
permissive	permissiv
permit	permess
permitted	permess
permitting	li jippermetti
permutation	permutation
pernicious	pernika
peroxide	perossidu
perpendicular	perpendikulari
perpetrate	twettaq
perpetrator	awtur
perpetual	perpetwu
perpetually	perpetually
perpetuate	tipperpetwa
perpetuation	perpetwazzjoni
perpetuity	perpetwa
perplexed	perplexed
perplexing	perplexing
perplexity	perplessità
persecute	jippersegwitaw
persecution	persekuzzjoni
perseverance	perseveranza
persevere	tippersisti
persist	jippersistu
persistence	persistenza
persistent	persistenti
persisting	persistenti
person	persuna
persona	NO TRANSLATION
personable	personable
personage	persuna
personal	personali
personality	personalità
personification	personifikazzjoni
personnel	persunal
persons	persuni
perspective	perspettiva
perspiration	għaraq
persuade	jipperswadu
persuasion	persważjoni
persuasive	konvinċenti
pert	pert
pertinent	pertinenti
perturbation	perturbazzjoni
pertussis	pertussis
perusal	skrutinju
peruse	peruse
pervading	pervading
perverse	pervers
perversion	perverżjoni
pervert	pervert
perverted	perverted
pesky	pesky
pessimism	pessimiżmu
pessimist	pessimist
pessimistic	pessimist
pest	pesti
pester	pester
pestilence	pestilenza
pestle	lida
pesto	pesto
pet	annimali domestiċi
petal	petali
petite	petite
petition	petizzjoni
petitioner	petizzjonant
petloss	NO TRANSLATION
petpeeve	NO TRANSLATION
petrified	petrifikat
