Word	no
hype	hype
hyped	hyped
hyper	hyper
hyperactive	hyperaktive
hyperbole	overdrivelse
hyperspace	hyper
hypertension	hypertensjon
hypertrophy	hypertrofi
hyperventilate	hyperventilere
hyperventilating	hyperventilering
hyphen	bindestrek
hypnosis	hypnose
hypnotic	hypnotiske
hypnotist	hypnotisør
hypnotize	hypnotisere
hypnotized	hypnotisert
hypochondriac	hypokonder
hypocrisy	Hykleri
hypocrite	hykler
hypocritical	hyklersk
hypodermic	sprøyte
hypothalamus	hypothalamus
hypothermia	hypotermi
hypothesis	hypotese
hypothetical	hypotetiske
hysterectomy	hysterektomi
hysteria	hysteri
hysterical	hysterisk
ibuprofen	ibuprofen
ice	is
ice tea	iste
iceberg	isfjell
icebox	isboks
icebreaker	isbryter
iced	iset
icing	glasur
icky	icky
icon	ikon
iconic	ikonisk
iconography	ikonografi
icy	iskald
id	id
idea	idé
ideal	ideell
idealism	idealisme
idealist	idealist
idealistic	idealistisk
identical	identisk
identically	identisk
identification	identifikasjon
identify	identifisere
identity	identitet
ideology	ideologi
idiocy	idioti
idiom	idiom
idiomatic	idiomatisk
idiot	idiot
idiotic	idiotisk
idiots	idioter
idle	tomgang
idleness	lediggang
idler	dagdriver
idol	idol
idolatry	avgudsdyrkelse
idolizing	dyrke
idyllic	idylliske
iffy	iffy
ifonly	hvis bare
igloo	igloo
igneous	vulkanske
ignite	antennes
ignition	tenning
ignorance	uvitenhet
ignorant	uvitende
ignore	overse
iguana	iguana
ihatespiders	NO TRANSLATION
ilk	NO TRANSLATION
ill	jeg vil
illegal	ulovlig
illegality	ulovlighet
illegally	ulovlig
illegible	uleselige
illegitimate	uekte
illicit	ulovlig
illiterate	analfabet
illness	sykdom
illogical	ulogisk
illuminate	belyse
illuminating	Illuminerende
illumination	belysning
illuminator	illuminator
illusion	illusjon
illustrate	illustrere
illustration	illustrasjon
illustrative	illustrer
illustrious	strålende
ilovechristmas	NO TRANSLATION
iloveher	NO TRANSLATION
image	bilde
imagery	bilder
imaginable	tenkelig
imaginary	innbilt
imagination	fantasi
imaginative	Fantasifull
imagine	Forestill deg
imagined	trodd
imaging	bildebehandling
imagining	imagining
imam	NO TRANSLATION
imbalance	ubalanse
imbecile	imbecile
imbedded	innstøpt
imissyou	NO TRANSLATION
imitate	imitere
imitated	imiterte
imitation	etterligning
immaculate	plettfri
immaterial	uvesentlig
immature	umoden
immaturity	umodenhet
immeasurable	grenseløs
immeasurably	umåtelig
immediacy	umiddelbarhet
immediate	umiddelbar
immediately	med en gang
immemorial	uminnelig
immense	enorme
immerse	senke
immersion	nedsenking
immigrant	innvandrer
immigration	innvandring
imminent	nært forestående
immobile	immobile
immoral	umoralsk
immorality	umoral
immortal	udødelig
immortality	udødelighet
immovable	ubevegelig
immune	immun
immunity	immunitet
immunization	immunisering
immutable	uforanderlige
imp	imp
impact	innvirkning
impair	svekke
impaired	hemmet
impairment	svekkelse
impart	formidle
impartial	upartisk
impartiality	habilitet
impassable	uframkommelig
impassioned	lidenskapelig
impatience	utålmodighet
impatient	utålmodig
impatiently	NO TRANSLATION
impeach	impeach
impeachment	riksrett
impeccable	upåklagelig
impede	hindre
impediment	hinder
impelled	drev
impending	forestående
impenetrable	ugjennomtrengelig
imperative	avgjørende
imperceptible	umerkelig
imperfect	ufullkommen
imperfection	ufullkommenhet
imperfectly	ufullkomment
imperial	imperial
imperialist	NO TRANSLATION
impermeable	ugjennomtrengelig
impermissible	utillatelig
impersonal	upersonlig
impersonate	ligne
impersonation	etterligning
impersonator	imitator
impertinence	uforskammethet
impertinent	uforskammet
impervious	ugjennomtrengelig
impetuous	fremfusende
impetus	drivkraft
implacable	uforsonlig
implant	implantat
implantation	implantasjon
implanted	implantert
implement	implementere
implicate	implisere
implicated	implisert
implication	Implikasjonen
implied	implisitt
implore	bønnfalle
implosion	implosjon
imply	antyde
impolite	uhøflig
import	import
importance	betydning
important	viktig
importation	innførsel
impose	pålegge
imposing	pålegge
imposition	ileggelse
impossibility	umulighet
impossible	umulig
impostor	bedrager
impotence	maktesløshet
impotent	impotent
impound	beslaglegge
impoverished	fattig
impracticable	upraktisk
impractical	upraktisk
impregnable	ugjennomtrengelig
impregnate	impregnere
impress	imponere
impressed	imponert
impression	inntrykk
impressionable	påvirkelig
impressive	imponerende
imprint	avtrykk
imprison	fengsle
imprisoned	fengslet
imprisonment	fengsling
improbable	usannsynlig
impromptu	improvisert
improper	upassende
impropriety	impropriety
improve	forbedre
improved	forbedret
improvement	forbedring
improves	forbedrer
improving	forbedring
improvisation	improvisasjon
improvise	improvisere
improvised	improvisert
imprudent	uklok
impudence	uforskammethet
impudent	uforskammet
impulse	impuls
impulsive	impulsiv
impunity	straffrihet
impure	uren
impurity	urenhet
imputation	imputering
imtryingtosleep	NO TRANSLATION
inability	manglende evne
inaccessible	utilgjengelig
inaccurate	unøyaktig
inaction	passivitet
inactivate	inaktivere
inactivation	inaktive
inactive	inaktiv
inactivity	inaktivitet
inadequacy	utilstrekkelighet
inadequate	utilstrekkelig
inadequateness	inadequateness
inadmissible	ikke godtas
inadvertent	utilsiktet
inadvertently	uforvarende
inaffable	NO TRANSLATION
inalienable	umistelige
inane	tåpelig
inanimate	livløse
inapplicable	ubrukelig
inappropriate	upassende
inattention	uoppmerksomhet
inaudible	uhørlig
inaugural	innvielses
inaugurate	innvie
inauguration	innsettelse
inborn	medfødt
inbound	inngående
inbred	innavlet
incalculable	uberegnelige
incandescent	gløde
incantation	besvergelse
incapable	ikke i stand til
incapacity	uførhet
incarceration	fengsling
incarnate	inkarnerte
incase	i tilfelle
incendiary	brannstifter
incense	røkelse
incensed	ansikte
incentive	insentiv
inception	begynnelse
incessant	uopphørlig
incessantly	ustanselig
incest	incest
incestuous	incestuøse
inch	tommers
incidence	forekomst
incident	hendelse
incidental	tilfeldige
incidentally	forresten
incineration	forbrenning
incinerator	forbrenningsovn
incipient	begynnende
incision	Snitt
incisive	Pent
incite	egge
incitement	tilskyndelse
inclement	dårlig
inclination	tilbøyelighet
incline	helling
inclined	tilbøyelig
include	inkludere
included	inkludert
including	gjelder også
inclusion	inkludering
inclusive	inklusive
incognito	incognito
incoherent	usammenhengende
income	inntekt
incoming	innkommende
incomparable	uforlignelige
incompatible	uforenlig
incompetence	inkompetanse
incompetent	inkompetent
incomplete	ufullstendig
incompletely	ufullstendig
incompleteness	ufullstendighet
incomprehensible	ubegripelig
inconceivable	utenkelig
inconclusive	mangelfulle
incongruous	urimelig
inconsequential	uviktig
inconsiderate	hensynsløs
inconsistency	inkonsekvens
inconsistent	inkonsekvent
inconspicuous	iøynefallende
incontinence	inkontinens
inconvenience	ulempe
inconvenient	upraktisk
incorporate	innlemme
incorporation	innlemmelse
incorrect	stemmer ikke
incorrigible	uforbederlig
increase	øke
increased	økt
incredible	utrolig
incredulous	tvil
increment	tilvekst
incriminate	anklage
incriminating	inkriminerende
incrimination	incrimination
incubation	inkubasjon
incubator	inkubator
incubus	Incubus
incumbent	påhviler
incur	pådra
incurable	uhelbredelig
incursion	incursion
indebted	gjeld
indecency	uanstendighet
indecent	uanstendig
indecision	ubesluttsomhet
indecisive	ubesluttsom
indefensible	uholdbar
indefinite	ubestemt
indelible	uutslettelig
indemnification	erstatning
indemnify	erstatte
indemnity	erstatning
indent	innrykk
indentation	innrykk
indenture	indenture
independence	selvstendighet
independent	uavhengig
indescribable	ubeskrivelig
indestructible	uforgjengelig
indeterminate	ubestemt
index	index
indicate	indikerer
indicating	indikerer
indication	indikasjon
indicative	indikativ
indicator	indikator
indice	NO TRANSLATION
indict	tiltale
indictment	tiltale
indie	indie
indifference	likegyldighet
indifferent	likegyldig
indigenous	Urfolk
indigent	indigent
indigestion	fordøyelsesproblemer
indignant	indignert
indignation	indignasjon
indignity	indignity
indigo	indigo
indirect	indirekte
indiscreet	ubetenksom
indiscretion	indiskresjon
indispensable	uunnværlig
indisposed	indisponert
indistinct	utydelig
indistinguishable	utvisket
individual	individuell
individuality	individualitet
indivisible	udelelig
indoctrination	indoktrinering
indolent	lat
indomitable	ukuelig
indoor	innendørs
induce	indusere
induced	indusert
inducement	tilskyndelse
induction	induksjon
indulge	hengi
indulgence	overbærenhet
indulgent	bærende
industrial	industriell
industrialist	industri
industrious	industriell
industry	industri
ineffable	uutsigelige
ineffective	ineffektiv
ineffectual	ørkesløshet
inefficiency	ineffektivitet
inefficient	ineffektiv
inelastic	uelastisk
ineligible	ikke kvalifisert
inept	udugelig
ineptitude	ineptitude
inequality	ulikhet
inequitable	urettferdig
inert	inert
inertia	treghet
inevitable	uunngåelig
inexact	unøyaktig
inexcusable	utilgivelig
inexhaustible	uuttømmelig
inexpensive	rimelig
inexperience	uerfarenhet
inexperienced	uerfaren
inexplicable	uforklarlig
inexpressible	usigelig
infallibility	ufeilbarlighet
infallible	ufeilbarlig
infamous	beryktet
infamy	skjensel
infancy	barndom
infant	spedbarn
infanticide	barnedrap
infantile	infantile
infantry	infanteri
infarct	infarkt
infatuated	betatt
infatuation	forelskelse
infeasible	infeasible
infect	infisere
infection	infeksjon
infectious	smittsomme
infer	antyde
inference	slutning
inferential	slutnings
inferior	mindreverdig
inferiority	underlegenhet
infernal	infernalske
inferno	Helvete
infertile	infertile
infertility	infertilitet
infestation	angrep
infidel	vantro
infidelity	utroskap
infield	infield
infiltrate	infiltrere
infiltration	infiltrasjon
infinite	uendelig
infinitely	uendelig
infinitesimal	infinitesimal
infinity	evighet
infirm	uføre
infirmary	sykestue
infirmity	skrøpelighet
inflammation	betennelse
inflammatory	inflammatorisk
inflatable	oppblåsbare
inflate	pumpe
inflated	oppblåst
inflation	inflasjon
inflection	bøyning
inflict	påføre
infliction	infliction
inflorescence	inflorescence
influence	innflytelse
influential	innflytelsesrik
influenza	influensa
influx	tilstrømning
info	info
infomercial	infomercial
inform	informere
informal	uformell
informant	informant
information	informasjon
informative	informativ
informed	informert
informer	angiver
infraction	brudd
infrared	infrarød
infrastructure	infrastruktur
infrequent	sjelden
infrequently	sjelden
infringement	overtredelse
infuriate	gjøre rasende
infuriated	rasende
infuriates	rasende
infuriating	rasende
infuse	sette
infused	infused
infuser	infuser
infusion	infusjon
ingenious	genial
ingenuity	oppfinnsomhet
ingest	svelges
ingestion	inntak
ingot	ingot
ingrained	inngrodd
ingrate	ingrate
ingredient	ingrediens
ingress	ingress
inhabit	bebo
inhabitant	innbygger
inhabited	bebodd
inhabiting	bebor
inhalation	innånding
inhale	innhalere
inhaler	inhalator
inherent	iboende
inherit	arve
inheritance	arv
inhibit	hemme
inhibition	hemning
inhibitor	hemmer
inhospitable	ugjestmilde
inhuman	umenneskelig
inhumane	inhumane
inhumanity	umenneskelighet
inimaginable	NO TRANSLATION
inimical	fiendtlig
inimitable	inimitable
iniquity	urett
initial	første
initiate	sette i gang
initiated	satt i gang
initiation	initiering
initiative	initiativ
inject	injisere
injection	injeksjon
injunction	kjennelse
injure	skade
injured	skadet
injuring	skadet
injurious	skadelig
injury	skade
injustice	urettferdighet
ink	blekk
inkling	anelse
inland	inn i landet
inlay	innlegg
inlet	innløp
inmate	innsatt
inn	vertshus
innards	innards
innate	medfødt
inner	indre
innermost	innerste
innerpeace	NO TRANSLATION
inning	inning
innings	omganger
innkeeper	verten
innocence	uskyld
innocent	uskyldig
innocently	uskyldig
innocuous	ufarlige
innovate	innovere
innovation	innovasjon
innovative	nyskapende
innuendo	insinuasjon
innumerable	utallig
inoculation	inokulasjon
inoperable	ubrukelig
inoperative	virkningsløs
inordinate	dreven
inorganic	uorganisk
input	inngang
inquest	likskue
inquire	spørre
inquirer	Inquirer
inquiring	spør
inquiry	forespørsel
inquisitive	nysgjerrige
inquisitor	Inquisitor
insane	sinnsyk
insanity	galskap
insatiable	umettelig
inscription	inskripsjon
inscrutable	uutgrunnelig
insect	insekt
insecticide	insektmiddel
insecure	utrygg
insecurity	usikkerhet
insemination	inseminasjon
insensitive	ufølsom
inseparable	uatskillelig
insert	sett inn
inserted	innsatt
insertion	innsetting
inside	innsiden
insider	innsidehandel
insidious	snik
insight	innsikt
insightful	innsiktsfull
insignia	insignia
insignificance	ubetydelighet
insignificant	ubetydelig
insinuate	insinuere
insipid	smakløs
insist	insistere
insistence	insistering
insistent	insisterende
insists	insisterer
insolence	frekkhet
insolent	uforskammet
insoluble	uoppløselig
insolvency	insolvens
insolvent	insolvent
insomnia	søvnløshet
insomniac	insomniac
inspect	undersøke
inspection	undersøkelse
inspector	inspektør
inspiration	inspirasjon
inspirational	inspirerende
inspire	inspirere
inspired	inspirert
instability	ustabilitet
install	installere
installation	installasjon
installment	avdrag
instance	forekomst
instant	umiddelbar
instantaneous	momentant
instantaneously	momentant
instigate	iverksette
instigation	oppfordring
instill	innpode
instinct	instinkt
instinctive	instinktiv
institute	institutt
institution	institusjon
instruct	undervise
instructed	instruert
instruction	instruksjon
instructional	instruksjons
instructions	bruksanvisning
instructive	rikt
instructor	instruktør
instrument	instrument
instrumental	instrumental
instrumentalist	instrumenta
instrumentality	instrumentalitet
insubordination	ulydighet
insufferable	utålelig
insufficiency	insuffisiens
insufficient	utilstrekkelig
insufficiently	utilstrekkelig
insular	insulære
insulate	isolere
insulated	isolert
insulation	isolasjon
insulin	insulin
insult	fornærmelse
insulting	fornærmende
insurance	forsikring
insure	forsikre
insurgent	opprører
insurmountable	uoverstigelig
insurrection	opprør
intact	intakt
intake	inntak
intangible	immaterielle
integer	heltall
integral	integrert
integrate	integrere
integration	integrering
integrity	integritet
intellect	intellekt
intellectual	intellektuell
intelligence	intelligens
intelligent	intelligent
intelligibility	forståelighet
intelligible	forståelig
intend	tenkt
intended	tiltenkt
intending	hensikt
intense	intens
intensely	intenst
intensify	intensivere
intensity	intensitet
intensive	intensiv
intent	hensikt
intention	intensjon
intentional	bevisst
intentionally	med hensikt
inter	inter
interact	samhandle
interaction	interaksjon
interactive	interaktiv
intercede	forbønn
intercept	avskjære
interception	avskjæring
intercession	forbønn
interchange	utveksling
interchangeable	utskiftbare
interchanged	ombyttet
intercom	intercom
intercourse	samleie
interdependence	gjensidig avhengig
interdependent	gjensidig avhengige av hverandre
interdiction	forbud
interest	renter
interested	interessert
interesting	interessant
interface	grensesnitt
interfere	forstyrre
interference	innblanding
interferometer	interferometer
intergalactic	intergalaktiske
interim	midlertidige
interior	interiør
interject	skyte inn
interlocutory	kjennelse
interlude	mellomspill
intermediary	mellommann
intermediate	mellomliggende
interment	inter
interminable	uendelig
intermission	pause
intermittent	periodisk
intern	turnuskandidat
internal	innvendig
internally	internt
international	internasjonal
internet	internett
internship	turnus
interoffice	interoffice
interpolate	interpolere
interpolation	interpole
interpret	tolke
interpretation	tolkning
interpreter	tolk
interpretive	fortolkende
interrelated	henger sammen
interrogate	forhøre
interrogation	forhør
interrupt	avbryte
interrupted	avbrutt
interrupting	avbryte
interruption	avbrudd
interrupts	avbryter
intersect	krysse
intersection	kryss
interstate	Interstate
interstellar	interstellar
interstitial	interstitiell
interval	intervall
intervene	gripe inn
intervening	intervenere
intervention	innblanding
interview	intervju
interviewer	intervjuer
interworking	interworking
intestate	testamente
intestinal	intestinal
intestine	tarm
intestines	tarmene
intimacy	fortrolighet
intimate	intime
intimately	intimt
intimation	antydning
intimidate	skremme
intimidated	skremt
intimidating	skremmende
intimidation	trusler
intolerable	uutholdelig
intolerance	intoleranse
intolerant	intolerant
intonation	intonasjon
intoxicated	beruset
intoxicating	berusende
intoxication	rus
intracranial	intrakraniell
intractable	intraktabel
intramural	utført
intravenous	intravenøs
intrepid	uforferdet
intricate	innviklet
intrigue	intrige
intriguing	fascinerende
intrinsic	egenverdi
intrinsically	egen~~POS=TRUNC
intro	intro
introduce	introdusere
introduction	introduksjon
introductory	innledende
introspection	introspeksjon
introspective	introspektiv
intrude	trenge
intruder	inntrenger
intrusion	inntrenging
intrusive	påtrengende
intubation	intubasjon
intuition	intuisjon
intuitive	intuitiv
intuitively	intuitivt
inundation	oversvømmelse
invade	invadere
invader	inntrenger
invalid	ugyldig
invalidate	ugyldig
invalidation	invalide
invalidity	ugyldighet
invaluable	uvurderlig
invariably	alltid
invasion	invasjon
invasive	invasiv
invent	finne opp
invention	oppfinnelse
inventive	oppfinneriske
inventor	oppfinner
inventory	inventar
inverse	omvendt
inversely	omvendt
inversion	inversjon
invert	invert
inverted	invertert
invest	investere
investigate	undersøke
investigation	etterforskning
investigative	undersøkende
investigator	etterforsker
investment	investering
investor	investor
invidious	invidious
invigorate	styrke
invincible	uovervinnelig
invisibility	usynlighet
invisible	usynlig
invitation	invitasjon
invite	invitere
inviting	innbydende
invocation	påkallelse
invoice	faktura
invoke	påberope
involuntary	ufrivillig
involution	involusjon
involve	involvere
involvement	involvering
invulnerable	usårbar
inwards	innover
iodine	jod
ion	ion
iota	tøddel
irate	rasende
ire	NO TRANSLATION
iridescent	iriserende
iris	iris
irked	irked
irks	irks
iron	jern
ironclad	Sterk
ironic	ironisk
irons	strykejern
irony	ironi
irradiation	bestråling
irrational	irrasjonell
irrationality	irrasjonalitet
irreconcilable	uforsonlig
irreducible	irreducible
irrefutable	ugjendrivelige
irregular	uregelmessig
irregularity	uregelmessighet
irregularly	uregelmessig
irrelevant	irrelevant
irreparable	uopprettelig
irreplaceable	uerstattelig
irrepressible	ukuelig
irresistible	uimotståelig
irrespective	uansett
irresponsible	uansvarlig
irreverent	respektløs
irreversible	irreversible
irrevocable	ugjenkallelig
irrigate	vanne
irrigation	irrigasjon
irritability	irritabilitet
irritable	irritabel
irritate	irritere
irritated	irritert
irritates	irriterer
irritating	irriterende
irritation	irritasjon
island	øy
isle	isle
islet	holme
isolate	isolere
isolated	isolert
isolation	isolasjon
isomorphism	isomorphism
isothermal	isotermisk
isotope	isotop
issue	utgave
itch	klø
itching	kløe
itchy	kløe
item	punkt
itemize	spesifisere
items	elementer
iterate	repetere
iteration	køyring
iterative	iterativ
itinerant	omreisende
itinerary	reiser
ivory	elfenbein
jab	jab
jabber	jabber
jack	jekk
jackal	sjakal
jackass	jackass
jacket	jakke
jackhammer	Jackhammer
jackpot	jackpot
jackrabbit	Jackrabbit
jacks	knekt
jade	jade
jaded	sløvet
jag	NO TRANSLATION
jagged	taggete
jaguar	jaguar
jail	fengsel
jailbird	fengselsfugl
jailbreak	jailbreak
jailer	fangevokteren
jailhouse	Jailhouse
jalopy	jalopy
jam	syltetøy
jamboree	jamboree
jammed	Topp
jammer	jammer
janitor	vaktmester
janitorial	Vaktmestertjenester
japan	japan
jar	krukke
jargon	sjargong
jarhead	Jarhead
jarring	rystende
jasmine	jasmin
jasper	jaspis
jaundice	gulsott
jaunt	kort tur
java	java
javelin	Kastespyd
jaw	kjeve
jawbone	kjeveben
jaws	kjever
jay	jay
jazz	jazz
jazzy	jazzy
jealous	sjalu
jealousy	sjalusi
jean	jean
jeans	jeans
jeep	jeep
jeering	spott
jelly	gelé
jellybean	gelebønne
jellyfish	manet
jenny	jenny
jeopardize	sette på spill
jeopardy	fare
jerk	dust
jerks	rykk
jerky	dustete
jersey	jersey
jest	NO TRANSLATION
jester	hoffnarr
jesus	jesus
jet	jetfly
jetty	brygge
jewel	juvel
jeweler	gullsmed
jewelry	smykker
jib	jib
jiff	NO TRANSLATION
jiffy	Jiffy
jig	pilk
jiggle	jiggle
jigsaw	stikksag
jihad	jihad
jimmy	jimmy
jingle	jingle
jinx	jinx
jitters	jitters
jittery	nervøs
jive	jive
job	jobb
jobinterview	NO TRANSLATION
jock	jock
jockey	jockey
jockstrap	jockstrap
jog	joggetur
jogger	jogger
john	john
join	bli med
joined	ble med
joining	bli med
joint	ledd
jointly	fellesskap
joke	vits
joker	joker
joking	tuller
jolly	jolly
jolt	støt
jornada	NO TRANSLATION
jot	døyt
jour	NO TRANSLATION
journal	tidsskrift
journalism	journalistikk
journalist	journalist
journalistic	journalistisk
journey	reise
journeyman	svennebrev
joust	joust
jovial	jovial
joy	glede
joyful	gledelig
joyous	glad
joyride	joyride
joys	gleder
jubilant	jubilant
jubilee	jubilee
judge	dømme
judged	dømt
judging	bedømme
judgment	dom
judgmental	fordømmende
judicial	rettslig
judiciary	domstolene
judicious	klok
judo	judo
jug	mugge
juggle	sjonglere
juggler	sjonglør
juggling	sjonglere
jugular	vena
juice	juice
juicer	juicer
juicy	saftig
juju	NO TRANSLATION
juke	juke
jukebox	jukebox
jumble	virvar
jumbled	jumbled
jumbo	jumbo
jump	hoppe
jump rope	hoppetau
jumper	genser
jumpsuit	jumpsuit
jumpy	skvetten
junction	kryss
juncture	tidspunkt
jungle	jungel
junior	junior
juniper	einer
junk	skrot
junket	pressevisningen
junkie	narkoman
junky	elendige
junkyard	søppelplass
junta	junta
juridical	juridisk
jurisdiction	jurisdiksjon
jurisprudence	rettsvitenskap
jurist	jurist
juror	jurymedlem
jury	jury
justice	rettferdighet
justifiable	forsvarlig
justification	berettigelse
justify	rettferdiggjøre
juststop	NO TRANSLATION
justthebeginning	NO TRANSLATION
jute	jute
juvenile	ungdoms-
juxtaposition	sammenstilling
kaiser	kaiser
kale	kål
kaleidoscope	kaleidoskop
kamikaze	kamikaze
kangaroo	kenguru
kanji	kanji
kappa	kappa
kaput	NO TRANSLATION
karaoke	karaoke
karate	karate
karma	karma
karmic	karmisk
kayak	kajakk
kazoo	kazoo
kebab	kebab
keel	kjøl
keen	ivrig
keep	beholde
keeper	keeper
keeping	holde
keepsake	minnesmerke
keg	keg
kelp	tang
ken	ken
kennel	kennel
kerchief	tørkle
kern	Kern
kernel	kernel
kerosene	parafin
ketchup	ketchup
kettle	kjele
key	nøkkel
keyboard	tastatur
keyed	tastet
keyhole	nøkkelhull
keynote	keynote
keypad	tastatur
keystone	keystone
keyword	søkeord
khaki	khaki
khan	khan
kibble	tørrfor
kick	sparke
kickboxing	kickboksing
kicker	kicker
kicking	sparker
kickoff	kickoff
kid	kid
kidder	Kidder
kidding	tuller
kiddo	kiddo
kiddos	kiddos
kidnap	kidnappe
kidnapped	kidnappet
kidnapper	kidnapper
kidnapping	kidnapping
kidney	nyre
kids	barn
kill	drepe
killer	morder
killing	drap
killjoy	killjoy
kiln	ovn
kilo	NO TRANSLATION
kilogram	kilo
kilometer	kilometer
kilt	kilt
kimono	kimono
kin	slekt
kind	snill
kindergarten	barnehage
kindling	opptenningsved
kindness	vennlighet
kindred	slekt
kinematics	kinematikk
kinesiology	kinesiologi
kinetic	kinetic
king	konge
king snake	konge slange
kingdom	kongedømme
kingpin	kingpin
kink	kink
kinky	kinky
kinship	slektskap
kiosk	kiosk
kirk	kirk
kiss	kysse
kisser	kisser
kissy	kissy
kit	kit
kitchen	kjøkken
kite	Drage
kitten	kattunge
kiwi	kiwi
klutz	kløne
knack	håndlag
knapsack	ransel
knead	kna
knee	kne
kneecap	kneskål
kneel	knele
kneeling	knelende
knell	knell
knick	knick
knickers	nikkers
knife	kniv
knight	ridder
knighthood	ridder
knit	strikke
knob	knott
knock	slå
knockoff	knockoff
knockout	slå ut
knoll	knoll
knot	knute
knots	knop
knotted	knyttede
know	vet
knowing	vite
knowingly	bevisst
knowledge	kunnskap
knowledgeable	kunnskapsrik
knuckle	knoke
knucklehead	knucklehead
knuckles	knoker
koala	koala
kook	NO TRANSLATION
kooky	skrullete
kool-aid	kool-aid
kos	kos
kosher	kosher
kraut	NO TRANSLATION
kris	kris
kryptonite	kryptonitt
kudos	Kudos
kumquat	kumquat
lab	lab
label	merkelapp
labor	arbeid
laboratory	laboratorium
labored	anstrengt
laborer	arbeider
laboring	arbeidende
laborious	strevsom
labyrinth	labyrint
lac	lac
lace	blonder
laceration	sårskader
lack	mangel på
lackey	lakei
lacking	mangler
lackluster	laber
lacquer	lakk
lacrosse	lacrosse
lactose	laktose
lad	gutt
ladder	stige
laddie	Laddie
laden	laden
lading	last
ladle	øse
lady	dame
lady bug	NO TRANSLATION
ladybug	marihøne
ladylike	ladylike
ladyship	lady
lag	lag
lager	NO TRANSLATION
lagging	lagging
lagoon	lagune
lair	reir
laity	lekfolket
lake	innsjø
lama	NO TRANSLATION
lamb	lam
lame	lame
lament	beklage
lamenting	jamret
lamina	lamina
laminated	laminert
lamp	lampe
lamppost	lyktestolpe
lance	lanse
lancer	lancer
land	land
landed	landet
landfall	landfall
landfill	deponi
landing	landing
landlady	Vertinnen
landlocked	republikk
landlord	huseier
landmark	landemerke
lands	lander
landscape	landskap
landscaping	landskaps
landslide	jordskred
lane	kjørefelt
language	Språk
languid	sløv
languish	vansmekte
languishing	smektende
lanky	hengslete
lantern	lykt
lap	runde
lapdog	skjødehund
lapel	jakkeslaget
lapse	lapse
lapsed	bortfalt
laptop	laptop
larceny	tyveri
lard	smult
larder	spiskammer
large	stor
larger	større
largo	NO TRANSLATION
lark	lark
larva	larve
laryngitis	laryngitt
larynx	strupehode
lasagna	lasagne
laser	laser
lash	lash
lass	lass
lasso	lasso
lastday	NO TRANSLATION
lasting	varig
lastminute	siste øyeblikk
latch	klinke
late	sent
lateness	lateness
latent	latent
lateral	lateral
laterally	sideveis
latex	latex
lathe	dreiebenk
lather	skum
latitude	breddegrad
latrine	latrine
latrines	latriner
latte	latte
lattice	gitter
laud	laud
laudable	rosverdig
laudation	laudation
laudatory	rosende
laugh	latter
laughable	latterlig
laughing	ler
laughingstock	NO TRANSLATION
laughs	ler
laughter	latter
launch	lanseringen
launcher	launcher
launches	lanseringer
launder	hvitvaske
laundering	hvitvasking
laundry	vaskeri
laureate	prisvinner
laurel	laurbær
laurels	laurbær
lava	lava
lavage	kylling
lavatory	toalett
lavender	lavendel
lavish	overdådig
law	lov
lawful	lovlig
lawless	lovløs
lawlessness	lovløshet
lawman	lagmann
lawn	plen
lawnmower	gressklipper
lawsuit	rettssak
lawyer	advokat
lax	lax
laxative	avføringsmiddel
lay	legge
layaway	layaway
layer	lag
layered	lagdelte
layman	lekmann
layout	oppsett
layover	layover
laziness	latskap
lazy	lat
lazyday	NO TRANSLATION
lea	lea
lead	lede
leaded	blyholdig
leader	leder
leadership	ledelse
leading	ledende
leads	leads
leaf	blad
leaflet	pakningsvedlegget
leafy	grønne
league	liga
leak	lekke
leakage	lekkasje
leaky	lekk
lean	Lene seg
leaned	lente
leaning	skjev
leap	hoppe
learn	lære
learned	lært
learner	lærer
learning	læring
lease	leie
leash	bånd
leather	lær
leathery	læraktig
leave	permisjon
leavemealone	la meg være i fred
leaving	forlater
lecherous	lidderlig
lecture	foredrag
lecturer	foreleser
ledge	hylle
ledger	hovedbok
lee	lee
leech	igle
leeches	igler
leer	NO TRANSLATION
leery	leery
lees	NO TRANSLATION
leeway	spillerom
left	venstre
leftout	NO TRANSLATION
leftover	left
leftovers	leftovers
lefty	lefty
leg	bein
legacy	arven
legal	lovlig
legality	lovligheten
legalize	legalisere
legalized	legalisert
legally	lovlig
legend	legende
legendary	legendarisk
legibility	lesbarhet
legible	leselig
legion	legion
legislate	lovfeste
legislation	lovgivning
legislative	lovgivende
legislator	lovgiver
legislature	lovgiver
legit	legitim
legitimacy	legitimitet
legitimate	lovlig
lego	lego
legs	ben
legume	legume
legwork	legwork
leisure	fritid
leisurely	makelig
lemma	lemma
lemon	sitron
lemonade	limonade
lend	låne
lender	utlåner
lending	utlån
length	lengde
lengthen	forlenge
lengthened	forlenget
lengthening	forlengelse
lengthwise	lengde
lengthy	lengre
leniency	ettergivenhet
lenient	skånsom
lens	linse
leopard	leopard
leotard	leotard
leper	spedalsk
leprechaun	gnom, dverg
leprosy	spedalskhet
lesbian	lesbisk
lesbianism	lesbiskhet
lesion	lesjon
less	mindre
lessee	leietaker
lessen	minske
lessening	lessening
lesser	mindre
lesson	lekse
lessor	utleier
let	la
lethal	dødelig
lethargic	sløv
lethargy	apati
letter	brev
lettered	lettered
letterhead	brev
lettering	lette
letters	bokstaver
lettuce	salat
leukemia	leukemi
