Word	ha
impossibility	rashin yiwuwa
impossible	ba zai yiwu ba
impostor	impostor
impotence	rashin ƙarfi
impotent	rashin ƙarfi
impound	lalata
impoverished	matalauta
impracticable	wanda ba zai yiwu ba
impractical	maras amfani
impregnable	wanda ba a iya sawa ba
impregnate	impregnate
impress	ban sha'awa
impressed	sha'awar
impression	ra'ayi
impressionable	m
impressive	ban sha'awa
imprint	shafi
imprison	kurkuku
imprisoned	kurkuku
imprisonment	ɗaurin kurkuku
improbable	rashin daidaituwa
impromptu	impromptu
improper	rashin kuskure
impropriety	rashin amfani
improve	inganta
improved	inganta
improvement	inganta
improves	inganta
improving	inganta
improvisation	improvisation
improvise	improvise
improvised	improvised
imprudent	marar amfani
impudence	impudence
impudent	mai tsaurin kai
impulse	motsi
impulsive	damuwa
impunity	rashin hukunci
impure	mara kyau
impurity	rashin tsarki
imputation	imputation
imtryingtosleep	NO TRANSLATION
inability	rashin iyawa
inaccessible	m
inaccurate	ba daidai ba
inaction	rashin aiki
inactivate	rashin aiki
inactivation	bactivation
inactive	rashin aiki
inactivity	rashin aiki
inadequacy	rashin aiki
inadequate	rashin isa
inadequateness	rashin inganci
inadmissible	mara yarda
inadvertent	inadvertent
inadvertently	ba tare da gangan ba
inaffable	NO TRANSLATION
inalienable	ba a yarda ba
inane	inane
inanimate	mara lafiya
inapplicable	ba daidai ba
inappropriate	ba daidai ba
inattention	saka idanu
inaudible	inaudible
inaugural	inaugural
inaugurate	inaugurate
inauguration	inauguration
inborn	inborn
inbound	inbound
inbred	inbred
incalculable	ba za a iya ba
incandescent	haɗari
incantation	ƙaddamarwa
incapable	kasa
incapacity	incapacity
incarceration	kisa
incarnate	jiki
incase	baza
incendiary	ficewa
incense	turare
incensed	fushi
incentive	ƙarfafawa
inception	farawa
incessant	incessant
incessantly	ba tare da bata lokaci ba
incest	haɗi
incestuous	incestuous
inch	inch
incidence	tasiri
incident	ya faru
incidental	kwanan nan
incidentally	ba zato ba tsammani
incineration	incineration
incinerator	incinerator
incipient	incipient
incision	incision
incisive	m
incite	jawo
incitement	haushi
inclement	haɗuwa
inclination	sha'awa
incline	karkata
inclined	karkata
include	sun hada da
included	hada
including	ciki har da
inclusion	hada
inclusive	hada
incognito	incognito
incoherent	incoherent
income	samun kudin shiga
incoming	mai shigowa
incomparable	ba a kwatanta ba
incompatible	m
incompetence	incompetence
incompetent	m
incomplete	bai cika ba
incompletely	cikakke
incompleteness	incompleteness
incomprehensible	rashin fahimta
inconceivable	wanda ba a sani ba
inconclusive	ba tare da komai ba
incongruous	incongruous
inconsequential	ba a sani ba
inconsiderate	inconsiderate
inconsistency	rashin daidaituwa
inconsistent	rashin yarda
inconspicuous	maras tabbas
incontinence	incontinence
inconvenience	rashin jin daɗi
inconvenient	m
incorporate	kunsa
incorporation	ƙungiyar
incorrect	ba daidai ba
incorrigible	ba daidai ba
increase	karuwa
increased	ƙara
incredible	m
incredulous	rashin yarda
increment	haɓaka
incriminate	damuwa
incriminating	damuwa
incrimination	rikicewa
incubation	shiryawa
incubator	incubator
incubus	incubus
incumbent	abin da ke ciki
incur	jawo wa kansu
incurable	wanda ba zai iya ba
incursion	jawowa
indebted	albashi
indecency	lalata
indecent	almubazzaranci
indecision	rashin daidaituwa
indecisive	marar hankali
indefensible	rashin jin dadi
indefinite	marar iyaka
indelible	indelible
indemnification	indemnification
indemnify	ba da kyauta
indemnity	indemnity
indent	m
indentation	lalata
indenture	alamu
independence	'yancin kai
independent	mai zaman kansa
indescribable	indescribable
indestructible	indestructible
indeterminate	indeterminate
index	index
indicate	nuna
indicating	nuna
indication	nuni
indicative	nuna alama
indicator	alamar alama
indice	NO TRANSLATION
indict	zargi
indictment	zargi
indie	indie
indifference	rashin tunani
indifferent	sha'aninsu dabam
indigenous	'yan asalin
indigent	matalauta
indigestion	rashin ci
indignant	m
indignation	fushi
indignity	indignity
indigo	indigo
indirect	kai tsaye
indiscreet	ba a sani ba
indiscretion	indiscretion
indispensable	ba makawa
indisposed	indisposed
indistinct	kwatsam
indistinguishable	ba a sani ba
individual	kowa
individuality	adalcin mutum
indivisible	indivisible
indoctrination	indoctrination
indolent	ba'a
indomitable	indomitable
indoor	cikin gida
induce	jawo
induced	induced
inducement	inducing
induction	induction
indulge	indulge
indulgence	indulgence
indulgent	indulgent
industrial	masana'antu
industrialist	masana'antu
industrious	mai aiki
industry	masana'antu
ineffable	ineffable
ineffective	m
ineffectual	rashin kuskure
inefficiency	rashin aiki
inefficient	rashin aiki
inelastic	inelastic
ineligible	wanda bai cancanci ba
inept	m
ineptitude	rashin fahimta
inequality	rashin daidaito
inequitable	rashin adalci
inert	iner
inertia	inertia
inevitable	ba makawa
inexact	ba daidai ba
inexcusable	inexcusable
inexhaustible	rashin daidaituwa
inexpensive	m
inexperience	rashin kuskure
inexperienced	rashin fahimta
inexplicable	inexplicable
inexpressible	wanda ba a iya faɗi ba
infallibility	rashin kuskure
infallible	marar kuskure
infamous	m
infamy	m
infancy	jariri
infant	jariri
infanticide	kashe kansa
infantile	marayu
infantry	bashi
infarct	infarct
infatuated	wanda aka ƙi
infatuation	ƙwarewa
infeasible	m
infect	harba
infection	kamuwa da cuta
infectious	m
infer	infer
inference	inference
inferential	inferential
inferior	babba
inferiority	inferiority
infernal	infernal
inferno	damuwa
infertile	bazawar haihuwa
infertility	rashin haihuwa
infestation	infestation
infidel	kafiri
infidelity	kafirci
infield	infield
infiltrate	ragewa
infiltration	infiltration
infinite	iyaka
infinitely	infinitely
infinitesimal	infinitesimal
infinity	infinity
infirm	rashin lafiya
infirmary	infirmary
infirmity	rashin lafiya
inflammation	ƙonewa
inflammatory	mai kumburi
inflatable	inflatable
inflate	kara
inflated	inflated
inflation	inflation
inflection	zaɓi
inflict	ciwo
infliction	cin zarafi
inflorescence	inflorescence
influence	tasiri
influential	tasiri
influenza	mura
influx	tasiri
info	bayani
infomercial	infomercial
inform	sanar
informal	sanarwa
informant	sanarwar
information	bayani
informative	bayani
informed	sanar
informer	sanarwar
infraction	ƙetare
infrared	infrared
infrastructure	kayan aikin
infrequent	rashin kuskure
infrequently	ba zato ba tsammani
infringement	ƙeta
infuriate	infuriate
infuriated	infuriated
infuriates	infuriates
infuriating	infuriating
infuse	infuse
infused	infused
infuser	infuser
infusion	jiko
ingenious	m
ingenuity	ingenuity
ingest	ingest
ingestion	cin abinci
ingot	ingot
ingrained	ingrained
ingrate	musayar
ingredient	sashi
ingress	ingress
inhabit	zauna
inhabitant	mazaunan
inhabited	zama
inhabiting	zaune
inhalation	inhalation
inhale	inhale
inhaler	inhaler
inherent	inherent
inherit	gaji
inheritance	gado
inhibit	inhibit
inhibition	inhibition
inhibitor	inhibitor
inhospitable	inhospitable
inhuman	m
inhumane	m
inhumanity	ƙin zuciya
inimaginable	NO TRANSLATION
inimical	inimical
inimitable	inimitable
iniquity	mugunta
initial	farko
initiate	farawa
initiated	qaddamar
initiation	farawa
initiative	himma
inject	inject
injection	injection
injunction	umarnin
injure	cuta
injured	da suka ji rauni
injuring	rauni
injurious	m
injury	rauni
injustice	rashin adalci
ink	ink
inkling	inkling
inland	a cikin gida
inlay	inlay
inlet	shigarwa
inmate	kisa
inn	inn
innards	innards
innate	innate
inner	ciki
innermost	saduwa
innerpeace	NO TRANSLATION
inning	inning
innings	innings
innkeeper	mai tsaron gidan
innocence	rashin laifi
innocent	marar laifi
innocently	rashin laifi
innocuous	rashin lafiya
innovate	innovate
innovation	sabuwar al'ada
innovative	m
innuendo	innuendo
innumerable	m
inoculation	inoculation
inoperable	inoperable
inoperative	inoperative
inordinate	inordinate
inorganic	inorganic
input	shigarwa
inquest	bincike
inquire	tambaya
inquirer	mai tambaya
inquiring	tambaya
inquiry	bincike
inquisitive	mai bincike
inquisitor	bincike
insane	mahaukaci
insanity	rashin ƙarfi
insatiable	insatiable
inscription	rubutu
inscrutable	ba a iya ganewa ba
insect	kwari
insecticide	magani
insecure	rashin tsaro
insecurity	rashin tsaro
insemination	kwari
insensitive	m
inseparable	ba za a iya raba shi ba
insert	saka
inserted	saka
insertion	sakawa
inside	ciki
insider	insider
insidious	m
insight	hankali
insightful	m
insignia	insignia
insignificance	rashin daraja
insignificant	maras muhimmanci
insinuate	insinuate
insipid	insipid
insist	nace
insistence	insistence
insistent	m
insists	ya nace
insolence	insolence
insolent	insolent
insoluble	insoluble
insolvency	rashin amincewa
insolvent	ba shi da kuɗi
insomnia	rashin barci
insomniac	rashin barci
inspect	duba
inspection	dubawa
inspector	mai kulawa
inspiration	wahayi
inspirational	wahayi
inspire	yin wahayi
inspired	wahayi
instability	rashin lafiya
install	shigar
installation	shigarwa
installment	biyawa
instance	misali
instant	nan take
instantaneous	nan take
instantaneously	nan take
instigate	farawa
instigation	qaddamarwa
instill	qarfafa
instinct	ilmantarwa
instinctive	ainihi
institute	makarantar
institution	ma'aikata
instruct	koyarwa
instructed	umurce
instruction	koyarwa
instructional	koyarwa
instructions	umarnin
instructive	koyarwa
instructor	koyarwa
instrument	kayan aiki
instrumental	kayan aiki
instrumentalist	kayan aiki
instrumentality	kayan aiki
insubordination	insubordination
insufferable	insufficientrable
insufficiency	insufficiency
insufficient	kasa
insufficiently	insufficient
insular	kamfani
insulate	rufe
insulated	insulated
insulation	rufi
insulin	insulin
insult	barazana
insulting	m
insurance	inshora
insure	insure
insurgent	insurgent
insurmountable	maras tabbas
insurrection	tashin hankali
intact	cikakke
intake	ci
intangible	intangible
integer	lamba
integral	ciki
integrate	hade
integration	haɗin kai
integrity	aminci
intellect	hankali
intellectual	hankali
intelligence	hankali
intelligent	hankali
intelligibility	fahimta
intelligible	fahimta
intend	nufin
intended	da nufin
intending	yana nufin
intense	tsanani
intensely	tsanani
intensify	ƙara
intensity	tsanani
intensive	m
intent	niyyar
intention	niyyar
intentional	ganganci
intentionally	da gangan
inter	inter
interact	yin hulɗa
interaction	hulɗa
interactive	m
intercede	ceto
intercept	sakonnin
interception	interception
intercession	cẽto
interchange	Interchange
interchangeable	musanya
interchanged	musayar
intercom	intercom
intercourse	ma'amala
interdependence	dangantaka tsakanin juna
interdependent	haɗin kai
interdiction	haramta
interest	sha'awa
interested	sha'awar
interesting	ban sha'awa
interface	dubawa
interfere	tsoma baki
interference	tsangwama
interferometer	interferometer
intergalactic	intergalactic
interim	lokaci lokaci
interior	ciki
interject	tsinkaya
interlocutory	yin magana
interlude	rikicewa
intermediary	tsakiya
intermediate	matsakaici
interment	shiga tsakani
interminable	ƙarshe
intermission	karɓa
intermittent	intermittent
intern	intern
internal	ciki
internally	ciki
international	kasa da kasa
internet	internet
internship	koyarwa
interoffice	interoffice
interpolate	haɗu
interpolation	interpolation
interpret	fassara
interpretation	fassarar
interpreter	fassara
interpretive	fassara
interrelated	dangantaka
interrogate	tambayoyi
interrogation	tambaya
interrupt	katsewa
interrupted	katsewa
interrupting	katsewa
interruption	katsewa
interrupts	katsewa
intersect	haɗuwa
intersection	Tsinkaya
interstate	matsakaici
interstellar	tsakiya
interstitial	interstitial
interval	lokaci lokaci
intervene	shiga tsakani
intervening	shiga
intervention	shigarwa
interview	hira
interviewer	mai tambayoyi
interworking	interworking
intestate	buƙata
intestinal	na hanji
intestine	intestine
intestines	intestines
intimacy	zumunci
intimate	m
intimately	intimately
intimation	bayani
intimidate	barazana
intimidated	tsoratarwa
intimidating	barazana
intimidation	barazana
intolerable	m
intolerance	rashin haƙuri
intolerant	m
intonation	intonation
intoxicated	m
intoxicating	inxicating
intoxication	maye
intracranial	intracranial
intractable	bazawa
intramural	intramural
intravenous	intravenous
intrepid	rashin tsoro
intricate	m
intrigue	rikici
intriguing	m
intrinsic	m
intrinsically	a ciki
intro	farawa
introduce	gabatarwa
introduction	gabatarwar
introductory	gabatarwar
introspection	introspection
introspective	introspective
intrude	ji
intruder	intruder
intrusion	intrusion
intrusive	intrusive
intubation	intubation
intuition	intuition
intuitive	m
intuitively	intuitively
inundation	inundation
invade	mamaye
invader	mamaye
invalid	ba daidai ba
invalidate	bace
invalidation	rushewa
invalidity	rashin kuskure
invaluable	invaluable
invariably	kullum
invasion	mamayewa
invasive	m
invent	ƙirƙira
invention	sabuwar na'ura
inventive	ƙirƙira
inventor	mai kirkiro
inventory	kaya
inverse	m
inversely	inversely
inversion	inversion
invert	invert
inverted	inverted
invest	zuba jari
investigate	bincika
investigation	bincike
investigative	bincike
investigator	bincike
investment	zuba jari
investor	mai saka jari
invidious	invidious
invigorate	ƙarfafawa
invincible	wanda ba zai iya rinjayewa ba
invisibility	invisibility
invisible	marar ganuwa
invitation	gayyatar
invite	kira
inviting	kiran
invocation	kira
invoice	takarda
invoke	kira
involuntary	sa hannu
involution	rinjayar
involve	shiga
involvement	hannu
invulnerable	m
inwards	ciki
iodine	iodine
ion	ion
iota	iota
irate	irate
ire	NO TRANSLATION
iridescent	iridescent
iris	iris
irked	irked
irks	irks
iron	ƙarfe
ironclad	ironclad
ironic	m
irons	ƙarfe
irony	m
irradiation	irradiation
irrational	m
irrationality	irrationality
irreconcilable	wanda ba a iya daidaitawa ba
irreducible	irreducible
irrefutable	wanda ba a iya jurewa ba
irregular	wanda bai bi ka'ida ko doka ba
irregularity	rashin biyayya
irregularly	irregularly
irrelevant	maras muhimmanci
irreparable	irreparable
irreplaceable	irreplaceable
irrepressible	irrepressible
irresistible	rashin rinjaye
irrespective	ba tare da la'akari ba
irresponsible	m
irreverent	rashin amincewa
irreversible	irreversible
irrevocable	irrevocable
irrigate	ban ruwa
irrigation	ban ruwa
irritability	irritability
irritable	m
irritate	fushi
irritated	fushi
irritates	irritates
irritating	irritating
irritation	wulakanci
island	tsibirin
isle	isle
islet	islet
isolate	ware
isolated	ware
isolation	rabuwar
isomorphism	isomorphism
isothermal	isothermal
isotope	isotope
issue	fitowar
itch	shi
itching	itching
itchy	yunwa
item	abu
itemize	itemize
items	abubuwa
iterate	yin magana
iteration	bawa
iterative	rashin lafiya
itinerant	shirin
itinerary	hanya
ivory	hauren giwa
jab	jab
jabber	jabber
jack	jack
jackal	jackal
jackass	jackass
jacket	jaket
jackhammer	jackhammer
jackpot	jackpot
jackrabbit	jackrabbit
jacks	jacks
jade	fito
jaded	jaded
jag	NO TRANSLATION
jagged	jagged
jaguar	jaguar
jail	kurkuku
jailbird	kurkuku
jailbreak	yantad da
jailer	jailer
jailhouse	gidan yari
jalopy	jalopy
jam	jam
jamboree	jamboree
jammed	jammed
jammer	jammer
janitor	janitor
janitorial	bin doka
japan	japan
jar	kwalba
jargon	jargon
jarhead	jarhead
jarring	jarring
jasmine	jasmine
jasper	jasper
jaundice	jaundice
jaunt	jaunt
java	java
javelin	kayan
jaw	jaw
jawbone	jawbone
jaws	jaws
jay	jay
jazz	Jazz
jazzy	jazzy
jealous	kishi
jealousy	kishi
jean	jean
jeans	jeans
jeep	Jeep
jeering	jeering
jelly	jelly
jellybean	jellybean
jellyfish	jellyfish
jenny	jenny
jeopardize	jeopardize
jeopardy	hadari
jerk	jerk
jerks	jerks
jerky	jerky
jersey	zane
jest	NO TRANSLATION
jester	jester
jesus	jesus
jet	jet
jetty	jetty
jewel	jauhari
jeweler	jeweler
jewelry	kayan ado
jib	jib
jiff	NO TRANSLATION
jiffy	jiffy
jig	jig
jiggle	jiggle
jigsaw	jigsaw
jihad	Jihad
jimmy	jimmy
jingle	jingle
jinx	jinx
jitters	jitters
jittery	jittery
jive	jive
job	aiki
jobinterview	NO TRANSLATION
jock	jock
jockey	jockey
jockstrap	jockstrap
jog	jog
jogger	jogger
john	john
join	shiga
joined	shiga
joining	shiga
joint	hadin gwiwa
jointly	a haɗe
joke	wargi
joker	joker
joking	wasa
jolly	jolly
jolt	jolt
jornada	NO TRANSLATION
jot	jot
jour	NO TRANSLATION
journal	jarida
journalism	aikin jarida
journalist	jarida
journalistic	aikin jarida
journey	tafiya
journeyman	tafiyaman
joust	joust
jovial	jovial
joy	farin ciki
joyful	farin ciki
joyous	farin ciki
joyride	farin ciki
joys	farin ciki
jubilant	jubilant
jubilee	jubili
judge	alƙali
judged	hukunci
judging	yanke hukunci
judgment	hukunci
judgmental	hukunci
judicial	shari'a
judiciary	shari'a
judicious	yin hukunci
judo	judo
jug	jug
juggle	juggle
juggler	juggler
juggling	juggling
jugular	jugular
juice	ruwan 'ya'yan itace
juicer	juicer
juicy	m
juju	NO TRANSLATION
juke	juke
jukebox	jukebox
jumble	jumble
jumbled	jumbled
jumbo	jumbo
jump	tsalle
jump rope	tsalle igiya
jumper	jumper
jumpsuit	tsalle
jumpy	jumpy
junction	jeri
juncture	shiga
jungle	jungle
junior	junior
juniper	Juniper
junk	takarma
junket	junket
junkie	junkie
junky	junky
junkyard	junkyard
junta	majalisar dinkin duniya
juridical	doka
jurisdiction	iko
jurisprudence	fikihu
jurist	masana
juror	juror
jury	juri
justice	adalci
justifiable	justifiable
justification	gaskatawa
justify	tabbatar
juststop	NO TRANSLATION
justthebeginning	NO TRANSLATION
jute	jute
juvenile	yara
juxtaposition	juxtaposition
kaiser	kaiser
kale	kale
kaleidoscope	kaleidoscope
kamikaze	kamikaze
kangaroo	kangaroo
kanji	kanji
kappa	kappa
kaput	NO TRANSLATION
karaoke	karaoke
karate	karate
karma	karma
karmic	Karmic
kayak	kayak
kazoo	kazoo
kebab	kebab
keel	keel
keen	keen
keep	kiyaye
keeper	mai kula
keeping	ajiye
keepsake	keepsake
keg	keg
kelp	kelp
ken	ken
kennel	gidaje
kerchief	makirci
kern	kern
kernel	kernel
kerosene	kerosene
ketchup	ketchup
kettle	kettle
key	key
keyboard	keyboard
keyed	keyed
keyhole	keyhole
keynote	Maɓalli
keypad	keypad
keystone	dutse
keyword	keyword
khaki	khaki
khan	khan
kibble	kibble
kick	buga
kickboxing	kickboxing
kicker	kicker
kicking	kicking
kickoff	kickoff
kid	yaro
kidder	kidder
kidding	kidding
kiddo	kiddo
kiddos	kiddos
kidnap	sacewa
kidnapped	sace
kidnapper	sace
kidnapping	sace
kidney	koda
kids	yara
kill	kashe
killer	kisa
killing	kisan
killjoy	killjoy
kiln	kiln
kilo	NO TRANSLATION
kilogram	kilogram
kilometer	kilomita
kilt	kilt
kimono	kimono
kin	kin
kind	irin
kindergarten	makarantar digiri
kindling	yan wasa
kindness	alheri
kindred	dangi
kinematics	kinematics
kinesiology	kinesiology
kinetic	kwayoyin halitta
king	sarki
king snake	Sarkin maciji
kingdom	mulkin
kingpin	kingpin
kink	kink
kinky	kinky
kinship	kinship
kiosk	kiosk
kirk	kirk
kiss	sumba
kisser	kisser
kissy	kissy
kit	kit
kitchen	kitchen
kite	gani
kitten	kitta
kiwi	kiwi
klutz	klutz
knack	knack
knapsack	knapsack
knead	knead
knee	gwiwa
kneecap	kneecap
kneel	kun durƙusa
kneeling	kun durƙusa
knell	saƙa
knick	wuƙa
knickers	masu saƙa
knife	wuka
knight	jarumi
knighthood	kwarewa
knit	saƙa
knob	kullun
knock	bugawa
knockoff	knockoff
knockout	bugawa
knoll	knoll
knot	ƙulla
knots	wutsiyoyi
knotted	sare
know	sani
knowing	sani
knowingly	sane
knowledge	ilmi
knowledgeable	ilmi
knuckle	kullun
knucklehead	knucklehead
knuckles	knuckles
koala	koala
kook	NO TRANSLATION
kooky	kooky
kool-aid	kool-taimako
kos	kos
kosher	kosher
kraut	NO TRANSLATION
kris	kris
kryptonite	kryptonite
kudos	kudos
kumquat	kumquat
lab	Lab
label	lakabin
labor	aiki
laboratory	dakin gwaje-gwaje
labored	aiki
laborer	ma'aikacin
laboring	aiki
laborious	aiki
labyrinth	labyrinth
lac	lac
lace	yadin da aka saka
laceration	laceration
lack	rashin
lackey	lackey
lacking	rasa
lackluster	lackluster
lacquer	lacquer
lacrosse	lacrosse
lactose	lactose
lad	yaro
ladder	matashi
laddie	laddie
laden	ɗaukar nauyin
lading	sakawa
ladle	ladle
lady	lady
lady bug	NO TRANSLATION
ladybug	ladybug
ladylike	ladylike
ladyship	ladyship
lag	lag
lager	NO TRANSLATION
lagging	lagging
lagoon	lagoon
lair	lair
laity	laity
lake	lake
lama	NO TRANSLATION
lamb	dan tunkiya
lame	gurgu
lament	baƙin ciki
lamenting	lamenting
lamina	lamina
laminated	laminated
lamp	fitila
lamppost	lambar
lance	lance
lancer	fara
land	ƙasar
landed	saukowa
landfall	landfall
landfill	landfill
landing	saukowa
landlady	ƙasa
landlocked	an rushe
landlord	mai gida
landmark	alamar ƙasa
lands	asashe
landscape	wuri mai faɗi
landscaping	gyara shimfidar wuri
landslide	rushewa
lane	layi
language	harshen
languid	languid
languish	languish
languishing	languishing
lanky	lanky
lantern	lantern
lap	gwiwa
lapdog	lapdog
lapel	zane
lapse	lapse
lapsed	lapsed
laptop	kwamfutar tafi-da-gidanka
larceny	larceny
lard	man alade
larder	larder
large	babban
larger	ya fi girma
largo	NO TRANSLATION
lark	lark
larva	tsutsa
laryngitis	laryngitis
larynx	larynx
lasagna	lasagna
laser	laser
lash	lash
lass	lass
lasso	lasso
lastday	NO TRANSLATION
lasting	dawwama
lastminute	lastminute
latch	latch
late	marigayi
lateness	rashin ƙarfi
latent	latent
lateral	a kaikaice
laterally	layi
latex	latex
lathe	lathe
lather	lather
latitude	latitude
latrine	latrine
latrines	latrines
latte	latte
lattice	lattice
laud	kara
laudable	laudable
laudation	laudation
laudatory	laudatory
laugh	dariya
laughable	ladaba
laughing	dariya
laughingstock	NO TRANSLATION
laughs	dariya
laughter	dariya
launch	kaddamar
launcher	lalata
launches	gabatarwa
launder	launder
laundering	laundering
laundry	wanki
laureate	laureate
laurel	laurel
laurels	laurels
lava	Lava
lavage	wanke
lavatory	lavatory
lavender	Lavender
lavish	lavish
law	doka
lawful	halatta
lawless	marar laifi
lawlessness	mugunta
lawman	lawman
lawn	lawn
lawnmower	na'urar yanke ciyawa
lawsuit	kara
lawyer	lauya
lax	lax
laxative	laxative
lay	sa
layaway	layaway
layer	Layer
layered	lagered
layman	layman
layout	layout
layover	layover
laziness	lalata
lazy	m
lazyday	NO TRANSLATION
lea	wannan
lead	jagoranci
leaded	jagoranci
leader	shugaban
leadership	jagoranci
leading	jagoran
leads	take kaiwa
leaf	leaf
leaflet	leaflet
leafy	leafy
league	league
leak	leak
leakage	leakage
leaky	leaky
lean	durƙus
leaned	leda
leaning	jingina
leap	tashi
learn	koyi
learned	koyi
learner	koyi
learning	koyo
lease	laya
leash	leash
leather	fata
leathery	leathery
leave	bar
leavemealone	Ku bar ni
leaving	barin
lecherous	m
lecture	lacca
lecturer	malami
ledge	harsashi
ledger	harsashi
lee	Duba
leech	leech
leeches	hanyoyi
leer	NO TRANSLATION
leery	leery
lees	NO TRANSLATION
leeway	leeway
left	hagu
leftout	NO TRANSLATION
leftover	rasa
leftovers	raguwa
lefty	lefty
leg	kafa
legacy	haɗi
legal	doka
legality	bin doka
legalize	halatta
legalized	halatta
legally	bisa doka
legend	labari
legendary	almara
legibility	legibility
legible	legible
legion	legion
legislate	majalisa
legislation	dokokin
legislative	majalisa
legislator	majalisar dokoki
legislature	majalisar dokoki
legit	halatta
legitimacy	bin doka
legitimate	halalci
lego	lego
legs	kafafu
legume	legume
legwork	legwork
leisure	dama
leisurely	m
lemma	lemma
lemon	lemun tsami
lemonade	lemonade
lend	ara
lender	mai bin bashi
lending	ba da bashi
length	tsawon
lengthen	ƙara tsayi
lengthened	ƙarami
lengthening	ƙarami
lengthwise	lengthwise
lengthy	tsawon
leniency	hakuri
lenient	m
lens	ruwan tabarau
leopard	damisa
leotard	leotard
leper	leper
leprechaun	leprechaun
leprosy	kuturta
lesbian	'yan madigo
lesbianism	yanci
lesion	launi
less	Kadan
lessee	mai haya
lessen	rage
lessening	ragewa
lesser	karami
lesson	darasi
lessor	karami
let	bari
lethal	na mutuwa
lethargic	kayan aiki
lethargy	barihargy
letter	wasika
lettered	rubuce-rubuce
letterhead	wasika
lettering	wasiƙa
letters	haruffa
lettuce	letas
leukemia	cutar sankarar bargo
levee	levee
level	matakin
lever	lever
leverage	leverage
levitate	levitate
levy	levy
lewd	lalata
lexicon	lexicon
ley	NO TRANSLATION
liabilities	wajibai
liability	alhakin
liable	dacewa
liaison	haɗin kai
liar	makarya
libel	lalata
libelous	m
liberal	m
liberalism	liberalism
liberate	yanci
liberated	saki
liberating	saki
liberation	sassauci
liberty	yanci
libido	libido
librarian	ɗakin karatu
library	ɗakin karatu
libretto	freetto
lice	lice
license	lasisi
lichen	lichen
lick	laƙa
licorice	licorice
lid	murfi
lie	ƙarya
liege	liege
lien	link
lieu	wuri
lieutenant	makwabta
life	rai
lifeblood	rai mai rai
lifeboat	jirgin ruwa
lifeguard	mai kariya
lifeisgood	lifeisgood
lifeless	rashin rai
lifelike	lifelike
lifeline	yanayin rayuwa
lifelong	tsawon rayuwa
lifer	lifer
lifesaver	lifesaver
lifestyle	salon
lifesucks	lifesucks
lifetime	rayuwa
lift	tashi
lifted	tashi
liftoff	liftoff
ligament	ligament
ligation	ligation
ligature	ligature
light	haske
light year	haske shekara
lightbulb	haske
lighten	haske
lightheaded	haske
lighthouse	hasken rana
lighting	haske
lightness	lightness
lightning	walƙiya
lights	hasken wuta
lightweight	nauyi
likable	yarda
like	kamar
likelihood	alama
likely	watakila
likeness	kamara
likewise	Haka nan
liking	so
lilac	lilac
lily	Lily
limb	limb
limber	limba
limbo	limbo
lime	lemun tsami
limelight	limelight
limestone	farar ƙasa
limey	limey
limit	iyaka
limitation	iyakance
limited	iyakance
limitless	iyaka
limo	limo
limousine	limousine
limp	ƙusa
lin	lin
line	layi
lineage	jinsi
lineal	layi
linear	linzamin kwamfuta
linebacker	linebacker
lined	layi
linen	lilin
liner	liner
lines	Lines
lineup	jeri
linger	Linger
lingerie	Lingerie
lingering	lingering
lingo	harso
lingual	harshe
linguini	linguini
linguist	masanin harshe
linguistic	harshe
linguistics	harsuna
lining	rufi
link	mahada
linoleum	linoleum
lint	lint
lion	zaki
lip	lebe
liposuction	liposuction
lipstick	lipstick
liquefaction	liquefaction
liquefied	alhakin
liqueur	barasa
liquid	ruwa
liquidate	liquidate
liquidation	liquidation
liquidator	liquidator
liquidity	liquidity
liquor	giya
lira	NO TRANSLATION
lisp	sashen
list	jerin
listen	saurara
listener	mai sauraro
listenting	NO TRANSLATION
listing	listing
listless	marar kyau
listneing	NO TRANSLATION
litany	litany
liter	lita
literacy	rubuce-rubuce
literal	ainihin
literally	a zahiri
literary	wallafe-wallafen
literature	littattafai
lithe	lithe
lithium	lithium
lithograph	lithograph
lithography	lithography
lithology	lithology
lithosphere	lithosphere
litigant	rikici
litigate	rikici
litigation	Kotun
litigator	litigator
litigious	littafi
litter	litter
little	kadan
littlethings	kananan abubuwa
littoral	gabar teku
liturgy	liturgy
live	rayuwa
livelife	livelife
livelihood	wadata
lively	m
liven	liven
liver	hanta
livery	livery
livestock	dabba
livid	livid
living	rayuwa
lizard	lizard
llama	llama
lml	lml
load	load
loader	loader
loaf	Burodi
loafer	dafa
loam	loam
loan	ara bashi
loath	haushi
loathe	loathe
loathful	m
loathing	raina
loathsome	abin ƙyama
lobby	lobby
lobbyist	lobbyist
lobe	lobe
lobotomy	lobotomy
lobster	lobster
local	gida
locale	gida
locality	gida
localization	farawa
localize	gano wuri
localized	kamala
locate	gano wuri
location	wuri
locator	locator
loch	loch
lock	kulle
locker	kabad
locket	locket
locksmith	makullin
lockup	kullewa
loco	loco
locomotion	locomotion
locomotive	locomotive
locust	ciyawa
lode	NO TRANSLATION
lodge	ɗakin
lodger	mazauna
lodging	wurin zama
loft	kaya
lofty	ɗaukaka
log	shiga
logarithm	logarithm
logarithmic	logarithmic
logic	dabaru
logical	ma'ana
logistics	dabaru
logo	logo
logotype	logotype
loin	NO TRANSLATION
lollipop	lollipop
lone	lalata
loneliness	lalata
lonely	m
loner	ƙauna
