Word	km
hitchhike	រអិល
hitchhiker	អ្នកត្រួសត្រាយ
hitherto	រហូតមកដល់ពេលនេះ
hitter	hitter
hive	សំបុក
hives	កន្ទួលកហម
hoard	hoard
hoarse	ស្អក
hoary	ហ៊ឺហា
hoax	បោកបញ្ឆោត
hob	ការងារ
hobbit	hobbit
hobby	ចំណង់ចំណូលចិត្ត
hobo	hobo
hock	hock
hockey	កីឡាវាយកូនគោល
hoe	NO TRANSLATION
hog	ជ្រូក
hogwash	hogwash
hohoho	NO TRANSLATION
hoist	លើក
hokey	hokey
hold	សង្កត់
holder	អ្នកកាន់
holding	កាន់កាប់
holdup	ការ​ព​ន្យា​ពេល
hole	រន្ធ
holiday	ថ្ងៃឈប់សម្រាក
holidays	ថ្ងៃបុណ្យ
holidayseason	NO TRANSLATION
holiness	បរិសុទ្ធ
holistic	ទាំងមូល
holler	ស្រែក
hollow	ប្រហោង
holly	holly
holocaust	holocaust
hologram	hologram
holographic	holographic
holster	holster
holy	បរិសុទ្ធ
holyspirit	NO TRANSLATION
homage	គោរព
hombre	NO TRANSLATION
hombres	NO TRANSLATION
home	ផ្ទះ
homeboy	homeboy
homecoming	ការមកដល់
homeland	ប្រទេសកំណើត
homeless	គ្មានផ្ទះសម្បែង
homely	សាមញ្ញ
homemade	ផលិតដោយខ្លួនឯង
homeopathic	homeopathic
homeopathy	homeopathy
homeowner	ម្ចាស់ផ្ទះ
homeroom	បុព្វកថា
homesick	នឹកផ្ទះ
homestead	homestead
homesweethome	homeweethome
hometown	ស្រុកកំណើត
homeward	ត្រឡប់ទៅផ្ទះវិញ
homework	កិច្ចការ​ផ្ទះ
homey	ផ្ទះ
homicidal	ឃាតកម្ម
homicide	ឃាតកម្ម
homily	ការសំដែងធម្មទេសនា
homing	homing
hominy	hominy
homo	homo
homogeneity	ភាពដូចគ្នា
homogeneous	ដូចគ្នា
homologous	homologous
homologue	ដូចគ្នា
homology	ភាពដូចគ្នា
homophobic	ស្រឡាញ់ភេទដូចគ្នា
homosexual	ភេទដូចគ្នា
homosexuality	ការស្រឡាញ់ភេទដូចគ្នា
honcho	honcho
hone	កំប្លែង
honest	ស្មោះត្រង់
honesty	ភាពស្មោះត្រង់
honey	ទឹកឃ្មុំ
honeycomb	ទឹកឃ្មុំ
honeymoon	ក្រេបទឹកឃ្មុំ
honeysuckle	honeysuckle
honk	អញ្ចឹង
honky	កំប្លែង
honor	កិត្តិយស
honorable	កិត្តិយស
honorarium	honorarium
honorary	កិត្តិយស
honored	កិត្តិយស
hooch	hooch
hood	ក្រណាត់
hooded	ក្រណាត់
hoodlum	hoodlum
hoof	ដំបូល
hook	ទំពក់
hooked	hooked
hooker	hooker
hookup	ទ្ព​ក់​វា​ទៅ
hooky	hooky
hooligan	hooligan
hoop	hoop
hoopla	hoopla
hooray	អូន
hoot	hoot
hooter	hooter
hop	បហប
hope	សង្ឃឹម
hopeful	សង្ឃឹម
hopeless	អស់សង្ឃឹម
hopelessness	ភាពអស់សង្ឃឹម
hopes	ក្តីសង្ឃឹម
hoping	សង្ឃឹម
hopper	ឡាន
horde	horde
horizon	ជើងមេឃ
horizontal	ផ្ដេក
horizontally	ផ្ដេក
hormonal	អ័រម៉ូន
hormone	អរម៉ូន
horn	ស្នែង
horned	ស្នែង
hornet	ត្រកូល
horny	ស្នែង
horoscope	horoscope
horrendous	គួរឱ្យខ្លាចណាស់
horrible	អាក្រក់
horribly	គួរឱ្យរន្ធត់
horrid	រន្ធត់
horrific	គួរឱ្យរន្ធត់
horrified	រន្ធត់
horrifying	គួរឱ្យរន្ធត់
horror	ភ័យរន្ធត់
horrors	ភាពភ័យរន្ធត់
horse	សេះ
horseback	សេះ
horseman	horseman
horsepower	សេះ
horseradish	horseradish
horseshit	សេះ
horseshoe	រទេះសេះ
horsey	សេះ
horticultural	សាកវប្បកម្ម
horticulture	ចម្ការ
hosannah	NO TRANSLATION
hose	បំពង់
hosiery	ថើប
hospice	hospice
hospitable	បដិសណ្ឋារកិច្ច
hospital	មន្ទីរពេទ្យ
hospitality	បដិសណ្ឋារកិច្ច
host	ម៉ាស៊ីន
hostage	ចំណាប់ខ្មាំង
hostel	សណ្ឋាគារ
hostess	សណ្ឋាគារ
hostile	សត្រូវ
hostilities	អរិភាព
hostility	អរិភាព
hot	ក្តៅ
hot sauce	ទឹកម្ទេស
hotbed	hotbed
hotdog	ហត់​ដក
hotel	សណ្ឋាគារ
hothead	hothead
hotline	ខ្សែទូរស័ព្ទ
hotshot	ចំណុចក្តៅ
hotyoga	NO TRANSLATION
hound	hound
hour	ម៉ោង
hourglass	ម៉ោង
hourly	រាល់ម៉ោង
house	ផ្ទះ
houseboat	houseboat
houseboy	ផ្ទះ
housebroken	ផ្ទះខូច
houseguest	houseguest
household	គ្រួសារ
householder	ម្ចាស់ផ្ទះ
housekeeper	អ្នកថែរក្សា
housekeeping	គេហកិច្ច
housewarming	មានភាពកក់ក្តៅ
housewife	មេផ្ទះ
housework	ការងារផ្ទះ
housing	ផ្ទះ
hovel	hovel
hover	ដាក់
hovercraft	hovercraft
howl	howl
howsoever	ទោះយ៉ាងណា
hoy	NO TRANSLATION
hub	មជ្ឈមណ្ឌល
hubby	hubby
huckleberry	huckleberry
huddle	huddle
hue	ពណ៌លាំ ៗ
huff	ស្ទិល
huffy	ស្វាហាប់
hug	ឱប
huge	ធំ
hugger	អង្រឹង
huggy	អោប
hugs	ឱប
hulk	hulk
hull	ឆ្អឹង
hum	hum
human	មនុស្ស
humane	មនុស្ស
humanitarian	មនុស្សធម៌
humanities	មនុស្សជាតិ
humanity	មនុស្សជាតិ
humankind	មនុស្សជាតិ
humanoid	មនុស្សជាតិ
humanrights	NO TRANSLATION
humble	បន្ទាបខ្លួន
humbled	បន្ទាបខ្លួន
humbly	ដោយបន្ទាបខ្លួន
humbug	humbug
humdrum	humdrum
humid	សើម
humidity	សំណើម
humiliate	អាម៉ាស់
humiliated	អាម៉ាស់
humiliating	អាម៉ាស់
humiliation	ភាពអាម៉ាស់
humility	ការបន្ទាបខ្លួន
hummer	hummer
hummingbird	ហាំមីងឃីត
humongous	humongous
humor	លេងសើច
humored	កំប្លែង
humorist	អ្នកកំប្លែង
humorous	កំប្លែង
hump	hump
humpback	ងងុយដេក
hunch	hunch
hunchback	hunchback
hundred	រយ
hundredth	រយ
hunger	ភាព​អត់​ឃ្លាន
hungry	ឃ្លាន
hunk	ធ្នឹម
hunks	hunks
hunky	hunky
hunt	បរបាញ់
hunter	នាងហិនទ័រ
hunting	ម៉ាញ់
huntress	អ្នកបរបាញ់
hurdle	ឧបសគ្គ
hurl	hurl
hurrah	ហើរ
hurricane	ខ្យល់ព្យុះ
hurricanes	ព្យុះសង្ឃរា
hurried	ប្រញាប់
hurry	ប្រញាប់
hurryup	NO TRANSLATION
hurt	ឈឺចាប់
hurtful	ឈឺចាប់
hurting	ឈឺចាប់
husband	ស្វាមី
husbandry	ការចិញ្ចឹម
hush	ស្ងាត់
hushed	ស្ងាត់
husk	NO TRANSLATION
husky	ស្វា
hussy	ស្វាមី
hustle	hustle
hustler	hustler
hut	ខ្ទម
hutch	hutch
hyacinth	hyacinth
hybrid	កូនកាត់
hydra	ទឹក
hydrant	ទឹក
hydrate	hydrate
hydraulic	ធារាសាស្ត្រ
hydraulics	ប្រព័ន្ធធារាសាស្ត្រ
hydrocephalus	hydrocephalus
hydrodynamics	hydrodynamics
hydrogen	អ៊ីដ្រូសែន
hydrographic	hydrographic
hydrology	ជលសាស្ដ្រ
hydrophobia	hydrophobia
hydroponics	ជលវប្បកម្ម
hyena	hyena
hygiene	អនាម័យ
hygienic	អនាម័យ
hygienist	អនាម័យ
hymen	hymen
hymn	បទចំរៀង
hype	ឃោសនាបំផ្លើស
hyped	hyped
hyper	ខ្លាំង
hyperactive	ស្ទាប់
hyperbole	hyperbole
hyperspace	hyperspace
hypertension	ជំងឺលើសឈាម
hypertrophy	ការរីកធំ
hyperventilate	hyperventilate
hyperventilating	hyperventilating
hyphen	សហសញ្ញា
hypnosis	hypnosis
hypnotic	hypnotic
hypnotist	អ្នកជម្ងឺ hypnotist
hypnotize	hypnotize
hypnotized	hypnotized
hypochondriac	hypochondriac
hypocrisy	លាក់ពុត
hypocrite	លាក់ពុត
hypocritical	លាក់ពុត
hypodermic	hypodermic
hypothalamus	hypothalamus
hypothermia	hypothermia
hypothesis	សម្មតិកម្ម
hypothetical	hypothetical
hysterectomy	ការកាត់ស្បូន
hysteria	ការរំជួលចិត្ត
hysterical	រំជើបរំជួល
ibuprofen	ibuprofen
ice	ទឹកកក
ice tea	តែ​ទឹក​ក​ក
iceberg	ផ្ទាំងទឹកកក
icebox	ប្រអប់ទឹកកក
icebreaker	ទឹកកក
iced	iced
icing	icing
icky	icky
icon	រូបតំណាង
iconic	រូប
iconography	រូបសញ្ញា
icy	ត្រជាក់
id	លេខសម្គាល់
idea	គំនិត
ideal	ល្អ
idealism	មនោគមនិយម
idealist	ឧត្តមគតិ
idealistic	ឧត្តមគតិ
identical	ដូចគ្នា
identically	ដូចគ្នា
identification	អត្តសញ្ញាណ
identify	កំណត់អត្តសញ្ញាណ
identity	អត្តសញ្ញាណ
ideology	មនោគមវិជ្ជា
idiocy	idiocy
idiom	ភាសា
idiomatic	និយាយដោយសាមញ្ញ
idiot	ឆ្កួត ៗ
idiotic	រញ៉េរញ៉ៃ
idiots	ឆ្កួត ៗ
idle	ទំនេរ
idleness	អត់ការងារធ្វើ
idler	អ្នកមិនជឿ
idol	រូបគំនូរ
idolatry	ការថ្វាយបង្គំរូបព្រះ
idolizing	idolizing
idyllic	ពិសេស
iffy	iffy
ifonly	ប្រសិន​បើ​មាន​តែ
igloo	igloo
igneous	មិនល្អ
ignite	ឆេះ
ignition	បញ្ឆេះ
ignorance	ល្ងង់ខ្លៅ
ignorant	ល្ងង់ខ្លៅ
ignore	មិនអើពើ
iguana	iguana
ihatespiders	NO TRANSLATION
ilk	NO TRANSLATION
ill	ឈឺ
illegal	ខុសច្បាប់
illegality	ខុសច្បាប់
illegally	ដែល​ខុសច្បាប់
illegible	មិនត្រឹមត្រូវ
illegitimate	មិនស្របច្បាប់
illicit	ខុសច្បាប់
illiterate	អនក្ខរប់
illness	ជំងឺ
illogical	មិនសមហេតុផល
illuminate	បំភ្លឺ
illuminating	បំភ្លឺ
illumination	ការបំភ្លឺ
illuminator	illuminator
illusion	ការបំភាន់
illustrate	បង្ហាញ
illustration	គំនូរ
illustrative	បង្ហាញ
illustrious	បង្ហាញ
ilovechristmas	NO TRANSLATION
iloveher	NO TRANSLATION
image	រូបភាព
imagery	រូបភាព
imaginable	អាចស្រម៉ៃបាន
imaginary	ស្រមៃ
imagination	ការស្រមើលស្រមៃ
imaginative	ការស្រមើលស្រមៃ
imagine	ស្រមៃ
imagined	ស្រមៃ
imaging	រូបភាព
imagining	ស្រមើលស្រមៃ
imam	NO TRANSLATION
imbalance	អតុល្យភាព
imbecile	imbecile
imbedded	imbedded
imissyou	NO TRANSLATION
imitate	ធ្វើតាម
imitated	ត្រាប់តាម
imitation	ក្លែងក្លាយ
immaculate	ភាពស្អាតស្អំ
immaterial	មិនសំខាន់
immature	មិនទាន់​ពេញវ័យ
immaturity	មិនទាន់គ្រប់លក្ខណៈ
immeasurable	immeasurable
immeasurably	អមតៈ
immediacy	immediacy
immediate	ភ្លាម
immediately	ភ្លាម
immemorial	immemorial
immense	យ៉ាងសម្បើម
immerse	ជ្រមុជ
immersion	ជ្រមុជទឹក
immigrant	ជនអន្តោប្រវេសន៍
immigration	អន្តោប្រវេសន៍
imminent	imminent
immobile	immobile
immoral	អសីលធម៌
immorality	អសីលធម៌
immortal	អមតៈ
immortality	អមតភាព
immovable	អចលនទ្រព្យ
immune	ភាពស៊ាំ
immunity	អភ័យឯកសិទ្ធិ
immunization	ចាក់ថ្នាំបង្ការរោគ
immutable	មិនប្រែប្រួល
imp	imp
impact	ផលប៉ះពាល់
impair	ឱនភាព
impaired	ខ្សោយ
impairment	ឱនភាព
impart	impart
impartial	មិនលំអៀង
impartiality	មិនលំអៀង
impassable	មិនអាចទៅរួច
impassioned	រំភើប
impatience	អត់ធ្មត់
impatient	អត់ធ្មត់
impatiently	NO TRANSLATION
impeach	impeach
impeachment	impeachment
impeccable	គ្មានកំហុស
impede	រារាំង
impediment	ឧបសគ្គ
impelled	ជំរុញ
impending	កំពុងរង់ចាំ
impenetrable	មិនអាចច្របាច់បញ្ចូល
imperative	ចាំបាច់
imperceptible	មិនដឹង
imperfect	មិនល្អឥតខ្ចោះ
imperfection	ភាពឥតគ្រប់ល័ក្ខណ៍
imperfectly	មិនល្អឥតខ្ចោះ
imperial	អធិរាជ
imperialist	NO TRANSLATION
impermeable	impermeable
impermissible	មិនអាចទទួលយកបាន
impersonal	មិនចាំបាច់
impersonate	ក្លែងបន្លំ
impersonation	ក្លែងបន្លំ
impersonator	ក្លែងបន្លំ
impertinence	impertinence
impertinent	impertinent
impervious	មិនអាចធ្វើបាន
impetuous	ធុញទ្រាន់
impetus	កម្លាំងរុញច្រាន
implacable	គួរឱ្យស្អប់
implant	implant
implantation	implantation
implanted	ដាំ
implement	អនុវត្ត
implicate	ជាប់ទាក់ទង
implicated	ពាក់ព័ន្ធនឹង
implication	ការជាប់ទាក់ទង
implied	implied
implore	អង្វរ
implosion	implosion
imply	បញ្ជាក់
impolite	អសមត្ថភាព
import	នាំចូល
importance	សារៈសំខាន់
important	សំខាន់
importation	នាំចូល
impose	ដាក់
imposing	imposing
imposition	ការដាក់ពាក្យ
impossibility	មិនអាចទៅរួចទេ
impossible	មិនអាចទៅរួចទេ
impostor	អ្នកបញ្ឆោត
impotence	អសមត្ថភាព
impotent	អសមត្ថភាព
impound	បង្ក្រាប
impoverished	ក្រីក្រ
impracticable	មិនអាចទៅរួចទេ
impractical	អសមត្ថភាព
impregnable	មិនអាចគិតបាន
impregnate	impregnate
impress	គួរ​ឱ្យ​ចាប់អារម្មណ៍
impressed	គួរឱ្យចាប់អារម្មណ៍
impression	អារម្មណ៍
impressionable	គួរឱ្យចាប់អារម្មណ៍
impressive	គួរឱ្យចាប់អារម្មណ៍
imprint	បោះពុម្ព
imprison	ដាក់ពន្ធនាគារ
imprisoned	ដាក់ពន្ធនាគារ
imprisonment	ការដាក់ពន្ធនាគារ
improbable	មិនគួរឱ្យជឿ
impromptu	impromptu
improper	មិនត្រឹមត្រូវ
impropriety	ខុស
improve	កែលម្អ
improved	ធ្វើឱ្យប្រសើរឡើង
improvement	កែលម្អ
improves	ធ្វើឱ្យប្រសើរឡើង
improving	ធ្វើឱ្យប្រសើរឡើង
improvisation	ការច្នៃប្រឌិត
improvise	improvise
improvised	improvised
imprudent	មិនប្រុងប្រយ័ត្ន
impudence	មិនល្អ
impudent	ឃោរឃៅ
impulse	ជំរុញ
impulsive	ស្រើបស្រាល
impunity	និទណ្ឌភាព
impure	មិនបរិសុទ្ធ
impurity	កខ្វក់
imputation	ការចោទប្រកាន់
imtryingtosleep	NO TRANSLATION
inability	អសមត្ថភាព
inaccessible	មិនអាចចូលបាន
inaccurate	មិនត្រឹមត្រូវ
inaction	អសកម្ម
inactivate	អសកម្ម
inactivation	អសកម្ម
inactive	អសកម្ម
inactivity	អសកម្ម
inadequacy	មិនគ្រប់គ្រាន់
inadequate	មិនគ្រប់គ្រាន់
inadequateness	មិនគ្រប់គ្រាន់
inadmissible	មិនទទួលខុសត្រូវ
inadvertent	inadvertent
inadvertently	ដោយចៃដន្យ
inaffable	NO TRANSLATION
inalienable	មិនអាចលុបចោលបាន
inane	inane
inanimate	inanimate
inapplicable	មិនអាចប្រើបាន
inappropriate	មិនសមរម្យ
inattention	inattention
inaudible	inaudible
inaugural	សម្ពោធ
inaugurate	សម្ពោធ
inauguration	ពិធីសម្ពោធ
inborn	កំណើត
inbound	ចូលមក
inbred	inbred
incalculable	មិនអាចគិតលេខបាន
incandescent	incandescent
incantation	ការបញ្ចាំង
incapable	មិនអាចធ្វើបាន
incapacity	អសមត្ថភាព
incarceration	ឃុំឃាំង
incarnate	incarnate
incase	ក្រែងលោ​រ
incendiary	ឆេះ
incense	គ្រឿងក្រអូប
incensed	ខឹង
incentive	ការលើកទឹកចិត្ត
inception	ការចាប់ផ្តើម
incessant	ឥតឈប់ឈរ
incessantly	ឥតឈប់ឈរ
incest	សាច់ញាតិ
incestuous	មានសណ្តាប់ធ្នាប់
inch	inch
incidence	ឧប្បត្តិហេតុ
incident	ឧប្បត្តិហេតុ
incidental	ដោយចៃដន្យ
incidentally	ជួបដោយចៃដន្យ
incineration	ឡដុត
incinerator	ឡដុត
incipient	កំណើត
incision	វះកាត់
incisive	incisive
incite	ញុះញង់
incitement	ញុះញង់
inclement	inclement
inclination	ទំនោរ
incline	បង្វិល
inclined	inclined
include	រួមបញ្ចូល
included	រួមបញ្ចូល
including	រួមទាំង
inclusion	ការដាក់បញ្ចូល
inclusive	បញ្ចូល​គ្នា
incognito	អនាមិក
incoherent	មិនសមស្រប
income	ចំណូល
incoming	ចូល
incomparable	មិនអាចប្រៀបផ្ទឹមបាន
incompatible	មិនឆបគ្នា
incompetence	អសមត្ថភាព
incompetent	អសមត្ថភាព
incomplete	មិនពេញលេញ
incompletely	មិនពេញលេញ
incompleteness	មិនពេញលេញ
incomprehensible	មិនអាចយល់បាន
inconceivable	មិនអាចយល់បាន
inconclusive	មិនប្រាកដ
incongruous	incongruous
inconsequential	មិនសមរម្យ
inconsiderate	មិនជឿ
inconsistency	មិនជាប់លាប់
inconsistent	មិនជាប់លាប់
inconspicuous	មិនច្បាស់លាស់
incontinence	មិនដឹងខ្លួន
inconvenience	ការរអាក់រអួល
inconvenient	មិនស្រួល
incorporate	បញ្ចូល
incorporation	បញ្ចូល
incorrect	មិន​ត្រឹមត្រូវ
incorrigible	incorrigible
increase	កើនឡើង
increased	បានកើនឡើង
incredible	មិន​គួរ​ឱ្យ​ជឿ
incredulous	មិនជឿ
increment	កើនឡើង
incriminate	incriminate
incriminating	incriminating
incrimination	ការចោទប្រកាន់
incubation	incubation
incubator	incubator
incubus	incubus
incumbent	អ្នកកាន់តំណែង
incur	ទទួលរង
incurable	មិនអាចព្យាបាលបាន
incursion	ការលុកលុយ
indebted	ជំពាក់
indecency	ភាពមិនសមរម្យ
indecent	មិនសមរម្យ
indecision	indecision
indecisive	មិនសម្រេច
indefensible	indefensible
indefinite	មិនកំណត់
indelible	មិនជ្រះ
indemnification	សំណង
indemnify	សងបំណុល
indemnity	សំណង
indent	ចូលបន្ទាត់
indentation	ការចូលបន្ទាត់
indenture	indenture
independence	ឯករាជ្យ
independent	ឯករាជ្យ
indescribable	មិនអាចសរសេរបាន
indestructible	indestructible
indeterminate	indeterminate
index	លិបិក្រម
indicate	បង្ហាញ
indicating	បង្ហាញ
indication	ការបង្ហាញ
indicative	បង្ហាញ
indicator	សូចនាករ
indice	NO TRANSLATION
indict	ចោទប្រកាន់
indictment	ការចោទប្រកាន់
indie	indie
indifference	ការព្រងើយកន្តើយ
indifferent	ព្រងើយកន្តើយ
indigenous	ជនជាតិភាគតិច
indigent	កង្វះខាត
indigestion	ការរំលាយអាហារ
indignant	ខឹង
indignation	កំហឹង
indignity	កំហឹង
indigo	indigo
indirect	ដោយប្រយោល
indiscreet	indiscreet
indiscretion	indiscretion
indispensable	មិនអាចខ្វះបាន
indisposed	មិនដឹងខ្លួន
indistinct	មិនច្បាស់លាស់
indistinguishable	មិនអាចយល់បាន
individual	បុគ្គល
individuality	បុគ្គល
indivisible	មិនអាចបំបែកបាន
indoctrination	indoctrination
indolent	អត់ទ្រាំ
indomitable	indomitable
indoor	ក្នុងផ្ទះ
induce	កំប្លែង
induced	បណ្តាលឱ្យ
inducement	ការលើកទឹកចិត្ត
induction	induction
indulge	បណ្ដោយតាម
indulgence	indulgence
indulgent	indulgent
industrial	ឧស្សាហកម្ម
industrialist	ឧស្សាហកម្ម
industrious	ឧស្សាហ៍
industry	ឧស្សាហកម្ម
ineffable	មិនអាចអត់អោនបាន
ineffective	គ្មានប្រសិទ្ធភាព
ineffectual	គ្មានប្រសិទ្ធភាព
inefficiency	អប្រសិទ្ធិភាព
inefficient	គ្មានប្រសិទ្ធភាព
inelastic	inelastic
ineligible	មិនមានសិទ្ធិ
inept	inept
ineptitude	អសមត្ថភាព
inequality	វិសមភាព
inequitable	មិនយុត្តិធម៌
inert	inert
inertia	និចលភាព
inevitable	ជៀសមិនរួច
inexact	មិនត្រឹមត្រូវ
inexcusable	inexcusable
inexhaustible	មិនចេះអស់
inexpensive	មិនថោក
inexperience	គ្មានបទពិសោធន៍
inexperienced	គ្មានបទពិសោធន៍
inexplicable	មិនអាចពន្យល់បាន
inexpressible	មិនអាចនិយាយបាន
infallibility	ភាពឥតខ្ចោះ
infallible	មិនអីទេ
infamous	កខ្វក់
infamy	កខ្វក់
infancy	ទារក
infant	ទារក
infanticide	ទារក
infantile	ទារក
infantry	ថ្មើរជើង
infarct	infarct
infatuated	ពេញចិត្ត
infatuation	ការបញ្ឆោត
infeasible	មិនអាចប្រើបាន
infect	ឆ្លង
infection	ការ​ឆ្លង​មេរោគ
infectious	ឆ្លង
infer	infer
inference	ការសន្និដ្ឋាន
inferential	inferential
inferior	ទាបជាង
inferiority	អន់ជាង
infernal	infernal
inferno	ភ្លើង
infertile	មិនមានកូន
infertility	ភាពគ្មានកូន
infestation	ការឆ្លងរាលដាល
infidel	មិនស្មោះត្រង់
infidelity	ភាពមិនស្មោះត្រង់
infield	infield
infiltrate	ជ្រៀតចូល
infiltration	ជ្រៀតចូល
infinite	គ្មានកំណត់
infinitely	គ្មានកំណត់
infinitesimal	infinitesimal
infinity	គ្មានកំណត់
infirm	ពិការ
infirmary	គិលានដ្ឋាន
infirmity	ពិការភាព
inflammation	ការរលាក
inflammatory	ការរលាក
inflatable	អតិផរណា
inflate	បំប៉ោង
inflated	អតិផរណា
inflation	អតិផរណា
inflection	ការបំផ្លាញ
inflict	ធ្វើឱ្យឈឺចាប់
infliction	ការដាក់កំហិត
inflorescence	inflorescence
influence	ឥទ្ធិពល
influential	មានឥទ្ធិពល
influenza	គ្រុនផ្តាសាយ
influx	ហូរចូល
info	ព័ត៌មាន
infomercial	infomercial
inform	ជូនដំណឹង
informal	មិនផ្លូវការ
informant	ព័ត៌មាន
information	ព័ត៌មាន
informative	ព័ត៌មាន
informed	ជូនដំណឹង
informer	ព័ត៌មាន
infraction	បទល្មើស
infrared	អ៊ីនហ្វ្រារ៉េដ
infrastructure	ហេដ្ឋារចនាសម្ព័ន្ធ
infrequent	មិនទៀងទាត់
infrequently	មិនសូវមាន
infringement	ការរំលោភបំពាន
infuriate	កំហឹង
infuriated	ខឹង
infuriates	infuriates
infuriating	កំសត់
infuse	បញ្ចូល
infused	បញ្ចូល
infuser	infuser
infusion	infusion
ingenious	វិស្វកម្ម
ingenuity	ភាពវៃឆ្លាត
ingest	ingest
ingestion	ការផឹក
ingot	ដាវ
ingrained	ingrained
ingrate	អើរ
ingredient	គ្រឿងផ្សំ
ingress	ចូល
inhabit	ប្រជាជន
inhabitant	ប្រជាជន
inhabited	ទីលំនៅ
inhabiting	រស់នៅ
inhalation	ហឺត
inhale	ស្រូបចូល
inhaler	inhaler
inherent	inherent
inherit	មរតក
inheritance	មរតក
inhibit	រារាំង
inhibition	ការរារាំង
inhibitor	inhibitor
inhospitable	អផ្សុក
inhuman	អមនុស្សធម៌
inhumane	អមនុស្សធម៌
inhumanity	អមនុស្សធម៌
inimaginable	NO TRANSLATION
inimical	រន្ធត់
inimitable	inimitable
iniquity	អំពើទុច្ចរិត
initial	ដំបូង
initiate	ផ្តួចផ្តើម
initiated	ផ្តួចផ្តើម
initiation	ផ្តួចផ្តើម
initiative	ផ្តួចផ្តើម
inject	ចាក់
injection	ចាក់
injunction	បញ្ជា
injure	រងរបួស
injured	រងរបួស
injuring	រងរបួស
injurious	រងរបួស
injury	របួស
injustice	ភាពអយុត្តិធម៌
ink	ទឹកថ្នាំ
inkling	inkling
inland	ទឹកសាប
inlay	inlay
inlet	ច្រកចូល
inmate	អ្នកទោស
inn	ផ្ទះសំណាក់
innards	innards
innate	ពីកំណើត
inner	ខាងក្នុង
innermost	នៅខាងក្នុងបំផុត
innerpeace	NO TRANSLATION
inning	inning
innings	វេន
innkeeper	អនាម័យ
innocence	ភាពគ្មានទោសពៃរ៍
innocent	គ្មានទោស
innocently	ស្លូតត្រង់
innocuous	innocuous
innovate	ច្នៃប្រឌិត
innovation	ការបង្កើតថ្មី
innovative	ច្នៃប្រឌិត
innuendo	រឿងមិនពិត
innumerable	innumerable
inoculation	inoculation
inoperable	មិនអាចប្រតិបត្តិបាន
inoperative	អសមត្ថភាព
inordinate	អន់ជាង
inorganic	inorganic
input	បញ្ចូល
inquest	ការសាកសួរ
inquire	សួរ
inquirer	សួរ
inquiring	សួរ
inquiry	សំណួរ
inquisitive	ចង់ដឹង
inquisitor	សួរ
insane	ឆ្កួត ៗ
insanity	វិកលចរិត
insatiable	insatiable
inscription	សិលាចារឹក
inscrutable	inscrutable
insect	សត្វល្អិត
insecticide	ថ្នាំសម្លាប់សត្វល្អិត
insecure	គ្មានសុវត្ថិភាព
insecurity	អសន្តិសុខ
insemination	insemination
insensitive	insensitive
inseparable	មិនអាចញែកដាច់ពីគ្នា
insert	បញ្ចូល
inserted	បានបញ្ចូល
insertion	បញ្ចូល
inside	នៅខាងក្នុង
insider	ខាងក្នុង
insidious	insidious
insight	ការយល់ដឹង
insightful	ច្បាស់លាស់
insignia	សញ្ញា
insignificance	មិនសំខាន់
insignificant	មិនសំខាន់
insinuate	insinuate
insipid	insipid
insist	ទទូច
insistence	ទទូច
insistent	ទទូច
insists	ទទូច
insolence	ភាពក្លាហាន
insolent	insolent
insoluble	មិនរលាយ
insolvency	ក្ស័យធន
insolvent	មិនអាចសងបំណុល
insomnia	ការគេងមិនលក់
insomniac	insomniac
inspect	ត្រួតពិនិត្យ
inspection	អធិការកិច្ច
inspector	អធិការកិច្ច
inspiration	ការបំផុសគំនិត
inspirational	បំផុសគំនិត
inspire	ជម្រុញ
inspired	បំផុសគំនិត
instability	អស្ថិរភាព
install	ដំឡើង
installation	ដំឡើង
installment	ដំឡើង
instance	ឧទាហរណ៍
instant	ភ្លាម
instantaneous	ភ្លាមៗ
instantaneously	ភ្លាមៗ
instigate	ញុះញង់
instigation	instigation
instill	instill
instinct	សភាវគតិ
instinctive	សភាវគតិ
institute	វិទ្យាស្ថាន
institution	ស្ថាប័ន
instruct	ណែនាំ
instructed	ណែនាំ
instruction	ការណែនាំ
instructional	ការណែនាំ
instructions	ការណែនាំ
instructive	ណែនាំ
instructor	គ្រូ
instrument	ឧបករណ៍
instrumental	ឧបករណ៍
instrumentalist	ឧបករណ៍
instrumentality	ឧបករណ៍
insubordination	insubordination
insufferable	insufferable
insufficiency	មិនគ្រប់គ្រាន់
insufficient	មិន​គ្រប់គ្រាន់
insufficiently	មិនគ្រប់គ្រាន់
insular	insular
insulate	អ៊ីសូឡង់
insulated	អ៊ីសូឡង់
insulation	អ៊ីសូឡង់
insulin	អាំងស៊ុយលីន
insult	ប្រមាថ
insulting	ប្រមាថ
insurance	ការធានា
insure	ធានា
insurgent	អ្នកបះបោរ
insurmountable	insurmountable
insurrection	ការបះបោរ
intact	នៅដដែល
intake	ទទួលទាន
intangible	អរូបី
integer	ចំនួនគត់
integral	អាំងតេក្រាល
integrate	រួមបញ្ចូល
integration	សមាហរណកម្ម
integrity	សុចរិត
intellect	បញ្ញា
intellectual	បញ្ញា
intelligence	ចារកម្ម
intelligent	ឆ្លាត
intelligibility	ភាពវៃឆ្លាត
intelligible	ឆ្លាតវៃ
intend	មានបំណង
intended	មានបំណង
intending	មានបំណង
