Word	sq
irrigate	ujit
irrigation	ujitje
irritability	nervozizëm
irritable	nervoz
irritate	pezmatoj
irritated	inatosur
irritates	irriton
irritating	i nevrikosshëm
irritation	acarim
island	ishull
isle	ujdhesë
islet	ishull
isolate	izoloj
isolated	i izoluar
isolation	izolim
isomorphism	isomorphism
isothermal	izotermal
isotope	izotop
issue	çështje
itch	kruarje
itching	që kruhet
itchy	itchy
item	artikull
itemize	shënoj
items	artikuj
iterate	iterate
iteration	përsëritje
iterative	përsëritës
itinerant	shëtitës
itinerary	itinerar
ivory	fildish
jab	goditje
jabber	llomotis
jack	krik
jackal	çakall
jackass	gomar
jacket	xhaketë
jackhammer	Jackhammer
jackpot	çmim i parë
jackrabbit	Jackrabbit
jacks	jacks
jade	lodh
jaded	i lodhur
jag	NO TRANSLATION
jagged	i dehur
jaguar	jaguar
jail	burg
jailbird	i burgosur
jailbreak	jailbreak
jailer	rojtar burgu
jailhouse	Jailhouse
jalopy	karakatinë
jam	bllokim
jamboree	festë
jammed	jammed
jammer	Jammer
janitor	portier
janitorial	janitorial
japan	Japoni
jar	qyp
jargon	zhargon
jarhead	Jarhead
jarring	luhatje
jasmine	jasemi
jasper	kuarc i kuq
jaundice	verdhëz
jaunt	ekskursion
java	Java
javelin	shtizë
jaw	nofulla
jawbone	nofull
jaws	gryke
jay	jay
jazz	xhaz
jazzy	xhazi
jealous	xheloz
jealousy	xhelozi
jean	jean
jeans	xhinse
jeep	xhips
jeering	tallës
jelly	pelte
jellybean	karamele
jellyfish	kandil deti
jenny	femër
jeopardize	rrezikoj
jeopardy	rrezik
jerk	hov
jerks	jerks
jerky	i tharë
jersey	triko
jest	NO TRANSLATION
jester	shakaxhi
jesus	Jezu
jet	reaktiv
jetty	bankinë
jewel	xhevahir
jeweler	argjendar
jewelry	stoli
jib	flok
jiff	NO TRANSLATION
jiffy	çast
jig	shabllon
jiggle	tund
jigsaw	bashkim pjesësh figure
jihad	xhihat
jimmy	hap me levë
jingle	gërvisht
jinx	sjell ters
jitters	ankth
jittery	nervoz
jive	xhaz
job	punë
jobinterview	NO TRANSLATION
jock	Jock
jockey	kalorës
jockstrap	brekë të shtërnguara për sportistët
jog	shkund
jogger	vrapues me ecje të shuar
john	nevojtore
join	bashkohem
joined	bashkuar
joining	bashkim
joint	i përbashkët
jointly	bashkë
joke	shaka
joker	shakaxhi
joking	shaka
jolly	i këndshëm
jolt	goditje
jornada	NO TRANSLATION
jot	çikë
jour	NO TRANSLATION
journal	ditar
journalism	gazetari
journalist	gazetar
journalistic	gazetaresk
journey	udhëtim
journeyman	punëtor i kualifikuar
joust	bëj dyluftim
jovial	gazmor
joy	hare
joyful	i gëzuar
joyous	i gëzuar
joyride	joyride
joys	gëzime
jubilant	i ngazëllyer
jubilee	jubile
judge	gjyqtar
judged	i gjykuar
judging	gjykuar
judgment	gjykim
judgmental	gjykues
judicial	gjyqësor
judiciary	gjyqësor
judicious	i mençur
judo	xhudo
jug	ibrik
juggle	mashtroj
juggler	manipulim
juggling	mashtrim
jugular	i qafës
juice	lëng
juicer	shtrydhëse frutash e perimesh
juicy	me lëng
juju	NO TRANSLATION
juke	Juke
jukebox	Jukebox
jumble	grumbull
jumbled	jumbled
jumbo	vigan
jump	kërcim
jump rope	litar kërcimi
jumper	bluzë
jumpsuit	jumpsuit
jumpy	i nevrikosur
junction	bashkim
juncture	rrethana
jungle	që jeton në xhungël
junior	i ri
juniper	dëllinjë
junk	vjeturina
junket	gosti
junkie	shitës droge
junky	norkoman
junkyard	junkyard
junta	juntë
juridical	gjyqësor
jurisdiction	jurisdiksion
jurisprudence	jurisprudencë
jurist	jurist
juror	anëtar jurie
jury	juri
justice	drejtësi
justifiable	i justifikueshëm
justification	justifikim
justify	arsyetoj
juststop	NO TRANSLATION
justthebeginning	NO TRANSLATION
jute	jute
juvenile	i ri
juxtaposition	ballafaqim
kaiser	Kaizër
kale	lakër jeshile
kaleidoscope	kaleidoskop
kamikaze	Kamikaze
kangaroo	kangur
kanji	Kanji
kappa	kapa
kaput	NO TRANSLATION
karaoke	karaoke
karate	karate
karma	karma
karmic	karmike
kayak	kajak
kazoo	kazoo
kebab	qebap
keel	anije
keen	i mprehtë
keep	mbaj
keeper	portier
keeping	mbajtje
keepsake	dhuratë për kujtim
keg	tinar
kelp	leshterik
ken	ken
kennel	lukuni
kerchief	shami koke
kern	këmbësor i lehtë
kernel	thelb
kerosene	vajguri
ketchup	keçap
kettle	ibrik
key	Celës
keyboard	tastierë
keyed	i akorduar
keyhole	vrimë e çelësit
keynote	kryesor
keypad	tastiera
keystone	parim baz
keyword	fjalen
khaki	kaki
khan	han
kibble	kibble
kick	shkelm
kickboxing	kikboksit
kicker	rreng
kicking	kicking
kickoff	fillimit
kid	fëmijë
kidder	Kidder
kidding	shaka
kiddo	Kiddo
kiddos	kiddos
kidnap	rrëmbej me dhunë
kidnapped	rrëmbyer
kidnapper	rrëmbyes fëmijësh
kidnapping	rrëmbim fëmijësh
kidney	veshkë
kids	fëmijët
kill	vras
killer	vrases
killing	vrasje
killjoy	Killjoy
kiln	furrë
kilo	NO TRANSLATION
kilogram	kilogram
kilometer	kilometër
kilt	fustanellë
kimono	kimono
kin	farefisnor
kind	lloj
kindergarten	kopsht fëmijësh
kindling	dru
kindness	mirësi
kindred	farefisi
kinematics	kinematikë
kinesiology	kinesiology
kinetic	kinetik
king	mbret
king snake	gjarpër i mbretit
kingdom	mbretëri
kingpin	Kingpin
kink	ngërç
kinky	i çuditshëm
kinship	lidhje familiare
kiosk	kiosk
kirk	kishë
kiss	puthje
kisser	gojë
kissy	kissy
kit	kit
kitchen	kuzhinë
kite	qift
kitten	kotele
kiwi	kivi
klutz	i ngathët
knack	aftësi
knapsack	çantë shpine
knead	gatuaj
knee	gju
kneecap	kneecap
kneel	bie në gjunjë
kneeling	gjunjëzim
knell	shenjë e kobshme
knick	knick
knickers	kilota burrash
knife	thikë
knight	kalorës
knighthood	kalorësi
knit	thur
knob	çelës
knock	trokas
knockoff	pa leje
knockout	nokaut
knoll	breg
knot	nyjë
knots	nyje
knotted	knotted
know	di
knowing	duke e ditur
knowingly	me dashje
knowledge	njohuri
knowledgeable	i mirinformuar
knuckle	noçkë
knucklehead	knucklehead
knuckles	grusht hekuri
koala	koalë
kook	NO TRANSLATION
kooky	kooky
kool-aid	Kool-ndihmës
kos	Kos
kosher	i drejtë
kraut	NO TRANSLATION
kris	kris
kryptonite	Kryptonite
kudos	famë
kumquat	Kumquat
lab	laborator
label	etiketë
labor	i punës
laboratory	laborator
labored	i mundimshëm
laborer	punëtor
laboring	punëtor
laborious	i mundimshëm
labyrinth	labirint
lac	lac
lace	lidhëse
laceration	grisje
lack	mungesë
lackey	lake
lacking	i mangët
lackluster	pa shkëlqim
lacquer	llak
lacrosse	LaCrosse
lactose	lactose
lad	djalosh
ladder	shkallë
laddie	djalosh
laden	i ngarkuar
lading	ngarkesë
ladle	nxjerr para
lady	zonjë
lady bug	NO TRANSLATION
ladybug	mollëkuqe
ladylike	i edukuar
ladyship	zonjë
lag	vonesë
lager	NO TRANSLATION
lagging	mbetur
lagoon	lagunë
lair	varr
laity	laikët
lake	liqen
lama	NO TRANSLATION
lamb	mish qengji
lame	i çalë
lament	vajtoj
lamenting	qarë
lamina	fletë
laminated	i petëzuar
lamp	llambë
lamppost	shtyllë dritash rrugore
lance	bisturi
lancer	heshtar
land	tokë
landed	zbriti
landfall	zbarkim
landfill	groposje
landing	ulje
landlady	pronare
landlocked	i mbyllur
landlord	pronar
landmark	pikë referimi
lands	tokat
landscape	peizazh
landscaping	peizazhit
landslide	lumë votash
lane	korsi
language	gjuhe
languid	i dobët
languish	vuaj
languishing	i djegur
lanky	hollak
lantern	fanar
lap	prehër
lapdog	lapdog
lapel	jakë xhakete
lapse	gabim
lapsed	skaduar
laptop	kompjuter portativ
larceny	vjedhje
lard	sallo
larder	depo
large	i madh
larger	më e madhe
largo	NO TRANSLATION
lark	zbavitem
larva	larvë
laryngitis	pezmatim i fytit
larynx	laring
lasagna	Lazanja
laser	lazer
lash	valëvit
lass	vajzë
lasso	lak
lastday	NO TRANSLATION
lasting	i qëndrueshëm
lastminute	minutën e fundit
latch	shul
late	vonë
lateness	vonesë
latent	i fshehur
lateral	anësor
laterally	anash
latex	qumësht
lathe	torno
lather	siklet
latitude	gjerësi
latrine	nevojtore
latrines	WC
latte	Latte
lattice	grilë
laud	lavd
laudable	për t'u lëvduar
laudation	lavdërim
laudatory	lavdërues
laugh	qesh
laughable	për të qeshur
laughing	që qesh
laughingstock	NO TRANSLATION
laughs	qesh
laughter	e qeshur
launch	Nisja
launcher	mekanizëm lëshimi
launches	nis
launder	lahet
laundering	pastrimi
laundry	lavanderi
laureate	laureat
laurel	dafinë
laurels	nderime
lava	lavë
lavage	Lavage
lavatory	tualet
lavender	livando
lavish	bujar
law	ligj
lawful	i ligjshëm
lawless	pa ligje
lawlessness	shkelje ligjesh
lawman	Lawman
lawn	lëndinë
lawnmower	lawnmower
lawsuit	procedim
lawyer	avokat
lax	i shkujdesur
laxative	laksativ
lay	vë
layaway	layaway
layer	avokat
layered	layered
layman	laik
layout	plan urbanistik
layover	lebroz
laziness	përtesë
lazy	dembel
lazyday	lazyday
lea	fushë me bar
lead	shpie
leaded	plumb
leader	udhëheqës
leadership	udhëheqje
leading	kryesor
leads	çon
leaf	fletë
leaflet	fletëpalosje
leafy	i mbuluar me gjethe
league	ligë
leak	rrjedhje
leakage	rrjedhje
leaky	që pikon
lean	e varfër
leaned	përkuli
leaning	prirje
leap	kërcim
learn	mësoj
learned	i mesuar
learner	nxënës
learning	mësim
lease	qira
leash	treshe
leather	lëkurë
leathery	si lëkurë
leave	lë
leavemealone	leavemealone
leaving	duke lënë
lecherous	epshor
lecture	leksion
lecturer	lektor
ledge	parvaz
ledger	libër i llogarive
lee	i mbrojtur nga era
leech	rrodhe
leeches	Leeches
leer	NO TRANSLATION
leery	dyshues
lees	NO TRANSLATION
leeway	liri veprimi
left	majtas
leftout	NO TRANSLATION
leftover	të mbetura
leftovers	të lëna
lefty	Lefty
leg	këmbë
legacy	trashëgim
legal	legal
legality	ligjshmëri
legalize	legalizoj
legalized	legalizuar
legally	ligjërisht
legend	legjendë
legendary	legjendar
legibility	lexueshmëri
legible	i lexueshëm
legion	legjion
legislate	nxjerr ligje
legislation	legjislacion
legislative	legjislativ
legislator	ligjvënës
legislature	organ ligjvënës
legit	legit
legitimacy	ligjshmëri
legitimate	legjitime
lego	Lego
legs	këmbët
legume	fasule
legwork	legwork
leisure	kohës së lirë
leisurely	me nge
lemma	parathënie e shkurtër
lemon	limon
lemonade	limonadë
lend	jap
lender	huadhënës
lending	kreditimit
length	gjatësi
lengthen	zgjat
lengthened	zgjatet
lengthening	zgjatjen
lengthwise	së gjati
lengthy	i gjatë
leniency	butësi
lenient	i butë
lens	lente
leopard	leopard
leotard	kominoshe pa këmbë
leper	lebroz
leprechaun	Leprechaun
leprosy	lebër
lesbian	lezbike
lesbianism	lezbeizmi
lesion	plagë
less	më pak
lessee	qiramarrës
lessen	zvogëlohet
lessening	pakësim
lesser	më i vogël
lesson	mësim
lessor	qiradhënës
let	le të
lethal	vdekjeprurës
lethargic	letargjik
lethargy	letargji
letter	letër
lettered	i mësuar
letterhead	letër me kokë
lettering	mbishkrim
letters	letra
lettuce	marule
leukemia	leukimi
levee	ledh
level	nivel
lever	levë
leverage	levave
levitate	ngrihet në ajër
levy	vë taksa
lewd	i fëlliqur
lexicon	leksik
ley	NO TRANSLATION
liabilities	detyrimet
liability	detyrim
liable	përgjegjës
liaison	ndërlidhje
liar	gënjeshtar
libel	shpifje
libelous	shpifës
liberal	liberal
liberalism	liberalizëm
liberate	çliroj
liberated	çliruar
liberating	çliruese
liberation	çlirim
liberty	liri
libido	libido
librarian	Bibliotekar
library	librari
libretto	libret
lice	morrat
license	liçensë
lichen	liken
lick	lëpirje
licorice	jamball
lid	kapak
lie	gënjeshtër
liege	vasal
lien	barra
lieu	Lieu
lieutenant	toger
life	jetë
lifeblood	gjaku
lifeboat	varkë shpëtimi
lifeguard	kujdestar plazhi
lifeisgood	jeta eshte e mire
lifeless	i pajetë
lifelike	si i gjallë
lifeline	litar shpëtimi
lifelong	i përjetshëm
lifer	i dënuar me burgim të përjetshëm
lifesaver	lifesaver
lifestyle	jetesës
lifesucks	jeta ta shpif
lifetime	jetë
lift	ashensor
lifted	hiqet
liftoff	nisje
ligament	ligament
ligation	ligation
ligature	pe
light	dritë
light year	vit drite
lightbulb	Arrow
lighten	ndriçohet
lightheaded	lightheaded
lighthouse	far
lighting	ndriçim
lightness	mendjelehtësi
lightning	vetëtimë
lights	dritat
lightweight	peshë e lehtë
likable	i pëlqyeshëm
like	si
likelihood	mundësi
likely	i mundshëm
likeness	ngjashmëri
likewise	gjithashtu
liking	simpati
lilac	jargavan
lily	zambak
limb	gjymtyrë
limber	elastik
limbo	harresë
lime	gëlqere
limelight	dritë e fortë
limestone	gur gëlqeror
limey	anglez
limit	limit
limitation	kufizim
limited	i kufizuar
limitless	i pakufishëm
limo	limo
limousine	limuzinë
limp	i butë
lin	lin
line	linjë
lineage	prejardhje
lineal	trashëgimor
linear	linear
linebacker	linebacker
lined	rreshtuan
linen	lino
liner	astar
lines	linjat
lineup	rreshtoj
linger	zgjatem
lingerie	të brendshme femrash
lingering	këmbëngulës
lingo	zhargon
lingual	gjuhësor
linguini	linguini
linguist	gjuhëtar
linguistic	gjuhësor
linguistics	gjuhësi
lining	rreshtim
link	lidhje
linoleum	linoleum
lint	garzë
lion	luan
lip	cik
liposuction	Liposuction
lipstick	të kuq buzësh
liquefaction	lëngëzim
liquefied	lëngshëm
liqueur	liker
liquid	likuid
liquidate	likuidoj
liquidation	likuidim
liquidator	likuiduesi
liquidity	likuiditet
liquor	pije
lira	NO TRANSLATION
lisp	fëshfërimë
list	listë
listen	dëgjoj
listener	dëgjues
listenting	NO TRANSLATION
listing	listë
listless	i topitur
listneing	NO TRANSLATION
litany	përsëritje e mërzitshme
liter	litër
literacy	shkrim e këndim
literal	i saktë
literally	fjalë për fjalë
literary	letrare
literature	letërsi
lithe	i shkathët
lithium	litium
lithograph	litografi
lithography	litografi
lithology	litologjike
lithosphere	litosfera
litigant	ndërgjyqës
litigate	bëj gjyq me dikë
litigation	çështje gjyqësore
litigator	litigator
litigious	i diskutueshëm
litter	pjellë
little	pak
littlethings	gjera te vogla
littoral	bregdet
liturgy	liturgji
live	jetoj
livelife	Jeto Jeten
livelihood	jetesë
lively	gjallë
liven	gjallëroj
liver	mëlçi
livery	livre
livestock	bagëti
livid	i zbehtë
living	i gjallë
lizard	hardhucë
llama	Llama
lml	LML
load	ngarkesë
loader	hamall
loaf	copë
loafer	njeri që rri kot
loam	tokë pjellore
loan	hua
loath	ngurrues
loathe	urrej
loathful	i neveritshëm
loathing	urrejtje
loathsome	i neveritshëm
lobby	holl
lobbyist	lobist
lobe	lob
lobotomy	Lobotomy
lobster	karavidhe
local	lokal
locale	vendndodhje
locality	lokalitet
localization	lokalizimi
localize	lokalizoj
localized	lokalizuara
locate	gjetur
location	vend
locator	matës toke
loch	liqen
lock	bllokohet
locker	dollap me kyç
locket	medalion
locksmith	bravandreqës
lockup	kyç
loco	loco
locomotion	bartje
locomotive	lokomotivë
locust	karkalec
lode	NO TRANSLATION
lodge	shtëpizë
lodger	banonjës
lodging	banesë
loft	papafingo
lofty	i lartë
log	log
logarithm	logaritëm
logarithmic	logaritmike
logic	logjikë
logical	logjik
logistics	logjistikë
logo	logo
logotype	logotype
loin	NO TRANSLATION
lollipop	gjel sheqeri
lone	i vetëm
loneliness	vetmia
lonely	i vetmuar
loner	njeri i vetëm
lonesome	i vetmuar
long	gjatë
longboat	varkë e madhe
longevity	jetëgjatësi
longing	dëshirë e madhe
longitude	gjatësi
longitudinal	gjatësor
longitudinally	gjatësor
longtime	kohe e gjate
loo	nevojtore
look	shiko
looker	shikues
lookout	vëzhgim
loom	tezgjah
looming	kanosës
loon	djalë
loony	i krisur
loop	lak
loophole	shteg
loopy	i çmendur
loose	i lirë
loosen	liroj
loosening	lirimi
loot	pre
lop	rrëzohet
lopsided	i njëanshëm
lord	lord
lords	mëdhenjtë
lordship	zotërim
lore	dije
lorry	kamion
lose	humb
loser	dështak
losing	humbje
loss	humbje
lost	i humbur
lot	shumë
lotion	locion
lots	shumë
lottery	lotari
lotto	tombol
lotus	zambak uji
loud	me zë të lartë
loudly	me zë të lartë
loudmouth	poterexhi
loudness	loudness
loudspeaker	altoparlant
lounge	rri kot
lounging	lounging
louse	morr
lousy	i mbushur me morra
lovable	i dashur
love	dashuri
loved	dashur
lovee	lovee
loveee	loveee
loveless	pa dashuri
lovelife	NO TRANSLATION
loveliness	të qenët i këndshëm
lovelovelove	NO TRANSLATION
lovely	bukuroshe
lovemaking	lovemaking
lovemylife	e dua jeten time
lover	dashnor
lovesick	që vuan nga dashuria
lovethis	lovethis
loving	i dashuruar
lovinglife	lovinglife
lovinlife	lovinlife
low	ulët
lowdown	lowdown
lower	më i ulët
lowering	uljen
lowest	më të ulët
lowlands	ultësira
lowlife	Jeta e ulët
lowly	i ulët
lox	oksigjen i lëngët
loyal	besnik
loyalty	besnikëri
lsd	LSD
luau	luau
lube	lubrifikim
lubricant	lubrifikant
lubricate	lyej
lubrication	vajosje
lucid	i kthjellët
luck	fat
luckiest	fat
lucky	me fat
luckygirl	vajzë me fat
lucrative	fitimprurës
ludicrous	qesharak
lug	gdhe
luggage	valixhe
lukewarm	i vakët
lull	vë në gjumë
lullaby	ninull
lumbar	i mesit
lumber	lëndë druri
lumbering	prerje lënde drusore
lumberjack	grifshë
luminescent	Amazing
luminous	që shkëlqen
lump	gungë
lumpy	i trazuar
lunacy	çmenduri
lunar	i hënës
lunatic	i çmendur
lunch	drekë
lunchbox	kuti dreke
luncheon	drekë
lunchtime	mesditë
lung	mushkëri
lunge	zgjatem
lungs	mushkëritë
lurch	hedhje
lure	karrem
lurid	sensacional
lurk	rri në përgjim
lurking	përgjojnë
luscious	i ëmbël
lush	i shëndetshëm
lust	epsh
luster	famë
lustful	plot epsh
lustrous	i shndritshëm
lusty	i fuqishëm
lute	lahutë
luxuriant	i harlisur
luxurious	luksoz
luxury	luks
lycra	stilastik
lye	sodë kaustike
lying	të gënjyer
lymph	limfë
lymphatic	limfatik
lymphoma	limfome
lynch	vras
lynching	linçim
lynx	rrëqebull
lyre	lyre
lyric	lirik
lyrical	lirik
lyrics	tekst kënge
macadamia	macadamia
macarena	Macarena
macaroni	makarona
mace	topuz
mach	mach
machete	hanxhar
machine	makinë
machinery	makineri
machinist	mekanik
macho	macho
mackerel	skumbri
macro	makro
mad	i çmendur
madam	zonjë
madame	padrone
madden	çmendem
madder	madder
mademoiselle	NO TRANSLATION
mademyday	mademyday
madhouse	çmendinë
madman	i çmendur
madness	çmenduri
maestro	maestro
mafia	mafia
magazine	revistë
mage	magjistar
magenta	i purpurtë
maggot	krimb
magic	magji
magical	magjik
magician	magjistar
magistrate	gjyqtar
magma	magmë
magna	magna
magnate	manjat
magnesium	magnez
magnet	magnet
magnetic	magnetik
magnetism	magnetizëm
magnetite	magnetit
magnification	zmadhim
magnificence	madhësi
magnificent	madhështor
magnifier	zmadhues
magnify	lavdëroj
magnifying	zmadhues
magnitude	madhësi
magnolia	manjolia
magpie	laraskë
mahi mahi	NO TRANSLATION
mahjong	mahjong
mahogany	sofër
maid	çupë
maiden	beqare
mail	postë
mailbox	kuti postare
mailing	mailing
mailman	postier
maim	NO TRANSLATION
main	kryesor
mainframe	mainframe
mainland	kontinent
mainstay	shtyllë
mainstream	rrjedhë
maintain	mbaj
maintenance	mirëmbajtje
majestic	madhështor
majesty	madhështi
major	i madh
majority	shumicë
make	bëj
makeover	Makeover
maker	krijues
makeshift	i improvizuar
makesmehappy	NO TRANSLATION
makesmemad	NO TRANSLATION
makeup	kozmetikë
makingdisciples	NO TRANSLATION
malady	dobësi
malaise	gjendje e sëmurë
malaria	malarie
malarkey	malarkey
male	mashkull
malevolent	keqdashës
malfeasance	krim
malformation	cen
malfunction	keqfunksionim
malice	NO TRANSLATION
malicious	me qëllim të keq
malign	i keq
malignancy	keqdashje
malignant	i keq
maligned	maligned
mall	qendër tregtare
malleable	i lakueshëm
mallet	çekiç druri
malnutrition	mosushqim
malpractice	neglizhencë
malt	malt
mama	mama
mambo	mambo
mamma	NO TRANSLATION
mammal	gjitar
mammoth	vigan
mammy	mama
man	njeri
manage	menaxhuar
manageable	i dëgjueshëm
management	drejtuesit
manager	menaxher
managerial	drejtues
mandamus	mandamus
mandarin	mandarin
mandate	mandat
mandatory	i detyrueshëm
mandible	mandibula
mandolin	mandolinë
mandrel	mandrinë
mane	NO TRANSLATION
maneuver	manovër
maneuvering	manovrimi
mange	NO TRANSLATION
manger	grazhd
mangle	sakatoj
mango	mango
mangosteen	mangosteen
mangy	i zgjebosur
manhole	kapanxhë
manhood	burrëri
manhunt	kërkim i oganizuar i një krimineli
mania	mani
maniac	maniak
maniacal	maniake
manic	maniak
manicure	manikyr
manicurist	manikyrist
manifest	shfaq
manifestation	manifestim
manifested	manifestohet
manifestly	haptazi
manifesto	manifest
manifold	i shumëfishtë
manipulate	manipuloj
manipulation	manipulim
manipulative	manipuluese
mankind	njerëzim
manly	burrëror
manna	manë
manned	i drejtuar
mannequin	manekin
manner	mënyrë
mannered	me sjellje
manners	sjellje
manor	pronë e madhe
manpower	fuqi punëtore
mansion	rezidencë
mansions	pallate
manslaughter	vrasje e thjeshtë
mantel	buhari oxhaku
mantis	Mantis
mantle	mantel
mantra	Mantra
manual	udhëzues
manufacture	prodhim
manufacturer	prodhues
manufacturing	prodhimit
manure	pleh organik
manuscript	dorëshkrim
map	hartë
maple	panje
mar	mar
marathon	maratonë
marble	mermer
marbled	mermeri
marbles	lojë me rruzuj
march	marsh
mare	NO TRANSLATION
margarine	margarinë
margarita	margarita
margin	diferencë
marginal	anësor
mariachi	Mariachi
marijuana	marihuanë
marinara	Marinara
marine	detar
mariner	marinar
marital	martesor
maritime	detar
mark	shenjë
marked	shënuar
marker	shënues
market	treg
marketable	i shitshëm
marketing	marketing
marketplace	treg
marks	shënon
marksman	gjuajtës
marksmanship	qitje e përpiktë
marl	tokë
marmalade	marmelatë
maroon	ngjyrë gështenjë
marooned	marooned
marquee	çadër
marquis	markez
marred	prish
marriage	martesë
married	i martuar
marrow	palcë
marry	martohem
marsh	kënetë
marshal	marshall
marshmallow	alte
mart	pazar
martial	ushtarak
martingale	rrip freri
martini	martini
martyr	martir
martyrdom	therori
marvel	mrekulli
marvellous	i mrekullueshëm
marvelous	i mrekullueshëm
marvelously	mrekullueshme
marzipan	NO TRANSLATION
mascara	bojë për vetulla
mascot	nuskë
masculine	mashkullore
masculinity	mashkullorësi
mash	pure
mashed	pure
mask	maskë
masked	i maskuar
masks	maska
masochism	mazoshizëm
masochist	mazoshist
mason	mason
masquerade	maskaradë
mass	masë
massacre	masakër
massage	masazh
masses	masa popullore
masseur	masazhist
masseuse	masazhiste
massive	masiv
mast	direk
master	mjeshtër
masterful	mjeshtëror
mastermind	organizator
masterpiece	kryeveper
mastery	zotërim
masturbate	masturbohem
masturbation	masturbim
mat	mat
matador	matador
match	ndeshje
matchbook	Matchbook
matching	koordinim
matchmaker	mbles
mate	martohem
material	material
materialism	materializëm
materialist	materialist
materialistic	materialist
materiality	materialitet
materialize	materializohen
materially	materialisht
materials	Materiale
materiel	materialeve
maternal	nga ana e nënës
maternity	të lindjes
math	math
mathematical	matematik
mathematician	mathematikan
mathematics	Matematikë
matinee	artist që ka sukses
mating	mating
matriculation	amë
matrimony	martesë
matrix	matricë
matron	grua e martuar
matted	i papraruar
matter	çështje
matting	hasër
mattress	dyshek
maturation	qelbëzim
mature	i pjekur
maturity	pjekuri
maudlin	sentimental
mausoleum	mauzole
mauve	jargavani
maverick	rebel
maxim	parim
maximize	maksimizuar
maximum	maksimal
may	mund
mayday	sinjal ndërkombëtar fatkeqësie
mayflower	Mayflower
mayhem	sakatim
mayonnaise	majonezë
mayor	kryetar bashkie
maze	labirint
mead	livadh
meadow	livadh
meager	i dobët
meal	vakt
mean	do të thotë
meander	gjarpëroj
meandering	meandering
meanie	meanie
meaning	kuptim
meaningful	kuptimplotë
meaningless	pakuptimtë
meanness	poshtërsi
means	do të thotë
meantime	ndërkohë
measles	fruth
measurable	i matshëm
measure	masë
measured	matur
measurement	matje
measuring	matëse
measuring cup	matjen e filxhanit
measuring tape	matja e kasetës
meat	Mish
meatball	meatball
meathead	Meathead
meatloaf	rulet mishi
mechanic	mekanik
mechanical	mekanik
mechanics	mekanikë
mechanism	mekanizëm
med	NO TRANSLATION
medal	medalje
medallion	medalion
medallist	mbajtës medaljeje
meddle	përzihem
meddling	përzierja
media	media
medial	mesor
median	mesatare
mediate	ndërmjetës
mediation	ndërhyrje
mediator	ndërmjetës
medic	mjek
medical	mjekësor
medicate	NO TRANSLATION
medication	mjekim
medicinal	mjekësor
medicine	mjekësi
medieval	mesjetar
mediocre	mediokër
mediocrity	mediokëri
meditate	meditoj
meditating	medituar
meditation	përsiatje
meditative	meditues
mediterranean	mesdhetar
medium	medium
medley	përzierje
meek	i butë
meet	takim
meeting	takim
mega	mega
meh	meh
melancholic	melankolik
melancholy	melankolik
melee	përleshje
mellow	i butë
melodious	melodioz
melodrama	melodramë
melodramatic	melodramatik
melody	melodi
melon	pjepër
melt	shkrihet
meltdown	Shkrirja
melting	shkrirje
member	anëtar
membership	Anëtarësimi
membrane	membranë
memento	kujtim
memo	memorandum
memoir	biografi
memorabilia	relikeve
memorable	i paharrueshëm
memorandum	memorandum
memorial	përkujtim
memorials	kronikë
memories	kujtimet
memoriesiwontforget	NO TRANSLATION
memorize	mësoj përmendsh
memory	kujtim
menace	kërcënim
menacing	menacing
menagerie	kopsht zoologjik
mend	riparim
mending	riparim
menial	për shërbëtore
meningitis	meningjit
meniscus	menisk
menopause	menopauzë
menses	menstruacione
menstrual	menstrual
mental	mendor
mentalhealth	NO TRANSLATION
mentality	mentalitet
menthol	mentoll
mention	përmend
mentor	këshilltar
menu	menu
meow	mjau
mercantile	tregtar
mercenary	mercenar
merchandise	mallra
merchant	tregtar
merciful	i mëshirshëm
merciless	i pamëshirshëm
mercurial	i shpejtë
mercury	zhivë
mercy	mëshirë
mere	i thjeshtë
merengue	Merengue
merge	shkrihet
merger	bashkim
meridian	meridian
meridional	meridional
meringue	vezë e rrahur
merit	meritë
meritorious	i merituar
mermaid	sirenë
merriment	argëtim
merry	Gezuar
merrychristmas	NO TRANSLATION
mesa	Mesa
mescaline	Mescaline
mesh	rrjetë
meshes	meshes
mesmerized	mesmerized
mess	rrëmujë
message	mesazh
messedup	NO TRANSLATION
messenger	lajmëtar
messiah	Mesi
messy	i çrregullt
metabolic	metabolike
metabolism	metabolizëm
metal	metal
metallic	metalik
metallurgy	metalurgji
metamorphosis	metamorfozë
metaphor	metaforë
metaphorical	metaforik
metaphysical	metafizik
metaphysics	metafizikë
metastasis	metastazë
meteor	meteor
meteoric	meteorik
meteorite	meteorit
meteorological	meteorologjik
meteorology	meteorologji
meter	metër
meth	Metodologjia
methadone	metadon
methane	metan
methanol	methanol
method	metodë
methodical	metodik
methodology	metodologji
meticulous	tepër i përpiktë
metime	metime
metric	metrik
metrical	në vargje
metrology	metrologji
metropolis	metropol
metropolitan	metropolitan
mettle	temperament
mew	mjau
mezzanine	kat i ndërmjetëm
mica	mikë
mick	mick
micro	mikro
microbe	mikrob
microbiology	mikrobiologji
microchip	mikroçip
microcosm	mikrokosmë
microfilm	mikrofilm
microgram	mikrogramë
micrometer	mikrometër
micron	mikron
microphone	mikrofon
microscope	mikroskop
