Word	ga
microfilm	micreascannán
microgram	microgram
micrometer	micróiméadar
micron	micron
microphone	micreafón
microscope	micreascóp
microscopic	micreascópach
microscopically	micreascópach
microscopy	micreascópacht
microwave	micreathonn
mid	lár
midair	lár
midday	meán lae
middle	lár
middleman	lár fear
middleweight	meáchan
midget	meabhrach
midland	lár na tíre
midlife	midlife
midline	lárlíne
midnight	meán oíche
midshipman	meánmhéide
midst	midst
midsummer	meán lae
midterm	lár an mheán
midtown	lár an bhaile
midway	lárbhealach
midwife	cnáimhseach
midwifery	cnáimhseachas
mien	NO TRANSLATION
miffed	miffed
mighty	mighty
mignon	mignon
migraine	migraine
migrate	imirce
migration	imirce
migratory	imirceach
mike	mike
mil	NO TRANSLATION
mild	éadrom
mildew	mildew
mildness	mildness
mile	míle
mileage	míleáiste
milestone	cloch mhíle
militant	militíoch
militants	militants
military	míleata
militia	mílíste
milk	bainne
milkman	fear bainne
milkshake	milishake
milky	Bó Finne
mill	muileann
millennium	mílaoise
milligram	milleagram
millimeter	milliméadar
million	milliún
millionaire	millionaire
millionth	milliún bliain
millstone	muileann cloiche
mime	mime
mimic	mimic
mimicking	mimicking
mimicry	mimicry
mince	mince
mincemeat	mincemeat
mind	aigne
minded	minded
mindful	aireach
mindfulness	aireach
mindless	mindless
mine	mianach
minefield	minefield
miner	miner
mineral	mianraí
mineralogy	mineralogy
mingle	mingle
mingled	mingled
mini	mion
miniature	miniature
minibus	mionbhus
minim	NO TRANSLATION
minimal	íosta
minimize	íoslaghdú
minimized	íoslaghdú
minimum	íosmhéid
mining	mianadóireacht
minion	minion
minister	Aire
ministerial	aireach
ministry	aireacht
minivan	minivan
mink	mionc
minnow	minnow
minor	beagán
minority	mionlach
minstrel	minstrel
mint	mint
minty	minty
minuscule	minuscule
minute	nóiméad
minutiae	minutiae
minx	minx
mir	NO TRANSLATION
miracle	miracle
miracles	míorúiltí
miraculous	miraculous
mirage	mirage
mire	NO TRANSLATION
mirror	scáthán
mirth	mirth
misappropriation	mídhílsiú
misbehave	mí-iompar
misbehavior	mí-iompar
miscalculation	athchúrsáil
miscarriage	neamhbhras
miscellaneous	ilghnéitheach
miscellany	miscellany
mischief	mischief
mischievous	mischievous
misconception	míthuiscint
misconduct	mí-iompar
misdemeanor	mí-iompar
misdirection	misdirection
miser	miser
miserable	olc
miserably	mise
misery	trua
misfire	misfire
misfit	mí-oiriúnach
misfortune	míbhuntáiste
misguided	NO TRANSLATION
mishap	mishap
misinformed	misinformed
misinterpretation	míthuiscint
mislead	cuir bac ar
misleading	míthreorach
misled	misled
mismanagement	mí-bhainistíocht
mismatch	míchumais
mismatched	mí-mhainneachtain
misnomer	misnomer
misplace	misplace
misplaced	misplaced
misread	mí-léamh
misrepresent	mífhaisnéis
misrepresentation	mífhaisnéis
misrepresented	mífhaisnéis
miss	chailleann
missile	diúracán
missiles	diúracáin
missing	ar iarraidh
missingyou	NO TRANSLATION
mission	misean
missionary	miseanéireachta
misspell	misspell
misstatement	míreamh
missy	missy
mist	ceo
mistake	botún
mistaken	dearmad
mister	mister
mistletoe	mistletoe
mistreated	mí-iompar
mistress	máistreás
mistrial	mistrial
mistrust	mistrust
misty	misty
misunderstand	míthuiscint
misunderstanding	míthuiscint
misunderstood	misunderstood
misuse	mí-úsáid
mite	mite
miter	miter
mitigate	maolú
mitigating	maolú
mitigation	maolú
mitt	mitt
mitten	NO TRANSLATION
mitzvah	mitzvah
mix	meascán
mixed	measctha
mixedemotions	measctha
mixer	meascthóir
mixture	meascán
mnemonic	mhaolónta
moan	moan
moat	moat
mob	mob
mobile	soghluaiste
mobility	soghluaisteacht
mobilization	slógadh
mobilize	mobilize
mobster	mobster
mocha	mocha
mock	magadh
mocked	mocked
mockery	magadh
mocking	magadh
mockingbird	mockingbird
mod	mod
modal	modal
modality	modhanna
mode	mód
model	Mionsamhail
modeler	modeler
modeling	samhaltú
modem	modem
moderate	measartha
moderate anticipation	measartha measartha
moderate disgust	measartha disgust
moderate negative	measartha diúltach
moderate positive	measartha dearfach
moderate surprise	iontas measartha
moderate trust	iontaofa measartha
moderately	measartha
moderating	mhodhnú
moderation	measartha
moderator	moderator
modern	nua-aimseartha
modernism	nua-aimseartha
modest	measartha
modesty	modesty
modicum	modicum
modifiable	inathraithe
modification	modhnú
modified	modhnaithe
modify	mhodhnú
modulate	mhodhnú
modulation	modhnú
module	modúl
modulus	modulus
mogul	mogul
moiety	eile
moist	tais
moisture	taise
moisturizer	moisturizer
molar	molar
molasses	molasses
mold	múnla
molded	múnlaithe
molding	múnlú
moldy	múnlaithe
mole	caochÚn
molecular	móilíneach
molecule	móilín
molest	molest
molestation	molestation
molester	molester
molten	leáite
mom	Mam
moment	nóiméad
momentary	nóiméadach
momentous	mórán
momentum	móiminteam
momma	mamma
mommy	mamaí
monad	monad
monarch	monarch
monarchy	monarcacht
monastery	mainistir
monastic	manachaisteach
monetary	airgeadaíochta
money	airgead
mongoloid	mongoloid
mongoose	mongoose
mongrel	mongrel
monitor	monatóireacht a dhéanamh
monk	manach
monkey	moncaí
mono	NO TRANSLATION
monochrome	monacrómach
monogamous	monogamous
monogamy	monogamy
monogram	monogram
monogrammed	monogrammed
monograph	monagraf
monolayer	monolayer
monolith	monolith
monologue	monologue
monopolist	monopolist
monopoly	monaplacht
monotonous	monotonous
monotony	monotony
monoxide	aonocsaíde
monsieur	monsieur
monsoon	monsoon
monster	ollphéist
monstrosity	monstrosity
monstrous	monstrous
montage	montage
monte	monte
month	mí
monthly	míosúil
monument	séadchomhartha
monumental	monumental
moo	moo
mooch	mooch
mood	giúmar
moods	moods
moody	moody
moon	gealach
moonbeam	moonbeam
moonlight	solas na gealaí
moonlit	moonlit
moonshine	moonshine
moonstruck	moonstruck
moonwalk	moonwalk
moor	moor
moored	ceangailte
mooring	adhmadóireacht
moorings	taiscí
moorland	Móinteach
moose	moose
moot	moot
mooted	mooted
mop	mop
mope	mope
moped	moped
moral	morálta
morale	morale
morality	morálta
morals	moral
morass	morass
moratorium	moratóir
moray	moray
morbid	morbid
morbidity	morbacht
morbidness	morbidness
mores	mores
morgue	morgue
moribund	moribund
morn	morn
morning	maidin
moron	amadán
moronic	moronic
morose	morose
morph	morph
morphine	moirfín
morphism	morphism
morphology	moirfeolaíocht
morrow	maidin
morsel	morsel
mortal	mortal
mortality	mortlaíocht
mortar	moirtéal
mortgage	morgáiste
mortgagee	morgáistí
mortgagor	morgáisteoir
mortician	mortician
mortification	morghnú
mortified	mhoillithe
mortuary	mortuary
mosaic	mósáic
mosey	mosey
mosque	mosque
mosquito	mosquito
moss	caonach
mossy	caonach
mote	NO TRANSLATION
motel	motel
moth	moth
mother	Máthair
motherfucker	motherfucker
motherfucking	motherfucking
motherhood	máithreachas
motherland	motherland
motherless	gan máthair
motherly	motherly
motif	móitíf
motion	tairiscint
motionless	gan tairiscint
motivate	spreagadh
motivating	spreagadh
motivation	spreagadh
motivational	spreagúil
motive	rún
motley	motley
motor	mótair
motorbike	gluaisrothar
motorboat	motorboat
motorcade	motorcade
motorcar	motorcar
motorcycle	gluaisrothar
motorist	mótair
motte	motte
mottled	móide
motto	mana
mould	múnla
mound	mound
mount	mount
mountain	sliabh
mountaineer	mountaineer
mountainous	sléibhte
mountains	sléibhte
mountaintop	sliabh
mourn	brón
mournful	brónach
mourning	caoineadh
mouse	luch
mousetrap	mousetrap
mousse	mousse
moustache	croiméal
mousy	mousy
mouth	béal
mouthful	béal
mouthpiece	béal
mouthwash	béal
movable	iniompartha
move	bogadh
movement	gluaiseacht
mover	mover
movie	scannán
movies	scannáin
moving	ag bogadh
movingforward	NO TRANSLATION
movingon	ag leanuint ar aghaidh
mow	mow
mower	mower
moxie	moxie
mozzarella	mozzarella
mri	mri
muchneeded	NO TRANSLATION
mucis	NO TRANSLATION
muck	muck
mucked	mucked
mucous	mucous
mucus	mucus
mud	láibe
muddle	muddle
muddled	muddled
muddy	muddy
muff	muff
muffin	muffin
muffled	muffled
muffler	muffler
mug	mug
mugger	mugger
mulberry	mulberry
mulch	mulch
mule	mule
mull	mull
mullet	mullet
multilateral	iltaobhach
multimedia	ilmheán
multinational	ilnáisiúnta
multiple	il
multiple sclerosis	scléaróis iolrach
multiplex	ilphléacs
multiplication	iolrú
multiplicity	iolrachas
multiplied	iolraithe
multiplier	iolraitheoir
multiply	iolrú
multitude	an iliomad
mum	mum
mumble	mumble
mumbo	mumbo
mummy	mummy
mumps	mumps
munch	munch
munchies	munchies
munchkin	munchkin
mundane	mundane
municipal	cathrach
municipality	bhardas
mural	mural
murder	dúnmharú
murderer	murtóir
murderess	murderess
murderous	dúnmharfach
murky	murky
murmur	murmur
muscle	muscle
muscular	mhatánach
muse	Muse
muses	muses
museum	músaem
mush	NO TRANSLATION
mushroom	muisiriún
mushy	mushy
music	Ceol
musical	ceoil
musician	ceoltóir
musing	ag caint
musk	musc
musket	musket
musketeer	musketeer
muskrat	muskrat
muslin	muslin
muss	NO TRANSLATION
must	ní mór
mustang	mustang
mustard	mustaird
muster	cnámh
musty	musty
mutable	mutable
mutant	mutant
mutate	mutate
mutation	mutation
mute	mute
muted	fuaim
mutilate	mutilate
mutilated	mutilated
mutilation	milleadh
mutiny	coitianta
mutt	mutt
mutter	NO TRANSLATION
mutton	caoireoil
mutual	frithpháirteach
mutually	ar a chéile
muzzle	muzzle
myfavorite	myfavorite
myopia	myopia
myopic	myopic
myriad	mórleibhéal
mysterious	mistéireach
mystery	mistéireach
mystic	mistéireach
mystical	mystical
mysticism	mistéireacht
mystified	mianaithe
mystique	mystique
myth	miotas
mythic	miotasach
mythical	miotasach
mythological	miotaseolaíoch
mythology	miotaseolaíocht
nab	nab
nacho	nacho
nada	NO TRANSLATION
nadir	nadir
nag	NO TRANSLATION
nail	ingne
nail gun	gunna ingne
naive	naive
naked	naked
nakedness	nakedness
namaste	NO TRANSLATION
name	ainm
named	ainmnithe
nameless	gan ainm
namesake	ainmneacha
naming	ainmniú
nana	nana
nanny	nanny
nanometer	nanaiméadar
nap	nap
napalm	napalm
nape	nape
napkin	naipcín
napping	napping
nappy	clúidín
narcissism	narcissism
narcissist	narcissist
narcissistic	narcissistic
narcotic	támhshuanacha
narrate	narrate
narration	scéalta
narrative	scéalta
narrator	narrator
narrow	caol
narrowing	caolú
nasal	nasal
nascent	nascent
nasty	olc
natal	natal
nation	náisiún
national	náisiúnta
nationality	náisiúntacht
nationwide	ar fud na tíre
native	dúchais
nativity	nativity
natural	nádúrtha
natural gas	gás nádúrtha
naturalist	nádúrtha
naturalization	nádúrthaithe
naturalized	nádúrthaithe
naturally	go nádúrtha
nature	nádúr
naught	naught
naughty	dána
nausea	nausea
nauseate	nauseate
nauseating	nauseating
nauseous	nauseous
nautical	farraige
nautilus	nautilus
naval	cabhlach
nave	eaglais
navel	navel
navigable	inseolta
navigate	nascleanúint
navigation	nascleanúint
navigational	loingseoireachta
navigator	navigator
navy	Nádúrtha
nay	NO TRANSLATION
nearsighted	nearsighted
neat	néata
neatly	go néata
nebula	nebula
nebulae	nebuláin
nebulous	nebulous
necessarily	gá
necessary	riachtanach
necessitate	gá
necessities	riachtanais
necessity	riachtanas
neck	muineál
necklace	muince
necktie	necktie
necromancer	necromancer
necrosis	necróis
nectar	neachtar
need	gá
needalife	NO TRANSLATION
needed	is gá
needful	riachtanach
needit	NO TRANSLATION
needle	snáthaid
needlepoint	snáthaidphointe
needles	snáthaidí
needless	gan ghá
needtoknow	needtoknow
needtorelax	NO TRANSLATION
needy	riachtanach
nefarious	neamhfhiosach
negation	diúltú
negative	diúltach
negativity	negativity
neglect	faillí
neglected	ndearnadh faillí orthu
neglecting	faillí
negligee	faillí
negligence	faillí
negligent	faillíoch
negligently	NO TRANSLATION
negligible	neamhbhríoch
negotiable	soshannta
negotiate	dul i mbun caibidlíochta
negotiation	idirbheartaíocht
negotiator	idirbheartaí
negro	dubh
neigh	comharsa
neighbor	comharsa
neighborhood	comharsanacht
neighboring	comharsanacht
nemesis	nemesis
neon	neon
neonatal	neonatal
neophyte	neophyte
neoprene	neoprene
nephew	nia
nepotism	nepotism
nerd	nerd
nerdy	nerdy
nerve	nerve
nerves	nerves
nervous	néarógach
nervousness	nervousness
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	ness
nest	nead
nestle	nead
nestling	nead
net	glan
nether	níos lú
netting	glanadh
nettle	léasach
network	líonra
networking	líonrú
neural	nóral
neuralgia	nóralgia
neurological	néareolaíoch
neurologist	néareolaí
neurology	néareolaíocht
neurosis	neuróis
neurosurgeon	neurirurgeon
neurosurgery	neur-máinliacht
neurotic	neurotic
neuter	nóter
neutral	neodrach
neutrality	neodracht
neutralize	neodrú
neutron	neodrón
new	nua
new age	aois nua
newbeginnings	NO TRANSLATION
newborn	nuabheirthe
newcomer	núíosach
newday	newday
newfound	nua
newjob	NO TRANSLATION
newlife	saol nua
newly	nua
newlywed	nua-aimseartha
newme	nua
newness	nuacht
news	nuacht
newscast	nuachtlitir
newscaster	nuachtóirse
newsflash	scáileán nuachta
newsletter	nuachtlitir
newsman	nuachtán
newspaper	nuachtán
newspaperman	nuachtán
newsreel	nuachtlitir
newsroom	seomra nuachta
newsstand	nuachtán
newstart	newstart
newt	ainmhithe
newyear	NO TRANSLATION
nexus	nexus
nib	nib
nibble	nibble
nice	deas
niche	nideoige
nichts	NO TRANSLATION
nick	nic
nickel	nicil
nickname	leasainm
nicotine	nicotín
niece	niece
nifty	nifty
nigger	nigger
nigh	nigh
night	oíche
nightcap	nightcap
nightclub	Club oíche
nightfall	oíche
nightgown	nightgown
nightie	nightie
nightingale	nightingale
nightlife	nightlife
nightly	oíche
nightmare	nightmare
nightmares	oíche
nightstand	nightstand
nightstick	oíche
nighttime	tráthnóna
nihilism	nihilism
nil	nil
nimble	nimble
nimrod	nimrod
nincompoop	nincompoop
nine	naoi
nineteen	naoi mbliana déag
ninety	nócha
ninja	ninja
ninny	ninny
nintendo	nintendo
ninth	naoú
nip	nip
nipper	nipper
nipple	nipple
nippy	nippy
nitrate	níotráit
nitro	nítr
nitrogen	nítrigine
nitrous	nítriúil
nitwit	nitwit
nix	nix
no anticipation	gan réamh-mheas
no disgust	gan súile
no emotion	gan mothúchán
no sentiment	gan aon tuairim
no surprise	gan aon iontas
no trust	gan aon iontaobhas
nobility	uaisle
noble	uasal
nobleman	uasal
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	tráthnóna
nod	nod
nodding	nodding
node	nód
nodular	nodular
nodule	nodule
noggin	noggin
nohope	NO TRANSLATION
noir	noir
noise	torann
noisy	noisy
nomad	nomad
nomadic	ainmniúil
nomenclature	ainmníocht
nominal	ainmniúil
nominate	ainmnigh
nomination	ainmniúchán
nominee	ainmnitheach
nonce	nonce
nonchalant	nonchalant
noncompliance	neamhchomhlíonadh
nondescript	nondescript
nonexistent	neamhshóisialta
nonfat	nonfat
nonfiction	neamhfheistiú
nonpayment	neamhíocaíocht
nonresident	nonresident
nonsense	nonsense
nonsensical	nonsensical
nonviolent	neamhghruthach
noob	noob
noodle	noodle
nook	nook
noon	meán lae
noose	noose
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	gnáth
normal	gnáth
normalcy	normalcy
normality	normality
north	ó thuaidh
northbound	thuaidh thuaidh
northeast	oirthuaisceart
northern	Thuaidh
northwest	Iarthuaisceart
northwestern	northwestern
noschool	NO TRANSLATION
nose	srón
nosebleed	nosebleed
nosey	nosy
nosnow	tráthnóna
nostalgia	cumha
nostalgic	cumhachrach
nostress	NO TRANSLATION
nostril	nostril
nosun	NO TRANSLATION
nosy	nosy
not negative	ní diúltach
not positive	ní dearfach
notable	suntasach
notables	notables
notably	go háirithe
notamorningperson	NO TRANSLATION
notary	nótaire
notation	nodaireacht
notch	nóta
notched	tugtha
note	Nóta
notebook	leabhar nótaí
noted	faoi ​​deara
noteworthy	suntasach
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	rud ar bith
notice	Fógra
noticeable	faoi ​​deara
notification	fógra
notify	fógra a thabhairt
notion	coincheap
notional	barúlach
notoriety	notoriety
notorious	cáiliúil
notready	nach bhfuil
notwithstanding	ainneoin
nought	naught
noun	ainmfhocal
nourish	cothaigh
nourishment	cothaithe
nouveau	NO TRANSLATION
novel	úrscéal
novelist	úrscéalaí
novelty	nuachta
novice	novice
nowadays	lá atá inniu ann
nowork	nowork
noworries	ná bí buartha
noxious	imní
nozzle	nozzle
nuance	nuance
nuances	nuances
nuclear	núicléach
nucleus	núicléas
nude	nude
nudge	nudge
nudie	nudie
nudist	nudist
nudity	nudity
nugget	nugget
nuisance	núis
nuke	nuke
nul	NO TRANSLATION
null	null
nullify	nullify
numb	numb
number	uimhir
numbering	uimhriú
numbers	uimhreacha
numbness	numbness
numbskull	numbskull
numeral	uimhir
numerator	uimhritheoir
numerical	uimhriúil
numerically	uimhriúil
numerous	iomadúla
nun	NO TRANSLATION
nunchucks	monacháin
nunnery	neadlann
nuptials	nuptials
nurse	altra
nursemaid	maighdean mná
nursery	naíolann
nursing	altranais
nurture	a chothú
nut	cnó
nutcase	nutcase
nutcracker	cnónna
nuthouse	nuachta
nutmeg	nutmeg
nutrition	cothú
nutritional	cothaitheacha
nutritious	cothaitheach
nutritive	cothaitheach
nuts	cnónna
nutshell	nuashonraithe
nutty	nutty
nylon	níolón
nylong	NO TRANSLATION
nylons	nylons
nymph	nymph
nymphomaniac	nymphomaniac
oaf	oaf
oak	darach
oar	oar
oasis	oasis
oat	coirce
oath	mionn
oatmeal	mhin choirce
obedience	obedience
obedient	obedient
obediently	obediently
obelisk	obelisk
obese	murtallach
obesity	murtall
obey	obey
obi	obi
obit	obit
obituary	obituary
object	réad
objection	agóid
objectionable	agóid
objective	cuspóir
objectivity	oibiachtúlacht
obligation	oibleagáid
obligatory	éigeantach
oblige	iallach
obliged	oibleagáid
obliging	oibleagáid
obligor	oibleagáid
oblique	oblique
obliterate	easpaitear
obliterated	neamhshuite
obliteration	maolú
oblivion	dearmad
oblivious	aisteach
oblong	oblong
obnoxious	éagrach
oboe	oboe
obscene	géar
obscenity	géarchacht
obscure	doiléir
obscured	maraitheadh
obscurity	doiléir
observance	urramú
observant	breathnóir
observation	breathnóireacht
observatory	réadlann
observe	breathnú
observer	breathnóir
observing	ag breathnú
obsess	obsess
obsessed	obsessed
obsessing	obsessing
obsession	obsession
obsessive	obsessive
obsolescence	forlámhas
obsolete	i léig
obstacle	bac
obstetrician	cnáimhseoir
obstetrics	cnáimhseachas
obstinate	seasmhach
obstruct	bacainn
obstruction	bac
obstructive	bacainn
obtain	fuair
obtainable	a fháil
obtuse	maolú
obverse	toradh
obvious	soiléir
ocarina	ocarina
occasion	ócáid
occasional	ó am go chéile
occasionally	ó am go chéile
occipital	ócáideach
occlusion	occlusion
occult	asarlaíochta
occupancy	áitiú
occupant	áititheoir
occupation	slí bheatha
occupational	ceirde
occupied	áitithe
occupier	áititheoir
occupy	áitiú
occupying	áitiú
occur	tarlú
occurrence	tarlú
ocd	ocd
ocean	farraige
oceanic	Aigéan
octagon	ochtagán
octave	ochtamh
octopus	ochtapas
ocular	ocular
odd	corr
oddball	oddball
oddity	oddity
odds	odds
ode	ode
odious	odious
odometer	odometer
odor	boladh
odyssey	odyssey
oedipal	aoisipal
oestrogen	estrogen
oeuvre	NO TRANSLATION
offal	ciontach
offence	cionta
offend	cionta
offended	chiontaigh
offender	ciontóir
offense	cionta
offensive	ionsaitheacha
offer	tairiscint
offered	ar fáil
offering	ag tairiscint
offhand	de láimh
office	oifig
officer	oifigeach
offices	oifigí
official	oifigeach
officiate	oiliúint
offing	cionta
offload	ualach
offset	fritháireamh
offshoot	as
offshore	amach ón gcósta
offside	taobh thiar
offspring	sliocht
oft	crann
oftentimes	de ghnáth
ogre	ogre
ohdear	NO TRANSLATION
ohgod	NO TRANSLATION
ohno	Ó níl
ohshit	NO TRANSLATION
oil	ola
oils	olaí
oily	olacha
oink	oink
ointment	ointment
okra	okra
old	Sean
olden	olden
older	níos sine
oldie	oldie
oldies	oldies
olfactory	olfactory
oligarchy	oligarchy
olive	olóige
omega	omega
omelet	omelet
omen	omen
omgomgomg	NO TRANSLATION
ominous	ominous
omission	neamhghníomh
omit	fág
omitted	fágtha ar lár
omnibus	omnibus
omnipotence	omnipotence
omnipotent	omnipotent
omnipresent	omnipresent
omniscient	omniscient
onboard	Ar mbord
oncologist	oncologist
oncology	oncology
oncoming	ag teacht
one	ceann amháin
oneday	NO TRANSLATION
onedge	ar imeall
onelove	grá amháin
oneness	oneness
onerous	tromchúiseach
oneself	féin
ongoing	leanúnach
onion	oinniún
onset	ag tosú
onslaught	onslaught
onstage	ar stáitse
ontology	ontology
onus	oireann
onward	ar aghaidh
onyx	onyx
oodles	oodles
oomph	oomph
ooze	ooze
oozing	oozing
op	op
opacity	inmharthanacht
opal	opal
opaque	teimhneach
ope	oibriú
open	oscailte
opener	oscailteoir
opening	oscailt
openly	go hoscailte
openness	oscailteacht
opera	ceoldráma
operate	oibriú
operatic	oibreach
operation	oibriú
operational	oibríochtúil
operations	oibríochtaí
operative	oibritheach
operator	oibreoir
ophthalmic	oftalmach
ophthalmologist	oftailmeolaí
opiate	opiate
opinion	tuairim
opinionated	tuairim
opium	opium
opponent	comhraic
opportune	tráthúil
opportunism	opportunism
opportunity	deis
oppose	i gcoinne
opposed	i gcoinne
opposing	i gcoinne
opposite	os coinne
opposites	coimhdeachtaí
opposition	freasúra
oppress	brúigh
oppressed	brúite
oppression	brú
oppressive	oppressive
oppressor	brúiteoir
ops	ops
opt	roghnaigh
optic	optic
optical	optúil
optics	optics
optimism	dóchas
optimist	optimist
optimistic	dóchasach
optimum	is fearr
option	rogha
optional	roghnach
optionally	roghnach
options	roghanna
optometrist	optometrist
opulence	opulence
opulent	inghlactha
opus	opus
oracle	oracle
oral	ó bhéal
orange	Oráiste
orange juice	sú oráiste
orangutan	orangután
oration	oration
orator	orator
oratory	Oireachtas
orb	orb
orbit	orbit
orbital	orbital
orbiting	orbiting
orbs	orbs
orc	orc
orchard	úlloird
orchestra	ceolfhoireann
orchid	magairlín
ordained	ordained
ordeal	ordeal
order	ordú
orderly	ordúil
ordinance	ordan
ordinary	gnáthnós
ordination	comhordú
ordnance	ordanáis
ore	méine
oregano	oregano
organ	orgán
organic	orgánach
organism	orgánach
organist	orgánach
organization	eagraíocht
organize	eagraigh
organized	eagraithe
organizer	eagraí
orgasm	orgasm
orgies	orgies
orgy	orgy
orient	orient
oriental	oirthearacha
orientation	treoshuíomh
orifice	orifice
origami	origami
origin	tionscnaimh
original	bunaidh
originality	úrnuacht
originate	bunaidh
origination	bunaidh
originator	tionscnóir
ornament	ornáid
ornamental	ornáideach
ornamentation	ornáidiú
ornamented	ornáideach
ornate	admhaithe
ornery	ornery
orphan	dílleachta
orphanage	dílleachtlann
orphaned	dílleachta
orthodontist	orthodontóir
orthodox	orthodox
orthodoxy	orthodoxy
orthogonal	orthogonal
orthopedic	ortaipéideach
oscillate	oscillate
oscillating	oscillating
oscillation	ascalaithe
oscillatory	oscillatory
ostensible	ostensible
ostensibly	ostensibly
ostentatious	caolmhar
ostracized	neamhchruinnithe
ostrich	ostrich
other	eile
otter	dobharrach
otto	otto
ottoman	ottoman
ought	ba chóir
ounce	unsa
oust	oust
outage	easpa
outback	outback
outbid	toradh
outboard	ar bord
outbreak	ráig
outburst	toradh
outcast	scamallach
outcome	toradh
outcry	outcry
outdated	as dáta
outdo	amach
outdoor	lasmuigh
outdoors	lasmuigh
outer	seachtrach
outfit	cháir
outgoing	ag dul as oifig
outgrow	outgrow
outgrowth	easnamh
outhouse	outhouse
outing	dul amach
outlandish	taitneamhach
outlast	thar lear
outlaw	neamhdhleathach
outlet	asraon
outline	imlíne
outlines	imlíne
outlive	thar lear
outlook	dearcadh
outlying	taobh amuigh
outnumber	níos mó
outpatient	othar seachtrach
outpost	amach
outpouring	ag taisteal amach
output	aschur
outrage	mealladh
outraged	aisteach
outrageous	aisteach
outrank	outrank
outreach	for-rochtana
outright	amach is amach
outrun	as
outset	tús
outsider	taobh amuigh
outskirts	imeall
outsmart	outsmart
outspoken	outspoken
outstanding	gan íoc
outstretched	scaipthe amach
outward	amach
outwards	amach
outweigh	níos mó ná sin
outwit	as
oval	oval
ovary	ovary
ovate	ovate
ovation	ovation
oven	oigheann
overactive	róghníomhach
overall	tríd is tríd
overalls	foriomlán
overbearing	ró-ghrá
overburden	overburden
overcast	scamallach
overcharged	overcharged
overcoat	cóta
overcome	shárú
overcoming	sárú
overcrowded	plódaithe
overdo	overdo
overdose	ródháileog
overdrive	overdrive
overdue	thar téarma
overestimate	ró-mheastachán
overestimated	ró-mheasta
overflow	overflow
overflowing	thar maoil
overgrown	ró-fhada
overgrowth	overgrowth
overhanging	overhanging
overhaul	athchóiriú
overhead	forchostais
overhear	ag léamh
overheated	róthéite
overjoyed	gleoite
overkill	overkill
overlaid	overlay
overlap	forluí
overlapping	forluí
overlay	forleagan
overload	ró-ualach
overlook	overlook
overlord	overlord
overlying	os a chionn
overpaid	ró-íoctha
overpass	overpass
overplayed	overplayed
overpower	overpower
overpowering	overpowering
overpriced	overpriced
overprotective	overprotective
overrated	overrated
overreact	overreact
override	déan neamhaird
overriding	róshásta
overrule	overrule
overrun	overrun
oversee	maoirseacht a dhéanamh
overseer	maoirseoir
overshadow	os cionn
oversight	maoirseacht
oversized	ró-mhór
overslept	overslept
overstate	ró-mheas
overstock	overstock
overt	follasach
overtake	dul siar
overtaken	ag dul siar
overthemoon	NO TRANSLATION
overthinker	toirmeasc
overthinking	overthinking
overthrow	threascairt
overtime	thar am
overtired	scoirfidh
overture	overture
overturn	droim ar ais
overview	forbhreathnú
overweight	róthrom
overwhelm	súile
overwhelmed	faoi ​​léigear
overwhelming	mór
overworked	ró-oibrithe
overwrought	overwrought
overzealous	róbhruthach
owe	is dócha
owing	de bharr
owl	ulchabhán
owner	úinéir
ownership	úinéireacht
ox	damh
oxidation	ocsaídiú
oxide	ocsaíd
oxygen	ocsaigine
oxymoron	oxymoron
oyster	oisrí
ozone	ózóin
pace	luas
pacemaker	caorach
pacific	pacánta
pacified	daingnithe
pacifier	pacifier
pacifist	pacifist
pacify	pacify
pacing	ag pacáil
pack	pacáiste
package	pacáiste
packaging	pacáistiú
packer	pacálaí
packet	pacáiste
pact	comhaontú
pad	ceap
padded	padded
padding	stuáil
paddle	paddle
paddle boat	bád paddle
paddock	paddock
paddy	Paddy
padlock	padlock
padre	NO TRANSLATION
paean	paean
pagan	paganach
paganism	paganachas
page	leathanach
pageant	leathanach
pager	pager
pagination	páipéar
paging	paging
pagoda	pagoda
pail	pail
pain	pian
pained	pained
painful	pianmhar
painfully	go pianmhar
painkiller	painkiller
painless	gan pian
pains	pianta
painstaking	painstaking
paint	péint
paintball	paintball
paintbrush	péinteanna bruscair
painted	péinteáilte
painter	péintéir
painting	péinteáil
pair	péire
paisley	Pádraig
pajama	pajama
pajamas	pajamas
pal	pal
palace	Palace
palatable	taitneamhach
palate	comhlata
pale	pale
paleontology	paleontology
palette	pailéad
pall	pall
palladium	Pallaidiam
pallet	pailléid
palliative	maolaitheach
palm	pailme
palmer	palmer
palomino	palomino
palpable	palpable
palpitations	palpitations
palsy	pairilis
paltry	paltry
pamper	pamper
pamphlet	leabhrán
pan	uile
panacea	panacea
panache	panache
pancake	pancóg
pancakes	pancóga
pancreas	briseán
panda	panda
pandemic	paindéim
pandemonium	pandemonium
pane	pane
panel	painéal
pang	NO TRANSLATION
panhandle	panhandle
panic	scaoll
panicattack	NO TRANSLATION
panicked	panicked
panicking	bualadh
panicky	panicky
panier	NO TRANSLATION
panorama	panorama
panoramic	panoramic
pansy	pansy
pant	pant
