Word	gd
lymph	lymph
lymphatic	lymphatic
lymphoma	lymphoma
lynch	lynch
lynching	lynching
lynx	lynx
lyre	lyre
lyric	lyric
lyrical	liriceach
lyrics	lyrics
macadamia	macadamia
macarena	macarena
macaroni	macaroni
mace	mace
mach	mach
machete	machete
machine	inneal
machinery	innealraidh
machinist	mach
macho	macho
mackerel	rionnach
macro	macro
mad	cuthach
madam	mnainn-uasal
madame	s an Iar-
madden	madden
madder	inbheach
mademoiselle	NO TRANSLATION
mademyday	mademyday
madhouse	màthair
madman	màthair
madness	cuthach
maestro	maestro
mafia	mafia
magazine	iris
mage	mage
magenta	magenta
maggot	maggot
magic	draoidheachd
magical	draoidheil
magician	draoidh
magistrate	magistrate
magma	magma
magna	magna
magnate	magnate
magnesium	magnesium
magnet	magnet
magnetic	magnetach
magnetism	magnetism
magnetite	magnetite
magnification	meudachadh
magnificence	àrdachadh
magnificent	iongantach
magnifier	àrdachadh
magnify	àrdachadh
magnifying	meudachadh
magnitude	meudachd
magnolia	magnolia
magpie	magpie
mahi mahi	NO TRANSLATION
mahjong	mahjong
mahogany	mahogany
maid	maighdeann
maiden	maighdeann
mail	phost
mailbox	puist-d
mailing	sgaoileadh
mailman	phost
maim	NO TRANSLATION
main	prìomh
mainframe	mainframe
mainland	tìr-mòr
mainstay	prìomh-chùis
mainstream	prìomh-shruthach
maintain	cumail suas
maintenance	cumail suas
majestic	maiseach
majesty	majesty
major	mòr
majority	mhòr-chuid
make	dèan
makeover	sgaoileadh
maker	dèanamh
makeshift	sgaoileadh
makesmehappy	NO TRANSLATION
makesmemad	NO TRANSLATION
makeup	Dèan suas
makingdisciples	NO TRANSLATION
malady	malady
malaise	maiseachadh
malaria	malaria
malarkey	malarkey
male	fireann
malevolent	droch ghiùlan
malfeasance	malfeasance
malformation	malformation
malfunction	dì-obrachadh
malice	NO TRANSLATION
malicious	maiseach
malign	aodach
malignancy	mì-ghnàthachadh
malignant	neònach
maligned	mì-chinnteach
mall	sgaoileadh
malleable	mì-chomasach
mallet	mallet
malnutrition	droch shlàinte
malpractice	dhuilgheadas
malt	braich
mama	mama
mambo	mambo
mamma	NO TRANSLATION
mammal	mamal
mammoth	Mamot
mammy	mammy
man	fear
manage	riaghladh
manageable	urrainnear
management	riaghladh
manager	manaidsear
managerial	riaghladh
mandamus	mandamus
mandarin	mandarin
mandate	òrdugh
mandatory	èigneachail
mandible	mandebal
mandolin	mandolin
mandrel	mèirleach
mane	NO TRANSLATION
maneuver	gluasad
maneuvering	gluasad
mange	NO TRANSLATION
manger	manaidsear
mangle	mangle
mango	mango
mangosteen	mangosteen
mangy	mangy
manhole	manhole
manhood	daonnachd
manhunt	s an Iar-
mania	mania
maniac	maniac
maniacal	maniacal
manic	manic
manicure	aodach
manicurist	manicurist
manifest	follaiseach
manifestation	nochdadh
manifested	nochdadh
manifestly	gu follaiseach
manifesto	manifesto
manifold	manifold
manipulate	obrachadh
manipulation	cleachdadh
manipulative	làimhseachadh
mankind	cinne-daonna
manly	gu math
manna	manna
manned	luchd-obrach
mannequin	mannequin
manner	s an Iar-
mannered	mùthaidhean)
manners	modhan
manor	manair
manpower	daonna
mansion	taigh mòr
mansions	mansions
manslaughter	daonnachadh
mantel	còmhdach
mantis	Mantis
mantle	cuibhle
mantra	mantra
manual	làimhe
manufacture	dèanamh
manufacturer	dèanamh cinnteach
manufacturing	saothrachadh
manure	aodach
manuscript	làmh-sgrìobhainn
map	mapa
maple	maple
mar	mara
marathon	marathon
marble	marmor
marbled	marmor
marbles	marbles
march	Am Màrt
mare	NO TRANSLATION
margarine	margarine
margarita	margarita
margin	iomall
marginal	iomallach
mariachi	mariachi
marijuana	marijuana
marinara	marinara
marine	mara
mariner	seòladair
marital	pòsaidh
maritime	mara
mark	chomharra
marked	comharraichte
marker	comharraiche
market	margaidh
marketable	margaidh
marketing	margaideachd
marketplace	margaidh
marks	comharran
marksman	mar mhanaidsear
marksmanship	comharradh-comharran
marl	marl
marmalade	marmalade
maroon	Maroon
marooned	s an Iar-
marquee	marcae
marquis	marcas
marred	marbh
marriage	pòsadh
married	phòs
marrow	mèirleach
marry	pòsadh
marsh	boglach
marshal	marshal
marshmallow	marshmallow
mart	mart
martial	armachd
martingale	Dimàirt
martini	Dimàirt
martyr	mairtire
martyrdom	martyrdom
marvel	mìorbhaileach
marvellous	iongantach
marvelous	iongantach
marvelously	iongantach
marzipan	NO TRANSLATION
mascara	mascara
mascot	suaichnean
masculine	fireann
masculinity	fireann
mash	mash
mashed	sgeadachadh
mask	masg
masked	air a chòmhdach
masks	masg
masochism	bochdaidheachd
masochist	bochlach
mason	clachair
masquerade	masquerade
mass	mòr
massacre	murt
massage	massage
masses	mòr
masseur	masseur
masseuse	masseuse
massive	mòr
mast	crann
master	maighstir
masterful	maighstir
mastermind	maighstir
masterpiece	annas-làimhe
mastery	maighstireachd
masturbate	sgaoileadh
masturbation	sgaoileadh
mat	mat
matador	matador
match	gèam
matchbook	geama
matching	a 'maidseadh
matchmaker	gàirdean
mate	càraid
material	stuth
materialism	stuthan
materialist	stuthan
materialistic	bòidheach
materiality	stuth
materialize	sgaoileadh
materially	gu math
materials	stuthan
materiel	materiel
maternal	màthair
maternity	màthaireachd
math	math
mathematical	matamataig
mathematician	matamataig
mathematics	matamataig
matinee	saoghail
mating	a 'coiseachd
matriculation	matriculation
matrimony	bàsachadh
matrix	matrix
matron	matron
matted	s an Iar-
matter	rudeigin
matting	buain
mattress	bobhstair
maturation	maturation
mature	inbheach
maturity	inbheachd
maudlin	maudlin
mausoleum	mausoleum
mauve	mauve
maverick	s an Iar-
maxim	maxim
maximize	àrdachadh
maximum	as àirde
may	A’ Chèitean
mayday	mayday
mayflower	mayflower
mayhem	sgaoileadh
mayonnaise	mayonnaise
mayor	maraiche
maze	maze
mead	mead
meadow	gàrradh
meager	dona
meal	biadh
mean	ciallachadh
meander	saoghail
meandering	sgoltadh
meanie	meanie
meaning	ciallachadh
meaningful	brìoghmhor
meaningless	gun bhrìgh
meanness	meanness
means	ciallachadh
meantime	eadar-theangachadh
measles	a 'ghriùthlach
measurable	tomhas
measure	tomhas
measured	tomhais
measurement	tomhas
measuring	tomhas
measuring cup	cupan a thomhas
measuring tape	teip tomhais
meat	feòil
meatball	meatball
meathead	meathead
meatloaf	meatloaf
mechanic	meacanaig
mechanical	meicnigeach
mechanics	meacanaig
mechanism	innleachd
med	NO TRANSLATION
medal	bonn
medallion	medall
medallist	buinn
meddle	meddle
meddling	ag ràdh
media	meadhanan
medial	meadhanach
median	meadhain
mediate	eadar-nàiseanta
mediation	meadhanachadh
mediator	eadar-theangair
medic	medic
medical	meidigeach
medicate	leigheas
medication	leigheas
medicinal	cungaidh-leigheis
medicine	leigheas
medieval	meadhan-aoisean
mediocre	meadhanach
mediocrity	mì-riaghailteach
meditate	smaoinich
meditating	a 'smaoineachadh
meditation	smaoineachadh
meditative	s an Iar-
mediterranean	saoghail
medium	meadhan
medley	air adhart
meek	sneachda
meet	coinneachadh
meeting	coinneachadh
mega	mega
meh	meh
melancholic	melancholic
melancholy	melancholy
melee	dlùth
mellow	mellow
melodious	bòidheach
melodrama	melodrama
melodramatic	mìorbhaileach
melody	fonn
melon	melon
melt	leaghadh
meltdown	leaghadh
melting	leaghadh
member	ball
membership	ballrachd
membrane	membran
memento	memento
memo	meòrachan
memoir	cuimhneachan
memorabilia	cuimhneachain
memorable	cuimhneachail
memorandum	meòrachan
memorial	cuimhneachan
memorials	cuimhneachain
memories	cuimhneachain
memoriesiwontforget	NO TRANSLATION
memorize	cuimhneachadh
memory	cuimhne
menace	bòidhchead
menacing	a 'milleadh
menagerie	bòidheach
mend	mend
mending	a 'càradh
menial	menial
meningitis	fiabhras eanchainn
meniscus	miosgus
menopause	menopause
menses	mìosan
menstrual	mìosachadh
mental	inntinn
mentalhealth	NO TRANSLATION
mentality	beachdachd
menthol	s an Iar-
mention	iomradh
mentor	stiùiriche
menu	clàr-taice
meow	meow
mercantile	saoghail
mercenary	saoghail
merchandise	bathar
merchant	marsanta
merciful	tròcaireach
merciless	sabaid
mercurial	miannachadh
mercury	mercury
mercy	tròcair
mere	dìreach
merengue	merengue
merge	còmhla
merger	aonadh
meridian	meridian
meridional	mhàin
meringue	meringue
merit	dealachadh
meritorious	sgaoileadh
mermaid	maighdeann-mhara
merriment	s an Iar-
merry	gu math
merrychristmas	NO TRANSLATION
mesa	mesa
mescaline	mescaline
mesh	mogal
meshes	bualadh
mesmerized	sgaoileadh
mess	bualadh
message	teachdaireachd
messedup	NO TRANSLATION
messenger	teachdaire
messiah	messiah
messy	sàmhach
metabolic	metabolic
metabolism	metabolism
metal	meatailt
metallic	mheallanach
metallurgy	metallurgy
metamorphosis	metamorphosis
metaphor	metafhor
metaphorical	meataigeach
metaphysical	sgaoileadh
metaphysics	eòlas
metastasis	metastasis
meteor	meteor
meteoric	meteoric
meteorite	meteorite
meteorological	mheur-eòlasach
meteorology	meteorology
meter	meatair
meth	meth
methadone	methadone
methane	methan
methanol	methanol
method	dòigh
methodical	modh-obrach
methodology	modh-obrach
meticulous	mionaideach
metime	metime
metric	meatair
metrical	meadhanach
metrology	meur-eòlas
metropolis	mòr-bhaile
metropolitan	metropolitan
mettle	mettle
mew	mew
mezzanine	mezzanine
mica	mica
mick	mick
micro	mic
microbe	microb
microbiology	microbio-eòlas
microchip	miocriseag
microcosm	microcosm
microfilm	microfilm
microgram	microgram
micrometer	micrometer
micron	micron
microphone	microfòn
microscope	microsgop
microscopic	microscopic
microscopically	microscopically
microscopy	microscopy
microwave	microwave
mid	meadhan
midair	mheadhanach
midday	meadhan-latha
middle	meadhan
middleman	mheadhanach
middleweight	meadhan meadhanach
midget	mheadhain
midland	Midland
midlife	meadhanlife
midline	meadhan-loidhne
midnight	meadhan oidhche
midshipman	fear meadhan-meadhain
midst	meadhon
midsummer	meadhan an t-samhraidh
midterm	meadhan-mheadhanach
midtown	mheadhain
midway	meadhan slighe
midwife	bean-ghlùine
midwifery	mnathan-glùine
mien	NO TRANSLATION
miffed	miffed
mighty	cumhachdach
mignon	mignon
migraine	migraine
migrate	imrich
migration	imrich
migratory	imrich
mike	mike
mil	NO TRANSLATION
mild	mild
mildew	mildew
mildness	mionnachd
mile	mìle
mileage	mileage
milestone	clach-mhìle
militant	milteach
militants	militants
military	armachd
militia	militia
milk	bainne
milkman	fear-bainne
milkshake	caoineadh
milky	bòidheach
mill	muileann
millennium	mìle bliadhna
milligram	milleagram
millimeter	milleatair
million	millean
millionaire	milleanaire
millionth	millean bliadhna
millstone	clach-mhuilinn
mime	mime
mimic	imrich
mimicking	a 'tarraing às
mimicry	imrich
mince	mince
mincemeat	mincemeat
mind	inntinn
minded	inntinn
mindful	mothachail
mindfulness	mothachail
mindless	neo-chùramach
mine	m '
minefield	minefield
miner	miner
mineral	mèinnearach
mineralogy	mèinn-eòlas
mingle	mingle
mingled	s an Iar-
mini	mion
miniature	miniature
minibus	minibus
minim	NO TRANSLATION
minimal	glè bheag
minimize	lùghdaich
minimized	lùghdaichte
minimum	as ìsle
mining	mèinnearachd
minion	sneachda
minister	ministear
ministerial	ministearan
ministry	ministrealachd
minivan	minivan
mink	mionc
minnow	minnow
minor	beag
minority	mion-chuid
minstrel	minstrel
mint	mint
minty	minty
minuscule	air falbh
minute	mionaid
minutiae	minutiae
minx	minx
mir	NO TRANSLATION
miracle	mìorbhaileach
miracles	mìorbhailean
miraculous	mìorbhaileach
mirage	mirage
mire	NO TRANSLATION
mirror	sgàthan
mirth	mirth
misappropriation	mì-rèiteachadh
misbehave	mì-mhodh
misbehavior	mì-ghiùlan
miscalculation	ciorramachd
miscarriage	abradh
miscellaneous	measgachadh
miscellany	meanbhlan
mischief	fhealla-dhà
mischievous	mischievous
misconception	mì-thuigse
misconduct	mì-ghiùlan
misdemeanor	mì-mhodh
misdirection	misdirection
miser	miser
miserable	bròineach
miserably	gu truagh
misery	truagh
misfire	misfire
misfit	misfit
misfortune	duilich
misguided	NO TRANSLATION
mishap	mishap
misinformed	mì-fhiosrachadh
misinterpretation	mì-mhìneachadh
mislead	mislead
misleading	meallta
misled	misled
mismanagement	misreachd
mismatch	mì-chothromachadh
mismatched	mì-chothromachadh
misnomer	mì-fhortanach
misplace	misplace
misplaced	mì-rèiteachadh
misread	mì-leughaidh
misrepresent	mì-riochdachadh
misrepresentation	mì-riochdachadh
misrepresented	mì-riochdachadh
miss	a 'call
missile	deiseil
missiles	muileann
missing	a dhìth
missingyou	NO TRANSLATION
mission	misean
missionary	miseanaraidh
misspell	sgaoileadh
misstatement	mì-aithris
missy	caoidh
mist	ceò
mistake	mearachd
mistaken	mearachd
mister	mister
mistletoe	ceò
mistreated	mì-rianachd
mistress	màthair
mistrial	mistrial
mistrust	mì-earbsa
misty	ceò
misunderstand	mì-thuigsinn
misunderstanding	mì-thuigse
misunderstood	mì-thuigsinn
misuse	mì-chleachdadh
mite	mite
miter	feòil
mitigate	libhrigeadh
mitigating	lionnachadh
mitigation	maothachadh
mitt	mitt
mitten	NO TRANSLATION
mitzvah	mitzvah
mix	measgachadh
mixed	measgaichte
mixedemotions	sgaoileadh
mixer	measgaiche
mixture	measgachadh
mnemonic	sgaoileadh
moan	geal
moat	feòil
mob	mob
mobile	gluasadach
mobility	gluasaid
mobilization	gluasad
mobilize	gluasad
mobster	sgaoileadh
mocha	mocha
mock	magadh
mocked	a 'magadh
mockery	magadh
mocking	a 'magadh
mockingbird	mockingbird
mod	mod
modal	modal
modality	modal
mode	modh
model	modail
modeler	modeler
modeling	modelachadh
modem	modem
moderate	measarra
moderate anticipation	sùileachadh meadhanach
moderate disgust	miann meadhanach
moderate negative	Meadhanach àicheil
moderate positive	meadhanach math
moderate surprise	iongnadh meadhanach
moderate trust	earbsa earbsach
moderately	meadhanach math
moderating	measaidh
moderation	moderation
moderator	modaireatair
modern	ùr-nodha
modernism	nuadh-eòlas
modest	beag
modesty	modesty
modicum	modicum
modifiable	a ghabhas atharrachadh
modification	atharrachadh
modified	atharrachadh
modify	atharrachadh
modulate	modail
modulation	atharrachadh
module	modal
modulus	modulus
mogul	mogul
moiety	roinn
moist	taiseachd
moisture	taiseachd
moisturizer	cladach
molar	molar
molasses	mulaidhean
mold	mullach
molded	moulded
molding	milleadh
moldy	s an Iar-
mole	muileann
molecular	molecular
molecule	molecule
molest	a 'bagairt
molestation	bochdainn
molester	molester
molten	leaghte
mom	mama
moment	mionaid
momentary	mìorbhaileach
momentous	fìor mhath
momentum	momentum
momma	momma
mommy	màthair
monad	monad
monarch	monarch
monarchy	monarcachd
monastery	manachainn
monastic	manachainn
monetary	Airgead
money	airgead
mongoloid	mongoloid
mongoose	mongoose
mongrel	mongrel
monitor	sgrùdadh
monk	manach
monkey	moncaidh
mono	NO TRANSLATION
monochrome	monochrome
monogamous	monogamous
monogamy	monogamy
monogram	monogram
monogrammed	monogrammed
monograph	monograph
monolayer	monolayer
monolith	monolith
monologue	monologue
monopolist	monopolist
monopoly	monopoly
monotonous	monotonous
monotony	monotony
monoxide	monocsid
monsieur	monsieur
monsoon	monsoon
monster	uilebheist
monstrosity	mìorbhaileach
monstrous	mìorbhaileach
montage	montage
monte	monte
month	mìos
monthly	mìosail
monument	carragh-cuimhne
monumental	cuimhneachail
moo	moo
mooch	mooch
mood	mood
moods	moods
moody	moody
moon	gealach
moonbeam	gealach geala
moonlight	solas na gealaich
moonlit	gealaich
moonshine	moonshine
moonstruck	a 'ghealach
moonwalk	a 'ghealach
moor	mòintich
moored	acair
mooring	adhlacaidh
moorings	luadhadh
moorland	mòinteach
moose	geòidh
moot	Mòrag
mooted	sgaoileadh
mop	mop
mope	mope
moped	moped
moral	moralta
morale	morale
morality	moraltachd
morals	moraltachd
morass	morass
moratorium	moratorium
moray	moray
morbid	morbid
morbidity	morbidity
morbidness	morbidness
mores	mores
morgue	morgue
moribund	caochladh
morn	morn
morning	madainn
moron	amadan
moronic	maronach
morose	caochladh
morph	morph
morphine	morphine
morphism	morphism
morphology	morphology
morrow	màireach
morsel	morsel
mortal	bàsmhor
mortality	bàsachadh
mortar	mortar
mortgage	morgaids
mortgagee	morgaids
mortgagor	mortgagor
mortician	marbh
mortification	bàsachadh
mortified	s an Iar-
mortuary	bàsachadh
mosaic	breac-dhualach
mosey	ceòl
mosque	mosque
mosquito	mosgit
moss	còinnich
mossy	còinneach
mote	NO TRANSLATION
motel	motel
moth	moth
mother	màthair
motherfucker	màthair
motherfucking	màthair fucking
motherhood	màthaireachd
motherland	màthair-dùthcha
motherless	gun mhàthair
motherly	màthair
motif	motif
motion	gluasad
motionless	gun ghluasad
motivate	brosnachadh
motivating	brosnachadh
motivation	brosnachadh
motivational	brosnachail
motive	adhbhar
motley	air adhart
motor	motair
motorbike	baidhsagal
motorboat	motorboat
motorcade	motorcade
motorcar	motorcar
motorcycle	baidhsagal-motair
motorist	motair
motte	motte
mottled	s an Iar-
motto	facail-suaicheantais
mould	mullach
mound	dùin
mount	sliabh
mountain	beinn
mountaineer	sreapadair
mountainous	beinne
mountains	beanntan
mountaintop	sliabh
mourn	caoidh
mournful	caoidh
mourning	caoidh
mouse	luchag
mousetrap	mousetrap
mousse	mousse
moustache	feusag
mousy	còisir
mouth	beul
mouthful	beul
mouthpiece	s an Iar-
mouthwash	beul-aithris
movable	gluasad
move	gluais
movement	gluasad
mover	gluasad
movie	film
movies	filmichean
moving	gluasad
movingforward	NO TRANSLATION
movingon	gluasad
mow	mow
mower	gearraidh
moxie	moxie
mozzarella	mozzarella
mri	mri
muchneeded	NO TRANSLATION
mucis	NO TRANSLATION
muck	muck
mucked	mucked
mucous	mucous
mucus	mucus
mud	mud
muddle	muddle
muddled	màireach
muddy	eabar
muff	muff
muffin	muffin
muffled	s an Iar-
muffler	muffler
mug	mug
mugger	mugger
mulberry	mulberry
mulch	mulch
mule	muile
mull	mull
mullet	mullet
multilateral	multilateral
multimedia	ioma-mheadhan
multinational	ioma-nàiseanta
multiple	iomadach
multiple sclerosis	sglerosis ioma-fhillte
multiplex	multiplex
multiplication	iomadachadh
multiplicity	iomadachd
multiplied	iomadachadh
multiplier	iomadachaidh
multiply	iomadachadh
multitude	sluaigh
mum	mum
mumble	mumble
mumbo	mumbo
mummy	mummy
mumps	cnapan
munch	munch
munchies	munchies
munchkin	munchkin
mundane	gu tur
municipal	baile
municipality	baile
mural	mural
murder	murt
murderer	Murderer
murderess	murt
murderous	murt
murky	gun fhios
murmur	a 'gearan
muscle	fèith
muscular	fèitheach
muse	muse
muses	mèinnean
museum	tasgaidh
mush	NO TRANSLATION
mushroom	buachair
mushy	mushy
music	ceòl
musical	ceòl
musician	ceòladair
musing	a 'cluinntinn
musk	muc
musket	musgaid
musketeer	musgaid
muskrat	muskrat
muslin	muslin
muss	NO TRANSLATION
must	feumaidh
mustang	mustang
mustard	mustard
muster	s an Iar-
musty	musty
mutable	mutable
mutant	mùthaich
mutate	atharrachadh
mutation	ciùird
mute	mute
muted	sàmhach
mutilate	madainn
mutilated	air a mhilleadh
mutilation	milleadh
mutiny	càineadh
mutt	mùthaidhean
mutter	NO TRANSLATION
mutton	caoraich
mutual	a chèile
mutually	le chèile
muzzle	aodach
myfavorite	myfavorite
myopia	myopia
myopic	myopic
myriad	fichead bliadhna
mysterious	dìomhaireachd
mystery	dìomhaireachd
mystic	mìorbhaileach
mystical	sgaoileadh
mysticism	smuaintean
mystified	sgaoileadh
mystique	mìorbhaileach
myth	uirsgeul
mythic	sgaoileadh
mythical	miotasach
mythological	miotasach
mythology	miotas-eòlas
nab	nab
nacho	nacho
nada	NO TRANSLATION
nadir	nadir
nag	NO TRANSLATION
nail	claidheamh
nail gun	gunna nail
naive	naive
naked	nochd
nakedness	nochd
namaste	NO TRANSLATION
name	ainm
named	ainmichte
nameless	gun ainm
namesake	ainmiche
naming	ainmeachadh
nana	nana
nanny	nanny
nanometer	nanometer
nap	nap
napalm	napalm
nape	nape
napkin	napcain
napping	sgaoileadh
nappy	clèid
narcissism	narcissism
narcissist	narcissist
narcissistic	narcissistic
narcotic	narcotic
narrate	aithris
narration	aithris
narrative	aithris
narrator	narratair
narrow	caol
narrowing	caoladh
nasal	sgaoileadh
nascent	s an Iar-
nasty	dona
natal	natal
nation	dùthaich
national	nàiseanta
nationality	nàiseantachd
nationwide	air feadh na dùthcha
native	dùthchasach
nativity	nativity
natural	nàdarra
natural gas	gas nàdarra
naturalist	nàdarra
naturalization	nàdarrachadh
naturalized	nàdarrach
naturally	gu nàdarra
nature	nàdar
naught	gunna
naughty	dona
nausea	nausea
nauseate	sneachda
nauseating	nauseating
nauseous	sneachda
nautical	mara
nautilus	nautilus
naval	cabhlach
nave	eaglais
navel	navel
navigable	seòladh
navigate	seòladh
navigation	seòladh
navigational	seòladh
navigator	seòladh
navy	nèibhidh
nay	NO TRANSLATION
nearsighted	s an Ear-Thuath
neat	sàmhach
neatly	gu glic
nebula	nebula
nebulae	nebulae
nebulous	nebulous
necessarily	gu reusanta
necessary	riatanach
necessitate	riatanach
necessities	riatanasan
necessity	riatanas
neck	amhach
necklace	muileann
necktie	necktie
necromancer	neamhnaidsear
necrosis	necrosis
nectar	neachtar
need	feum
needalife	NO TRANSLATION
needed	a dhìth
needful	feumach
needit	NO TRANSLATION
needle	snàthad
needlepoint	àite-sneachda
needles	snàthadan
needless	gun fheum
needtoknow	Feumar JavaScript airson a chluich
needtorelax	NO TRANSLATION
needy	feumach
nefarious	neònach
negation	neadachadh
negative	àicheil
negativity	neònach
neglect	dearmad
neglected	air an dearmad
neglecting	dearmad
negligee	neònach
negligence	mì-chùram
negligent	mì-chùramach
negligently	NO TRANSLATION
negligible	glè bheag
negotiable	còmhradh
negotiate	co-rèiteachadh
negotiation	co-rèiteachadh
negotiator	malairtichear
negro	dubh
neigh	nàbaidh
neighbor	nàbaidh
neighborhood	nàbaidheachd
neighboring	nàbaidh
nemesis	neòis
neon	neon
neonatal	neonatal
neophyte	neophyte
neoprene	neoprene
nephew	bràthar
nepotism	nepotism
nerd	nerd
nerdy	nerdy
nerve	neònach
nerves	nerves
nervous	neònach
nervousness	neònach
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	nise
nest	nead
nestle	neònach
nestling	sgaoileadh
net	lìon
nether	nas motha
netting	lìon
nettle	neònach
network	lìonra
networking	lìonradh
neural	neoral
neuralgia	neuralgia
neurological	neurological
neurologist	neurologist
neurology	neur-eòlas
neurosis	neurosis
neurosurgeon	neurosurgeon
neurosurgery	neur-laigheachd
neurotic	neurotic
neuter	neoter
neutral	neodrach
neutrality	neutrality
neutralize	neutralize
neutron	neutron
new	ùr
new age	aois ùr
newbeginnings	NO TRANSLATION
newborn	ùr-bhreith
newcomer	nuadh
newday	Newday
newfound	ùr
newjob	NO TRANSLATION
newlife	ùr-bheatha
newly	ùr
newlywed	ùr-dhubh
newme	ùr
newness	nuadh
news	naidheachdan
newscast	naidheachd naidheachd
newscaster	ciste-naidheachd
newsflash	ùr-naidheachd
newsletter	cuairt naidheachd
newsman	naidheachd naidheachd
newspaper	pàipear-naidheachd
newspaperman	sgaoileadh
newsreel	naidheachd naidheachd
newsroom	seòmar-naidheachd
newsstand	pàipearan naidheachd
newstart	newstart
newt	dearc-luachrach
newyear	NO TRANSLATION
nexus	nexus
nib	nib
nibble	nibble
nice	snog
niche	niche
nichts	NO TRANSLATION
nick	nic
nickel	nicil
nickname	far-ainm
nicotine	nicotin
niece	nighean-peathar
nifty	nifty
nigger	nigger
nigh	faisg air làimh
night	oidhche
nightcap	Didòmhnaich
nightclub	Club oidhche
nightfall	oidhche
nightgown	oidhche oidhche
nightie	oidhche
nightingale	oidhche na h-oidhche
nightlife	saoghal oidhche
nightly	gach oidhche
nightmare	mulad-oidhche
nightmares	oidhcheannan dubha
nightstand	oidhche oidhche
nightstick	an oidhche
nighttime	oidhche
nihilism	nihilism
nil	nil
nimble	neònach
nimrod	nimrod
nincompoop	sgaoileadh
nine	naoi
nineteen	naoi-deug
ninety	naoidhead
ninja	ninja
ninny	ninny
nintendo	nintendo
ninth	an naoidheamh
nip	nip
nipper	nipper
nipple	nipple
nippy	nippy
nitrate	nitrate
nitro	nitro
nitrogen	nitrigin
nitrous	nitrous
nitwit	nitwit
nix	nix
no anticipation	gun dùil
no disgust	gun aimhreit
no emotion	gun fhaireachdainn
no sentiment	gun chridhe
no surprise	gun iongnadh
no trust	gun earbsa
nobility	uaisleachd
noble	uasal
nobleman	uasal
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	oidhcheil
nod	nod
nodding	nodding
node	nód
nodular	nodular
nodule	nodule
noggin	noggin
nohope	NO TRANSLATION
noir	noir
noise	fuaim
noisy	fuarach
nomad	nomad
nomadic	annasach
nomenclature	ainmean-àite
nominal	nominal
nominate	ainmich
nomination	ainmeachadh
nominee	ainmichte
nonce	neo-eisimeileach
nonchalant	neo-eisimeileach
noncompliance	neo-chomas
nondescript	nondescript
nonexistent	nach eil freagarrach
nonfat	mì-fhortanach
nonfiction	Neo-fhaclair
nonpayment	gun phàigheadh
nonresident	neo-eisimeil
nonsense	nonsense
nonsensical	mì-thoilichte
nonviolent	neo-ghluasadach
noob	noob
noodle	noodle
nook	nook
noon	meadhan-latha
noose	ceò
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	àbhaisteach
normal	àbhaisteach
normalcy	àbhaisteach
normality	àbhaisteach
north	tuath
northbound	gu tuath
northeast	thuath-thuath
northern	tuath
northwest	an iar-thuath
northwestern	Thuath
noschool	NO TRANSLATION
nose	sròn
nosebleed	sneachda
nosey	oidhche
nosnow	nàire
nostalgia	cianalas
nostalgic	cianalais
nostress	NO TRANSLATION
nostril	nostril
nosun	NO TRANSLATION
nosy	oidhche
not negative	chan eil àicheil
not positive	chan eil dòchasach
notable	sònraichte
notables	notaichean
notably	gu sònraichte
notamorningperson	NO TRANSLATION
notary	notar
notation	notation
notch	Naidheachdan
notched	beart
note	nota
notebook	leabhar notaichean
noted	mothachail
noteworthy	cuideachail
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	gun dad
notice	sanas
noticeable	faicsinneach
notification	brath
notify	fios
notion	beachd
notional	notional
notoriety	iomagain
notorious	aithnichte
notready	chan ann
notwithstanding	a dh'aindeoin sin
nought	gunna
noun	ainmear
nourish	beathachadh
nourishment	biadh
nouveau	NO TRANSLATION
novel	nobhail
novelist	nobhailiche
novelty	nobhail
novice	nuadh-eòlas
nowadays	an-diugh
nowork	sgaoileadh
noworries	na gabh dragh
noxious	draghail
nozzle	toll
nuance	nuance
nuances	ionnanachd
nuclear	niùclasach
nucleus	núclas
nude	nude
nudge	nudge
nudie	nudie
nudist	nudist
nudity	nudity
nugget	cnag
nuisance	dragh
nuke	nuke
nul	NO TRANSLATION
null	null
nullify	nullachadh
numb	numb
number	àireamh
numbering	àireamhan
numbers	àireamhan
numbness	numbness
numbskull	numbskull
numeral	àireamh
numerator	àireamhad
numerical	àireamhan
numerically	àireamhan
numerous	mòran
nun	NO TRANSLATION
nunchucks	diugh
nunnery	taigh-dubha
nuptials	brògan
nurse	banaltram
nursemaid	banaltram
nursery	sgoil-àraich
nursing	banaltram
nurture	àrach
nut	cnò
nutcase	cocaidh
nutcracker	chnàimhean
nuthouse	nuas
nutmeg	cnàmag
nutrition	beathachadh
nutritional	beathachaidh
nutritious	nutritious
nutritive	nutritive
nuts	cnothan
nutshell	bàn
nutty	cuthaidh
nylon	nylon
nylong	NO TRANSLATION
nylons	nylons
nymph	nymph
nymphomaniac	nymphomaniac
oaf	oaf
oak	darach
oar	oar
oasis	oasis
oat	coirce
oath	mionn
oatmeal	min-choirce
obedience	ùmhlachd
obedient	ùmhlachd
