Word	lb
hurry	fläissen
hurryup	NO TRANSLATION
hurt	blesséiert
hurtful	geféierlech
hurting	gedoen hues
husband	Mann
husbandry	Härenhaus
hush	schmuel
hushed	gedréckt
husk	NO TRANSLATION
husky	husky
hussy	haushéicht
hustle	hustelen
hustler	Hustler
hut	Hütt
hutch	hutch
hyacinth	Hyazinth
hybrid	Hybrid
hydra	Hydra
hydrant	Häerzstéck
hydrate	hydratéieren
hydraulic	hydraulesch
hydraulics	Hydraulik
hydrocephalus	Hydrocephalus
hydrodynamics	der Hydrodynamie
hydrogen	Waasserstoff
hydrographic	hydrographesch
hydrology	Hydrologie
hydrophobia	Hydrophobie
hydroponics	Hydroponie
hyena	Hyena
hygiene	Hygiène
hygienic	hygienesch
hygienist	Hygieniker
hymen	Hymen
hymn	Hymn
hype	Hype
hyped	hypers
hyper	Hyper
hyperactive	hyperaktiv sinn
hyperbole	Hyperbole
hyperspace	Hyperspace
hypertension	Hypertonie
hypertrophy	Hypertrofitéit
hyperventilate	Hyperventilat
hyperventilating	Hyperventilatioun
hyphen	Bindestrich loosst
hypnosis	Hypnos
hypnotic	hypnotesch sinn
hypnotist	hypnotistesch sinn
hypnotize	hypnotiséieren
hypnotized	hypnotiséiert
hypochondriac	Hypochondriak
hypocrisy	hypocrisy
hypocrite	hypokritesche Stil
hypocritical	hypokritesch sinn
hypodermic	hypodermesch
hypothalamus	Hypothalamus
hypothermia	der Hypothermie
hypothesis	Hypothes
hypothetical	hypothetesch
hysterectomy	Hysterektikomie
hysteria	- Hysterie
hysterical	hysteresch
ibuprofen	ibuprofen
ice	Äis
ice tea	Äisstécker
iceberg	Äisbierg
icebox	icebox
icebreaker	Eisberg
iced	verteiigert
icing	geneeselt
icky	icky
icon	Ikon
iconic	gegruewen
iconography	Ikonographie
icy	glatem
id	id
idea	Iddi
ideal	ideal
idealism	Idealismus
idealist	idealistesch ass
idealistic	idealistesch
identical	identesch sinn
identically	identesch sinn
identification	Identifikatioun
identify	identifizéieren
identity	Identitéit
ideology	Ideologie
idiocy	Idiokraten
idiom	Idiom
idiomatic	idiomatesch
idiot	Idiot
idiotic	idiotesch
idiots	Idioten
idle	Leed
idleness	Ustrengung
idler	Iddien
idol	Gideon
idolatry	Göttersdag
idolizing	z'ënnerstëtzen
idyllic	idillesch
iffy	befallsfalls
ifonly	wann nëmmen
igloo	igloo
igneous	krank sinn
ignite	entzünden
ignition	ignition
ignorance	Onsécherheet
ignorant	ignorant sinn
ignore	ignoréieren
iguana	iguana
ihatespiders	NO TRANSLATION
ilk	NO TRANSLATION
ill	krank sinn
illegal	illegal
illegality	der Illegalitéit
illegally	illegal
illegible	ongëlteg sinn
illegitimate	illegitim
illicit	illicit
illiterate	Aalptie
illness	Krankheet
illogical	illogical ass
illuminate	ze beliichten
illuminating	beliwwert
illumination	Beleidegung
illuminator	Beleppe
illusion	Illusioun
illustrate	illustréieren
illustration	Illustratioun
illustrative	illustrativ
illustrious	renomméiert
ilovechristmas	NO TRANSLATION
iloveher	NO TRANSLATION
image	Bild
imagery	Bildmaterial
imaginable	virstellbar ass
imaginary	imaginär
imagination	Imaginatioun
imaginative	Fantasie
imagine	virstellen
imagined	virstellen
imaging	Biller
imagining	virstellen
imam	NO TRANSLATION
imbalance	Ongläichgewücht
imbecile	beandrocken
imbedded	agebaut
imissyou	NO TRANSLATION
imitate	ze imitéieren
imitated	ugeschloss
imitation	Imitation
immaculate	gutt akloen
immaterial	immaterial
immature	ongerecht sinn
immaturity	onméiglech
immeasurable	onkalkuléierbar
immeasurably	onméiglech
immediacy	Begleedung
immediate	direkt
immediately	direkt
immemorial	gedauert huet
immense	immens
immerse	taucht
immersion	Taucht
immigrant	Immigrant
immigration	Immigratioun
imminent	bevirsteet
immobile	immobile benotzt
immoral	onmoralesch
immorality	onmoralesch sinn
immortal	onstierwlech
immortality	Onstierflechkeet
immovable	onnéideg ass
immune	Immunitéit
immunity	Immunitéit
immunization	Immuniséierung
immutable	immatbar
imp	imp
impact	Impakt
impair	ze beurtliewen
impaired	ofgeschalt
impairment	Behënnerung zougesprach
impart	gitt weider
impartial	onparteieschen
impartiality	Onparteilechkeet
impassable	onpassen
impassioned	beleidegt
impatience	Ongedëlleg
impatient	ongedëlleg
impatiently	NO TRANSLATION
impeach	gewaart
impeachment	Iwwerdroung
impeccable	bleift
impede	beandrocken
impediment	Hemmnis
impelled	gefouert huet
impending	z'entwéckelen
impenetrable	onbestänneg
imperative	wichteg
imperceptible	Onméiglechkeet
imperfect	onméiglech
imperfection	Onendlechkeet
imperfectly	onméiglech
imperial	keeserlech
imperialist	NO TRANSLATION
impermeable	a geféierlech
impermissible	onendlech
impersonal	onendlech
impersonate	sech anzegräifen
impersonation	Personnage
impersonator	den Aussoefall
impertinence	Impertenz
impertinent	Onbedéngt
impervious	enkompakter
impetuous	onméiglech
impetus	Impulser
implacable	implizéiert
implant	Implantat
implantation	Implantatioun
implanted	implantéiert sinn
implement	realiséieren
implicate	implizéieren
implicated	implizéieren
implication	Implikatioun
implied	implizit
implore	implizéiert
implosion	Implosioun
imply	bestëmmen
impolite	onerwaart
import	importéiert
importance	Bedeitung
important	wichteg ass
importation	Import
impose	ze stellen
imposing	z'imposéieren
imposition	eng Posten
impossibility	Onméiglechkeet
impossible	onméiglech
impostor	Ligener
impotence	Onsécherheet
impotent	onverständlech sinn
impound	Impakt
impoverished	zougelooss
impracticable	net praktizable sinn
impractical	onméiglech
impregnable	onbestranal
impregnate	beweegen
impress	beandrocken
impressed	beandrockt
impression	impressionant
impressionable	impressionabel
impressive	impressionnant
imprint	Printen
imprison	Prisong
imprisoned	agespaart
imprisonment	Prisong
improbable	onwahrscheinlech
impromptu	ageholl
improper	Fehlschléi
impropriety	ongültig
improve	verbesseren
improved	verbessert
improvement	Verbesserung
improves	verbessert
improving	ze verbesseren
improvisation	Improvisatioun
improvise	ze verbesseren
improvised	improviséieren
imprudent	onfräi
impudence	Ongewëssheet
impudent	Onsichtlech
impulse	Impuls
impulsive	impulsiv
impunity	bekräftegen
impure	onméiglech
impurity	Houeren
imputation	z'ënnerstëtzen
imtryingtosleep	NO TRANSLATION
inability	Onméiglechkeet
inaccessible	net accessibel sinn
inaccurate	net exact
inaction	Operatioun
inactivate	ignoréieren
inactivation	Inaktivatioun
inactive	inaktiv sinn
inactivity	Inaktivitéit
inadequacy	Ongëltegkeet
inadequate	mëttelméisseg
inadequateness	verkierzt
inadmissible	ze vervollstännegen
inadvertent	onverännert sinn
inadvertently	onaddo
inaffable	NO TRANSLATION
inalienable	onbedingend ass
inane	Inaner
inanimate	inanimate
inapplicable	onverständlech sinn
inappropriate	net passend
inattention	Opléisung
inaudible	inaugibel
inaugural	Inauguratioun
inaugurate	ageweiht ginn
inauguration	Inauguratioun
inborn	ugebuede ginn
inbound	zéien
inbred	geplatzt
incalculable	ongëlteg
incandescent	Glühwäin
incantation	Onzoustänn
incapable	onfäheg sinn
incapacity	Ongerechtegkeet
incarceration	Inkarnatioun
incarnate	gär huet
incase	am Fall
incendiary	blouf
incense	Räuchelcher
incensed	gefollegt
incentive	Ureiz
inception	Startplaz
incessant	ongewéinlech
incessantly	onendlech
incest	Inzest
incestuous	Incente
inch	Zoll
incidence	Heefegkeet
incident	Tëschefall
incidental	zoufälleg
incidentally	iwwregens
incineration	Verbrennungsanlage
incinerator	Verbrennungsanlage
incipient	Begriefnis
incision	lëschteg
incisive	incisive
incite	incitéieren
incitement	Provokatioun
inclement	zousätzlech
inclination	Neigung
incline	Schräinjongfra
inclined	uginn
include	gehéiert
included	abegraff
including	abegraff
inclusion	Inklusioun
inclusive	inklusiv
incognito	Incognito
incoherent	koherent
income	Akommes
incoming	Entrée
incomparable	onvergläichbar
incompatible	inkompatibel
incompetence	Inkompetenz
incompetent	onfäheg
incomplete	onkomplett
incompletely	onkomplizéiert
incompleteness	Onvollstännegkeet
incomprehensible	onverständlech
inconceivable	ongëlteg sinn
inconclusive	onkloer sinn
incongruous	ongülteg
inconsequential	onwahrscheinlech
inconsiderate	iwwerdenken
inconsistency	Inkonsistenz
inconsistent	onkonsequent
inconspicuous	onfäheg
incontinence	Inkontinenz
inconvenience	Nodeel
inconvenient	onbequemen
incorporate	integréieren
incorporation	der Integratioun
incorrect	falsch ass
incorrigible	onméiglech
increase	Erhéijung
increased	erhéicht ginn
incredible	onheemlech
incredulous	onheemlech
increment	Inkrement
incriminate	ze präziséieren
incriminating	ze präziséieren
incrimination	Diskriminéierung
incubation	Inkubatioun
incubator	Inkubator
incubus	Inkubus
incumbent	Ugekloten
incur	vernoléissegt
incurable	onzerstellen
incursion	Inkrees
indebted	verschold
indecency	Onversécherung
indecent	Onsécherheet
indecision	Entschiedegung
indecisive	onofhängeg
indefensible	onverständlech sinn
indefinite	onbestëmmten
indelible	onberechenbar
indemnification	Entschiedegung
indemnify	ze verginn
indemnity	Verlobung
indent	onbekannt
indentation	Réckleef
indenture	Auto
independence	Onofhängegkeet
independent	onofhängeg
indescribable	onbeschreiwlecht
indestructible	ze bleiwen
indeterminate	onbestänneg
index	Index
indicate	unzeginn
indicating	bezeechent
indication	Indikatioun sinn
indicative	virgitt
indicator	Indikator
indice	NO TRANSLATION
indict	ze indictéieren
indictment	Uklo
indie	Indie
indifference	Gläichgëltegkeet
indifferent	ongläichméisseg
indigenous	Indigenous
indigent	indigent
indigestion	Verdauung
indignant	enttäuscht
indignation	ze distanzéieren
indignity	Entrüstung
indigo	Indigo
indirect	indirekt sinn
indiscreet	onendlech
indiscretion	Indiskretioun
indispensable	onbedéngt wichteg
indisposed	ongeléist
indistinct	onendlech sinn
indistinguishable	onverständlech sinn
individual	eenzelne sinn
individuality	Individualitéit
indivisible	indivisibel
indoctrination	indoktrinéiert
indolent	indolent ginn
indomitable	indépendabel sinn
indoor	bannen
induce	induzéieren
induced	induzéiert ginn
inducement	beweegen
induction	Induktioun
indulge	gär hunn
indulgence	Intressi
indulgent	indulgent
industrial	Industrie
industrialist	Industriellen
industrious	Handwierksbetrib
industry	'Industrie
ineffable	onverantwortlech
ineffective	net effektiv ass
ineffectual	net effektiv
inefficiency	Ineffizienz
inefficient	net effikass war
inelastic	onelastesch sinn
ineligible	net ze léisen
inept	ongestéiert
ineptitude	Inkzeptioun
inequality	Ongläichheet
inequitable	ongerecht ass
inert	Inert
inertia	Inertia
inevitable	onweigerléch
inexact	net exakt
inexcusable	onerlaabt
inexhaustible	onermënschlech
inexpensive	net deier
inexperience	Onkenntnis
inexperienced	onerfueren
inexplicable	onverfizend
inexpressible	Expressioun
infallibility	Onfehlbarkeet
infallible	net perfekt sinn
infamous	gerett
infamy	onvollstänneg
infancy	Kand
infant	Kanner
infanticide	Infantit
infantile	infantile
infantry	Infantierin
infarct	infarct
infatuated	infatuéiert
infatuation	verléiert
infeasible	z'ënnersichen
infect	z'ënnersichen
infection	Infektioun
infectious	infektiiv ass
infer	aginn
inference	Inferenz
inferential	Inferenziell
inferior	méi schwaach sinn
inferiority	Onéierlechkeet
infernal	infernal
inferno	Inferno
infertile	onkloer sinn
infertility	Invaluitéit
infestation	Stéierbefall
infidel	ongëlteg sinn
infidelity	Onfräiheet
infield	infield
infiltrate	enfiltéieren
infiltration	Infiltrierung
infinite	onendlech
infinitely	onendlech
infinitesimal	infinitesimal
infinity	Onendlechkeet
infirm	krank sinn
infirmary	Krankheeten
infirmity	Krankheet
inflammation	Entzündung
inflammatory	entzündlech sinn
inflatable	Schlaangen
inflate	ze iwwergräifen
inflated	ze héich
inflation	Inflatioun
inflection	Inflatioun
inflict	zerstéiert
infliction	entstoen
inflorescence	Blosenz
influence	Afloss
influential	vill beaflosst
influenza	Gripp
influx	Stroum
info	Infoen
infomercial	infomercial
inform	informéiert
informal	informell
informant	informéiert sinn
information	Informatioun
informative	informativ
informed	informéiert ginn
informer	informéiert
infraction	Infektioun
infrared	Infraroutlicht
infrastructure	Infrastruktur
infrequent	zoufälleg
infrequently	selten
infringement	verletzung
infuriate	onerwaart
infuriated	beandrockt
infuriates	infuriates
infuriating	geféierlech
infuse	infuse
infused	infused
infuser	infuser
infusion	Infusioun
ingenious	sophistiquéiert
ingenuity	Echtzäit
ingest	eraussichen
ingestion	Nossall
ingot	Ingotsen
ingrained	Ingredienten
ingrate	verwäert ginn
ingredient	Zutate
ingress	erreechen
inhabit	Awunner
inhabitant	Awunner
inhabited	bewunnt
inhabiting	bewunnt
inhalation	Inhalatioun
inhale	Wuere goen
inhaler	Inhalator
inherent	ervirhiewen
inherit	ierwen
inheritance	Ierfschaft
inhibit	hem
inhibition	Hemmung
inhibitor	Inhibitor
inhospitable	z'empfänken
inhuman	onmënschlech
inhumane	Onhuman
inhumanity	Onhumanitéit
inimaginable	NO TRANSLATION
inimical	onheemlech
inimitable	onheemlech
iniquity	Schold
initial	initial
initiate	initiéieren
initiated	initiéiert
initiation	Initiatioun
initiative	Initiativ
inject	sprëtzen
injection	Sprëtzen
injunction	ergraff
injure	blesséiert
injured	verletzt
injuring	blesséiert
injurious	verletzen
injury	Verletzung
injustice	Ongerechtegkeet
ink	Tintin
inkling	Aklang
inland	Inland
inlay	Inlay
inlet	Inlet
inmate	ze verstäerken
inn	Inn
innards	Inneminister
innate	gefouert
inner	bannenzeg
innermost	Zentralverain
innerpeace	NO TRANSLATION
inning	Inning
innings	Innings
innkeeper	Hausmeeschter
innocence	Onschold
innocent	onschëlleg
innocently	onschëlleg
innocuous	onschaubar
innovate	innovéieren
innovation	Innovatioun
innovative	innovativ
innuendo	Innuendo
innumerable	onzieleg
inoculation	Ofkillung
inoperable	net funktionnéiert
inoperative	net funktionnéiert
inordinate	uginn
inorganic	anorganesch
input	Input
inquest	d 'Unfroen
inquire	ze froen
inquirer	Enquêteur
inquiring	ze ginn
inquiry	Ufro
inquisitive	Neie wäert
inquisitor	Inquisitor
insane	verréckt
insanity	Wahnsinn
insatiable	onwuelbar
inscription	Opschrëft
inscrutable	onscharf
insect	Insekt
insecticide	Insektizid
insecure	net sécher
insecurity	Onsécherheet
insemination	Inseminaire
insensitive	onerwaarden
inseparable	onverständlech
insert	setzen
inserted	agesat ginn
insertion	Enregistréiere sinn
inside	dobannen
insider	Insider
insidious	verseet
insight	Inspektiounen
insightful	insightful
insignia	Insignien
insignificance	onbestänneg
insignificant	onbestänneg
insinuate	ze insulinéieren
insipid	ongëlteg
insist	insistéieren
insistence	Insistenz
insistent	insistent
insists	insistéiert
insolence	erstaunt
insolent	gewénkt
insoluble	onléift
insolvency	Insolvenz
insolvent	Insolvent
insomnia	d 'Insomnia
insomniac	insomniac
inspect	kontrolléieren
inspection	Inspektioun
inspector	Inspekter
inspiration	Inspiratioun
inspirational	inspiréiert
inspire	inspiréieren
inspired	inspiréiert
instability	Instabilitéit
install	installéieren
installation	Installatioun
installment	perséinleche Prêt
instance	Beispill
instant	direkt
instantaneous	instantaneous
instantaneously	instantan ass
instigate	z'entgéieren
instigation	Instigatioun
instill	Instutiounen
instinct	Instinkt
instinctive	Instinktiv
institute	Institut
institution	Institutioun
instruct	léieren
instructed	huet gesot
instruction	informéieren
instructional	Léierin
instructions	Instruktiounen
instructive	edukativ
instructor	Ausbilder
instrument	Instrument
instrumental	instrumental
instrumentalist	Instrumentalist
instrumentality	Instrumentalitéit
insubordination	Onversécherung
insufferable	ongärbar sinn
insufficiency	Insuffizéier
insufficient	net genuch
insufficiently	net genuch
insular	insuléis
insulate	ze isoléieren
insulated	isoléiert
insulation	Isolatioun
insulin	Insulin
insult	ze rächen
insulting	beleidegt
insurance	Versécherung
insure	asetzen
insurgent	Opstänn
insurmountable	onverschläich
insurrection	Opstänn
intact	intakt
intake	ofgeléist
intangible	immateriellt
integer	ganz onberechtegten
integral	integral
integrate	z'integréieren
integration	Integratioun
integrity	Integritéit
intellect	Intelligenz
intellectual	intellektuell
intelligence	Intelligenz
intelligent	intelligent
intelligibility	Intelligibilitéit
intelligible	onverständlech
intend	wëlles
intended	geplangt
intending	ze ginn
intense	intensiv
intensely	intensiv
intensify	ze verstäerken
intensity	Intensitéit
intensive	intensiv
intent	Absichtserklärung
intention	Intentioun
intentional	Intérêt
intentionally	Intent
inter	inter
interact	interagéieren
interaction	Interaktioun
interactive	interaktiv sinn
intercede	Intercédé
intercept	ofgeleet
interception	Interceptioun
intercession	Fürbitte
interchange	Austausch
interchangeable	austauscht
interchanged	sech interchanged
intercom	Intercom
intercourse	Zougang
interdependence	Interdependenz
interdependent	interdependent
interdiction	Interdikt
interest	Interessi
interested	interesséiert sinn
interesting	interessant
interface	Interface
interfere	ze verhënneren
interference	Amëschen
interferometer	Interferometer
intergalactic	intergalaktesch
interim	zielen
interior	bannen
interject	interagéieren
interlocutory	interlocutory
interlude	Interlude
intermediary	Mediateur
intermediate	Zwëscher
interment	ze maachen
interminable	ze verhënneren
intermission	ze vermëschen
intermittent	intermittierend
intern	intern
internal	intern
internally	intern
international	international
internet	Internet
internship	Stage maachen
interoffice	Gespréichspartner
interpolate	interpoléieren
interpolation	Interpolatioun
interpret	interpretéieren
interpretation	interpretéiert
interpreter	Iwwersetzer
interpretive	interpretéiert
interrelated	interreléiert
interrogate	ofginn
interrogation	Kandidat
interrupt	ze interruptéieren
interrupted	ënnerbrach ginn
interrupting	ënnerbrach ginn
interruption	Ënnerbriechung
interrupts	interrupts
intersect	kierzen
intersection	Kräizung
interstate	der Interstate
interstellar	interstellar
interstitial	interstitial
interval	Intervall
intervene	intervenéieren
intervening	intervenéieren
intervention	Interventioun
interview	interviewt
interviewer	Enquêteur
interworking	interworking
intestate	intestéieren
intestinal	den Intestin
intestine	Daarm
intestines	Daarm
intimacy	Intimitéit
intimate	intim
intimately	intim
intimation	Intimatioun
intimidate	entimidéieren
intimidated	entimidéiert sinn
intimidating	ze schüchteren
intimidation	Intimidatioun
intolerable	net toleréiert
intolerance	Intoleranz
intolerant	intolerant sinn
intonation	'Intonatioun
intoxicated	verbonnen
intoxicating	reichlech
intoxication	Rechnung
intracranial	intrakranial sinn
intractable	intractable
intramural	intramural
intravenous	intravenös
intrepid	Intrepid
intricate	komplizéiert sinn
intrigue	Intrigen
intriguing	ganz interessant
intrinsic	fest
intrinsically	fest gehalen
intro	Intro
introduce	féieren
introduction	agefouert ginn
introductory	Virbereedung
introspection	ze meditéieren
introspective	introspective
intrude	intrudéieren
intruder	Intruder
intrusion	Intrusion
intrusive	zevill intim
intubation	Intubatioun
intuition	Intuition
intuitive	intuitiv
intuitively	intuitiv
inundation	Inundheet
invade	Invasioun
invader	invader
invalid	ongëlteg
invalidate	invalidéieren
invalidation	invalidéieren
invalidity	Invaliditeit
invaluable	wichtegen
invariably	ëmmer erlaabt
invasion	Invasioun
invasive	invasiv ass
invent	erfannen
invention	Erfindung
inventive	erfinderesch
inventor	Erfinder
inventory	Inventaire
inverse	invers
inversely	inversen
inversion	Inversioun
invert	Invert
inverted	invers
invest	investéiere wäert
investigate	z'ënnersichen
investigation	Ermëttlungen
investigative	investigativ
investigator	Enquêteur
investment	Investitioun
investor	Investisseur
invidious	invitéiert
invigorate	verzauberen
invincible	ongëlteg sinn
invisibility	onsichtbar
invisible	sichtbar
invitation	Invitatioun
invite	invitéieren
inviting	invitéiert
invocation	invokéieren
invoice	Rechnung
invoke	opzemaachen
involuntary	verzicht
involution	Involution
involve	erhalen
involvement	Bedeelegung
invulnerable	ongëlteg sinn
inwards	Stiermer
iodine	Jod
ion	Ion
iota	iota
irate	gewalteg
ire	NO TRANSLATION
iridescent	iriséierend
iris	Iris
irked	irked
irks	gefleckt
iron	Eisen
ironclad	Eisebunnsnetz
ironic	Ironësch
irons	irons
irony	Ironie
irradiation	Bestralung
irrational	irrational
irrationality	Irrationalitéit
irreconcilable	net erlaabt sinn
irreducible	onverzichtbar sinn
irrefutable	onvermeidlech
irregular	onregelméisseg
irregularity	Onregelméissegkeet
irregularly	onregelméisseg
irrelevant	irrelevant sinn
irreparable	irreparabel
irreplaceable	onverännerlech sinn
irrepressible	irrepressibel
irresistible	irresistibel
irrespective	onofhängeg
irresponsible	onverzichtbar sinn
irreverent	Onreegelen
irreversible	irreversibel sinn
irrevocable	onwahrscheinlech
irrigate	Bewässerung
irrigation	Bewässerung
irritability	Irritabilitéit
irritable	reizbar sinn
irritate	irritéieren
irritated	irritéiert
irritates	irritéiert
irritating	reizend
irritation	Reizitéit
island	Insel
isle	Insel
islet	Insel ofgelenkt
isolate	isoléieren
isolated	isoléiert
isolation	Isolatioun
isomorphism	Isomorphismus
isothermal	isotherm
isotope	Isotop
issue	Thema
itch	bequem
itching	Jucken
itchy	iert
item	item
itemize	optimal unzeginn
items	Elementer
iterate	iteréieren
iteration	Iertum
iterative	eterativ
itinerant	Trëppeltoun
itinerary	ronderëm
ivory	Elfenbein
jab	Stéck
jabber	Gebitt
jack	Jack
jackal	Jackal
jackass	jackass
jacket	Jacket
jackhammer	Jackhammer
jackpot	Jackpot
jackrabbit	Jackrabbit
jacks	mécht
jade	Jade
jaded	jaded
jag	NO TRANSLATION
jagged	gefleegt
jaguar	Jaguar
jail	Gefängnis
jailbird	Prisong veruerteelt
jailbreak	D 'Jailbreak
jailer	Gefängnis
jailhouse	Gefängnis
jalopy	Jalopp
jam	Jams
jamboree	jamboree
jammed	gestéiert
jammer	gehat
janitor	Hausmeeschter
janitorial	janitorial
japan	Japan
jar	Scho
jargon	Fachjargon
jarhead	Schauspiller
jarring	gefleegt
jasmine	jasmine
jasper	jasper
jaundice	geluewt
jaunt	SŸdschlŠif
java	Java
javelin	Jam
jaw	ophalen
jawbone	Kärele fonnt
jaws	Koppel
jay	jay
jazz	Jazz
jazzy	Jazzy
jealous	jalous
jealousy	Jalousie
jean	jean
jeans	Jeans
jeep	jeep
jeering	jeering
jelly	jelly
jellybean	jellybean
jellyfish	Fudder
jenny	jenny
jeopardize	ze ernimmen
jeopardy	Geeschter
jerk	Ruck
jerks	ënnerbrach
jerky	ruckelen
jersey	Trikot
jest	NO TRANSLATION
jester	Jester
jesus	Jesus
jet	Jet
jetty	opmécht
jewel	Bijou
jeweler	Bijoutier
jewelry	Bijouen
jib	auserneen
jiff	NO TRANSLATION
jiffy	jiffy
jig	Jig
jiggle	jiggle
jigsaw	geléiert
jihad	jihad
jimmy	Jimmy
jingle	jingle
jinx	Jinx
jitters	Jitters
jittery	lëschteg
jive	jive
job	Aarbecht
jobinterview	NO TRANSLATION
jock	Jock
jockey	Jockey
jockstrap	jockstrap
jog	Jog
jogger	Jogger
john	john
join	matzemaachen
joined	ugeschloss
joining	joining
joint	zesummen
jointly	zesummen
joke	geduecht
joker	Joker
joking	wier
jolly	lëschteg
jolt	Kaffi
jornada	NO TRANSLATION
jot	of
jour	NO TRANSLATION
journal	Zäitschrëft
journalism	Journalismus
journalist	Journalist
journalistic	journalistesch sinn
journey	Rees
journeyman	Reesender
joust	joust
jovial	Jovial
joy	Freed
joyful	friddlech
joyous	léif
joyride	joyride
joys	Freed
jubilant	Jubilant
jubilee	Jubiläum
judge	Riichter
judged	e Sujet
judging	beuerteelen
judgment	Uerteel
judgmental	Geriicht
judicial	juristesch
judiciary	Justiz
judicious	ubruecht
judo	judo
jug	Kuch
juggle	juggle
juggler	Kugel
juggling	Jonglieren
jugular	jugular
juice	Jus
juicer	juicer
juicy	séiss
juju	NO TRANSLATION
juke	juke
jukebox	jukebox
jumble	schloen
jumbled	veruerteele géif
jumbo	Jumbo
jump	sprangen
jump rope	Sprénger
jumper	Jumper
jumpsuit	Jumpsuit
jumpy	leed
junction	Kräizung
juncture	wech
jungle	Dschungel
junior	Junior
juniper	Juniper
junk	Junk
junket	Junkett
junkie	junkie
junky	sonneg
junkyard	verkierpert
junta	'Junta
juridical	juristesch
jurisdiction	Jurisdiktioun
jurisprudence	Jurisprudenz
jurist	Affekot
juror	Juror
jury	Jury
justice	Gerechtegkeet
justifiable	justifiabel ze maachen
justification	Justifikatioun
justify	ze rechtfertegen
juststop	NO TRANSLATION
justthebeginning	NO TRANSLATION
jute	jute
juvenile	jugendlech
juxtaposition	Ofsaz sinn
kaiser	Kaiser
kale	Kéis
kaleidoscope	Kaleidoskop
kamikaze	Kamikaze
kangaroo	Känguru
kanji	Kanji
kappa	Kappa matbruecht
kaput	NO TRANSLATION
karaoke	Karaoke
karate	Karate
karma	Karma
karmic	karmesch
kayak	Kajak
kazoo	kazoo
kebab	Kebab
keel	Kiel
keen	keen
keep	behalen
keeper	geschoss huet
keeping	ze vermeiden
keepsake	Schicksal
keg	Keg
kelp	kelp
ken	ken
kennel	Kennel
kerchief	Fändel
kern	kern
kernel	kernel
kerosene	Kerosin
ketchup	Ketchup
kettle	Kettel
key	Schlëssel
keyboard	Klavier
keyed	Schlëssel
keyhole	Schlëssel
keynote	Keynote
keypad	Tastatur
keystone	grousse Schlëssel
keyword	Schlësselwuert
khaki	Kaki
khan	khan
kibble	kibblef
kick	ze verloosse
kickboxing	Kickboxing
kicker	Kicker
kicking	drun
kickoff	Ustouss
kid	Kand
kidder	kidder
kidding	de Geck
kiddo	kiddo
kiddos	kiddos
kidnap	geklaut sinn
kidnapped	geklaut sinn
kidnapper	geklaut
kidnapping	geklaut ginn
kidney	Nier
kids	Kanner
kill	ëmzebréngen
killer	Mäerderer
killing	Doudesfäegkeet
killjoy	killjoy
kiln	den Ofen
kilo	NO TRANSLATION
kilogram	kg
kilometer	Kilometer
kilt	kilt
kimono	kimono
kin	Heem
kind	frëndlech
kindergarten	Spillschoul
kindling	ze nokken
kindness	Frëndlechkeet
kindred	Räich
kinematics	Kinematik
kinesiology	Kinesiologie
kinetic	kinetesch
king	Kinnek
king snake	Kinnek ëmzebréngen
kingdom	Räich
kingpin	kingpin
kink	kink
kinky	kinky
kinship	Verwandtschaft
kiosk	Kiosk
kirk	kirk
kiss	Kuss ginn
kisser	kisser
kissy	kissy
kit	Kit
kitchen	Kichen
kite	kraischen
kitten	Kitten
kiwi	Kiwi
klutz	klutz
knack	ophalen
knapsack	Reseau
knead	kneet
knee	Knéi
kneecap	Kniegelenk
kneel	knéien
kneeling	Knien
knell	Këscht
knick	knick
knickers	Knickers
knife	Messer
knight	Ritter
knighthood	Knappthood
knit	ze strécken
knob	Knob
knock	Fuesstëmmung
knockoff	ofstierzen
knockout	onmächteg schloen
knoll	Knoll
knot	Kniet
knots	Kniet
knotted	verknascht
know	wëssen
knowing	wëssen
knowingly	bewosst
knowledge	Wëssen
knowledgeable	kompetent
knuckle	knuckle
knucklehead	knucklehead
knuckles	Ruckelen
koala	Koalabär
kook	NO TRANSLATION
kooky	kooki
kool-aid	Kool-Hëllef
kos	kos
kosher	bliwwen
kraut	NO TRANSLATION
kris	kris
kryptonite	Kryptonit
kudos	Kudos
kumquat	Kumquat
lab	Labo
label	Label
labor	Aarbecht
laboratory	Labo
labored	Aarbecht
laborer	Aarbechter
laboring	de Fall
laborious	Aarbechter
labyrinth	Labberänt
lac	lac
lace	Spëtz
laceration	Verletzung
lack	net genuch
lackey	Manko
lacking	gefeelt
lackluster	Manktemuster
lacquer	Lack ass
lacrosse	Lacrosse
lactose	Laktos
lad	klenge Jong
ladder	Leeder
laddie	Lidd
laden	opgeholl
lading	Laascht
ladle	Kassel
lady	Fra
lady bug	NO TRANSLATION
ladybug	Koppel
ladylike	ladylike
ladyship	Frëndschaft
lag	zouginn
lager	NO TRANSLATION
lagging	zréckgezunn
lagoon	Lagun
lair	lair
laity	Lait
lake	Séi
lama	NO TRANSLATION
lamb	Lämmchen
lame	gehummert
lament	klenge Schued
lamenting	belästegt
lamina	Lamina
laminated	laminéiert
lamp	Luucht
lamppost	Luuchtepotto
lance	Lanz
lancer	Lancer
land	Land
landed	gelant sinn
landfall	landfall
landfill	Démarché
landing	Landung
landlady	PropriŽtairin
landlocked	ageschloen
landlord	Proprietär
