Word	si
march	මාර්තු
mare	NO TRANSLATION
margarine	මාගරින්
margarita	මාගරිටා
margin	ආන්තිකය
marginal	ආන්තිකයි
mariachi	මාරියෝචි
marijuana	මරිජුවානා
marinara	මැරිනා
marine	සමුද්රීය
mariner	මැරීන්
marital	විවාහය
maritime	සමුද්රීය
mark	ලකුණ
marked	සළකුණු කර ඇත
marker	සලකුණු කරයි
market	වෙලඳපොල
marketable	විකිණිය හැකිය
marketing	අලෙවි
marketplace	වෙළෙඳපොළයි
marks	ලකුණු
marksman	ලකුණු
marksmanship	ලකුණු
marl	මැල්
marmalade	මාර්මලේ
maroon	මොළය
marooned	නටනවා
marquee	ෂැම්පේන්
marquis	මාර්ක්ස්
marred	බැහැලා
marriage	විවාහ
married	විවාහ විය
marrow	ඇටමිදුළුවකි
marry	විවාහ කරගන්න
marsh	වගුරු බිම්
marshal	මාර්ෂල්
marshmallow	මාෂ්මෙලෝ
mart	මාර්තු
martial	යුද්ධාධිකරණය
martingale	මාටින්ගාලය
martini	මාටිනී
martyr	වීරවරයෙක්
martyrdom	වීරවරයෙක්
marvel	පුදුමයි
marvellous	පුදුමාකාරයි
marvelous	පුදුමාකාරයි
marvelously	පුදුමයි
marzipan	NO TRANSLATION
mascara	ටස්කර් එකක්
mascot	මැස්කොට්
masculine	පුරුෂාධිපත්යයයි
masculinity	පුරුෂාකාරිත්වය
mash	මෑෂ්
mashed	පුළුස්සනු ලැබේ
mask	මැස්සා
masked	වෙස්වලා
masks	වෙස් මුහුණු
masochism	ජනප්රවාදය
masochist	කථාව
mason	මේසන්
masquerade	මැසිවිලි නැඟීම
mass	ස්කන්ධය
massacre	සමූලඝාතනය
massage	සම්බාහනයයි
masses	ජනතාවයි
masseur	බළලා
masseuse	මහජනයා
massive	දැවැන්ත
mast	මස්
master	ස්වාමියා
masterful	දක්ෂයි
mastermind	මාස්ටර්
masterpiece	විශිෂ්ඨ නිර්මාණය
mastery	ව්යාකූලත්වය
masturbate	ස්වයංවින්දනය
masturbation	ස්වයංවින්දනය
mat	මැට්
matador	මැඩador
match	තරගය
matchbook	තරගයයි
matching	ගැලපීම
matchmaker	ගැලපෙන්නන්
mate	බිරිඳයි
material	ද්රව්යය
materialism	ද්රව්යවාදයයි
materialist	භෞතිකවාදී ය
materialistic	භෞතිකවාදී ය
materiality	භෞතිකමය
materialize	සිදුවනු ඇත
materially	ද්රව්යමය වශයෙන්
materials	ද්රව්ය
materiel	ද්රව්ය
maternal	මාතෘමය
maternity	මාතෘත්වය
math	ගණිතය
mathematical	ගණිතමය
mathematician	ගණිතඥයෙක්
mathematics	ගණිතය
matinee	මැටි
mating	ස්රාවය වේ
matriculation	මාතෘ
matrimony	විවාහ විය
matrix	අනුකෘතියයි
matron	මෙනවිය
matted	මැට්ටිං
matter	කාරණයකි
matting	මැටිං
mattress	මෙට්ට
maturation	මේරීම
mature	මේරූ
maturity	පරිණතභාවයයි
maudlin	මැඩින්
mausoleum	මවු රුධිය
mauve	ලෝවැව්
maverick	රංගනය
maxim	උපරිමයෙන්
maximize	උපරිම
maximum	උපරිම
may	මැයි
mayday	මැයි දිනය
mayflower	වර්ණගන්වයි
mayhem	අවාසනාවකි
mayonnaise	මෙයොනීස්
mayor	නගරාධිපති
maze	කූඩුව
mead	මීඩියා
meadow	භූමිය
meager	සොච්චම්
meal	ආහාර වේලක්
mean	අදහස් වේ
meander	මැන්ඩර්
meandering	රැවුල
meanie	මනි
meaning	අර්ථය
meaningful	අර්ථවත්
meaningless	අර්ථ විරහිත ය
meanness	කණගාටුවකි
means	අදහස් කරයි
meantime	ඒ අතර වේ
measles	සරම්ප
measurable	මැනිය හැකි ය
measure	පියවරකි
measured	මැනිය
measurement	මිනුම්
measuring	මැනීම
measuring cup	මිනුම් කෝප්පය
measuring tape	මිනුම් පටිය
meat	මස්
meatball	මස්බෝල්
meathead	මස් ගේ
meatloaf	මස්පිං
mechanic	යාන්ත්රිකයෙකි
mechanical	යාන්ත්රික
mechanics	යාන්ත්ර විද්යාව
mechanism	යාන්ත්රණයක්
med	NO TRANSLATION
medal	පදක්කම්
medallion	මැඩලියනයක්
medallist	පදක්කම්ලාභියාය
meddle	මැදිහත් වෙන්න
meddling	මැදිහත් වීම
media	මාධ්ය
medial	භික්ෂුව
median	මධ්යන්යය
mediate	මැදිහත් වෙන්න
mediation	මැදිහත්වීම
mediator	මැදිහත්කරු
medic	ඖෂධය
medical	වෛද්ය
medicate	ඖෂධයකි
medication	ඖෂධයකි
medicinal	ඖෂධීය
medicine	වෛද්ය විද්යාව
medieval	මධ්යතන යුගයේ
mediocre	මධ්යස්ථයි
mediocrity	මධ්යස්ථභාවය
meditate	මෙනෙහි කරන්න
meditating	භාවනාව
meditation	භාවනාව
meditative	භාවනාත්මකයි
mediterranean	මධ්යධරණී මුහුදේ
medium	මධ්යම
medley	මැක්ලි
meek	නිහතමානී ය
meet	හමු වේ
meeting	රැස්වීම
mega	විශාලයි
meh	මයි
melancholic	බඩවැල්
melancholy	බඩගිනි
melee	මිනිහෙක්
mellow	මෘදුයි
melodious	නටනවා
melodrama	වේදිකා නාට්යය
melodramatic	නටනවා
melody	ගීතයකි
melon	කොමඩු
melt	දියවී යනවා
meltdown	උනුවී යාමයි
melting	දියවී යාමයි
member	සාමාජිකයෙකි
membership	සාමාජිකත්වය
membrane	පටලයයි
memento	සමරු ඵලකය
memo	සටහන
memoir	මතක සටහන්
memorabilia	සිහිවටන
memorable	මතකයේ තබාගන්න
memorandum	සංදේශය
memorial	සිහිවීම
memorials	ස්මාරක
memories	මතකයන්
memoriesiwontforget	NO TRANSLATION
memorize	මතක තබාගන්න
memory	මතකය
menace	තර්ජනයක්
menacing	තර්ජනාත්මකයි
menagerie	මිනිහෙක්
mend	නැවතිමි
mending	අලුත්වැඩියා කිරීම
menial	හිසරදයකි
meningitis	මෙනින්ග්ටිස්
meniscus	මැණිකේ
menopause	ආර්තවහරණය
menses	මුසාවන්
menstrual	ඔප්ෂනල්
mental	මානසික
mentalhealth	NO TRANSLATION
mentality	මානසිකත්වය
menthol	මානෙල්
mention	සඳහන් කර ඇත
mentor	උපදේශකයෙකි
menu	මෙනු
meow	මියාව්
mercantile	වෙළඳාම
mercenary	කුලී හේවායන්
merchandise	වෙළඳ භාණ්ඩ
merchant	වෙළෙන්දෙක්
merciful	කරුණාවන්තයි
merciless	අනුකම්පා විරහිත ය
mercurial	රසවිඳින්න
mercury	රසදිය
mercy	දයාව
mere	හුදෙක්ම
merengue	මැනිං වේ
merge	ඒකාබද්ධ කිරීම
merger	එකතුවීමයි
meridian	මධ්යධර්මවාදීන්
meridional	කදිමයි
meringue	මෙරිං
merit	කුසලතා
meritorious	පුණ්ය
mermaid	රසිකයෙක්
merriment	වේගය
merry	ප්රීතිමත් ය
merrychristmas	NO TRANSLATION
mesa	මාසේ
mescaline	මැසකයින්
mesh	දැලිස්
meshes	දැලිස්
mesmerized	නින්දිතය
mess	අවුලක් නෑ
message	පණිවුඩය
messedup	NO TRANSLATION
messenger	පණිවිඩකරුවෙක්
messiah	මෙසියස්
messy	අසීරුයි
metabolic	පරිවෘත්තීය වේ
metabolism	පරිවෘත්තීය
metal	ලෝහය
metallic	ෙලෝහමය
metallurgy	ලෝහ කර්මාන්තය
metamorphosis	කඩුල්ල
metaphor	රූපකයකි
metaphorical	රූපකාත්මකය
metaphysical	පාරභෞතික දර්ශනයකි
metaphysics	අධ්යාත්ම විද්යාව
metastasis	මයිටාස් වේ
meteor	උල්කාපාතය
meteoric	උල්කාෂ්ම කාලෝචිතය
meteorite	උල්කාපාතයක්
meteorological	කාලගුණික
meteorology	කාලගුණ විද්යාව
meter	මීටර
meth	ඒ
methadone	මෙතෝඩෝනය
methane	මීතේන්
methanol	මෙතනෝල්
method	ක්රමයකි
methodical	ක්රමවත් ය
methodology	ක්රමවේදය
meticulous	සුපරීක්ෂාකාරීයි
metime	සිනාව
metric	මෙට්රික්
metrical	මෙට්රික්
metrology	මිනුම් විද්යාව
metropolis	අගනගරය
metropolitan	අගනගරයක්
mettle	ස්තූතියි
mew	මස්
mezzanine	මාස්සන්
mica	මයිකා
mick	මිකා
micro	මයික්රො
microbe	ක්ෂුද්රජීවී
microbiology	ක්ෂුද්රජීව විද්යාව
microchip	මයික්රෝෂිප්
microcosm	ක්ෂුද්රජීව ය
microfilm	මයික්රෆිල්ම්
microgram	මයික්රොග්රෑම්
micrometer	මයික්රෝමීටරයක්
micron	මයික්රෝනා
microphone	මයික්රොෆෝනය
microscope	අන්වීක්ෂය
microscopic	අන්වීක්ෂීය
microscopically	අන්වීක්ෂීයයි
microscopy	අන්වීක්ෂීයයි
microwave	මයික්රෝවේව්
mid	මැද
midair	අර්ධද්වීපයයි
midday	දහවල්
middle	මැද
middleman	මැදිහත්කරුවෙක්
middleweight	මධ්යන්ය
midget	මිනිහෙක්
midland	මිඩ්ලන්ඩ්
midlife	මැදරට
midline	මධ්යන්යය
midnight	මැදියම් රැයේ
midshipman	මැදිකුඩුවා
midst	මධ්යයේ ය
midsummer	සඳුදා
midterm	මැද හරිය
midtown	මධ්යධරණී
midway	මැද භාගය
midwife	වින්නඹු මාතාවකි
midwifery	ශල්ය වෛද්ය
mien	NO TRANSLATION
miffed	අඳුරේ
mighty	බලසම්පන්නය
mignon	මිග්නන්
migraine	ඉරුවාරදය
migrate	සංක්රමණය වේ
migration	සංක්රමණයකි
migratory	සංක්රමණිකය
mike	මයික්
mil	NO TRANSLATION
mild	මෘදුයි
mildew	කෝණාකාර වේ
mildness	මෘදුකම
mile	සැතපුම්
mileage	කිලෝමීටර්
milestone	සන්ධිස්ථානයකි
militant	සටන්කාමී ය
militants	සටන්කාමීන්
military	යුද
militia	මිලීජියාවයි
milk	කිරි
milkman	කිරිමාන්ය
milkshake	මිලක්ෂේක්
milky	කිරි
mill	මෝල
millennium	සහස්රය
milligram	මිලිග්රෑම්
millimeter	මිලිමීටරයක්
million	මිලියන
millionaire	කෝටිපතියෙකි
millionth	මිලියනයයි
millstone	ඇඹරුම් ගලක්
mime	මිනි
mimic	අඳුරේ
mimicking	අනුකරණය කරනවා
mimicry	ආකරය
mince	මිනිහෙක්
mincemeat	මැලියම්
mind	මනස
minded	කල්පනා කළා
mindful	කල්පනාවෙන් සිටින
mindfulness	සිහිය
mindless	අඥානයි
mine	මගේ
minefield	බිම් බෝම්බය
miner	මිනි
mineral	ඛනිජයකි
mineralogy	ඛනිජ විද්යාව
mingle	මිනිහා
mingled	මිශ්රවී ඇත
mini	කුඩා
miniature	කුඩා වේ
minibus	මිනිත්තුවකි
minim	NO TRANSLATION
minimal	අවම
minimize	අවම කිරීමයි
minimized	අවම කරයි
minimum	අවම
mining	පතල් කර්මාන්තය
minion	මිනිහෙක්
minister	ඇමැති
ministerial	ඇමතිවරයෙක්
ministry	අමාත්යාංශ
minivan	ටොයොටා
mink	මිනිහ
minnow	මිනිහෙක්
minor	සුළු
minority	සුළුතරයකි
minstrel	මිනිහෙක්
mint	මින්ට්
minty	මිනිහෙක්
minuscule	දුර්වලයි
minute	විනාඩියක්
minutiae	මිනිත්තුවක්
minx	මිනික්ස්
mir	NO TRANSLATION
miracle	ආශ්චර්යයකි
miracles	හාස්කම්
miraculous	ආශ්චර්යමත්
mirage	මිරිඟුව
mire	NO TRANSLATION
mirror	කැඩපත
mirth	මෛත්රී
misappropriation	සොරකම් කිරීම
misbehave	වැරදියි
misbehavior	විෂම පැවැත්මක්
miscalculation	වැරදි ගනන් බැලීම්
miscarriage	ගබ්සා වීම
miscellaneous	විවිධාකාර
miscellany	මිශ්රණයකි
mischief	දඟකාර
mischievous	අවාසනාවන්තයි
misconception	වැරදි සංකල්පයකි
misconduct	විෂමාචාරය
misdemeanor	ප්රෝඩාකාරී වේ
misdirection	නොසලකා හරිමින්
miser	නරකයි
miserable	කාලකන්නි
miserably	කාලකන්නි
misery	කාලකන්නි
misfire	වැරදිමක්
misfit	මිනිහෙක්
misfortune	අවාසනාවකි
misguided	NO TRANSLATION
mishap	අවාසියක්
misinformed	වැරදි තොරතුරු
misinterpretation	වැරදි අර්ථකථනයකි
mislead	නොමඟ යවනවා
misleading	නොමඟ යවයි
misled	නොමඟ යවා ඇත
mismanagement	දුර්වලතාවක්
mismatch	නොගැලපීම
mismatched	අසමත්ව ඇත
misnomer	අසරණයි
misplace	අස්ථානගතවී ඇත
misplaced	අස්ථානගත විය
misread	නොසලකයි
misrepresent	සාවද්ය ලෙසිනි
misrepresentation	වැරදි අර්ථකතනයයි
misrepresented	වැරදියට
miss	මිස්
missile	මිසයිලය
missiles	මිසයිල
missing	අතුරුදන්
missingyou	NO TRANSLATION
mission	මෙහෙයුමයි
missionary	මිෂනාරිවරයෙක්
misspell	වැරදියි
misstatement	සාවද්ය බවය
missy	මිස්
mist	මීදුම
mistake	වැරැද්දක්
mistaken	වැරදියි
mister	මහත්මයා
mistletoe	මෝස්තරයකි
mistreated	අයහපතක්
mistress	ආදරවන්තයා
mistrial	සංඥාවකි
mistrust	අවිශ්වාසය
misty	මීදුම් සහිතය
misunderstand	වැරදි අවබෝධයක්
misunderstanding	වැරදි වැටහීම
misunderstood	වරදවා වටහාගෙන තිබේ
misuse	අවභාවිතය
mite	මයිටා
miter	මිත්යාවකි
mitigate	අවම කිරීම
mitigating	අවම කිරීම
mitigation	අවම කිරීම
mitt	මිට්
mitten	NO TRANSLATION
mitzvah	මිෂ්වා
mix	මිශ්ර
mixed	මිශ්ර
mixedemotions	මිශ්රනයකි
mixer	මික්සර්
mixture	මිශ්රණයයි
mnemonic	කථාව
moan	බඩ ඉරිඟු
moat	අඟුරු
mob	මැරයන්
mobile	ජංගම දුරකථන
mobility	චලනය
mobilization	බලමුලු ගැන්වීමයි
mobilize	බලමුලු ගැන්වීමයි
mobster	අතැතිව
mocha	මෝචා
mock	නටනවා
mocked	කල්පනා කළා
mockery	නින්දාවකි
mocking	විහිළුවකි
mockingbird	නටනවා
mod	මෝඩ
modal	මොඩියුලය
modality	ක්රමයයි
mode	මාදිලිය
model	ආකෘතිය
modeler	ආකෘතිය
modeling	ආකෘති නිර්මාණය
modem	මෝඩමය
moderate	මධ්යස්ථය
moderate anticipation	මධ්යස්ථ අපේක්ෂාවකි
moderate disgust	මධ්යස්ථ පිලිකුලකි
moderate negative	මධ්යස්ථ ඍණ
moderate positive	මධ්යස්ථ ධනාත්මක
moderate surprise	මධ්යස්ථ පුදුමයකි
moderate trust	මධ්යස්ථ විශ්වාසය
moderately	මධ්යස්ථව
moderating	මධ්යස්ථ වීම
moderation	මධ්යස්ථභාවය
moderator	උපපරිපාලක වරු
modern	නූතන
modernism	නූතනවාදයයි
modest	නිහතමානී ය
modesty	නිහතමානී බව
modicum	මෝඩමය
modifiable	වෙනස් කළ හැකිය
modification	වෙනස් කිරීමකි
modified	වෙනස් කර ඇත
modify	වෙනස් කරන්න
modulate	මාපාංකය
modulation	මූර්ඡනය
module	මොඩියුලය
modulus	මාපාංකය
mogul	මෝගල්
moiety	වැඩිය
moist	තෙත් වේ
moisture	තෙතමනය
moisturizer	ෙමොයිස්චරයිසර්
molar	මොලස්
molasses	උක්
mold	අච්චුව
molded	හැඩගස්වා ඇත
molding	ලීස්තරය
moldy	පැටලී තිබේ
mole	මවුලය
molecular	අණුක වේ
molecule	අණුවයි
molest	අපරාදේ
molestation	ලිංගික අතවර කිරීම
molester	molester
molten	වාත්තු කරයි
mom	අම්මා
moment	මොහොත
momentary	ක්ෂණිකව
momentous	වැදගත් කාරණයක්
momentum	ගම්යතාව
momma	අම්මා
mommy	අම්මා
monad	මොඩියෙ
monarch	රාජාණ්ඩුව
monarchy	රාජාණ්ඩුව
monastery	ආරාමය
monastic	ආශ්රමය
monetary	මූල්ය
money	මුදල
mongoloid	මොන්ගෝයිඩ්
mongoose	මුගටියන්
mongrel	මොංගෙල්
monitor	අධීක්ෂණය කිරීම
monk	හිමිනමකි
monkey	වඳුරා
mono	NO TRANSLATION
monochrome	ඒකයි
monogamous	තනියම
monogamy	ඒකීයයි
monogram	මොනොගොමෑවක්
monogrammed	නිරූපණය කර ඇත
monograph	ප්රකාශනයකි
monolayer	ඒකීය තැනක්
monolith	ඒකලිතය
monologue	ඒකයි
monopolist	ඒකාධිකාරී ය
monopoly	ඒකාධිකාරය
monotonous	ඒකාකාරී ය
monotony	ඒකාබද්ද
monoxide	මොනොක්සයිඩ්
monsieur	මැසිඩර්
monsoon	මෝසම් වැසි
monster	රංචුවක්
monstrosity	යල් පැනලා
monstrous	භයානකයි
montage	සවි කිරීම
monte	මොන්ට්
month	මස
monthly	මාසිකව
monument	ස්මාරකයකි
monumental	මහමග
moo	මෝ
mooch	මෝච්
mood	මනෝභාවය
moods	මනෝභාවයන් ය
moody	මූඩීස්
moon	හඳ
moonbeam	චන්ද්රයා
moonlight	චන්ද්රයා
moonlit	සඳුදා
moonshine	මිනිහෙක්
moonstruck	චන්ද්රයා
moonwalk	චන්ද්රයා
moor	වෙරළට
moored	නැංගුරම් ලා
mooring	නැව්
moorings	වෙඩින්
moorland	වෙරළබඩ
moose	මූස්
moot	අඳුනනවා
mooted	කල්පනා කළා
mop	මෝප්
mope	නරකයි
moped	මොඩලය
moral	සදාචාරාත්මක ය
morale	චිත්ත ධෛර්යය
morality	සදාචාරය
morals	සදාචාරය
morass	අවුලක් නෑ
moratorium	තහනම
moray	මැරෙයි
morbid	කණගාටුයි
morbidity	ලෙඩේ
morbidness	අනිත්ය යි
mores	වැඩිපුර
morgue	මළ සිරුර
moribund	නරකයි
morn	උදේට
morning	උදෑසන
moron	මහා මොඩයා
moronic	මෝරනික්
morose	අමනුෂ්යයා
morph	මෝර්ප්
morphine	මෝපයින්
morphism	මෝෆිස්වාදයයි
morphology	රූප සටහන
morrow	මැරුණා
morsel	මස්සාල්
mortal	මාරාන්තිකයි
mortality	මරණ අනුපාතය
mortar	මෝටාර්
mortgage	උකස ය
mortgagee	උකසක්
mortgagor	උගුලකි
mortician	මෝටර්රථය
mortification	මෝඩවීම
mortified	මරණීය දණ්ඩනයට ලක්විය
mortuary	මෝචරියට
mosaic	මොසායික්
mosey	මුෂේ
mosque	මුස්ලිම් පල්ලිය
mosquito	මදුරුවෝ
moss	පාසි
mossy	මොසෙයි
mote	NO TRANSLATION
motel	මොටර්
moth	සලබයා
mother	මව
motherfucker	මිනිහෙක්
motherfucking	මිනිහා
motherhood	මාතෘත්වය
motherland	මව්බිම
motherless	අම්මයි තාත්තයි
motherly	මාතෘ
motif	මෝස්තරය
motion	චලනය
motionless	නොපැකිල
motivate	උනන්දු කරවන්න
motivating	අභිප්රේරණය
motivation	අභිප්රේරණයයි
motivational	අභිප්රේරණයයි
motive	චේතනාවෙන්
motley	චලනය
motor	මෝටර්
motorbike	යතුරුපැදිය
motorboat	බෝට්ටුවක්
motorcade	රථ පෙළපාලියක්
motorcar	මෝටර් රථය
motorcycle	යතුරු පැදිය
motorist	රියදුරා
motte	මෝඩයි
mottled	ලෝහමය
motto	ආදර්ශ පාඨය
mould	අච්චුව
mound	ගොඩැල්ලක්
mount	සවි
mountain	කන්දයි
mountaineer	කඳු නගින්නෙක්
mountainous	කඳුකරය
mountains	කඳුකරය
mountaintop	කදු මුදුන
mourn	වැළපීම
mournful	වැලපෙනවා
mourning	වැලපීම
mouse	මූසිකය
mousetrap	මූස්
mousse	මූස්
moustache	උඩුරැවුල
mousy	මැජික්
mouth	මුඛය
mouthful	කටහඬයි
mouthpiece	හොරනෑවකි
mouthwash	මුඛය
movable	චංචල දේ
move	චලනය
movement	ව්යාපාරය
mover	එච්
movie	සිනමා පටය
movies	චිත්රපටි
moving	චලනය
movingforward	NO TRANSLATION
movingon	චලනය
mow	මැව්වා
mower	කපන යන්ත්රයකි
moxie	මිනිහෙක්
mozzarella	මොරස්රායලය
mri	මාරි
muchneeded	NO TRANSLATION
mucis	NO TRANSLATION
muck	මිනිහෙක්
mucked	හිසරදයකි
mucous	ශ්ලේෂ්මලයකි
mucus	ශ්ලේෂ්මල
mud	මඩ
muddle	නටනවා
muddled	අවුල් සහගතය
muddy	මඩ ගහනවා
muff	මෝෆ්
muffin	මෆින්
muffled	මැහුම්
muffler	මෆ්ලර්
mug	මකුණ
mugger	මැගසින්
mulberry	මල්බෙරි
mulch	වසුන්
mule	මැඩිය
mull	කල්පනා කරන්න
mullet	කදිමයි
multilateral	බහු පාර්ශවීය
multimedia	බහුමාධ්යයි
multinational	බහුජාතික
multiple	බහු
multiple sclerosis	බහු ස්වරලය
multiplex	බහුපෙති
multiplication	ගුණ කිරීම
multiplicity	විවිධත්වය
multiplied	ගුණ කළා
multiplier	ගුණකය
multiply	ගුණ කරනවා
multitude	ජනප්රියයි
mum	අම්මා
mumble	බයවෙලා
mumbo	මුම්බෝ
mummy	අම්මා
mumps	මැක්කන්
munch	පීනන්න
munchies	මිනිහෙක්
munchkin	මන්ච්කින්
mundane	මන්ඩේන්
municipal	මහ නගර
municipality	නගර සභාව
mural	බිතුසිතුවම
murder	ඝාතනය කිරීම
murderer	මිනීමරුවා
murderess	ඝාතකයා
murderous	මිනීමරුවෙකි
murky	අඳුරුයි
murmur	මැසිවිලි නැඟීම
muscle	පේශි
muscular	මාංශපේශී
muse	කෞතුකාගාරය
muses	විවිධාකාරයි
museum	කෞතුකාගාරය
mush	NO TRANSLATION
mushroom	හතු
mushy	කහට
music	සංගීත
musical	සංගීත
musician	සංගීතඥයෙක්
musing	මනෝභාවයකි
musk	මොස්කව්
musket	මුසාවක්
musketeer	මස්පිඬේ
muskrat	වෙහෙසට පත්
muslin	මුසලින්
muss	NO TRANSLATION
must	කළ යුතුයි
mustang	කෙසෙල්
mustard	අබ ඇටය
muster	කණපිට පෙරලී තිබේ
musty	බඩගිනි
mutable	වෙනස් විය හැක
mutant	විකෘති
mutate	විකෘති වන්නේය
mutation	විකෘතිය
mute	නිහඬයි
muted	ඇඬුවා
mutilate	විකෘති කිරීමකි
mutilated	විකෘති වී ඇත
mutilation	විරල කිරීම
mutiny	කැරලිකාරකමයි
mutt	කැළලක් නැහැ
mutter	NO TRANSLATION
mutton	එළු මස්
mutual	අන්යොන්ය
mutually	අන්යොන්ය වශයෙන්
muzzle	මුසල්
myfavorite	මගේ ප්රියතම
myopia	මයිමොපියාවේ
myopic	කල්පනාකාරී විය
myriad	දහස් ගණනක්
mysterious	අභිරහස් ය
mystery	අභිරහසක්
mystic	ගුප්ත වේ
mystical	ගුප්ත වේ
mysticism	අභිරහසක්
mystified	අද්භූතයි
mystique	අද්භූතයි
myth	මිථ්යාවයි
mythic	මිථ්යාවයි
mythical	මිථ්යාවයි
mythological	මිත්යා මතය
mythology	මිත්යා විශ්වාසයකි
nab	නැව්
nacho	නචෝ
nada	NO TRANSLATION
nadir	නඩීර්
nag	NO TRANSLATION
nail	නියපොතු
nail gun	නිය තුවක්කු
naive	බොබ්
naked	නිරුවතින්
nakedness	නග්නභාවය
namaste	NO TRANSLATION
name	නාමය
named	නම් කර ඇත
nameless	නාඳුනමි
namesake	ටෙස්ට්
naming	නම් කිරීම
nana	නෝනා
nanny	ඩැහැ
nanometer	නැනෝමීටර වේ
nap	නැප්
napalm	napalm
nape	නූල්
napkin	නූල්
napping	නටනවා
nappy	නැප්
narcissism	ජාතිවාදය
narcissist	ජාතිවාදියෙක්
narcissistic	ප්රකටය
narcotic	මත්ද්රව්ය
narrate	කතා කරන්න
narration	කථාව
narrative	ආඛ්යානයකි
narrator	කථාව
narrow	පටුයි
narrowing	පටුවීමයි
nasal	නාසය
nascent	ආවේගයකි
nasty	මෝඩයි
natal	නැටුම්
nation	ජාතිය
national	ජාතික
nationality	ජාතිය
nationwide	රට පුරා
native	දේශීය
nativity	උපත
natural	ස්වාභාවික
natural gas	ස්වාභාවික වායු
naturalist	ස්වභාව විද්යාඥයෙකි
naturalization	ස්වභාවධර්මය
naturalized	ස්වභාවිකයි
naturally	ස්වභාවයෙන්ම
nature	ස්වභාවය
naught	නෙවෙයි
naughty	නරකයි
nausea	ඔක්කාරය
nauseate	හිරිහැර කරනවා
nauseating	වැරදියි
nauseous	පොළඹවන්නකි
nautical	නාවිකයෝ
nautilus	නයිටිලස්
naval	නාවික
nave	නැවේ
navel	පිහියෙන්
navigable	යාත්රාව
navigate	සැරිසරන්න
navigation	යාත්රා කිරීම
navigational	ගුවනේ
navigator	සැරිසරන්න
navy	නාවික
nay	NO TRANSLATION
nearsighted	ළඟපාතයි
neat	කදිමයි
neatly	පිළිවන්
nebula	නිහාරිකාව
nebulae	නිහාරිකාවේ
nebulous	නිහාරිකාවකි
necessarily	අනිවාර්යෙන්ම
necessary	අවශ්යයි
necessitate	අවශ්යයි
necessities	අවශ්යතා ඇත
necessity	අවශ්යතාවයි
neck	බෙල්ල
necklace	මාලයක්
necktie	ඇඳක්
necromancer	අහංකාරය
necrosis	අස්ථිය
nectar	මැස්සන්
need	අවශ්යයි
needalife	NO TRANSLATION
needed	අවශ්යයි
needful	අවශ්යයි
needit	NO TRANSLATION
needle	ඉඳිකටුවක්
needlepoint	ඉඹිපුර
needles	ඉඳිකටු
needless	අනවශ්යයි
needtoknow	අත්යවශ්යයි
needtorelax	NO TRANSLATION
needy	අසරණයි
nefarious	නොපුලුවන්
negation	නිෂේධනය කිරීම
negative	සෘණ
negativity	අහිතකර ස්වභාවය
neglect	නොසලකා හැරීමයි
neglected	නොසලකා හැර ඇත
neglecting	නොසලකා හැරීමකි
negligee	නැගිටි
negligence	නොසැලකිල්ල
negligent	නොසැලකිලිමත්කම
negligently	NO TRANSLATION
negligible	නොසැලකිය යුතුය
negotiable	සංශෝදිත
negotiate	සාකච්ඡා කරන්න
negotiation	සාකච්ඡා කිරීම
negotiator	සාකච්ඡවකිනි
negro	නීග්රෝ ය
neigh	අසල්වැසියා
neighbor	අසල්වැසියා
neighborhood	අසල්වාසී
neighboring	අසල්වැසි ය
nemesis	නරියා
neon	නියෝන්
neonatal	නවජ
neophyte	නූෆිටා
neoprene	neoprene
nephew	බෑණා
nepotism	ඥාතිත්වය
nerd	නොර්ඩ්
nerdy	අසීරුයි
nerve	ස්නායුව
nerves	ස්නායු වලට
nervous	ස්නායු
nervousness	නොසංසුන්තාවය
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	නරකයි
nest	කූඩුව
nestle	ගෙඩිය
nestling	පැටවෙනවා
net	ශුද්ධ
nether	නිශාචරයා
netting	දැල්වීම
nettle	nettle
network	ජාල
networking	ජාලකරණය
neural	ස්නායුක
neuralgia	ස්නායු ධර්ම
neurological	ස්නායු ආබාධ
neurologist	ස්නායු විශේෂඥයෙකු
neurology	ස්නායු විද්යාව
neurosis	ස්නායු පද්ධතිය
neurosurgeon	ස්නායු ඥානය
neurosurgery	ස්නායු ශල්යකර්මය
neurotic	ස්නායු ශක්තීන්
neuter	මධ්යස්ථය
neutral	මධ්යස්ථය
neutrality	මධ්යස්ථභාවයයි
neutralize	උදාසීන කිරීම
neutron	නියුට්රෝන වේ
new	අළුත්
new age	නව යුගයයි
newbeginnings	NO TRANSLATION
newborn	අලුත උපන් වේ
newcomer	නවකයෙක්
newday	අලුත් දවසක්
newfound	නවමු
newjob	NO TRANSLATION
newlife	නව ජීවිතය
newly	අලුතින්
newlywed	අලුතෙන් බිහි විය
newme	අළුත් දෙයක්
newness	නවකයෙක්
news	පුවත්
newscast	ප්රවෘත්ති නිවේදනයක්
newscaster	ප්රවෘත්ති සේවය
newsflash	ප්රවෘත්ති ඇල්ල
newsletter	පුවත් ලිපියක්
newsman	ප්රවෘත්ති කර්තෘ
newspaper	පුවත්පත
newspaperman	පුවත්පතක
newsreel	කථාවක්
newsroom	පුවත්පතින්
newsstand	ප්රවෘත්ති
newstart	නිව්ස්ටාට්
