Word	fy
insure	fersoargje
insurgent	opstannich
insurmountable	ûnferbidlik
insurrection	opstân
intact	yntakt
intake	yntake
intangible	yntangible
integer	integer
integral	yntegraal
integrate	yntegrearje
integration	yntegraasje
integrity	yntegriteit
intellect	yntellekt
intellectual	yntellektueel
intelligence	yntelliginsje
intelligent	yntelligint
intelligibility	intelligibility
intelligible	yntelligabel
intend	bedoeld
intended	bedoeld
intending	yntinsyf
intense	fûleindich
intensely	intensely
intensify	fersterkje
intensity	yntinsiteit
intensive	yntinsyf
intent	yntinsje
intention	yntinsje
intentional	intentionaal
intentionally	yntinsyf
inter	ynter
interact	ynteraktivearje
interaction	wikselwurking
interactive	ynteraktyf
intercede	intercede
intercept	intercept
interception	ynterpretaasje
intercession	foarbea
interchange	ferbining
interchangeable	wikseljend
interchanged	feroare
intercom	yntercom
intercourse	mienskip
interdependence	ynterpondinsje
interdependent	ynterdependend
interdiction	interdiction
interest	rinte
interested	belang
interesting	nijsgjirrich
interface	ynterface
interfere	ynterfere
interference	ynterferinsje
interferometer	interferometer
intergalactic	intergalactic
interim	ynterim
interior	binnenkant
interject	interjectje
interlocutory	interlocutory
interlude	interlude
intermediary	tydlik
intermediate	tydlik
interment	ynterpretaasje
interminable	ûnminsklik
intermission	yntermission
intermittent	intermittent
intern	yntern
internal	yntern
internally	yntern
international	ynternasjonaal
internet	internet
internship	internship
interoffice	interoffice
interpolate	interpolate
interpolation	interpolaasje
interpret	ynterpretearje
interpretation	ynterpretaasje
interpreter	tolk
interpretive	ynterpretatyf
interrelated	ynterferoare
interrogate	ynterpretearje
interrogation	ferhaal
interrupt	ûnderbrekke
interrupted	ûnderbrekke
interrupting	ûnderbrekke
interruption	ûnderbrekking
interrupts	ûnderbrekken
intersect	ferdwine
intersection	krúsing
interstate	interstate
interstellar	interstellar
interstitial	interstitial
interval	tuskenskoft
intervene	yngripe
intervening	yntervenearjen
intervention	yngreep
interview	fraachpetear
interviewer	ynterviewer
interworking	ynterwurking
intestate	intestate
intestinal	yntestinaal
intestine	darm
intestines	yndestinen
intimacy	yntimiteit
intimate	yntimint
intimately	yntimint
intimation	yntimaasje
intimidate	yntimidearje
intimidated	yntimidearre
intimidating	yntimidearjen
intimidation	yntimidaasje
intolerable	yntolerabel
intolerance	yntolerânsje
intolerant	ûnferdraachsum
intonation	yntonaasje
intoxicated	yntreekt
intoxicating	ûntslach
intoxication	yntocht
intracranial	intracranial
intractable	ûnbetrouber
intramural	yntramuroel
intravenous	yntravenous
intrepid	eangst
intricate	yntrikt
intrigue	yntrigearje
intriguing	yntrigearjend
intrinsic	yntinsivearre
intrinsically	yntinsivearre
intro	yntro
introduce	yntrodusearje
introduction	ynlieding
introductory	ynlieding
introspection	yntroepeksje
introspective	yntroopjend
intrude	yntroegje
intruder	intruder
intrusion	yntuksje
intrusive	yndrukke
intubation	yntubaasje
intuition	yntuysje
intuitive	yntuïtyf
intuitively	intuitive
inundation	ynundaasje
invade	ynfalle
invader	invader
invalid	ûnjildich
invalidate	invalidate
invalidation	invalidaasje
invalidity	ynvaliditeit
invaluable	ûnwisbere
invariably	unyk
invasion	ynvaazje
invasive	invasive
invent	útfine
invention	útfining
inventive	ynventyf
inventor	útfiner
inventory	ynventarisaasje
inverse	inverse
inversely	inversely
inversion	inversion
invert	ynkommend
inverted	ynverted
invest	ynvestearje
investigate	ûndersykje
investigation	ûndersyk
investigative	ûndersiik
investigator	ûndersiker
investment	ynvestearring
investor	ynvestearder
invidious	opfallend
invigorate	belibje
invincible	ûnoerwinlik
invisibility	ûnsichtberens
invisible	ûnsichtber
invitation	útnoeging
invite	noegje
inviting	invite
invocation	oprop
invoice	invoice
invoke	oproppe
involuntary	ûnwillekeurich
involution	ynlieding
involve	belûke
involvement	belutsenens
invulnerable	ûntslachlik
inwards	nei binnen
iodine	iodine
ion	ion
iota	iota
irate	eare
ire	NO TRANSLATION
iridescent	oerstallich
iris	iris
irked	oanklaaid
irks	earm
iron	izer
ironclad	ironclad
ironic	iroanysk
irons	irons
irony	irony
irradiation	bestraffing
irrational	irrational
irrationality	irrationaliteit
irreconcilable	ûnreplikbere
irreducible	ûnreplikbaar
irrefutable	ûnferwachts
irregular	ûnregelmjittich
irregularity	Unregelmjittichens
irregularly	ûnregelmjittich
irrelevant	ûnregelmjittich
irreparable	ûnreplik guod
irreplaceable	Unreplikbere
irrepressible	ûnrepressibel
irresistible	ûnwistlik
irrespective	ûnôfhinklik
irresponsible	ferantwurdlik
irreverent	ûnreplik guod
irreversible	ûnreplik guod
irrevocable	ûnwislik
irrigate	earmje
irrigation	yrrigaasje
irritability	rissigens
irritable	reizgje
irritate	rypje
irritated	irritearre
irritates	irritearret
irritating	irritearend
irritation	irritation
island	eilân
isle	isle
islet	islet
isolate	isolearje
isolated	ôfsûnderje
isolation	isolatie
isomorphism	isomorphisme
isothermal	isotherme
isotope	isotop
issue	útjefte
itch	jûk
itching	Jûkje
itchy	jûk
item	ûnderdiel
itemize	itemize
items	items
iterate	iterate
iteration	iteraasje
iterative	iterative
itinerant	itinerant
itinerary	rûte
ivory	ivoar
jab	jab
jabber	jabber
jack	jack
jackal	jackal
jackass	jackass
jacket	jek
jackhammer	jackhammer
jackpot	jackpot
jackrabbit	jackrabbit
jacks	jacks
jade	jade
jaded	jaded
jag	NO TRANSLATION
jagged	jagged
jaguar	jaguar
jail	finzenskip
jailbird	jailbird
jailbreak	jailbreak
jailer	jailer
jailhouse	jailhouse
jalopy	jalopy
jam	jam
jamboree	jamboree
jammed	jammed
jammer	jammer
janitor	janitor
janitorial	janitorial
japan	Japan
jar	jar
jargon	jargon
jarhead	jarhead
jarring	jarring
jasmine	jasmine
jasper	jasper
jaundice	jaundice
jaunt	jaunt
java	java
javelin	javelin
jaw	jaw
jawbone	jawbone
jaws	jaws
jay	jay
jazz	jazz
jazzy	jazzy
jealous	ealje
jealousy	ealje
jean	jean
jeans	jeans
jeep	jeep
jeering	jeering
jelly	jelly
jellybean	jellybean
jellyfish	jellyfish
jenny	jenny
jeopardize	jeopardearje
jeopardy	jeopardy
jerk	jerk
jerks	jerks
jerky	jerky
jersey	jersey
jest	NO TRANSLATION
jester	jester
jesus	jesus
jet	jet
jetty	jetty
jewel	Juwelier
jeweler	jeweler
jewelry	juwielen
jib	jib
jiff	NO TRANSLATION
jiffy	jiffy
jig	jig
jiggle	jiggle
jigsaw	jigsaw
jihad	jihad
jimmy	jimmy
jingle	jingle
jinx	jinx
jitters	jitters
jittery	jittery
jive	jive
job	taak
jobinterview	NO TRANSLATION
jock	jock
jockey	jockey
jockstrap	jockstrap
jog	jog
jogger	jogger
john	john
join	meidwaan
joined	tegearre
joining	jo komme
joint	mienskip
jointly	mienskiplik
joke	mop
joker	joker
joking	spitigernôch
jolly	jolly
jolt	jolt
jornada	NO TRANSLATION
jot	jot
jour	NO TRANSLATION
journal	sjoernaal
journalism	sjoernalistyk
journalist	sjoernalist
journalistic	journalistysk
journey	reis
journeyman	rintman
joust	joust
jovial	jovial
joy	freugde
joyful	freugde
joyous	froulik
joyride	joyride
joys	freugde
jubilant	jubilant
jubilee	jubileum
judge	rjochter
judged	rjochte
judging	rjochtfeardigje
judgment	oardiel
judgmental	oardielje
judicial	juridysk
judiciary	Justysje
judicious	rjochtfeardich
judo	judo
jug	jug
juggle	juggle
juggler	juggler
juggling	juggling
jugular	jugular
juice	sop
juicer	juicer
juicy	sûk
juju	NO TRANSLATION
juke	juke
jukebox	jukebox
jumble	jammerje
jumbled	jammerdearde
jumbo	jumbo
jump	springe
jump rope	toutsje springe
jumper	jumper
jumpsuit	jumpsuit
jumpy	jumpy
junction	krúspunt
juncture	juny
jungle	jungle
junior	junior
juniper	juniper
junk	junk
junket	junket
junkie	junkie
junky	junky
junkyard	junkyard
junta	junta
juridical	juridysk
jurisdiction	rjochtspraak
jurisprudence	jurisprudinsje
jurist	jurist
juror	juror
jury	sjuery
justice	rjocht
justifiable	justifiearber
justification	rjochtfeardiging
justify	rjochtfeardigje
juststop	NO TRANSLATION
justthebeginning	NO TRANSLATION
jute	jute
juvenile	juvenile
juxtaposition	juxtaposition
kaiser	kaiser
kale	kale
kaleidoscope	kaleidoskop
kamikaze	kamikaze
kangaroo	kangaroo
kanji	kanji
kappa	kappa
kaput	NO TRANSLATION
karaoke	karaoke
karate	karate
karma	karma
karmic	karmysk
kayak	kayak
kazoo	kazoo
kebab	kebab
keel	keel
keen	moai
keep	hâlde
keeper	keeper
keeping	hâlding
keepsake	keepsake
keg	keg
kelp	kelp
ken	ken
kennel	kennel
kerchief	kerchief
kern	kern
kernel	kernel
kerosene	kerosene
ketchup	ketchup
kettle	tsjettel
key	kaai
keyboard	toetseboerd
keyed	keyed
keyhole	keyhole
keynote	Keynote
keypad	toetseboerd
keystone	keystone
keyword	keyword
khaki	khaki
khan	khan
kibble	kibble
kick	skop
kickboxing	kickboxing
kicker	kicker
kicking	stjerre
kickoff	ôftraap
kid	kid
kidder	kidder
kidding	kidding
kiddo	kiddo
kiddos	kiddos
kidnap	kidnap
kidnapped	ferwûne
kidnapper	kidnapper
kidnapping	ôfnapping
kidney	Nier
kids	bern
kill	fermoardzje
killer	killer
killing	killing
killjoy	killjoy
kiln	kiln
kilo	NO TRANSLATION
kilogram	kilogram
kilometer	kilometer
kilt	kilt
kimono	kimono
kin	kin
kind	soart
kindergarten	kindergarten
kindling	kindling
kindness	wiisheid
kindred	kindred
kinematics	kinematyk
kinesiology	kinesiology
kinetic	kinetysk
king	kening
king snake	kening slang
kingdom	keninkryk
kingpin	kingpin
kink	kink
kinky	kinky
kinship	kinship
kiosk	kiosk
kirk	kirk
kiss	tút
kisser	kisser
kissy	kissy
kit	kit
kitchen	koken
kite	kite
kitten	kitten
kiwi	kiwi
klutz	klutz
knack	knack
knapsack	knappe
knead	knead
knee	knibbel
kneecap	kneecap
kneel	kneel
kneeling	knibbelje
knell	knell
knick	knick
knickers	knickers
knife	mes
knight	Ridder
knighthood	knibboud
knit	breidzje
knob	knob
knock	klopje
knockoff	knockoff
knockout	knock-out
knoll	knoll
knot	knoop
knots	knots
knotted	knotted
know	witte
knowing	witte
knowingly	wissich
knowledge	kennis
knowledgeable	kennisber
knuckle	knuckle
knucklehead	knucklehead
knuckles	knuckles
koala	koala
kook	NO TRANSLATION
kooky	kooky
kool-aid	kool-aid
kos	kos
kosher	kosher
kraut	NO TRANSLATION
kris	kris
kryptonite	kryptonite
kudos	kudos
kumquat	kumquat
lab	laboratorium
label	etiket
labor	arbeid
laboratory	laboratoarium
labored	wurke
laborer	arbeider
laboring	wurkjen
laborious	wurkje
labyrinth	labyrinth
lac	lac
lace	kant
laceration	laceration
lack	gebrek
lackey	ûntfange
lacking	ûntbrekt
lackluster	ferljochting
lacquer	lekker
lacrosse	lacrosse
lactose	laktose
lad	lad
ladder	ladder
laddie	laddie
laden	laden
lading	lading
ladle	klean
lady	dame
lady bug	NO TRANSLATION
ladybug	ladybug
ladylike	ladylike
ladyship	ladyship
lag	lag
lager	NO TRANSLATION
lagging	bliuwend
lagoon	lagune
lair	lair
laity	laity
lake	mar
lama	NO TRANSLATION
lamb	laam
lame	mank
lament	lampe
lamenting	klamje
lamina	lamina
laminated	laminearre
lamp	lampe
lamppost	lampepost
lance	lance
lancer	lancer
land	lân
landed	lâne
landfall	lânfal
landfill	ferdylgje
landing	oankomst
landlady	landlady
landlocked	lansearre
landlord	wethâlder
landmark	landmark
lands	lannen
landscape	lânskip
landscaping	lânskip
landslide	ierdferskowing
lane	lane
language	taal
languid	languid
languish	languish
languishing	languishing
lanky	lanky
lantern	lantern
lap	rûn
lapdog	lapdog
lapel	reitsje
lapse	ferdwine
lapsed	ferlern gien
laptop	laptop
larceny	larceny
lard	lard
larder	larder
large	grut
larger	grutter
largo	NO TRANSLATION
lark	lark
larva	larva
laryngitis	laryngitis
larynx	larynx
lasagna	lasagna
laser	laser
lash	lash
lass	lass
lasso	lasso
lastday	NO TRANSLATION
lasting	duorsume
lastminute	Lêste minút
latch	latsje
late	let
lateness	lateness
latent	latent
lateral	letterlik
laterally	letterlik
latex	Latex
lathe	lathe
lather	lather
latitude	breedte
latrine	latrine
latrines	latrines
latte	latte
lattice	lattice
laud	laud
laudable	lûdber
laudation	laudaasje
laudatory	laudatory
laugh	laitsje
laughable	lekkerber
laughing	laitsje
laughingstock	NO TRANSLATION
laughs	laitsje
laughter	laitsjen
launch	start
launcher	launcher
launches	lansearret
launder	lûd
laundering	lústerjen
laundry	wask
laureate	laureate
laurel	laurel
laurels	laurels
lava	lava
lavage	lavage
lavatory	fekânsje
lavender	lavender
lavish	prachtich
law	wet
lawful	wetlik
lawless	lawless
lawlessness	wetens
lawman	jurist
lawn	Rasen
lawnmower	gersmeaner
lawsuit	oardiel
lawyer	advokaat
lax	lax
laxative	laaksje
lay	lizze
layaway	layaway
layer	laach
layered	lizze
layman	leane
layout	opmaak
layover	leauwe
laziness	iensumens
lazy	loai
lazyday	NO TRANSLATION
lea	lea
lead	foarsprong
leaded	leaded
leader	lieder
leadership	liederskip
leading	liedend
leads	foarsprong
leaf	blêd
leaflet	leaflet
leafy	leafy
league	lig
leak	lek
leakage	leakage
leaky	leaky
lean	lean
leaned	leaned
leaning	leaning
leap	leap
learn	leare
learned	learde
learner	learner
learning	learen
lease	lease
leash	leash
leather	lear
leathery	lederich
leave	ferlitte
leavemealone	Lit my allinnich
leaving	fuortgean
lecherous	lecherous
lecture	lêzing
lecturer	lektor
ledge	lege
ledger	lieder
lee	lee
leech	bloedsûger
leeches	leeches
leer	NO TRANSLATION
leery	leery
lees	NO TRANSLATION
leeway	leeway
left	links
leftout	NO TRANSLATION
leftover	leftover
leftovers	oerbliuwsels
lefty	lefty
leg	skonk
legacy	legacy
legal	legaal
legality	legaalheid
legalize	legalisearje
legalized	legalisearre
legally	wetlik
legend	leginde
legendary	legendary
legibility	legibility
legible	legible
legion	legion
legislate	wetjouwende
legislation	wetjouwing
legislative	wetjouwing
legislator	wetjouwing
legislature	wetjouwing
legit	legit
legitimacy	legitimaasje
legitimate	legitimearre
lego	lego
legs	skonken
legume	legume
legwork	legwork
leisure	frije tiid
leisurely	leisurely
lemma	lemma
lemon	lemon
lemonade	limonade
lend	lien
lender	lender
lending	liening
length	lingte
lengthen	lengte
lengthened	ferlingd
lengthening	ferlinging
lengthwise	langer
lengthy	langer
leniency	leniency
lenient	ferwiderje
lens	lins
leopard	leopard
leotard	leotard
leper	leper
leprechaun	leprechaun
leprosy	leprosy
lesbian	lesbe
lesbianism	lesbisme
lesion	lesion
less	minder
lessee	ljepper
lessen	minder
lessening	minder
lesser	minder
lesson	les
lessor	ljepper
let	litte
lethal	tidich
lethargic	lethargysk
lethargy	lethargy
letter	letter
lettered	lettered
letterhead	letterhead
lettering	lettering
letters	letters
lettuce	lettuce
leukemia	leukemia
levee	wachtsje
level	peil
lever	lever
leverage	leverage
levitate	leviten
levy	levy
lewd	lewd
lexicon	lexicon
ley	NO TRANSLATION
liabilities	ferbrannen
liability	oanspraaklikens
liable	oanspraaklik
liaison	liaison
liar	liger
libel	libel
libelous	libelous
liberal	liberaal
liberalism	liberalisme
liberate	frijlitte
liberated	befrijd
liberating	befrijend
liberation	befrijing
liberty	frijheid
libido	libido
librarian	bibliotekaresse
library	biblioteek
libretto	libretto
lice	litte
license	fergunning
lichen	lichen
lick	liken
licorice	lokwinsken
lid	lid
lie	lizze
liege	lizze
lien	lien
lieu	lieu
lieutenant	luitenant
life	libben
lifeblood	rjochtfeardich
lifeboat	lifeboat
lifeguard	Rêchslach
lifeisgood	libben is goed
lifeless	libbenslos
lifelike	lifelike
lifeline	lifeline
lifelong	lifelong
lifer	lifer
lifesaver	lifesaver
lifestyle	lifestyle
lifesucks	it libben is kut
lifetime	libben libben
lift	lift
lifted	ferhege
liftoff	liftoff
ligament	ligament
ligation	ligaasje
ligature	ligature
light	ljocht
light year	ljochtjier
lightbulb	gloeilampe
lighten	ljochtsje
lightheaded	licht yn 'e holle
lighthouse	fjoertoer
lighting	ljochting
lightness	ljochtheid
lightning	wjerljocht
lights	ljocht
lightweight	ljochtgewicht
likable	leuk
like	lykas
likelihood	likelihood
likely	wierskynlik
likeness	likenis
likewise	lykwols
liking	liking
lilac	lilac
lily	lily
limb	limb
limber	limber
limbo	limbo
lime	kalk
limelight	rjochtfeardich
limestone	kalkstien
limey	limey
limit	beheine
limitation	beheining
limited	beheind
limitless	grenze
limo	limo
limousine	Limousine
limp	limp
lin	lin
line	rigel
lineage	lineage
lineal	lineal
linear	linear
linebacker	linebacker
lined	lined
linen	linnen
liner	linnen
lines	linen
lineup	opstelle
linger	leanje
lingerie	lingerie
lingering	langer
lingo	lingo
lingual	langer
linguini	linguini
linguist	taalkundige
linguistic	linguistysk
linguistics	linguistyk
lining	lining
link	link
linoleum	linoleum
lint	lint
lion	liuw
lip	lippe
liposuction	liposuksje
lipstick	lippenstift
liquefaction	Liquidaasje
liquefied	lichaam
liqueur	lijeur
liquid	floeistof
liquidate	ferwiderje
liquidation	Liquidaasje
liquidator	liquidator
liquidity	Liquiditeit
liquor	lekker
lira	NO TRANSLATION
lisp	lisp
list	list
listen	Harkje
listener	harkje
listenting	NO TRANSLATION
listing	list
listless	listless
listneing	NO TRANSLATION
litany	litany
liter	liter
literacy	literatuer
literal	literêr
literally	letterlik
literary	literêr
literature	literatuer
lithe	lithe
lithium	lithium
lithograph	lithografy
lithography	lithografy
lithology	lithology
lithosphere	lithosphere
litigant	litigant
litigate	litigate
litigation	litigaasje
litigator	litigator
litigious	litig
litter	litter
little	lyts
littlethings	lytse dingen
littoral	littoral
liturgy	liturgy
live	libje
livelife	libje libben
livelihood	leefberens
lively	libben
liven	liven
liver	lever
livery	liefde
livestock	feestje
livid	livid
living	libje
lizard	lizard
llama	llama
lml	lml
load	lade
loader	loader
loaf	loaf
loafer	loafer
loam	loam
loan	liening
loath	loath
loathe	loathe
loathful	loedlik
loathing	loathing
loathsome	tsjuster
lobby	lobby
lobbyist	lobbyist
lobe	lobe
lobotomy	lobotomy
lobster	hobster
local	pleatslik
locale	locale
locality	regio
localization	localization
localize	lokale
localized	lokaal
locate	locate
location	lokaasje
locator	locator
loch	loch
lock	slûs
locker	locker
locket	locket
locksmith	locksmith
lockup	opslute
loco	loco
locomotion	lokomotion
locomotive	lokomotyf
locust	healwiis
lode	NO TRANSLATION
lodge	lodge
lodger	lodger
lodging	lodge
loft	loft
lofty	hegere
log	lochboek
logarithm	logarithm
logarithmic	logarithmic
logic	logika
logical	logysk
logistics	logistyk
logo	logo
logotype	logotype
loin	NO TRANSLATION
lollipop	lollipop
lone	lone
loneliness	iensumens
lonely	lonely
loner	loner
lonesome	iensum
long	lang
longboat	longboat
longevity	longevity
longing	langst
longitude	longitude
longitudinal	longitudinal
longitudinally	longitudinally
longtime	lange tiid
loo	loo
look	sjen
looker	looker
lookout	Sjoch út
loom	loom
looming	looming
loon	loon
loony	loony
loop	loop
loophole	loofol
loopy	loopy
loose	los
loosen	loosen
loosening	loosening
loot	loot
lop	lop
lopsided	lopen
lord	hear
lords	hearen
lordship	lordship
lore	learje
lorry	lorry
lose	ferlieze
loser	ferliezer
losing	ferliezen
loss	ferlies
lost	ferlern
lot	protte
lotion	lotion
lots	folle
lottery	ferlotting
lotto	lotto
lotus	lotus
loud	lûd
loudly	lûdich
loudmouth	lûdmûn
loudness	lûd
loudspeaker	lûdsprekker
lounge	lounge
lounging	lounging
louse	lús
lousy	lousy
lovable	leaflik
love	leafde
loved	leafde
lovee	lovee
loveee	loveee
loveless	loveless
lovelife	NO TRANSLATION
loveliness	loveliness
lovelovelove	NO TRANSLATION
lovely	moai
lovemaking	tútsjeboartsje
lovemylife	NO TRANSLATION
lover	lover
lovesick	lovesick
lovethis	geweldich
loving	leafdefol
lovinglife	lovinglife
lovinlife	lovinlife
low	leech
lowdown	lowdown
lower	leger
lowering	ôfnimme
lowest	leechste
lowlands	leechlân
lowlife	leechlife
lowly	leech
lox	lox
loyal	loyaal
loyalty	loyaliteit
lsd	lsd
luau	luau
lube	lube
lubricant	lubrikant
lubricate	lubrykje
lubrication	lubricatie
lucid	lúkse
luck	lokkich
luckiest	luckiest
lucky	lokkich
luckygirl	geloksfûgel
lucrative	lukrative
ludicrous	ludikrous
lug	lug
luggage	bagaazje
lukewarm	lekewarm
lull	lul
lullaby	lulk
lumbar	lústerje
lumber	lumber
lumbering	lumbering
lumberjack	lumberjack
luminescent	lumineszint
luminous	ljocht
lump	lump
lumpy	lompje
lunacy	lunacy
lunar	moanne
lunatic	lunatysk
lunch	lunch
lunchbox	bôletrompke
luncheon	luncheon
lunchtime	itenstiid
lung	long
lunge	lunge
lungs	lungs
lurch	lurch
lure	lure
lurid	lurid
lurk	lurk
lurking	lurkjen
luscious	lústere
lush	leuk
lust	lust
luster	lust
lustful	lustig
lustrous	lustrous
lusty	lustig
lute	lute
luxuriant	geweldig
luxurious	luxurious
luxury	lúkse
lycra	lycra
lye	lye
lying	lizze
lymph	lymph
lymphatic	lymphatika
lymphoma	lymphoma
lynch	lynch
lynching	lynching
lynx	lynx
lyre	lyre
lyric	lyric
lyrical	lyrisch
lyrics	lyrics
macadamia	macadamia
macarena	macarena
macaroni	macaroni
mace	mace
mach	mach
machete	machete
machine	masine
machinery	masinery
machinist	machinist
macho	macho
mackerel	mackerel
macro	makro
mad	Mad
madam	frouwe
madame	madame
madden	madden
madder	madder
mademoiselle	NO TRANSLATION
mademyday	mademyday
madhouse	madhouse
madman	madman
madness	madness
maestro	maestro
mafia	mafia
magazine	tydskrift
mage	mage
magenta	magenta
maggot	maggot
magic	magysk
magical	magysk
magician	magistyk
magistrate	magistrate
magma	magma
magna	magna
magnate	magnate
magnesium	magnesium
magnet	magneet
magnetic	magnetysk
magnetism	magnetisme
magnetite	magnetite
magnification	fergrutting
magnificence	pracht
magnificent	manjefyk
magnifier	magnifier
magnify	magnify
magnifying	fergrutsje
magnitude	magnitude
magnolia	magnolia
magpie	magpie
mahi mahi	NO TRANSLATION
mahjong	mahjong
mahogany	Mahagoni
maid	Faam
maiden	maiden
mail	post
mailbox	postbus
mailing	mailing
mailman	mailman
maim	NO TRANSLATION
main	foarnaamste
mainframe	mainframe
mainland	fêstelân
mainstay	haadstyl
mainstream	mainstream
maintain	ûnderhâlde
maintenance	ûnderhâld
majestic	majestic
majesty	majesty
major	majoar
majority	mearderheid
make	meitsje
makeover	makeover
maker	makker
makeshift	makket
makesmehappy	NO TRANSLATION
makesmemad	NO TRANSLATION
makeup	opmeitsje
makingdisciples	NO TRANSLATION
malady	malady
malaise	malaise
malaria	malaria
malarkey	malarkey
male	man
malevolent	malevolent
malfeasance	malfeasant
malformation	misfoarming
malfunction	foltôging
malice	NO TRANSLATION
malicious	ferkeard
malign	malignearje
malignancy	malignancy
malignant	maligne
maligned	maligned
mall	mall
malleable	fertrietlik
mallet	mallet
malnutrition	minneutrition
malpractice	malpractice
malt	malt
mama	mama
mambo	mambo
mamma	NO TRANSLATION
mammal	sûchdier
mammoth	mammoth
mammy	mammy
man	man
manage	beheare
manageable	beheare
management	behear
manager	behearder
managerial	managerial
mandamus	mandamus
mandarin	mandarin
mandate	mandaat
mandatory	ferplicht
mandible	mandibele
mandolin	mandoline
mandrel	dûnsje
mane	NO TRANSLATION
maneuver	manoeuvre
maneuvering	maneuvering
mange	NO TRANSLATION
manger	manger
mangle	mingje
mango	mango
mangosteen	mangosteen
mangy	mangy
manhole	manhole
manhood	manhood
manhunt	manhunt
mania	mania
maniac	maniac
maniacal	maniacal
manic	manic
manicure	manicure
manicurist	manicurist
manifest	manifest
manifestation	manifestaasje
manifested	manifestearre
manifestly	offisjeel
manifesto	manifesto
manifold	manifold
manipulate	manipulearje
manipulation	manipulaasje
manipulative	manipulative
mankind	minskdom
manly	manly
manna	manna
manned	bemanne
mannequin	mannequin
manner	wize
mannered	yndoneare
manners	omgongsfoarmen
manor	manor
manpower	manpower
mansion	húshâlding
mansions	ferhuzingen
manslaughter	manslaughter
mantel	mantel
mantis	mantis
mantle	mantel
mantra	mantra
manual	hantlieding
manufacture	fabryk
manufacturer	fabrikant
manufacturing	fabryk
manure	dong
manuscript	manuskript
map	map
maple	maple
mar	mar
marathon	marathon
marble	moarmer
marbled	marmare
marbles	marbles
march	maart
mare	NO TRANSLATION
margarine	margarine
margarita	margarita
margin	marzje
marginal	marginaal
mariachi	mariachi
marijuana	marijuana
marinara	marinara
marine	marine
mariner	mariner
marital	maritaliteit
maritime	maritime
mark	merk
marked	markearre
marker	marker
market	merk
marketable	merkber
marketing	marketing
marketplace	merkplaat
marks	marks
marksman	marksman
marksmanship	marksmanship
marl	marl
marmalade	marmalade
maroon	maroon
marooned	maroonearre
marquee	markearje
marquis	marquis
marred	marre
marriage	houlik
married	troud
marrow	merk
marry	trouwe
marsh	marsh
marshal	marshal
marshmallow	marshmallow
mart	mart
martial	martial
martingale	martingale
martini	martini
martyr	martyr
martyrdom	martyrdom
marvel	Marvel
marvellous	wûnderlik
marvelous	wûnderlik
marvelously	wûnderlik
marzipan	NO TRANSLATION
mascara	mascara
mascot	masker
masculine	manlik
masculinity	manlikheid
mash	mash
mashed	mashed
mask	masker
masked	maskearre
masks	masken
masochism	masochisme
masochist	masochist
mason	mason
masquerade	maskerade
mass	mis
massacre	massaazje
massage	massaazje
masses	massa's
masseur	masseur
masseuse	masseuse
massive	massyf
mast	mêst
master	master
masterful	masterlik
mastermind	mastermind
masterpiece	masterstik
mastery	mastering
masturbate	masturbearje
masturbation	masturbaasje
mat	matte
matador	matador
match	wedstriid
matchbook	matchbook
matching	bypassend
matchmaker	matemaker
mate	mate
material	materiaal
materialism	materialisme
materialist	materialist
materialistic	materialistysk
materiality	materialiteit
materialize	materialize
materially	materyf
materials	materialen
materiel	materiel
maternal	maternal
maternity	maternity
math	math
mathematical	matematysk
mathematician	wiskundige
mathematics	wiskunde
matinee	matinee
mating	mating
matriculation	matriculation
matrimony	matrimony
matrix	matrix
matron	matron
matted	matte
matter	ding
matting	matting
mattress	matras
maturation	maturation
mature	folwoeksen
maturity	maturity
maudlin	maudlin
mausoleum	mausoleum
mauve	mauve
maverick	maverick
maxim	maxim
maximize	maksimalisearje
maximum	maksimum
may	meie
mayday	Mayday
mayflower	mayflower
mayhem	moarn
mayonnaise	mayonaise
mayor	boargemaster
maze	maze
mead	mead
meadow	greide
meager	meager
meal	miel
mean	betsjutte
meander	meander
meandering	meandering
meanie	meanie
meaning	betsjutting
meaningful	sinfol
meaningless	sinleas
meanness	meanness
means	betsjut
meantime	yntusken
measles	moas
measurable	measurable
measure	mjitte
measured	mjitten
measurement	mjitting
measuring	Meitsjen
measuring cup	mjitte beker
measuring tape	mjitlint
meat	fleis
meatball	meatball
meathead	meidieling
meatloaf	meatloaf
mechanic	meganiker
mechanical	meganysk
mechanics	meganika
mechanism	meganisme
med	NO TRANSLATION
medal	medalje
medallion	medalje
medallist	medalist
meddle	meddle
meddling	middels
media	media
medial	mediale
median	medysk
mediate	mediatearje
mediation	mediation
mediator	mediator
medic	medysk
medical	medysk
medicate	medikaasje
medication	medikaasje
medicinal	medysk
medicine	medisine
medieval	midsieuske
mediocre	mediocre
mediocrity	midsmjittigens
meditate	meditative
meditating	meditaasje
meditation	meditaasje
meditative	meditative
mediterranean	mediterranean
medium	medium
medley	medley
meek	meek
meet	moetsje
meeting	moeting
mega	mega
meh	meh
melancholic	melancholik
melancholy	melancholy
melee	melee
mellow	mellow
melodious	melodysk
melodrama	melodrama
melodramatic	melodramatysk
melody	melody
melon	meloen
melt	rane
meltdown	meltdown
melting	melting
member	lid
membership	lidmaatskip
membrane	membraan
memento	memento
memo	memo
memoir	memoir
memorabilia	memorabilia
memorable	ûnferjitlik
