Word	fa
henceforth	از حالا به بعد
henhouse	مرغدانی
hepatitis	هپاتیت
herald	سرگذشت
heraldry	سرود ملی
herb	گیاه دارویی
herbaceous	علفی
herbal	گیاهان دارویی
herbarium	هرباریم
herbs	گیاهان
herd	گله
hereditary	ارثی
heredity	وراثت
heresy	ارتداد
heretic	یونانی
heretical	جبرئیل
heretofore	پیش از این
hereunto	در اینجا
herewith	با این حال
heritage	میراث
hermaphrodite	هرمافردی
hermeneutics	هرمنوتیک
hermit	گوشه نشین
hernia	فتق
hero	قهرمان
heroic	قهرمانانه
heroics	قهرمانان
heroin	هروئین
heroine	قهرمان
heroism	قهرمانی
herpes	هرپس
herpesvirus	ویروس هرپس
herring	شاه ماهی
hertz	هرتز
hesitant	تردید
hesitate	تردید
hesitating	تردید
hesitation	تردید
hetero	هترو
heterogeneity	ناهمگونی
heterosexual	دگرجنسگرا
hew	بله
hex	هگزا
hexagon	شش ضلعی
heyday	غروب آفتاب
hiatus	تعطیلات
hibernate	خوابیدن
hibernation	خواب زمستانی
hiccup	سکسکه
hick	هیک
hickey	هیکوی
hickory	هیکورا
hidden	پنهان
hide	پنهان شدن
hideaway	مخفی کردن
hideous	مخوف
hideout	مخفی کردن
hiding	قایم شدن
hierarchical	سلسله مراتبی
hierarchy	سلسله مراتب
hieroglyphics	یونسکو
high	بالا
high heels	پاشنه بلند
highball	highball
higher	بالاتر
highest	بالاترین
highland	کوهستانی
highlands	ارتفاعات
highlight	برجسته
highness	بالا بودن
hight	ارتفاع
hightail	hightail
highway	بزرگراه
hijack	ربودن
hijacker	تسخیر کننده
hike	پیاده روی
hiker	کوهنورد
hiking	پیاده روی
hiking boot	پیاده روی بوت
hilarious	خنده دار
hilarity	خنده دار
hill	تپه
hillside	تپه ساحلی
hilltop	تپه تپه
hilly	تپه ای
hilt	چنگال
hind	قیمت
hinder	مانع
hindering	مانع
hindrance	مانع
hindsight	ادراک
hinge	لولا
hint	اشاره کردن
hinterland	سرزمین اصلی
hip	لگن
hip hop	هیپ هاپ
hippie	هیپی
hippo	اسب آبی
hippopotamus	اسب ابی
hire	استخدام
hirsute	هیرسوتیسم
hiss	شگفت انگیز
hissing	اشپیگل
histology	بافت شناسی
historian	تاریخ شناس
historic	تاریخی
historical	تاریخی
historiography	تاریخنگاری
history	تاریخ
hit	اصابت
hitch	تکان دادن
hitchhike	جادوگر
hitchhiker	جادوگر
hitherto	تا کنون
hitter	هیتلر
hive	کندو
hives	کندوها
hoard	ذخیره
hoarse	کثیف
hoary	هری
hoax	دروغ گفتن
hob	پختن
hobbit	هابیت
hobby	سرگرمی
hobo	هویج
hock	هک کردن
hockey	هاکی
hoe	NO TRANSLATION
hog	قورباغه
hogwash	hogwash
hohoho	NO TRANSLATION
hoist	بالا بردن
hokey	hokey
hold	نگه دارید
holder	دارنده
holding	برگزاری
holdup	نگه داشتن
hole	سوراخ
holiday	تعطیلات
holidays	تعطیلات
holidayseason	NO TRANSLATION
holiness	تقدس
holistic	جامع
holler	هولر
hollow	توخالی
holly	هولکی
holocaust	هولوکاست
hologram	هولوگرام
holographic	هولوگرافی
holster	کلاه گیس
holy	مقدس
holyspirit	NO TRANSLATION
homage	احترام
hombre	NO TRANSLATION
hombres	NO TRANSLATION
home	خانه
homeboy	homeboy
homecoming	بازگشت به خانه
homeland	میهن
homeless	بی خانمان
homely	دوست داشتنی
homemade	خانگی
homeopathic	هومیوپاتی
homeopathy	هومیوپاتی
homeowner	صاحب خانه
homeroom	خانه تکانی
homesick	غم و اندوه
homestead	باغبانی
homesweethome	خانه ها
hometown	زادگاه
homeward	صفحه اصلی
homework	مشق شب
homey	خانه
homicidal	قاتل
homicide	قتل
homily	امیدوارم
homing	تعطیلات
hominy	همدم
homo	همو
homogeneity	همگنی
homogeneous	همگن
homologous	همولوگ
homologue	همولوگ
homology	هماهنگی
homophobic	همجنسگرا
homosexual	همجنسگرایان
homosexuality	همجنسگرایی
honcho	حتما
hone	با سنگ تیز کردن
honest	صادقانه
honesty	صادقانه
honey	عسل
honeycomb	شانه عسل
honeymoon	ماه عسل
honeysuckle	ماهيچه
honk	صدای بوق
honky	هوکی
honor	افتخار و احترام
honorable	محترمانه
honorarium	افتخار
honorary	افتخار
honored	افتخار
hooch	چرت زدن
hood	کاپوت ماشین
hooded	hooded
hoodlum	هودلوم
hoof	گوسفند
hook	قلاب
hooked	قلاب
hooker	هوکر
hookup	اتصال
hooky	باهوش
hooligan	لعنتی
hoop	حلقه
hoopla	کلاهبرداری
hooray	هورا
hoot	هوت
hooter	هورتر
hop	هاپ
hope	امید
hopeful	امیدوارم
hopeless	نومید
hopelessness	ناامیدی
hopes	امیدوارم
hoping	امید
hopper	قیف
horde	گروه ترکان و مغولان
horizon	افق
horizontal	افقی
horizontally	به صورت افقی
hormonal	هورمونی
hormone	هورمون
horn	شاخ
horned	شاخدار
hornet	هورنت
horny	شاخدار
horoscope	طالع بینی
horrendous	ترسناک
horrible	ناگوار
horribly	وحشت زده
horrid	ترسناک
horrific	دلهره آور
horrified	وحشت زده
horrifying	وحشتناک
horror	وحشت
horrors	وحشت
horse	اسب
horseback	اسب
horseman	اسب سوار
horsepower	اسب بخار
horseradish	ترب کوهی
horseshit	اسب سواری
horseshoe	اسب سواری
horsey	اسب سواری
horticultural	باغبانی
horticulture	باغبانی
hosannah	NO TRANSLATION
hose	شلنگ
hosiery	جوراب بافی
hospice	بیمارستان
hospitable	مهمان نواز
hospital	بیمارستان
hospitality	مهمان نوازی
host	میزبان
hostage	گروگان
hostel	خوابگاه
hostess	میزبان
hostile	خصومت آمیز
hostilities	خصومت ها
hostility	خصومت
hot	داغ
hot sauce	سس تند
hotbed	چشمه
hotdog	هات داگ
hotel	هتل
hothead	سرماخوردگی
hotline	خط تلفن
hotshot	hotshot
hotyoga	NO TRANSLATION
hound	شکارچی
hour	ساعت
hourglass	ساعت شنی
hourly	ساعتی
house	خانه
houseboat	خانه قایق
houseboy	houseboy
housebroken	خانه لرزیدن
houseguest	خانه داری
household	لوازم منزل
householder	خانه دار
housekeeper	خانه دار
housekeeping	خانه داری
housewarming	خانه جدید
housewife	خانم خانه دار
housework	کارهای خانه
housing	مسکن
hovel	هویج
hover	شناور
hovercraft	هواپیما
howl	صدای جیر جیر
howsoever	هرچند
hoy	NO TRANSLATION
hub	توپی
hubby	شوهر
huckleberry	هلوکلبری
huddle	هجوم آوردن
hue	رنگ
huff	عصبانی
huffy	عصبانی
hug	در آغوش گرفتن
huge	بزرگ
hugger	هجری
huggy	هیگگی
hugs	آغوش
hulk	هولک
hull	پوست
hum	هوم
human	انسان
humane	انسانی
humanitarian	انسان دوستانه
humanities	علوم انسانی
humanity	بشریت
humankind	بشریت
humanoid	انسان شناسی
humanrights	NO TRANSLATION
humble	فروتن
humbled	فروتنی
humbly	شرم آور
humbug	هامبورگ
humdrum	همرنگ
humid	مرطوب
humidity	رطوبت
humiliate	تحقیر کردن
humiliated	تحقیر شده
humiliating	تحقیر آمیز
humiliation	حقارت
humility	فروتنی
hummer	هومر
hummingbird	زرین پر، زرین بال
humongous	هومونگ
humor	شوخ طبعی
humored	طنز
humorist	طنز آمیز
humorous	طنز آمیز
hump	قورباغه
humpback	خرگوش
hunch	هانچ
hunchback	هویج
hundred	صد
hundredth	صدم
hunger	گرسنگی
hungry	گرسنه
hunk	شلاق زدن
hunks	هونگ
hunky	خرابکاری
hunt	شکار
hunter	شکارچی
hunting	شکار
huntress	شکارچی
hurdle	مانع
hurl	عجله کن
hurrah	هورا
hurricane	طوفان
hurricanes	طوفان ها
hurried	عجله کرد
hurry	عجله کن
hurryup	NO TRANSLATION
hurt	صدمه
hurtful	مضطرب
hurting	صدمه زدن
husband	شوهر
husbandry	مزرعه
hush	دلم برات تنگ شده
hushed	خاموش
husk	NO TRANSLATION
husky	هسکی
hussy	شگفت انگیز
hustle	فشار
hustler	چاق کننده
hut	کلبه
hutch	کلچر
hyacinth	سنبلچه
hybrid	ترکیبی
hydra	هیدرا
hydrant	هیدرانت
hydrate	هیدرات
hydraulic	هیدرولیک
hydraulics	هیدرولیک
hydrocephalus	هیدروسفالی
hydrodynamics	هیدرودینامیک
hydrogen	هیدروژن
hydrographic	هیدروگرافی
hydrology	هیدرولوژی
hydrophobia	هیدروفوبیا
hydroponics	هیدروپونیک
hyena	هیونا
hygiene	بهداشت
hygienic	بهداشتی
hygienist	بهداشتی
hymen	پرده بكارت
hymn	شعر
hype	اعتیاد به مواد مخدر
hyped	هیپ
hyper	فوق العاده
hyperactive	بیش فعال
hyperbole	هیپربول
hyperspace	ابررسانا
hypertension	فشار خون
hypertrophy	هیپرتروفی
hyperventilate	hyperventilate
hyperventilating	hyperventilating
hyphen	خط ربط
hypnosis	هیپنوتیزم
hypnotic	هیپنوتیزم
hypnotist	هیپنوتیزم
hypnotize	هیپنوتیزم
hypnotized	هیپنوتیزم
hypochondriac	هیپوچندریک
hypocrisy	دورویی
hypocrite	منافق
hypocritical	ریاکاری
hypodermic	زیر پوست
hypothalamus	هیپوتالاموس
hypothermia	هیپوترمی
hypothesis	فرضیه
hypothetical	فرضیه ای
hysterectomy	هیسترکتومی
hysteria	هیستری
hysterical	هیستریک
ibuprofen	ایبوپروفن
ice	یخ
ice tea	چای سرد
iceberg	کوه یخی
icebox	یخچال
icebreaker	یخچال فریزر
iced	یخ زده
icing	سرخ کردن
icky	icky
icon	آیکون
iconic	نمادین
iconography	نماد هنر
icy	یخی
id	شناسه
idea	اندیشه
ideal	ایده آل
idealism	ایده آلیسم
idealist	ایده آلیست
idealistic	ایده آلیست
identical	یکسان
identically	یکسان است
identification	شناسایی
identify	شناسایی
identity	هویت
ideology	ایدئولوژی
idiocy	اشتباه
idiom	اصطلاح
idiomatic	اصطلاحی است
idiot	ادم سفیه و احمق
idiotic	ایدوتیک
idiots	احمق ها
idle	بیکار
idleness	بیکار بودن
idler	بله
idol	بت
idolatry	بت پرستی
idolizing	بدبختی
idyllic	idyllic
iffy	عصبانی
ifonly	اگر فقط
igloo	igloo
igneous	آذرین
ignite	مشتعل شدن
ignition	آتش گرفتن
ignorance	جهل
ignorant	نادان
ignore	چشم پوشی
iguana	ایگوانا
ihatespiders	NO TRANSLATION
ilk	NO TRANSLATION
ill	بیمار
illegal	غیر مجاز
illegality	غیرقانونی بودن
illegally	غیرقانونی
illegible	ناخوانا
illegitimate	نامشروع
illicit	قاچاق
illiterate	بی سواد
illness	بیماری
illogical	غیر منطقی است
illuminate	روشن شدن
illuminating	درخشان
illumination	روشنایی
illuminator	روشن کننده
illusion	توهم
illustrate	نشان دادن
illustration	تصویر
illustrative	توضیح
illustrious	مشهور
ilovechristmas	NO TRANSLATION
iloveher	NO TRANSLATION
image	تصویر
imagery	تصاویر
imaginable	قابل تصور است
imaginary	تخیلی
imagination	خیال پردازی
imaginative	تخیلی
imagine	تصور کن
imagined	تصور
imaging	تصویربرداری
imagining	تصور کردن
imam	NO TRANSLATION
imbalance	عدم تعادل
imbecile	دودکش
imbedded	جاذب
imissyou	NO TRANSLATION
imitate	تقلید کردن
imitated	تقلید کرد
imitation	تقلید
immaculate	معصوم
immaterial	غیرممکن است
immature	نابالغ
immaturity	نارسایی
immeasurable	بی اندازه
immeasurably	بی اندازه
immediacy	بلافاصله
immediate	فوری
immediately	بلافاصله
immemorial	قدیم
immense	عظیم
immerse	غوطه ور شدن
immersion	غوطه وری
immigrant	مهاجر
immigration	مهاجرت
imminent	قریب الوقوع
immobile	بی حرکت
immoral	غیر اخلاقی
immorality	بد اخلاقی
immortal	جاویدان
immortality	جاودانگی
immovable	ثابت
immune	ایمنی
immunity	ایمنی
immunization	ایمن سازی
immutable	تغییر ناپذیر
imp	امپراطوری
impact	تأثیر
impair	خرابی
impaired	ضعیف
impairment	نقص
impart	تحویل دادن
impartial	بی طرفانه
impartiality	بی طرفی
impassable	غیر قابل عبور است
impassioned	مشتاق
impatience	بی تابی
impatient	بی صبر
impatiently	NO TRANSLATION
impeach	امپراطوری
impeachment	تجدید نظر
impeccable	بی عیب و نقص
impede	مانع
impediment	مانع
impelled	تحریک شده
impending	قریب الوقوع
impenetrable	غیر قابل نفوذ
imperative	امری ضروری
imperceptible	ناشناخته
imperfect	ناقص
imperfection	ناقص
imperfectly	ناقص
imperial	امپراتوری
imperialist	NO TRANSLATION
impermeable	غیر قابل نفوذ
impermissible	غیر مجاز
impersonal	غیر شخصی
impersonate	جعل هویت
impersonation	جعل هویت
impersonator	نفرت انگیز
impertinence	نومیدی
impertinent	بی رحم
impervious	غیر قابل نفوذ
impetuous	تکان دهنده
impetus	انگیزه
implacable	قابل قبول
implant	ایمپلنت
implantation	ایمپلنت
implanted	ایمپلنت
implement	پیاده سازی
implicate	پیوستن
implicated	پیوست
implication	پیامد
implied	ضمنی
implore	امیدوارم
implosion	انفجار
imply	این مفهوم را میرسانند
impolite	بی ادب
import	وارد كردن
importance	اهمیت
important	مهم
importation	واردات
impose	تحمیل کنید
imposing	تحمیل
imposition	اعمال
impossibility	غیر ممکن بودن
impossible	غیرممکن است
impostor	فساد
impotence	ناتوانی جنسی
impotent	بی نظیر
impound	پافشاری
impoverished	فقیر
impracticable	غیر عملی است
impractical	غیر عملی است
impregnable	غیر قابل تحمل
impregnate	آغشته کردن
impress	تاثیر گذاشتن
impressed	تحت تاثیر قرار
impression	احساس؛ عقیده؛ گمان
impressionable	قابل اعتماد
impressive	چشمگیر
imprint	اثر
imprison	زندان
imprisoned	زندانی
imprisonment	زندان
improbable	غیر محتمل
impromptu	بی نظیر
improper	نادرست
impropriety	نامناسب
improve	بهتر کردن
improved	بهبود یافته
improvement	بهبود
improves	بهبود می یابد
improving	بهبود می یابد
improvisation	ابتکار
improvise	بداهه
improvised	بداهه
imprudent	بی پروا
impudence	شوخ طبعی
impudent	گستاخ
impulse	ضربان قلب
impulsive	تحریک کننده
impunity	مجازات
impure	ناپاک
impurity	ناخالصی
imputation	تقبیح
imtryingtosleep	NO TRANSLATION
inability	عجز
inaccessible	غیر قابل دسترس
inaccurate	نادرست
inaction	بی عملی
inactivate	غیر فعال کردن
inactivation	غیر فعال کردن
inactive	غیر فعال
inactivity	عدم فعالیت
inadequacy	ناکافی بودن
inadequate	ناکافی است
inadequateness	ناکافی بودن
inadmissible	غیر قابل قبول
inadvertent	غفلت
inadvertently	سهوا
inaffable	NO TRANSLATION
inalienable	غیر قابل نفوذ
inane	غریبه
inanimate	بی جان
inapplicable	غیر قابل استفاده
inappropriate	نامناسب
inattention	بی توجهی
inaudible	قابل شنیدن نیست
inaugural	افتتاحیه
inaugurate	افتتاح شد
inauguration	افتتاح
inborn	ذاتی
inbound	ورودی
inbred	inbred
incalculable	غیرممکن است
incandescent	لامپ رشته ای
incantation	مزاحم
incapable	ناتوان
incapacity	ناتوانی
incarceration	زندان
incarnate	تجسم
incase	در صورت
incendiary	آتش زدن
incense	بخور دادن
incensed	آزار دهنده
incentive	انگیزه
inception	آغازگر
incessant	بی وقفه
incessantly	بی وقفه
incest	انسداد
incestuous	سرطانی
inch	اینچ
incidence	وقوع
incident	حادثه
incidental	تصادفی
incidentally	اتفاقا
incineration	سوزاندن
incinerator	سوزاننده
incipient	آغازگر
incision	برش
incisive	قطعی
incite	تحریک
incitement	تحریک
inclement	شدید
inclination	گرایش
incline	شیب
inclined	شیب دار
include	عبارتند از
included	مشمول
including	شامل
inclusion	گنجاندن
inclusive	شامل
incognito	ناشناس
incoherent	ناسازگار
income	درآمد
incoming	ورودی
incomparable	غیر قابل مقایسه است
incompatible	ناسازگار
incompetence	بی کفایتی
incompetent	بی عیب و نقص
incomplete	ناقص است
incompletely	ناقص
incompleteness	ناقص بودن
incomprehensible	غیر قابل درک
inconceivable	غیر قابل تصور است
inconclusive	بی نتیجه
incongruous	ناهمخوان
inconsequential	بی معنی
inconsiderate	بی توجهی
inconsistency	تناقض
inconsistent	ناسازگار
inconspicuous	بی نظیر
incontinence	بی اختیاری
inconvenience	ناراحتی
inconvenient	نامناسب
incorporate	ترکیب کردن
incorporation	الحاق
incorrect	غلط
incorrigible	ناپایدار
increase	افزایش دادن
increased	افزایش یافت
incredible	باور نکردنی
incredulous	بی اعتقاد
increment	افزایش
incriminate	ادعا كردن
incriminating	مجرمانه
incrimination	متهم کردن
incubation	انکوباسیون
incubator	انکوباتور
incubus	انکوبوس
incumbent	حاکم
incur	خرج کردن
incurable	ناخوشایند
incursion	تهاجم
indebted	بدهکار
indecency	ناخوشایند
indecent	ناخوشایند
indecision	ناامیدی
indecisive	بی رحم
indefensible	نامشخص
indefinite	نامحدود
indelible	قابل خواندن
indemnification	جبران خسارت
indemnify	هدر دادن
indemnity	جبران خسارت
indent	عقب نشینی
indentation	انداختن
indenture	انعطاف پذیری
independence	استقلال
independent	مستقل
indescribable	غیر قابل توصیف
indestructible	غیر قابل خراب شدن
indeterminate	نامشخص
index	فهرست مطالب
indicate	نشان می دهد
indicating	نشان دادن
indication	نشانه
indicative	نشان دهنده
indicator	شاخص
indice	NO TRANSLATION
indict	محکومیت
indictment	محکومیت
indie	هندسه
indifference	بی تفاوتی
indifferent	بي تفاوت
indigenous	بومی
indigent	بیچاره
indigestion	سوء هاضمه
indignant	خشمگین
indignation	خشم
indignity	هتک ابرو
indigo	نارنجی
indirect	غیر مستقیم
indiscreet	بی نظیر
indiscretion	ناامیدی
indispensable	ضروری است
indisposed	ناراحتی
indistinct	ناخوشایند
indistinguishable	قابل تشخیص نیست
individual	شخصی
individuality	فردیت
indivisible	ناپایداری
indoctrination	تعلیم و تربیت
indolent	تنبل
indomitable	غیر قابل تحمل
indoor	در محیط داخلی
induce	وادار کردن
induced	القاء شده
inducement	التماس
induction	القاء
indulge	بذله گو
indulgence	دلسوزی
indulgent	دلسوز
industrial	صنعتی
industrialist	صنعتگر
industrious	کارگر
industry	صنعت
ineffable	غیر قابل توصیف
ineffective	بی اثر
ineffectual	بی اثر
inefficiency	ناکارآمدی
inefficient	ناکارآمد
inelastic	ناپایداری
ineligible	نامناسب
inept	بی منطق
ineptitude	بی نظمی
inequality	نابرابری
inequitable	نابرابر
inert	بی عیب و نقص
inertia	اینرسی
inevitable	اجتناب ناپذیر
inexact	نادرست
inexcusable	غیر قابل انکار
inexhaustible	بی پایان
inexpensive	ارزان
inexperience	بی تجربه
inexperienced	بی تجربه
inexplicable	غیر قابل توضیح است
inexpressible	غیر قابل توصیف
infallibility	بی اعتنایی
infallible	فریب خورده
infamous	بدنام
infamy	بدبختی
infancy	دوران کودکی
infant	نوزاد
infanticide	بچه گانه
infantile	نوزادان
infantry	پیاده نظام
infarct	انفارکت
infatuated	فریب خورده
infatuation	تحقیر
infeasible	غیر قابل اجتناب است
infect	آلودگی
infection	عفونت
infectious	عفونی
infer	نتیجه گیری
inference	استنتاج
inferential	استنباطی
inferior	پایین تر
inferiority	پایین تر بودن
infernal	نفس نفس
inferno	انفرادی
infertile	نابارور
infertility	ناباروری
infestation	آلودگی
infidel	کافر
infidelity	خیانت
infield	فضایی
infiltrate	نفوذ
infiltration	نفوذ
infinite	بي نهايت
infinitely	بی نهایت
infinitesimal	بی نهایت کم
infinity	بی نهایت
infirm	ضعیف
infirmary	بیمارستان
infirmity	ضعف
inflammation	التهاب
inflammatory	التهاب
inflatable	تورم
inflate	تورم
inflated	تورم
inflation	تورم
inflection	انفعال
inflict	اعمال
infliction	اعمال
inflorescence	گل آذین
influence	نفوذ
influential	موثر
influenza	آنفلوآنزا
influx	هجوم
info	اطلاعات
infomercial	انفجاری
inform	آگاه کردن
informal	غیر رسمی
informant	خبره
information	اطلاعات
informative	آموزنده
informed	مطلع
informer	خبر رسان
infraction	تخلف
infrared	فرو سرخ
infrastructure	زیر ساخت
infrequent	نادرست
infrequently	اغلب
infringement	نقض
infuriate	عصبانیت
infuriated	خشمگین
infuriates	عصبانی می شود
infuriating	پریشانی
infuse	تزریق
infused	تزریق شده
infuser	infuser
infusion	تزریق
ingenious	هوشمندانه
ingenuity	خلاقیت
ingest	خوردن
ingestion	خوراکی
ingot	شمش
ingrained	ریشه دار
ingrate	درگیر شدن
ingredient	جزء
ingress	ورود
inhabit	ساکن
inhabitant	ساکن
inhabited	ساکنان
inhabiting	ساکنان
inhalation	استنشاق
inhale	استنشاق
inhaler	استنشاق
inherent	ذاتی
inherit	به ارث می برند
inheritance	وراثت
inhibit	مهار
inhibition	بازداری
inhibitor	مهارکننده
inhospitable	بی شرمانه
inhuman	غیر انسانی
inhumane	غیر انسانی
inhumanity	غیر انسانی
inimaginable	NO TRANSLATION
inimical	انسانی
inimitable	بی نظیر
iniquity	گناه
initial	اولیه
initiate	آغازکردن
initiated	آغاز شد
initiation	شروع
initiative	ابتکار عمل
inject	تزریق کنید
injection	تزریق
injunction	دستورالعمل
injure	صدمه زدن
injured	مجروح
injuring	زخمی شدن
injurious	زیان آور
injury	صدمه
injustice	بی عدالتی
ink	جوهر
inkling	معلومه
inland	داخلی
inlay	تزئینات
inlet	ورودی
inmate	زندانی
inn	مسافرخانه
innards	درونی
innate	ذاتی
inner	درونی
innermost	درونی ترین
innerpeace	NO TRANSLATION
inning	انینگ
innings	نوشتار
innkeeper	صاحبخانه
innocence	بی گناهی
innocent	بی گناه
innocently	بی گناه
innocuous	بی ضرر
innovate	نوآوری
innovation	نوآوری
innovative	خلاقانه
innuendo	ناخودآگاه
innumerable	بی شماری
inoculation	تلقیح
inoperable	غیر قابل استفاده
inoperative	بی فایده
inordinate	غلط
inorganic	غیر معدنی
input	ورودی
inquest	تحقیق
inquire	پرسیدن
inquirer	محقق
inquiring	پرسیدن
inquiry	پرس و جو
inquisitive	کنجاو
inquisitor	بازجو
insane	دیوانه
insanity	جنون
insatiable	سیر نشدنی
inscription	سنگ نوشته
inscrutable	ناامن
insect	حشره
insecticide	حشره کش
insecure	ناامن
insecurity	ناامنی
insemination	تلقیح
insensitive	غیر حساس
inseparable	جدایی ناپذیر
insert	قرار دادن
inserted	وارد شده
insertion	قرار دادن
inside	داخل
insider	خودی
insidious	موذی
insight	بینش، بصیرت، درون بینی
insightful	متفکر
insignia	علامت گذاری
insignificance	ناچیز
insignificant	ناچیز
insinuate	insinuate
insipid	بی حسی
insist	اصرار کن
insistence	اصرار
insistent	مستدل
insists	اصرار دارد
insolence	گرمازدگی
insolent	مشتاق
insoluble	نامحلول
insolvency	ورشکستگی
insolvent	ورشکسته
insomnia	بیخوابی
insomniac	بی خوابی
inspect	بازرسی
inspection	بازرسی
inspector	بازرس
inspiration	الهام بخش
inspirational	الهام بخش
inspire	الهام بخشیدن
inspired	الهام گرفته
instability	بی ثباتی
install	نصب
installation	نصب و راه اندازی
installment	قسط
instance	نمونه
instant	فوری
instantaneous	فوری
instantaneously	بلافاصله
instigate	تشویق کنید
instigation	تحریک
instill	الهام بخشیدن
instinct	غریزه
instinctive	غریزی
institute	موسسه
institution	موسسه
instruct	دستور دادن
instructed	دستور داد
instruction	دستورالعمل
instructional	آموزشی
instructions	دستورالعمل ها
instructive	آموزنده
instructor	مربی
instrument	ابزار
instrumental	وسیله
instrumentalist	سازنده
instrumentality	ابزار
insubordination	ناسزاگویی
insufferable	ناخوشایند
insufficiency	کمبود
insufficient	ناکافی
insufficiently	کافی نیست
insular	ساحلی
insulate	عایق بندی
insulated	عایق بندی شده
insulation	عایق
insulin	انسولین
insult	توهین
insulting	توهین
insurance	بیمه
insure	مطمئن شو
insurgent	شورشی
insurmountable	غیر قابل تحمل
insurrection	قیام
intact	سالم
intake	مصرف
intangible	غیرمستقیم
integer	عدد صحیح
integral	انتگرال
integrate	ادغام کردن
integration	ادغام
integrity	تمامیت
intellect	عقل
intellectual	فکری
intelligence	هوش
intelligent	باهوش - هوشمند
intelligibility	قابل فهم بودن
intelligible	قابل فهم است
intend	قصد دارم
intended	مورد نظر
intending	قصد دارد
intense	شدید
intensely	شدیدا
intensify	تشدید شود
intensity	شدت
intensive	متمرکز
intent	قصد
intention	قصد
intentional	عمدی
intentionally	از قصد
inter	بین
interact	تعامل
interaction	اثر متقابل
interactive	در ارتباط بودن
intercede	مدافع
intercept	رهگیری
interception	استراق سمع
intercession	شفاعت
interchange	تبادل
interchangeable	قابل تعویض است
interchanged	تعویض شده
intercom	اینترکام
intercourse	ارتباط جنسی
interdependence	وابستگی متقابل
interdependent	وابسته به یکدیگر
interdiction	ممنوعیت
interest	علاقه
interested	علاقه مند
interesting	جالب هست
interface	رابط
interfere	مداخله کردن
interference	دخالت
interferometer	تداخل سنج
intergalactic	بین قاعدگی
interim	موقت
interior	داخلی
interject	مفهوم
interlocutory	میانجی
interlude	تعویض
intermediary	میانجی
intermediate	حد واسط
interment	تعطیلات
interminable	ناپایدار
intermission	وقفه
intermittent	متناوب
intern	کارآموز
internal	داخلی
internally	در داخل
international	بین المللی
internet	اینترنت
internship	کارآموزی
interoffice	Interoffice
interpolate	interpolate
interpolation	تعامل
interpret	تفسیر
interpretation	تفسیر
interpreter	مترجم
interpretive	تفسیری
interrelated	همبستگی
interrogate	بازجویی
interrogation	بازجویی
interrupt	وقفه
interrupted	منقطع
interrupting	قطع کردن
interruption	وقفه
interrupts	قطع می شود
intersect	تقسیم شده
intersection	تقاطع
interstate	بین ایالتی
interstellar	در میان ستارگان
interstitial	بینش
interval	فاصله
intervene	دخالت
intervening	مداخله
intervention	مداخله
interview	مصاحبه
interviewer	مصاحبه کننده
interworking	متقابل
intestate	بی اعتبار
intestinal	روده
intestine	روده
intestines	روده ها
intimacy	صمیمیت
intimate	صمیمی
intimately	دقیقا
intimation	ارزیابی
intimidate	ترساندن
intimidated	ارعاب
intimidating	ارعاب
intimidation	ارعاب
intolerable	غير قابل تحمل
intolerance	عدم تحمل
intolerant	غیر قابل تحمل
intonation	صدای جیر جیر
intoxicated	مسمومیت
intoxicating	سموم
intoxication	مسمومیت
intracranial	داخل جمجمه
intractable	رام نشدنی
intramural	داخلی
intravenous	داخل وریدی
intrepid	بی باک
intricate	پیچیده
intrigue	فتنه
intriguing	جذاب
intrinsic	ذاتی
intrinsically	ذاتا
intro	مقدمه
introduce	معرفی کنید
introduction	معرفی
introductory	مقدماتی
introspection	خودآزمایی
introspective	درون گرایی
intrude	نفوذ کن
intruder	مزاحم
intrusion	نفوذ
intrusive	سرزده
intubation	لوله گذاری
intuition	بینش
intuitive	بصری
intuitively	به طور مستقیم
inundation	غرق شدن
invade	حمله کردن
invader	مهاجم
invalid	بی اعتبار
invalidate	نامعتبر است
invalidation	نامعتبر بودن
invalidity	نامعتبر
invaluable	ارزشمند
invariably	هرگز
invasion	تهاجم
invasive	تهاجمی
invent	اختراع کردن
invention	اختراع
inventive	اختراع
inventor	مخترع
inventory	فهرست
inverse	معکوس
inversely	معکوس
inversion	معکوس
invert	چرخش
inverted	معکوس
invest	سرمایه گذاری
investigate	تحقیق کردن
investigation	تحقیق و بررسی
investigative	تحقیقی
investigator	محقق
investment	سرمایه گذاری
investor	سرمایه گذار
invidious	مجذوب کننده
invigorate	تقویت کنید
invincible	شکست ناپذير است
invisibility	نامرئی بودن
invisible	نامرئی
invitation	دعوت نامه
invite	دعوت
inviting	دعوت کردن
invocation	فراخوان
invoice	صورتحساب
invoke	فراخوانی
involuntary	غیر داوطلبانه
involution	مهندسی
involve	شامل
involvement	درگیری
invulnerable	بی رحم
inwards	در داخل
iodine	ید
ion	یون
iota	iota
irate	خشمگین
ire	NO TRANSLATION
iridescent	پر زرق و برق
iris	عنبیه
irked	خراب شده
irks	ارکستر
iron	اهن
ironclad	ironclad
ironic	عجیب و غریب
irons	آهنگر
irony	طنز
irradiation	تابش
irrational	غیر منطقی
irrationality	ابهام
irreconcilable	غیر قابل پذیرش است
irreducible	غیر قابل تحمل
irrefutable	قابل انکار نیست
irregular	بی رویه
irregularity	بی نظمی
