Word	st
inventor	moqapi
inventory	tlhahlobo
inverse	ho fapana
inversely	ka tsela e fapaneng
inversion	ho tsuba
invert	khelosa
inverted	e khelohile
invest	kenya chelete
investigate	hlahloba
investigation	phuputso
investigative	lipatlisiso
investigator	mofuputsi
investment	letsete
investor	motjhelete
invidious	e se nang thuso
invigorate	matlafatsa
invincible	se ke keng sa hlōloa
invisibility	ho bonahala
invisible	e sa bonahaleng
invitation	memo
invite	memela
inviting	e mema
invocation	ho ipiletsa
invoice	invoice
invoke	ho kopa
involuntary	e sa ikhethang
involution	ho fetoha
involve	ho ameha
involvement	ho kenya letsoho
invulnerable	e ke keng ea hlaseloa
inwards	ka hare
iodine	iodine
ion	ion
iota	e le 'ngoe
irate	ho halefa
ire	NO TRANSLATION
iridescent	likhahla
iris	iris
irked	e halefile
irks	li-irks
iron	tšepe
ironclad	khaled
ironic	ho makatsa
irons	litone
irony	ho se tsotelle
irradiation	ho fokotsa matla
irrational	ho se nahane
irrationality	ho se nahane
irreconcilable	ho se lumellane
irreducible	ho se na thuso
irrefutable	e ke keng ea qojoa
irregular	e sa tloaelehang
irregularity	ho se natse
irregularly	ka mokhoa o sa tloaelehang
irrelevant	irrelevant
irreparable	e ke keng ea lekanngoa
irreplaceable	e ke keng ea khoneha
irrepressible	ho se na thuso
irresistible	e ke keng ea qojoa
irrespective	ho sa tsotellehe seo
irresponsible	ho se tsotellehe
irreverent	ho hloka tlhompho
irreversible	e ke keng ea senoloa
irrevocable	e sa fetoheng
irrigate	nosetsa
irrigation	ho nosetsa
irritability	ho halefa
irritable	ho halefa
irritate	ho halefisa
irritated	e halefile
irritates	e halefisa
irritating	ho halefisa
irritation	khalefo
island	sehlekehleke
isle	sehlekehleke
islet	sehlekehleke
isolate	ho itšehla thajana
isolated	tse ling
isolation	ho itšehla thajana
isomorphism	isomorphism
isothermal	e sa tloaelehang
isotope	isotope
issue	hlahisa
itch	itch
itching	ho hlohlona
itchy	ho hlakile
item	ntho
itemize	itemize
items	lintho
iterate	iterate
iteration	iteration
iterative	phetolelo
itinerant	e tsamaeang leetong
itinerary	leetong
ivory	manaka a tlou
jab	jab
jabber	jabber
jack	jack
jackal	jackal
jackass	jackass
jacket	jacket
jackhammer	jackhammer
jackpot	jackpot
jackrabbit	jackrabbit
jacks	jacks
jade	jade
jaded	e tletse
jag	NO TRANSLATION
jagged	jagged
jaguar	jaguar
jail	chankaneng
jailbird	jailbird
jailbreak	lefu la teronko
jailer	molebeli oa teronko
jailhouse	teronkong
jalopy	jalopy
jam	jeme
jamboree	nthoree
jammed	e koetsoe
jammer	jammer
janitor	mohlokomeli
janitorial	janitorial
japan	japan
jar	nkho
jargon	jargon
jarhead	hlooho
jarring	jarring
jasmine	jasmine
jasper	jasper
jaundice	jaundice
jaunt	jaunt
java	java
javelin	javelin
jaw	mohlahare
jawbone	lehare
jaws	melahare
jay	jay
jazz	jazz
jazzy	jazzy
jealous	mōna
jealousy	poulelo
jean	jean
jeans	li jeane
jeep	jeep
jeering	ho laola
jelly	jelly
jellybean	pompong ea jeli
jellyfish	jellyfish
jenny	jenny
jeopardize	beha kotsing
jeopardy	e kotsing
jerk	jerk
jerks	jerks
jerky	jerky
jersey	jerese
jest	NO TRANSLATION
jester	jester
jesus	Jesu
jet	jete
jetty	jetty
jewel	jewel
jeweler	jeweller
jewelry	mabenyane
jib	jib
jiff	NO TRANSLATION
jiffy	jiffy
jig	jig
jiggle	jiggle
jigsaw	jigsaw
jihad	jihad
jimmy	jimmy
jingle	jingle
jinx	jinx
jitters	jitters
jittery	jitere
jive	jive
job	mosebetsi
jobinterview	NO TRANSLATION
jock	jock
jockey	jockey
jockstrap	jockstrap
jog	jog
jogger	ho fofa
john	John
join	kena
joined	ikopanya
joining	kena
joint	kopane
jointly	hammoho
joke	joke
joker	joker
joking	ho tsuba
jolly	ho robala
jolt	jolt
jornada	NO TRANSLATION
jot	jot
jour	NO TRANSLATION
journal	koranta
journalism	boqolotsi ba litaba
journalist	moqolotsi oa litaba
journalistic	baqolotsi ba litaba
journey	leeto
journeyman	motho ea tsamaeang
joust	ho bapala
jovial	ho lekana
joy	thabo
joyful	thabo
joyous	thabo
joyride	thaba
joys	thabo
jubilant	e thabisang
jubilee	jubilee
judge	moahloli
judged	a ahloloa
judging	ho ahlola
judgment	kahlolo
judgmental	ho ahlola
judicial	makhotla
judiciary	mahloriso
judicious	e hlokolosi
judo	Judo
jug	jug
juggle	juggle
juggler	juggler
juggling	juggling
jugular	e jugular
juice	lero
juicer	juicer
juicy	lero
juju	NO TRANSLATION
juke	juke
jukebox	jukebox
jumble	jumble
jumbled	ho tletse
jumbo	jumbo
jump	qhaqha
jump rope	tlōla thapo
jumper	jumper
jumpsuit	jumpsuit
jumpy	jumpy
junction	khetho
juncture	marang-rang
jungle	morung
junior	e nyenyane
juniper	junipere
junk	e se nang thuso
junket	junket
junkie	junkie
junky	junky
junkyard	junkyard
junta	junta
juridical	ka molao
jurisdiction	bolaoli
jurisprudence	molao-molao
jurist	setsebi sa molao
juror	juror
jury	lekhotla
justice	toka
justifiable	e nepahetse
justification	ho loka
justify	lumellana
juststop	NO TRANSLATION
justthebeginning	NO TRANSLATION
jute	jute
juvenile	bana ba banyenyane
juxtaposition	jxtaposition
kaiser	kaiser
kale	khale
kaleidoscope	khaleidoscope
kamikaze	kamikaze
kangaroo	kangaroo
kanji	kanji
kappa	kappa
kaput	NO TRANSLATION
karaoke	karaoke
karate	karate
karma	karma
karmic	karmic
kayak	kayak
kazoo	kazoo
kebab	kebab
keel	keel
keen	keen
keep	boloka
keeper	molebeli
keeping	ho boloka
keepsake	sehlōhō
keg	keg
kelp	kelp
ken	ken
kennel	kennel
kerchief	kerchief
kern	kern
kernel	kernel
kerosene	parafene
ketchup	ketchup
kettle	kettle
key	senotlolo
keyboard	lebokose
keyed	keyed
keyhole	keyhole
keynote	sehlooho sa bohlokoa
keypad	keypad
keystone	keystone
keyword	ntlha ea bohlokoa
khaki	Khaki
khan	khan
kibble	kibble
kick	kick
kickboxing	kickboxing
kicker	kicker
kicking	ho khaola
kickoff	qaleho ea papali
kid	ngoana
kidder	ho feta
kidding	ho hlola
kiddo	kiddo
kiddos	li-kiddo
kidnap	ho tlōla
kidnapped	e hapuoe
kidnapper	tlōla
kidnapping	ho tlōla
kidney	liphio
kids	bana
kill	bolaea
killer	'molai
killing	bolaea
killjoy	killjoy
kiln	kiln
kilo	NO TRANSLATION
kilogram	kilogram
kilometer	khilomitha
kilt	kilt
kimono	kimono
kin	kin
kind	mosa
kindergarten	kerene
kindling	hotling
kindness	mosa
kindred	motsoalle
kinematics	kinematics
kinesiology	kinesiology
kinetic	kinetic
king	morena
king snake	nyoka ea morena
kingdom	'muso
kingpin	khabane
kink	kink
kinky	kinky
kinship	kinship
kiosk	kiosk
kirk	kirk
kiss	kiss
kisser	kisser
kissy	kissy
kit	kit
kitchen	kichine
kite	kite
kitten	kitten
kiwi	kiwi
klutz	klutz
knack	knack
knapsack	knapsack
knead	khumama
knee	lengole
kneecap	kneecap
kneel	khumama
kneeling	ho khumama
knell	knell
knick	knick
knickers	knickers
knife	thipa
knight	knight
knighthood	knighthood
knit	ho kopa
knob	thupa
knock	ho kokota
knockoff	knockoff
knockout	kakalatsa
knoll	knoll
knot	letlobo
knots	linama
knotted	knotted
know	tseba
knowing	ho tseba
knowingly	tsebang
knowledge	tsebo
knowledgeable	tsebo
knuckle	khaola
knucklehead	knucklehead
knuckles	li-knuckles
koala	koala
kook	NO TRANSLATION
kooky	kooky
kool-aid	thuso ea kool
kos	kos
kosher	kosher
kraut	NO TRANSLATION
kris	kris
kryptonite	kryptonite
kudos	kudos
kumquat	kumquat
lab	lab
label	label
labor	mosebetsi
laboratory	laboratory
labored	sebetsa ka thata
laborer	ea sebetsang
laboring	ho sebetsa
laborious	e boima
labyrinth	labyrinth
lac	lakane
lace	lace
laceration	laceration
lack	ho hloka
lackey	lackey
lacking	ho haelloa ke letho
lackluster	ho hloka chelete
lacquer	lacquer
lacrosse	lacrosse
lactose	lactose
lad	mohlankana
ladder	lere
laddie	laddie
laden	e laetsoeng
lading	ho laela
ladle	ladle
lady	mofumahali
lady bug	NO TRANSLATION
ladybug	ladybug
ladylike	mofumahali
ladyship	ladyship
lag	lag
lager	NO TRANSLATION
lagging	ho koala
lagoon	lagoon
lair	ho laela
laity	lihlopha
lake	letša
lama	NO TRANSLATION
lamb	nku
lame	ea holofetseng
lament	lla
lamenting	ho lla
lamina	lamina
laminated	laminated
lamp	lebone
lamppost	palo ea lebone
lance	lerumo
lancer	sehlahisoa
land	naha
landed	a theoha
landfall	ho oela fatše
landfill	landfill
landing	ho theoha
landlady	mong'a ntlo
landlocked	e koaletsoeng
landlord	mong'a ntlo
landmark	sebaka sa bohlokoa
lands	linaha
landscape	sebaka sa naha
landscaping	landscaping
landslide	ho senya
lane	lane
language	puo
languid	e lahlile
languish	e nyahame
languishing	ho nyahama
lanky	lanky
lantern	lebone
lap	lesapo
lapdog	lapdog
lapel	lapel
lapse	e felile
lapsed	e felile
laptop	laptop
larceny	larceny
lard	lard
larder	fokotsa
large	e kholo
larger	e kholoanyane
largo	NO TRANSLATION
lark	lark
larva	larva
laryngitis	laryngitis
larynx	larynx
lasagna	lasagna
laser	laser
lash	ho lahla
lass	lass
lasso	lasso
lastday	NO TRANSLATION
lasting	e tšoarellang
lastminute	qetellong
latch	latch
late	morao
lateness	lateness
latent	latent
lateral	kamoso
laterally	hamorao
latex	latex
lathe	lathe
lather	lather
latitude	latitude
latrine	latrine
latrines	matloana
latte	latté
lattice	lattice
laud	roka
laudable	e babatsehang
laudation	thoriso
laudatory	ho rorisa
laugh	tšeha
laughable	laughable
laughing	ho tšeha
laughingstock	NO TRANSLATION
laughs	e tšeha
laughter	litšeho
launch	qala
launcher	hlahisa
launches	e qala
launder	ho hlatsa
laundering	ho hlakola liaparo
laundry	ho hlatsoa liaparo
laureate	laureate
laurel	laurel
laurels	li-laurels
lava	lava
lavage	hlapa
lavatory	ho hlatsoa
lavender	lavender
lavish	e khahleha
law	molao
lawful	e lumelloa ke molao
lawless	tlōlo ea molao
lawlessness	tlōlo ea molao
lawman	molaoli oa molao
lawn	mohloa
lawnmower	mochini u kutang mohloa
lawsuit	nyeoe
lawyer	ramolao
lax	ho tsuba
laxative	ho laxative
lay	robala
layaway	ho lahla
layer	lera
layered	e silafalitsoe
layman	setman
layout	mohaho
layover	layover
laziness	botsoa
lazy	ea botsoa
lazyday	NO TRANSLATION
lea	lea
lead	motataisi
leaded	e etselitsoe pele
leader	moeta-pele
leadership	boeta-pele
leading	e etellang pele
leads	tataiso
leaf	lekhasi
leaflet	leaflet
leafy	makhasi
league	selekane
leak	leak
leakage	ho fofa
leaky	leaky
lean	e otlolohile
leaned	e tšehetse
leaning	ho itšetleha
leap	leap
learn	ithute
learned	ba ithutile
learner	moithuti
learning	ho ithuta
lease	ho hira
leash	leash
leather	letlalo
leathery	letlalo
leave	tloha
leavemealone	khaohana le 'na
leaving	ho tloha
lecherous	lecherous
lecture	puo
lecturer	morupeli
ledge	lebōpo
ledger	holo
lee	lee
leech	leech
leeches	leeches
leer	NO TRANSLATION
leery	leery
lees	NO TRANSLATION
leeway	leeway
left	ho le letšehali
leftout	NO TRANSLATION
leftover	e setseng
leftovers	tse setseng
lefty	lefty
leg	leoto
legacy	lefa
legal	tsa molao
legality	molao
legalize	ho ngolisoa
legalized	e ngotsoe ka molao
legally	ka molao
legend	tšōmo
legendary	e ikhethang
legibility	molao-motheo
legible	e hlakileng
legion	legion
legislate	melao ea molao
legislation	molao
legislative	melao ea molao
legislator	molaoli oa molao
legislature	benyamente
legit	se nepahetseng
legitimacy	bolokolohi
legitimate	e amohelehang
lego	lego
legs	maoto
legume	legume
legwork	molao
leisure	boithabiso
leisurely	ho phomola
lemma	lemma
lemon	sirilamunu
lemonade	lemonade
lend	o alima
lender	lender
lending	ho alima chelete
length	bolelele
lengthen	e lelefatsa
lengthened	e lelefalitsoe
lengthening	ho lelefatsa
lengthwise	bolelele
lengthy	e telele
leniency	ho ba bonolo
lenient	e bonolo
lens	lense
leopard	lengau
leotard	leotara
leper	ea holofetseng
leprechaun	leprechaun
leprosy	lepera
lesbian	lesbian
lesbianism	lesbianism
lesion	sefofane
less	Nyane
lessee	lessee
lessen	fokotsa
lessening	fokotseha
lesser	ho fokotseha
lesson	thuto
lessor	e nyane
let	lumella
lethal	lethal
lethargic	lethargic
lethargy	lethargy
letter	lengolo
lettered	lettered
letterhead	lengolo le lengolo
lettering	mangolo
letters	mangolo
lettuce	lethisi
leukemia	leukemia
levee	levee
level	boemo
lever	lever
leverage	tšebetso
levitate	levitate
levy	levy
lewd	e litšila
lexicon	lexicon
ley	NO TRANSLATION
liabilities	likoloto
liability	boikarabelo
liable	a ikarabella
liaison	kgokahanyo
liar	ea leshano
libel	libel
libelous	libelous
liberal	ho fana ka bolokolohi
liberalism	liberalism
liberate	lokolla
liberated	lokolloa
liberating	ho lokolla
liberation	tokoloho
liberty	tokoloho
libido	libido
librarian	molabi oa libuka
library	laebrari
libretto	mahalatto
lice	likokoana
license	lengolo la tumello
lichen	lichen
lick	lick
licorice	licorice
lid	sekwahelo
lie	bua leshano
liege	ho phomola
lien	khokahanyo
lieu	sebaka
lieutenant	lieutenant
life	bophelo
lifeblood	mali a bophelo
lifeboat	seketsoana sa pholoso
lifeguard	Mopholosi
lifeisgood	lifeisgood
lifeless	e se nang bophelo
lifelike	e kang bophelo
lifeline	motlakase oa bophelo
lifelong	bophelo bohle
lifer	lifer
lifesaver	lifesaver
lifestyle	mokhoa oa ho phela
lifesucks	lifesk
lifetime	bophelong
lift	phahamisa
lifted	phahamisa
liftoff	liftoff
ligament	ligament
ligation	motheo
ligature	ligature
light	leseli
light year	selemo se bobebe
lightbulb	lebone
lighten	khantša
lightheaded	lihlooho tse khanyang
lighthouse	mohaho o motlakase
lighting	lebone
lightness	khanya
lightning	lehalima
lights	mabone
lightweight	leseli le bobebe
likable	khahleha
like	rata
likelihood	monyetla
likely	mohlomong
likeness	sebōpeho
likewise	ka ho tšoanang
liking	rata
lilac	lilac
lily	khahla
limb	leoto
limber	limber
limbo	limbo
lime	lime
limelight	khanyang
limestone	lejoe la mokoetla
limey	limey
limit	moeli
limitation	ho fokotsa
limited	e lekane
limitless	ho se na moeli
limo	limo
limousine	Limousine
limp	limp
lin	lin
line	line
lineage	lineage
lineal	lineal
linear	linear
linebacker	linebacker
lined	e koetsoe
linen	line
liner	liner
lines	mela
lineup	lenane
linger	ho lieha
lingerie	lingerie
lingering	ho lieha
lingo	lingoliloeng
lingual	lipuo tse ling
linguini	linguo
linguist	puo ea lipuo
linguistic	puo ea lipuo
linguistics	linguistics
lining	ho roala
link	link
linoleum	linoleum
lint	qeta
lion	tau
lip	lipomo
liposuction	liposuction
lipstick	molomo oa lipuo
liquefaction	ho tsuba
liquefied	liquefied
liqueur	liqueur
liquid	metsi
liquidate	hlakola
liquidation	ho tlosoa ha chelete
liquidator	mokelikeli oa metsi
liquidity	chelete
liquor	joala
lira	NO TRANSLATION
lisp	lisp
list	lenane
listen	mamela
listener	mamela
listenting	NO TRANSLATION
listing	ho thathamisa
listless	ho se na letho
listneing	NO TRANSLATION
litany	litany
liter	litha e le nngwe
literacy	ho bala le ho ngola
literal	e le hantle
literally	ka ho toba
literary	ho ngola
literature	lingoliloeng
lithe	lithe
lithium	lithium
lithograph	lithograph
lithography	lithography
lithology	lithology
lithosphere	lithosphere
litigant	tse hlahang
litigate	hlahisa
litigation	litokelo
litigator	litakatso
litigious	e le litakatso
litter	matlakala
little	hanyane
littlethings	lintho tse nyane
littoral	marang-rang
liturgy	liturgy
live	phela
livelife	bophelo bo phelang
livelihood	mokhoa oa boipheliso
lively	e thabisang
liven	liven
liver	sebete
livery	livery
livestock	liphoofolo
livid	e hlakileng
living	ho phela
lizard	lizard
llama	llama
lml	lml
load	mojaro
loader	mokelikeli
loaf	bohobe
loafer	loafer
loam	loam
loan	mokoloto
loath	loath
loathe	nyonya
loathful	ho nyonyeha
loathing	ho nyonya
loathsome	e nyonyehang
lobby	kamohelo ea baeti
lobbyist	lobbyist
lobe	lobe
lobotomy	lobotomy
lobster	lobster
local	sebakeng sa heno
locale	sebakeng sa habo
locality	sebakeng sa habo bona
localization	ho ba sebakeng sa heno
localize	sebakeng sa hau
localized	sebakeng sa hau
locate	fumana
location	sebaka
locator	sebaka sa libaka
loch	loch
lock	koala
locker	locker
locket	locket
locksmith	locksmith
lockup	sebakeng sa hau
loco	sebaka seo
locomotion	locomotion
locomotive	locomotive
locust	tsie
lode	NO TRANSLATION
lodge	lula
lodger	holo
lodging	bolulo
loft	loft
lofty	e phahameng
log	log
logarithm	logarithm
logarithmic	logarithmic
logic	e utloahalang
logical	e utloahalang
logistics	lisebelisoa
logo	logo
logotype	logotype
loin	NO TRANSLATION
lollipop	lollipop
lone	se le seng
loneliness	bolutu
lonely	bolutu
loner	ho jeoa ke bolutu
lonesome	lonesome
long	nako e telele
longboat	sekepe se selelele
longevity	ho phela nako e telele
longing	ho labalabela
longitude	bophirimela
longitudinal	longitudinal
longitudinally	nako e telele
longtime	nako e telele
loo	loo
look	sheba
looker	shebahala
lookout	hlokomela
loom	loom
looming	ho fihla
loon	loon
loony	loony
loop	lupu
loophole	loophole
loopy	loopy
loose	e hlephileng
loosen	lokolla
loosening	ho lokoloha
loot	khaola
lop	lop
lopsided	e lutse
lord	morena
lords	marena
lordship	borena
lore	tahlehelo
lorry	lorry
lose	lahleheloa
loser	ea hlotsoeng
losing	ho lahleheloa
loss	tahlehelo
lost	lahlehile
lot	e ngata
lotion	lotion
lots	lotho
lottery	lotho
lotto	lotto
lotus	lotus
loud	holimo
loudly	ka lentsoe le phahameng
loudmouth	lentsoe le phahameng
loudness	lerata
loudspeaker	sebuela-hōle
lounge	ho phomola
lounging	lounging
louse	louse
lousy	lousy
lovable	e ratehang
love	lerato
loved	rata
lovee	lerato
loveee	loveee
loveless	ho hloka lerato
lovelife	NO TRANSLATION
loveliness	botle bo botle
lovelovelove	NO TRANSLATION
lovely	e ratehang
lovemaking	ho rata
lovemylife	NO TRANSLATION
lover	moratuoa
lovesick	hello
lovethis	lovetis
loving	lerato
lovinglife	leratolife
lovinlife	lovinlife
low	e tlaase
lowdown	downdown
lower	e tlaase
lowering	ho theola
lowest	e tlaase haholo
lowlands	lihlekehleke
lowlife	liphoofolo tse tlaase
lowly	e tlaase
lox	lox
loyal	ea tšepahalang
loyalty	botšepehi
lsd	lsd
luau	luau
lube	lube
lubricant	lubricant
lubricate	lubricate
lubrication	lubrication
lucid	lucid
luck	lehlohonolo
luckiest	e monate haholo
lucky	lehlohonolo
luckygirl	motsoalle oa luckygirl
lucrative	e lefang chelete e ngata
ludicrous	e thata
lug	lug
luggage	thōtō
lukewarm	ho fokola
lull	lull
lullaby	lullaby
lumbar	lumbar
lumber	lehong
lumbering	lumbering
lumberjack	hahahaha
luminescent	luminescent
luminous	luminous
lump	hlama
lumpy	lumpy
lunacy	ho iphelisa
lunar	khoeli
lunatic	lunatic
lunch	lijo tsa motšehare
lunchbox	sek'hafothini
luncheon	lijo tsa mantsiboea
lunchtime	nako ea tinare
lung	lefu
lunge	lunge
lungs	matšoafo
lurch	lurch
lure	lera
lurid	lurid
lurk	lurk
lurking	ho lla
luscious	e monate
lush	e tsotehang
lust	takatso
luster	khanya
lustful	litakatso
lustrous	e tsotehang
lusty	takatso e matla
lute	lute
luxuriant	e khahlehang
luxurious	tse mabothobotho
luxury	mabothobotho
lycra	lycra
lye	lye
lying	leshano
lymph	lymph
lymphatic	lymphatic
lymphoma	lymphoma
lynch	lynch
lynching	lynching
lynx	lynx
lyre	lyre
lyric	lyric
lyrical	lipina tsa thoriso
lyrics	lyrics
macadamia	macadamia
macarena	macarena
macaroni	macaroni
mace	mace
mach	mach
machete	machete
machine	mochine
machinery	mechine
machinist	machiniste
macho	mahlo
mackerel	mackerel
macro	macro
mad	hlanya
madam	madam
madame	mofumahali
madden	ho hlanya
madder	madder
mademoiselle	NO TRANSLATION
mademyday	mademyday
madhouse	madhouse
madman	mohlankana
madness	bohlanya
maestro	maestro
mafia	mafia
magazine	makasine
mage	mage
magenta	magenta
maggot	magote
magic	boselamose
magical	boselamose
magician	magician
magistrate	mastrata
magma	magma
magna	magna
magnate	magnate
magnesium	magnesium
magnet	magnet
magnetic	magnetic
magnetism	magnetism
magnetite	magnetite
magnification	ho hōlisa
magnificence	bokhabane
magnificent	e hlollang
magnifier	khabisa
magnify	hōlisa
magnifying	ho phahamisa
magnitude	boholo ba tsona
magnolia	magnolia
magpie	magpie
mahi mahi	NO TRANSLATION
mahjong	mahjong
mahogany	mahogany
maid	moroetsana
maiden	moroetsana
mail	mail
mailbox	lebokose la mangolo
mailing	mangolo
mailman	mong'a poso
maim	NO TRANSLATION
main	ka sehloohong
mainframe	mainframe
mainland	mainland
mainstay	mohloli o ka sehloohong
mainstream	e tloaelehileng
maintain	boloka
maintenance	tlhokomelo
majestic	e hlomphehang
majesty	borena
major	tse kholo
majority	bongata
make	etsa
makeover	makeover
maker	moetsi
makeshift	nakoana
makesmehappy	NO TRANSLATION
makesmemad	NO TRANSLATION
makeup	boelana
makingdisciples	NO TRANSLATION
malady	boloetse
malaise	malaise
malaria	malaria
malarkey	malarkey
male	e motona
malevolent	e mabifi
malfeasance	malfeasance
malformation	malformation
malfunction	ha e sebetse hantle
malice	NO TRANSLATION
malicious	e kotsi
malign	ho senya
malignancy	ho bolaea
malignant	e kotsi
maligned	e hlasetsoeng hampe
mall	mall
malleable	e sa khonehang
mallet	mallet
malnutrition	khaello ea phepo e nepahetseng
malpractice	ho sebetsa hampe
malt	malt
mama	'mè
mambo	morena
mamma	NO TRANSLATION
mammal	liphoofolo
mammoth	mammoth
mammy	'mè
man	motho
manage	laola
manageable	e laoleha
management	tsamaiso
manager	mookameli
managerial	mookameli
mandamus	mandamus
mandarin	Mandarin
mandate	taelo
mandatory	e tlamehang
mandible	mamello
mandolin	mandolin
mandrel	mandrel
mane	NO TRANSLATION
maneuver	tsamaisa
maneuvering	ho tsamaisa
mange	NO TRANSLATION
manger	sejelong
mangle	mangle
mango	mango
mangosteen	mangosteen
mangy	mangy
manhole	manehole
manhood	ho ba monna
manhunt	manhunt
mania	mania
maniac	maniac
maniacal	bolokolohi
manic	manic
manicure	manicure
manicurist	motho ea nang le mekhoa ea matsoho
manifest	bonahatsa
manifestation	pontšo
manifested	e bontšitsoe
manifestly	ka ho hlaka
manifesto	manifesto
manifold	tse ngata
manipulate	sebelisa
manipulation	ho qhekella
manipulative	bolokolohi
mankind	moloko oa batho
manly	monna
manna	manna
manned	e entsoeng ka letsoho
mannequin	mannequin
manner	mokhoa
mannered	mekhoa e metle
manners	mekhoa
manor	manor
manpower	matla a batho
mansion	mansion
mansions	mehaho
manslaughter	ho bolaea batho
mantel	mantel
mantis	mantis
mantle	seaparo sa mantle
mantra	mantra
manual	buka
manufacture	ho hlahisa
manufacturer	moetsi
manufacturing	tlhahiso
manure	manyolo
manuscript	mongolo o ngotsoeng ka letsoho
map	'mapa
maple	maple
mar	mo
marathon	marathon
marble	marble
marbled	marbled
marbles	marbles
march	tsamaea
mare	NO TRANSLATION
margarine	margarine
margarita	margarita
margin	margin
marginal	marginal
mariachi	mariachi
marijuana	matekoane
marinara	marinara
marine	marine
mariner	mariner
marital	lenyalo
maritime	maritime
mark	tšoaea
marked	e tšoauoe
marker	letšoao
market	marakeng
marketable	ho rekisoa
marketing	papatso
marketplace	marakeng
marks	matšoao
marksman	markman
marksmanship	markmanship
marl	marl
marmalade	marmalade
maroon	maroon
marooned	marooned
marquee	marquee
marquis	marquis
marred	e senyehile
marriage	lenyalo
married	lenyalong
marrow	marora
marry	kena lenyalong
marsh	Marsh
marshal	marshal
marshmallow	marshmallow
mart	mart
martial	ntoa
martingale	martingale
martini	martini
martyr	moruti
martyrdom	ho shoela tumelo
marvel	hlolla
marvellous	e tsotehang
marvelous	e tsotehang
marvelously	e hlollang
marzipan	NO TRANSLATION
mascara	mascara
mascot	mascot
masculine	masculine
masculinity	masculinity
mash	senya
mashed	mashed
mask	mask
masked	ho pata
masks	mask
masochism	masochism
masochist	masochist
mason	mason
masquerade	ho pata
mass	boima
massacre	ho bolaea
massage	ho silila
masses	masses
masseur	masseur
masseuse	masseuse
massive	e kholo
mast	mast
master	mong'a ntlo
masterful	tse bohlale
mastermind	helena
masterpiece	seemahale
mastery	bokhoni
masturbate	ho ipholla litho
masturbation	ho ipholla litho
mat	mat
matador	matador
match	bapala
matchbook	matchbook
matching	ho tšoana
matchmaker	matchmaker
mate	molekane
material	boitsebiso
materialism	ho rata lintho tse bonahalang
materialist	motho oa lintho tse bonahalang
materialistic	ho rata lintho tse bonahalang
materiality	lintho tse bonahalang
materialize	ho iphelisa
materially	lintho tse bonahalang
materials	thepa
materiel	lintho tse bonahalang
maternal	bakhachane
maternity	bokhachane
math	lipalo
mathematical	lipalo tsa lipalo
mathematician	setsebi sa lipalo
mathematics	lipalo
matinee	matinee
mating	ho nyalana
matriculation	matriculation
matrimony	lenyalo
matrix	matrix
matron	matron
matted	matted
matter	taba
matting	matting
mattress	matloana
maturation	ho tsuba
mature	ba hōlile
maturity	kholofalo
maudlin	tlotlo
mausoleum	mausoleum
mauve	mauve
maverick	maverick
maxim	maxim
maximize	eketsa
maximum	boholo
may	e ka 'na eaba
mayday	letsatsi la khoeli ea Motšeanong
mayflower	furu
mayhem	mayhem
mayonnaise	mayonnaise
mayor	ramotse
maze	Maze
mead	mead
meadow	meadow
meager	e nyenyane
meal	lijo
mean	bolela
meander	meander
meandering	meandering
meanie	meanie
meaning	moelelo
meaningful	e nang le moelelo
meaningless	e se nang thuso
meanness	matla
means	e bolela
meantime	Khabareng
measles	masapole
measurable	e lekanyelitsoeng
measure	tekanyo
measured	e lekantsoe
measurement	tekanyo
measuring	ho lekanya
measuring cup	senoelo sa tekanyo
measuring tape	tepi ea tekanyo
meat	nama
meatball	meatball
meathead	meathead
meatloaf	meatloaf
mechanic	mochine oa mechine
mechanical	mechine
mechanics	mechine e mengata
mechanism	mekhoa
med	NO TRANSLATION
medal	moriana
medallion	medallion
medallist	mongoli
meddle	qabella
meddling	ho itšoara
media	mecha ea litaba
medial	nako e kholo
median	ea bohareng
mediate	buisana
mediation	phetisano
mediator	mokena-lipakeng
medic	meriana
medical	bongaka
medicate	meriana
medication	meriana
medicinal	meriana
medicine	meriana
medieval	mehleng ea bohareng
mediocre	nako e telele
mediocrity	bo-mphato
meditate	thuisa
meditating	ho nahanisisa
meditation	ho thuisa
meditative	ho thuisa
mediterranean	meriana
medium	e bohareng
medley	medley
meek	ba bonolo
meet	kopana
meeting	seboka
mega	mega
meh	meh
melancholic	melancholic
melancholy	melancholy
melee	melee
mellow	mellow
melodious	melodious
melodrama	melodrama
melodramatic	melodramatic
melody	pina ea thoriso
melon	lehapu
melt	qhibiliha
meltdown	ho qhibiliha
melting	ho qhibiliha
member	setho sa
membership	litho
membrane	membrane
memento	memento
memo	memo
memoir	memoir
memorabilia	memorabilia
memorable	ho sa lebaleheng
memorandum	memorandum
memorial	sehopotso
memorials	memorials
memories	ho hopola lintho
memoriesiwontforget	NO TRANSLATION
memorize	ho tšoara ka hlooho
memory	mohopolo
menace	kotsi
menacing	ho tšosa
menagerie	menagerie
mend	lokisa
mending	ho lokisa
menial	ho nyenyefatsa
meningitis	meningitis
meniscus	meniscus
menopause	ho ikhula khoeli
menses	ho fokola
menstrual	ho ea khoeling
mental	kelello
mentalhealth	NO TRANSLATION
mentality	maikutlo
menthol	menthol
mention	bua
mentor	mentor
menu	menu
meow	meow
