Word	mg
intensive	mafy
intent	finiavana
intention	fikasana
intentional	iniana
intentionally	fanahy iniana
inter	Inter
interact	mifandray
interaction	fifandraisana
interactive	fifandraisana
intercede	hifona
intercept	manakana
interception	pifandraisan
intercession	fanelanelanana
interchange	fifampaherezana
interchangeable	interchangeable
interchanged	interchanged
intercom	telefaonina
intercourse	firaisana
interdependence	fifampiankinan'ny
interdependent	mifampiankina
interdiction	interdiction
interest	mahaliana
interested	liana
interesting	mahaliana
interface	interface tsara
interfere	hisakana
interference	fitsabahan'ny
interferometer	interferometer
intergalactic	intergalactic
interim	vonjimaika
interior	Atitany
interject	interject
interlocutory	interlocutory
interlude	fanelanelanana
intermediary	mpanelanelana
intermediate	intermediate
interment	fandevenana
interminable	interminable
intermission	fiatoana
intermittent	mitsitaitaika
intern	Intern
internal	anatiny
internally	anatiny
international	iraisam-pirenena
internet	aterineto
internship	internship
interoffice	interoffice
interpolate	interpolate
interpolation	teny nasisika
interpret	mandika teny
interpretation	fandikana
interpreter	mpandika teny
interpretive	interpretive
interrelated	mifamatotra
interrogate	am-bavany
interrogation	fanadihadiana
interrupt	manapaka
interrupted	tapaka
interrupting	manapa-
interruption	interruption
interrupts	ka miato
intersect	intersect
intersection	fihaonan-dalana
interstate	interstate
interstellar	interstellar
interstitial	interstitial
interval	elanelana
intervene	-tsehatra
intervening	vonona
intervention	tsehatra
interview	resadresaka
interviewer	mpanao gazety nametraka fanontaniana
interworking	interworking
intestate	intestate
intestinal	tsinay
intestine	tsinay
intestines	tsinainy
intimacy	firaisana ara-nofo
intimate	akaiky
intimately	akaiky
intimation	intimation
intimidate	hampitahorana
intimidated	natahotra
intimidating	mampatahotra
intimidation	fampitahorana
intolerable	tsy azo leferina
intolerance	tsy fandeferana
intolerant	fandeferana
intonation	ny lantom-peo
intoxicated	mamo
intoxicating	vitan'ny
intoxication	mamo
intracranial	intracranial
intractable	tsy ahitam-bahaolana
intramural	intramural
intravenous	intravenous
intrepid	be herim-po
intricate	be pitsiny
intrigue	fiokoana
intriguing	mahaliana
intrinsic	anaty
intrinsically	intrinsically
intro	fampidirana
introduce	mampahafantatra
introduction	fampidirana
introductory	fampidirana
introspection	introspection
introspective	introspective
intrude	mitsabatsabaka
intruder	intruder
intrusion	fitsabahana
intrusive	intrusive
intubation	intubation
intuition	zavatra manindry mandry
intuitive	intuitive
intuitively	intuitively
inundation	inundation
invade	hanafika
invader	mpanafika
invalid	tsy mety
invalidate	hanafoana
invalidation	invalidation
invalidity	invalidity
invaluable	sarobidy
invariably	foana
invasion	fanafihana
invasive	Invasive
invent	mamorona
invention	famoronana
inventive	inventive
inventor	mpamoron-javatra
inventory	lisitra
inverse	mitifitra ny mifanohitra
inversely	inversely
inversion	inversion
invert	Ampifamadiho
inverted	mitsongoloka
invest	vola
investigate	fanadihadiana
investigation	fanadihadiana
investigative	famotorana
investigator	naman'ny Fiangonana
investment	fampiasam-bola
investor	mpampiasa vola
invidious	mahasorena
invigorate	hanatanjaka
invincible	mety resy
invisibility	invisibility
invisible	tsy hita maso
invitation	fanasana
invite	manasa
inviting	manintona
invocation	Vavaka Fanombohana
invoice	faktiora
invoke	mangataka
involuntary	niniana
involution	involution
involve	tafiditra
involvement	anjara
invulnerable	invulnerable
inwards	safodrorohany
iodine	iode
ion	Ion
iota	iota
irate	irate
ire	NO TRANSLATION
iridescent	iridescent
iris	Iris
irked	Sosotra
irks	irks
iron	vy
ironclad	ironclad
ironic	maneso
irons	vy
irony	mahatsikaiky
irradiation	irradiation
irrational	tsy mahay mandinika
irrationality	irrationality
irreconcilable	irreconcilable
irreducible	irreducible
irrefutable	tsy azo lavina
irregular	tsy ara-dalàna
irregularity	irregularity
irregularly	irregularly
irrelevant	ilaina
irreparable	fisarahana
irreplaceable	azo soloina
irrepressible	irrepressible
irresistible	tsy hay tohaina
irrespective	ijerena
irresponsible	tsy mandray andraikitra
irreverent	tsy manaja
irreversible	tsy azo ivalozany
irrevocable	hentitra no tsy miovaova
irrigate	manondraka
irrigation	fitarihan-drano
irritability	mora tezitra
irritable	mora tezitra
irritate	hampahatezitra
irritated	sosotra
irritates	tiako
irritating	mahasosotra
irritation	fahasosorana
island	nosy
isle	nosy
islet	Islet
isolate	hitokantokana
isolated	mitoka-monina
isolation	fitokana-monina
isomorphism	isomorphism
isothermal	isothermal
isotope	isotope
issue	olana
itch	kongonina
itching	mangidihidy
itchy	itchy
item	zavatra
itemize	itemize
items	zavatra
iterate	iterate
iteration	iteration
iterative	iterative
itinerant	mpifindrafindra
itinerary	lala andehana
ivory	ivoara
jab	jab
jabber	jabber
jack	Jack
jackal	loharanon'ny dragona
jackass	jackass
jacket	palitao
jackhammer	jackhammer
jackpot	jackpot
jackrabbit	jackrabbit
jacks	jacks
jade	jady
jaded	jaded
jag	NO TRANSLATION
jagged	jagged
jaguar	jaguar
jail	am-ponja
jailbird	jailbird
jailbreak	jailbreak
jailer	mpiandry tranomaizina
jailhouse	jailhouse
jalopy	jalopy
jam	Jak
jamboree	jamboree
jammed	hipoka
jammer	jammer
janitor	janitor
janitorial	janitorial
japan	Japana
jar	siny
jargon	teknika,
jarhead	jarhead
jarring	jarring
jasmine	Jasmine
jasper	jaspy
jaundice	jaundice
jaunt	jaunt
java	java-
javelin	lefom-pohy
jaw	valanorano
jawbone	valanoranom-boriky teny
jaws	valanorano
jay	Jay
jazz	Jazz
jazzy	Jazzy
jealous	saro-piaro
jealousy	fahasaro-piaro
jean	Jean
jeans	pataloha jeans
jeep	Jeep
jeering	jeering
jelly	Jelly
jellybean	Jelly bean
jellyfish	jellyfish
jenny	Jenny
jeopardize	hanimba
jeopardy	nanao vy very
jerk	jerk
jerks	jerks
jerky	miahotrahotra
jersey	Jersey
jest	NO TRANSLATION
jester	jester
jesus	Jesosy
jet	fiaramanidina
jetty	jetty
jewel	firavaka
jeweler	mpanefy firavaka
jewelry	firavaka
jib	jib
jiff	NO TRANSLATION
jiffy	jiffy
jig	jig
jiggle	jiggle
jigsaw	Jigsaw
jihad	jiady
jimmy	Jimmy
jingle	jingle
jinx	jinx
jitters	jitters
jittery	fivadibadihan'ny lafiny
jive	jive
job	asa
jobinterview	NO TRANSLATION
jock	Jock
jockey	Jockey
jockstrap	jockstrap
jog	miaraka mihazakaza
jogger	jogger
john	Jaona
join	anjara
joined	nanatevin-daharana
joining	nandray anjara
joint	iraisana
jointly	miaraka
joke	vazivazy
joker	Joker
joking	vazivazy
jolly	jolly
jolt	jolt
jornada	NO TRANSLATION
jot	litera
jour	NO TRANSLATION
journal	gazety
journalism	fanaovan-gazety
journalist	mpanao gazety
journalistic	fanaovan-gazety
journey	dia
journeyman	journeyman
joust	joust
jovial	jovial
joy	fifaliana
joyful	faly
joyous	mahafaly
joyride	joyride
joys	fifaliana
jubilant	mitondra hafaliana andrandrain'ny
jubilee	jobily
judge	mpitsara
judged	nitsara
judging	mitsara
judgment	fitsarana
judgmental	mitsaratsara
judicial	fitsarana
judiciary	fitsarana
judicious	nanavaka
judo	amin'ny judo
jug	tavoara
juggle	juggle
juggler	juggler
juggling	juggling
jugular	jugular
juice	ranom-boankazo
juicer	juicer
juicy	be ranony
juju	NO TRANSLATION
juke	juke
jukebox	jukebox
jumble	jumble
jumbled	jumbled
jumbo	Jumbo
jump	hitsambikina
jump rope	mitsambikina tady
jumper	jumper
jumpsuit	jumpsuit
jumpy	jumpy
junction	Junction
juncture	daty
jungle	ala
junior	Junior
juniper	zenevrie
junk	tratran'ny mpanara
junket	junket
junkie	junkie
junky	junky
junkyard	junkyard
junta	mpanongam-panjakana
juridical	juridique
jurisdiction	fahefana
jurisprudence	jurisprudence
jurist	mpahay lalàna
juror	juror
jury	mpitsara
justice	ny rariny
justifiable	azo hamarinina
justification	fanamarinana
justify	fialan-tsiny
juststop	NO TRANSLATION
justthebeginning	NO TRANSLATION
jute	jute
juvenile	tanora
juxtaposition	juxtaposition
kaiser	Kaiser
kale	Kale
kaleidoscope	zavaboary fahita
kamikaze	kamikaze
kangaroo	kangaroo
kanji	mandarina
kappa	kappa
kaput	NO TRANSLATION
karaoke	Karaoke
karate	karate
karma	karma dia
karmic	karmic
kayak	hanao kayak
kazoo	kazoo
kebab	kebab
keel	keel
keen	tena
keep	foana
keeper	mpiambina
keeping	fitandremana
keepsake	keepsake
keg	keg
kelp	kelp
ken	Ken
kennel	tarehy ho azy manokana
kerchief	kerchief
kern	Kern
kernel	voam
kerosene	solitany
ketchup	ketchup
kettle	kettle
key	manan-danja
keyboard	Ohatra
keyed	keyed
keyhole	keyhole
keynote	keynote
keypad	keypad
keystone	vato ifaharana
keyword	Keyword
khaki	khaki
khan	Khan
kibble	kibble
kick	daka
kickboxing	kickboxing
kicker	kicker
kicking	mandaka
kickoff	fanombohana
kid	zanak'osy
kidder	kidder
kidding	mananihany
kiddo	kiddo
kiddos	kiddos
kidnap	fakàna an-keriny
kidnapped	nalaina an-keriny
kidnapper	mpaka an-keriny
kidnapping	fakàna an-keriny
kidney	voa
kids	ankizy
kill	mamono
killer	mpamono olona
killing	famonoana
killjoy	killjoy
kiln	lafaoro fandoroana biriky
kilo	NO TRANSLATION
kilogram	kilao
kilometer	kilometatra
kilt	kilt
kimono	kimono
kin	kin
kind	tsara fanahy
kindergarten	akanin-jaza
kindling	kindling
kindness	hatsaram-panahy
kindred	havanao
kinematics	kinematics
kinesiology	kinesiology
kinetic	kinetic
king	mpanjaka
king snake	king snake
kingdom	fanjakana
kingpin	kingpin
kink	kink
kinky	Kinky
kinship	mpihavana
kiosk	kiosk
kirk	Kirk
kiss	oroka
kisser	kisser
kissy	Kissy
kit	maika
kitchen	lakozia
kite	papango
kitten	saka
kiwi	kiwi
klutz	klutz
knack	kinga
knapsack	knapsack
knead	mametafeta
knee	lohalika
kneecap	kneecap
kneel	mandohalika
kneeling	mandohalika
knell	knell
knick	knick
knickers	knickers
knife	antsy
knight	Knight
knighthood	knighthood
knit	raiki-pitia
knob	kiboriny
knock	dondony
knockoff	knockoff
knockout	mahalavo
knoll	Knoll
knot	fatotra
knots	fatotra
knotted	knotted
know	mahalala
knowing	mahalala
knowingly	minia
knowledge	fahalalana
knowledgeable	manam-pahalalana
knuckle	knuckle
knucklehead	knucklehead
knuckles	knuckles
koala	Koala
kook	NO TRANSLATION
kooky	kooky
kool-aid	Kool-fanampiana
kos	Kos
kosher	kosher
kraut	NO TRANSLATION
kris	Kris
kryptonite	kryptonite
kudos	kudos
kumquat	kumquat
lab	laboratoara
label	Label
labor	asa
laboratory	laboratoara
labored	niasa
laborer	mpiasa
laboring	mikely aina
laborious	mafy
labyrinth	labyrinth
lac	Lac
lace	dantelina
laceration	laceration
lack	tsy
lackey	mpanompon'andriana
lacking	tsy ampy
lackluster	lackluster
lacquer	lacquer
lacrosse	lacrosse
lactose	lactose
lad	zaza
ladder	tohatra
laddie	laddie
laden	entana
lading	entana
ladle	lovia kely
lady	vehivavy
lady bug	NO TRANSLATION
ladybug	ladybug
ladylike	ladylike
ladyship	ladyship
lag	haingana toy
lager	NO TRANSLATION
lagging	lagging
lagoon	Lagoon
lair	lair
laity	lahika
lake	farihy
lama	NO TRANSLATION
lamb	ondry
lame	mandringa
lament	mitomania
lamenting	nitomany
lamina	lamina
laminated	laminated
lamp	jiro
lamppost	lampadera
lance	Lance
lancer	lancer
land	tany
landed	niantsona
landfall	landfall
landfill	toerana fanariam-pako
landing	fipetrahana
landlady	vehivavy tompon-tranonay
landlocked	landlocked
landlord	tompon-tranon'i
landmark	mari-toerana
lands	tany
landscape	tontolo
landscaping	zaridaina
landslide	fihotsahan'ny tany
lane	Lane
language	fiteny
languid	languid
languish	reraka
languishing	Nijaly
lanky	lanky
lantern	fanala
lap	am-pofoana
lapdog	lapdog
lapel	lapel
lapse	tsy nanehoan'i
lapsed	lapsed
laptop	laptop
larceny	larceny
lard	lard
larder	larder
large	lehibe
larger	lehibe kokoa
largo	NO TRANSLATION
lark	lark
larva	olitra
laryngitis	laryngitis
larynx	lohatraoka
lasagna	lasagna
laser	tamin'ny laser
lash	karavasy
lass	lass
lasso	Lasso
lastday	NO TRANSLATION
lasting	maharitra
lastminute	minitra farany
latch	latch
late	tara
lateness	lateness
latent	miseho
lateral	lateral
laterally	azy tsy hiala
latex	LaTeX
lathe	lathe
lather	lather
latitude	Latitude
latrine	fivoahana
latrines	lava-piringa
latte	latté
lattice	makarakara
laud	midera
laudable	laudable
laudation	laudation
laudatory	laudatory
laugh	laugh
laughable	mampihomehy
laughing	mihomehy
laughingstock	NO TRANSLATION
laughs	mihomehy
laughter	fihomehezana
launch	fandefasana
launcher	mpandefa
launches	ny famoahana
launder	launder
laundering	famotsiam
laundry	fanasan-damba
laureate	Nobel
laurel	Laurel
laurels	Ravintsara
lava	ranoka volkano
lavage	lavage
lavatory	lavatory
lavender	lavender
lavish	fanomezana be dia be
law	lalàna
lawful	ara-dalàna
lawless	tan-dalàna
lawlessness	ny fandikan-dalàna
lawman	lawman
lawn	bozaka
lawnmower	mpanapaka bozaka
lawsuit	fitoriana
lawyer	mpisolo vava
lax	baranahiny
laxative	laxative
lay	nandry
layaway	layaway
layer	sosona
layered	sosona
layman	laika
layout	fisehon'ny
layover	layover
laziness	hakamoana
lazy	kamo
lazyday	NO TRANSLATION
lea	Lea
lead	mitarika
leaded	leaded
leader	mpitarika
leadership	mpitarika
leading	nitarika
leads	Leads
leaf	ravina
leaflet	trakta
leafy	mikirindro
league	fanekena
leak	mandefa
leakage	leakage
leaky	mitete
lean	mahia
leaned	niankina
leaning	nitehina
leap	dingana
learn	mianatra
learned	nianatra
learner	mpianatra
learning	fianarana
lease	lease
leash	leash
leather	hoditra
leathery	leathery
leave	miala
leavemealone	Avelao aho
leaving	miala
lecherous	lecherous
lecture	lahateny
lecturer	mpampianatra
ledge	rindriny
ledger	masiaka natao tamintsika
lee	Lee
leech	leech
leeches	dinta
leer	NO TRANSLATION
leery	leery
lees	NO TRANSLATION
leeway	leeway
left	sisa
leftout	NO TRANSLATION
leftover	ambin-
leftovers	sisa tavela
lefty	Lefty
leg	leg
legacy	lova
legal	ara-dalàna
legality	ara-dalàna
legalize	ara-dalàna
legalized	ara-dalàna
legally	ara-dalàna
legend	legend
legendary	malaza
legibility	legibility
legible	legible
legion	Legiona
legislate	légiférer
legislation	lalàna
legislative	mpanao lalàna
legislator	mpanao lalàna
legislature	mpanao lalàna
legit	legit
legitimacy	ara-drariny
legitimate	ara-dalàna
lego	Lego
legs	tongotra
legume	legume
legwork	legwork
leisure	fialam-boly
leisurely	fotoana handinihana ny manodidina
lemma	teny
lemon	voasary makirana
lemonade	limonady
lend	hampisambotra
lender	mampisambotra
lending	mampisambotra
length	halavan'ny
lengthen	lava
lengthened	nohalavaina
lengthening	nanalavana
lengthwise	lengthwise
lengthy	lavabe
leniency	fileferana
lenient	mandefitra
lens	family
leopard	leoparda
leotard	leotard
leper	boka
leprechaun	leprechaun
leprosy	habokana
lesbian	vehivavy miray amin'ny vehivavy
lesbianism	lesbianism
lesion	lesion
less	Kely kokoa
lessee	lessee
lessen	hampihenana
lessening	nihena
lesser	ambany
lesson	lesona
lessor	lessor
let	aoka
lethal	mahafaty
lethargic	lethargic
lethargy	fahalainana
letter	taratasy
lettered	lettered
letterhead	letterhead
lettering	soratra
letters	taratasy
lettuce	salady
leukemia	voan'ny kanseran'ny ra
levee	levee
level	ambaratonga
lever	fanoitra
leverage	leverage
levitate	levitate
levy	Levy
lewd	fahavetavetana
lexicon	Lexicon
ley	NO TRANSLATION
liabilities	lafy ratsiny
liability	madio
liable	mendrika
liaison	ny fijangajangany
liar	mpandainga
libel	fanalam-baraka
libelous	manala baraka
liberal	liberaly
liberalism	liberalisma
liberate	hanafaka
liberated	mahazo vahana
liberating	manafaka
liberation	fanafahana
liberty	fahafahana
libido	libido
librarian	tranomboky
library	fitehirizam-boky
libretto	Libretto
lice	moka
license	Mombamomba ny mpanoratra
lichen	volonkazo
lick	toerana iray feno
licorice	licorice
lid	sarony
lie	lainga
liege	liege
lien	Lien
lieu	Lieu
lieutenant	Lieutenant
life	fiainana
lifeblood	ràny
lifeboat	lakana mpamonjy aina
lifeguard	Mpamonjy aina
lifeisgood	tsara ny fiainana
lifeless	tsy nanana aina
lifelike	lifelike
lifeline	niankinan'ny
lifelong	mandritra ny androm
lifer	lifer
lifesaver	lifesaver
lifestyle	fiainana
lifesucks	lifesucks
lifetime	androm-piainana
lift	atraka
lifted	asandratra
liftoff	liftoff
ligament	ligament
ligation	ligation
ligature	fatotra
light	fahazavana
light year	taona
lightbulb	takamoa
lighten	ampahazavao ny mazoto
lightheaded	lightheaded
lighthouse	tilikambo fanilon-tsambo
lighting	jiro
lightness	fandokafany
lightning	tselatra
lights	jiro
lightweight	maivana
likable	tian'i
like	toy ny
likelihood	Azo inoana
likely	Azo inoana fa
likeness	endriky
likewise	toy izany koa
liking	eritreritsika
lilac	lilac
lily	lilia
limb	rantsambatana
limber	limber
limbo	Limby
lime	voasary makirana
limelight	miraharaha
limestone	vatosokay
limey	limey
limit	fetra
limitation	mahasakana
limited	voafetra
limitless	manam-petra
limo	Limo
limousine	limousine
limp	nandringa
lin	lin
line	tsipika
lineage	rohim-pirazanana
lineal	lineal
linear	Linear
linebacker	linebacker
lined	nilahatra
linen	rongony
liner	Liner
lines	tsipika
lineup	milahatra
linger	Mijanòna
lingerie	Lingerie
lingering	maharitra
lingo	lingo
lingual	lingual
linguini	linguini
linguist	momba ny teny
linguistic	fiteny
linguistics	Linguistics
lining	lining
link	rohy
linoleum	linoleum
lint	lint
lion	liona
lip	molotra
liposuction	liposuction
lipstick	lokomena
liquefaction	liquefaction
liquefied	ZARY RANO
liqueur	likera
liquid	ranon-javatra
liquidate	hivarotra
liquidation	fanafoanana
liquidator	liquidator
liquidity	liquidity
liquor	toaka
lira	NO TRANSLATION
lisp	lisp
list	lisitra
listen	mihaino
listener	mpihaino
listenting	NO TRANSLATION
listing	lisitra
listless	malemy
listneing	NO TRANSLATION
litany	nitanisa
liter	litatra
literacy	mamaky teny sy manoratra
literal	ara-bakiteny
literally	ara-bakiteny
literary	haisoratra
literature	boky sy gazety
lithe	lithe
lithium	Lithium
lithograph	lithograph
lithography	lithography
lithology	lithology
lithosphere	lithosphere
litigant	litigant
litigate	litigate
litigation	Litigation
litigator	litigator
litigious	litigious
litter	litter
little	kely
littlethings	zavatra madinidinika
littoral	Antananarivo
liturgy	litorzian'ny
live	velona
livelife	miaina fiainana
livelihood	fivelomana
lively	mavitrika
liven	liven
liver	aty
livery	fanamian'ny
livestock	biby fiompy
livid	Tezitra be mihitsy
living	velona
lizard	androngo
llama	llama
lml	lml
load	entana
loader	loader
loaf	mofo
loafer	loafer
loam	loam
loan	findramam-bola
loath	Halan'izy
loathe	Maharikoriko
loathful	loathful
loathing	tsinontsinona
loathsome	maharikoriko
lobby	fandraisana
lobbyist	lobbyist
lobe	ila
lobotomy	lobotomy
lobster	langosta
local	an-toerana
locale	locale
locality	asezare
localization	Localisation
localize	localize
localized	voafaritra
locate	toerana
location	toerana
locator	Anao Ireto:
loch	Loch
lock	hanidy
locker	fitoeran'entan'ny
locket	locket
locksmith	Locksmith
lockup	manidy
loco	loco
locomotion	locomotion
locomotive	loha masiny
locust	valala
lode	NO TRANSLATION
lodge	mitoetra mandritra ny alina
lodger	lodger
lodging	fatoriana
loft	efi
lofty	ambony
log	hiditra
logarithm	logarithm
logarithmic	logarithmic
logic	lojika
logical	lojika
logistics	fampitaovana
logo	famantarana
logotype	logotype
loin	NO TRANSLATION
lollipop	lollipop
lone	irery
loneliness	fahatsapana ho irery
lonely	manirery
loner	mitokantokana
lonesome	lonesome
long	ela
longboat	longboat
longevity	ho ela velona
longing	faniriana
longitude	-jarahasina
longitudinal	longitudinal
longitudinally	longitudinally
longtime	fotoana ela
loo	Loo
look	mijery
looker	looker
lookout	Tandremo
loom	toa olana
looming	mananontanona
loon	vorona
loony	loony
loop	manome fitoerana
loophole	fialan-tsiny ihany
loopy	loopy
loose	hamaha
loosen	hamaha
loosening	Alao
loot	zavatra babon'ny
lop	lop
lopsided	mitongilana
lord	Tompo
lords	andriana
lordship	ny manana fahefana,
lore	lore
lorry	lorry
lose	very
loser	lozera
losing	very
loss	very
lost	very
lot	betsaka
lotion	menaka fanosotra amin'ny hoditra
lots	antsapaka
lottery	loteria
lotto	Lotto
lotus	lota
loud	mafy
loudly	mafy
loudmouth	loudmouth
loudness	loudness
loudspeaker	fanamafisam-peo
lounge	fandraisam-bahiny
lounging	mitsilailay
louse	hao
lousy	lousy
lovable	mahatehotia
love	fitiavana
loved	tia
lovee	lovee
loveee	loveee
loveless	misy fitiavana
lovelife	NO TRANSLATION
loveliness	hatsaran-tarehiny
lovelovelove	NO TRANSLATION
lovely	lovely
lovemaking	lovemaking
lovemylife	NO TRANSLATION
lover	tia
lovesick	lovesick
lovethis	lovethis
loving	fitiavana
lovinglife	lovinglife
lovinlife	lovinlife
low	ambany
lowdown	lowdown
lower	ambany
lowering	fampidinana
lowest	ambany
lowlands	iva
lowlife	lowlife
lowly	ambany
lox	lox
loyal	tsy mivadika
loyalty	tsy fivadihana
lsd	LSD
luau	luau
lube	lube
lubricant	lubricant
lubricate	fikojakojana
lubrication	lubrication
lucid	nahiratra ny sainy,
luck	vintana
luckiest	luckiest
lucky	tsara vintana
luckygirl	tovovavy manam-bitana
lucrative	be karama
ludicrous	ludicrous
lug	Lug
luggage	entana
lukewarm	matimaty
lull	lull
lullaby	lullaby
lumbar	lumbar
lumber	hazo
lumbering	lumbering
lumberjack	lumberjack
luminescent	luminescent
luminous	mamiratra
lump	vongana
lumpy	lumpy
lunacy	lunacy
lunar	volana
lunatic	adala
lunch	sakafo atoandro
lunchbox	fonon-tsakafo
luncheon	luncheon
lunchtime	ora fisakafoana antoandro
lung	havokavoka
lunge	lunge
lungs	havokavoka
lurch	lurch
lure	Nahasarika
lurid	lurid
lurk	Miafina
lurking	mamitsaka
luscious	luscious
lush	maitso mavana
lust	filan'ny
luster	famirapiratany
lustful	nanana filan-dratsy
lustrous	mangirana
lusty	lusty
lute	valiha
luxuriant	maitso
luxurious	tarehy
luxury	lafo vidy
lycra	lycra
lye	lye
lying	ny lainga
lymph	atody
lymphatic	lymphatic
lymphoma	lymphoma
lynch	Lynch
lynching	lynching
lynx	sakadia
lyre	lokanga
lyric	Lyric
lyrical	tonon-
lyrics	tononkira
macadamia	makadamia
macarena	macarena
macaroni	macaroni
mace	Mace
mach	mạch
machete	antsibe
machine	milina
machinery	milina
machinist	milina
macho	macho
mackerel	maquereau
macro	macro
mad	very saina
madam	tompoko
madame	Madame
madden	Madden
madder	madder
mademoiselle	NO TRANSLATION
mademyday	mademyday
madhouse	madhouse
madman	adala
madness	fahaverezan-tsaina
maestro	Maestro
mafia	Mafia
magazine	gazety
mage	mage
magenta	magenta
maggot	olitra
magic	majika
magical	mahagaga
magician	ody
magistrate	mpitsara
magma	magma
magna	Magna
magnate	magnate
magnesium	magnésium
magnet	andriamby
magnetic	andriamby
magnetism	fanindrahindram
magnetite	magnetite
magnification	fampihebana
magnificence	fahamboniany
magnificent	mahatalanjona
magnifier	magnifier
magnify	milofo
magnifying	fanandratana
magnitude	maridrefy
magnolia	Magnolia
magpie	magpie
mahi mahi	NO TRANSLATION
mahjong	mahjong
mahogany	rotra
maid	mpiasa an-trano
maiden	tovovavy
mail	namany Sary
mailbox	mailbox
mailing	mailaka
mailman	mailman
maim	NO TRANSLATION
main	tena
mainframe	mainframe
mainland	tanibe
mainstay	iankinan'ny
mainstream	mahazatra
maintain	foana
maintenance	fikarakarana
majestic	malaza
majesty	voninahitra
major	lehibe
majority	maro an'isa
make	manao
makeover	Makeover
maker	mpanao
makeshift	vonjimaika
makesmehappy	NO TRANSLATION
makesmemad	NO TRANSLATION
makeup	manjamaso
makingdisciples	NO TRANSLATION
malady	aretina
malaise	malaise
malaria	tazo
malarkey	malarkey
male	lahy
malevolent	malevolent
malfeasance	malfeasance
malformation	malformation
malfunction	tsy fetezana
malice	NO TRANSLATION
malicious	ratsy toetra
malign	hanaratsy
malignancy	fivontosana
malignant	mamohehatra
maligned	haratsina
mall	mall
malleable	mora volavolaina
mallet	Mallet
malnutrition	tsy fahampian-tsakafo
malpractice	malpractice
malt	malt
mama	Mama
mambo	Mambo
mamma	NO TRANSLATION
mammal	biby mampinono
mammoth	goavana
mammy	mammy
man	olona
manage	mitantana
manageable	manageable
management	fitantanana
manager	mpitantana
managerial	pitantanana
mandamus	mandamus
mandarin	Anarana iombonana
mandate	fe-potoana
mandatory	maintsy
mandible	mandible
mandolin	Mandolin
mandrel	mandrel
mane	NO TRANSLATION
maneuver	manova ny toe-
maneuvering	mitantana
mange	NO TRANSLATION
manger	fihinanam-bilona
mangle	mangle
mango	manga
mangosteen	mangosteen
mangy	mangy
manhole	manhole
manhood	ny lehilahy
manhunt	fihazana olombelona
mania	Mania
maniac	maniac
maniacal	maniacal
manic	fivadibadihana adala ateraky
manicure	manicure
manicurist	manicurist
manifest	miseho
manifestation	fanehoana
manifested	naseho
manifestly	aseho
manifesto	Manifesto
manifold	samy hafa
manipulate	fitaovana
manipulation	fanodinkodinana
manipulative	mpandrokidroky
mankind	ny olombelona
manly	dehilahy
manna	mana
manned	nisian'ny
mannequin	mannequin
manner	fomba
mannered	mahalala fomba
manners	fahalalam-pomba
manor	Manor
manpower	zavatra hafa
mansion	trano izy
mansions	fitoerana
manslaughter	tsy nahy
mantel	mantel
mantis	mantis
mantle	lamba
mantra	Mantra
manual	boky fampianarana
manufacture	fanamboarana
manufacturer	mpanamboatra
manufacturing	orinasa mpamokatra entana
manure	zezika
manuscript	sora-tanana
map	sari-tany
maple	Maple
mar	Mar
marathon	hazakazaka lavitra ezaka
marble	marbra
marbled	marbled
marbles	marbres
march	ny diabe
mare	NO TRANSLATION
margarine	margarine
margarita	Margarita
margin	sisiny
marginal	sisim
mariachi	mariachi
marijuana	rongony
marinara	marinara
marine	an-dranomasina
mariner	tantsambo
marital	mpivady
maritime	maritime
mark	marika
marked	marika
marker	fanamarihana toerana
market	tsena
marketable	marketable
marketing	-barotra
marketplace	an-tsena
marks	marika
marksman	marksman
marksmanship	marksmanship
marl	Marl
marmalade	marmalade
maroon	Maroon
marooned	marooned
marquee	marquee
marquis	Marquis
marred	simba
marriage	fanambadiana
married	manambady
marrow	tsoka
marry	hanambady
marsh	Marsh
marshal	mpifehy
marshmallow	marshmallow
mart	tsenan'ny
martial	miaramila
martingale	martingale
martini	Martini
martyr	maritiora
martyrdom	maritiora
marvel	mahagaga
marvellous	mahatalanjona
marvelous	mahatalanjona
marvelously	mahagaga
marzipan	NO TRANSLATION
mascara	mascara
mascot	mascot
masculine	iombonana
masculinity	masculinity
mash	Masy
mashed	nopotsehina
mask	hanafina
masked	misaron-tava
masks	saron-tava
masochism	masochism
masochist	masochist
mason	Mason
masquerade	fihatsarambelatsihin'ny
mass	faobe
massacre	fandripahana
massage	fanorana
masses	vahoaka
masseur	mpanotra
masseuse	masseuse
massive	goavana
mast	andry tokana
master	tompony
masterful	fahaizany
mastermind	atidoha
masterpiece	sanganasa
mastery	fehezina
masturbate	masturbate
masturbation	filahiana
mat	tsihy
matador	Matador
match	lalao
matchbook	matchbook
matching	mifandraika
matchmaker	matchmaker
mate	vady
material	ara-nofo
materialism	ny fitiavan-karena
materialist	zavatra ara-nofo
materialistic	zavatra ara-nofo
materiality	materiality
materialize	vatan'olombelona
materially	ara-nofo
materials	akora
materiel	MATERIEL
maternal	reny
maternity	fiterahana
math	matematika
mathematical	matematika
mathematician	mpahay matematika
mathematics	Matematika
matinee	Matinée
mating	manao firaisana
matriculation	matriculation
matrimony	fanambadiana
matrix	teraka
matron	mpiasa azy
