Word	uz
motorboat	motorli qayiq
motorcade	avtomobil kassasi
motorcar	avtomobil
motorcycle	mototsikl
motorist	avtomobilchi
motte	motte
mottled	mall
motto	shior
mould	qolib
mound	höyük
mount	o'rnatish
mountain	tog
mountaineer	alpinist
mountainous	tog'li
mountains	tog'lar
mountaintop	tog 'tizmasi
mourn	qichqiraman
mournful	mamnunman
mourning	motam
mouse	sichqoncha
mousetrap	mozaika
mousse	mousse
moustache	mo'ylov
mousy	mousy
mouth	og'iz
mouthful	og'iz
mouthpiece	og'iz qismi
mouthwash	og'izni yuvish
movable	harakatlanuvchi
move	harakatlaning
movement	harakati
mover	harakatlanuvchi
movie	film
movies	filmlar
moving	harakatlanmoqda
movingforward	NO TRANSLATION
movingon	davom etmoq
mow	eyishga
mower	o'roq mashinasi
moxie	moxie
mozzarella	mozzarella
mri	mri
muchneeded	NO TRANSLATION
mucis	NO TRANSLATION
muck	muck
mucked	mucked
mucous	shilliq
mucus	mushuk
mud	loy
muddle	zo'ravonlik
muddled	xiralashgan
muddy	loyqa
muff	muftalar
muffin	muffin
muffled	muffled
muffler	susturucu
mug	kupa
mugger	mugger
mulberry	tut
mulch	mulch
mule	xachir
mull	mull
mullet	kefal
multilateral	ko'p tomonlama
multimedia	multimediya
multinational	ko'pmillatli
multiple	ko'p marta
multiple sclerosis	Multipl skleroz
multiplex	multipleks
multiplication	ko'paytirish
multiplicity	ko'plik
multiplied	ko'paytirildi
multiplier	ko'paytiruvchi
multiply	ko'paytiring
multitude	ko'plik
mum	onam
mumble	marmar
mumbo	mumbo
mummy	mumiya
mumps	kabutarlar
munch	munch
munchies	munchies
munchkin	munchkin
mundane	dunyoviy
municipal	shahar
municipality	shahar
mural	mural
murder	qotillik
murderer	qotil
murderess	qotillik
murderous	qotillik
murky	murakkab
murmur	shivirladi
muscle	muskul
muscular	mushaklar
muse	muzey
muses	Musiqalar
museum	muzey
mush	NO TRANSLATION
mushroom	qo'ziqorin
mushy	mushy
music	musiqa
musical	musiqa
musician	musiqachi
musing	Musiqalar
musk	mushk
musket	mushak
musketeer	musketchi
muskrat	muskrat
muslin	muslin
muss	NO TRANSLATION
must	bo'lishi kerak
mustang	mustang
mustard	xantal
muster	sheriklar
musty	chiriyotgan
mutable	o'zgarishi mumkin
mutant	mutant
mutate	mutatsiyaga uchragan
mutation	mutatsiyaga uchragan
mute	ovozsiz
muted	o'chdi
mutilate	buzish
mutilated	shikastlangan
mutilation	soqchilik
mutiny	itoatsizlik
mutt	mutt
mutter	NO TRANSLATION
mutton	qo'y qo'y
mutual	o'zaro
mutually	o'zaro
muzzle	og'iz
myfavorite	mening sevimli
myopia	miyopi
myopic	miyopik
myriad	minglab odamlar
mysterious	sirli
mystery	sir
mystic	sirli
mystical	sirli
mysticism	tasavvuf
mystified	mystified
mystique	sirli
myth	afsona
mythic	mif
mythical	afsonaviy
mythological	mifologik
mythology	mifologiya
nab	nab
nacho	nacho
nada	NO TRANSLATION
nadir	nodir
nag	NO TRANSLATION
nail	mix
nail gun	nayza quroli
naive	sodda
naked	yalang'och
nakedness	yalang'ochlik
namaste	NO TRANSLATION
name	nomi
named	nomlangan
nameless	noma'lum
namesake	noma'lum
naming	nomlash
nana	nana
nanny	Dadam
nanometer	nanometr
nap	nap
napalm	napalm
nape	nape
napkin	peçete
napping	napping
nappy	nappy
narcissism	naritsizm
narcissist	Narsist
narcissistic	narzisistik
narcotic	giyohvandlik
narrate	rivoyat qilish
narration	tushuntirish
narrative	hikoya
narrator	so'zlovchi
narrow	tor
narrowing	torayish
nasal	nazal
nascent	yangi tug'ilgan
nasty	yomon
natal	tug'ilgan
nation	millat
national	milliy
nationality	fuqarolik
nationwide	mamlakat bo'ylab
native	mahalliy
nativity	tug'ilish
natural	tabiiy
natural gas	tabiiy gaz
naturalist	tabiatshunos
naturalization	naturalizatsiya
naturalized	naturalizatsiya qilingan
naturally	tabiiy ravishda
nature	tabiat
naught	yo'q
naughty	yaramaydi
nausea	ko'ngil aynish
nauseate	nafas olish
nauseating	ko'ngil aynish
nauseous	moxovlik
nautical	dengizchilik
nautilus	nautilus
naval	dengiz
nave	nave
navel	navel
navigable	navigatsiya qilinadi
navigate	navigatsiya qiling
navigation	navigatsiya
navigational	navigatsiya
navigator	navigator
navy	dengiz floti
nay	NO TRANSLATION
nearsighted	yaqinlashib qolgan
neat	pokiza
neatly	nozik tarzda
nebula	tumanlik
nebulae	bulutsu
nebulous	nebulous
necessarily	majburiy ravishda
necessary	kerak
necessitate	kerak
necessities	ehtiyojlar
necessity	majburiyat
neck	bo'yin
necklace	marjonlarni
necktie	kiyinish
necromancer	mohir ayol
necrosis	nekroz
nectar	nektar
need	kerak
needalife	NO TRANSLATION
needed	kerak edi
needful	kerak
needit	NO TRANSLATION
needle	igna
needlepoint	igna nuqtasi
needles	ignalar
needless	keraksiz
needtoknow	bilish kerak
needtorelax	NO TRANSLATION
needy	muhtoj
nefarious	buzuq
negation	inkor qilish
negative	salbiy
negativity	negativlik
neglect	beparvolik
neglected	e'tiborsiz qolgan
neglecting	e'tibor bermaslik
negligee	negligee
negligence	beparvolik
negligent	beparvolik
negligently	NO TRANSLATION
negligible	ahamiyatsiz
negotiable	muhokama qilinadi
negotiate	muhokama qilish
negotiation	muzokaralar
negotiator	muzokarachi
negro	negro
neigh	qo'shni
neighbor	qo'shni
neighborhood	Turar joy dahasi
neighboring	qo'shni
nemesis	nemesis
neon	neon
neonatal	neonatal
neophyte	neofit
neoprene	neopren
nephew	jiyani
nepotism	nepotizm
nerd	nerd
nerdy	nerdy
nerve	asab
nerves	nervlar
nervous	asabli
nervousness	asabiylashish
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	ness
nest	uy
nestle	nestle
nestling	yugurish
net	aniq
nether	o'shanda
netting	tarmoqli
nettle	qichitqi o'ti
network	tarmoq
networking	tarmoqqa ulanish
neural	neyron
neuralgia	nevralgiya
neurological	Nevrologik
neurologist	nevrolog
neurology	nevrologiya
neurosis	nevrozi
neurosurgeon	neyrozirjir
neurosurgery	neyroxirurgiya
neurotic	nevroz
neuter	zarb
neutral	neytral
neutrality	betaraflik
neutralize	neytrallash
neutron	neytron
new	yangi
new age	yangi yosh
newbeginnings	NO TRANSLATION
newborn	yangi tug'ilgan chaqaloq
newcomer	yangi kelgan
newday	yangi kun
newfound	yangi ochilgan
newjob	NO TRANSLATION
newlife	Yangi hayot
newly	Yangi
newlywed	yangi tug'ilganlar
newme	yangiliklar
newness	yangilik
news	Yangiliklar
newscast	axborot tarqatish
newscaster	axborot vositasi
newsflash	yangilik
newsletter	axborot byulleteni
newsman	xabarchi
newspaper	gazeta
newspaperman	gazetachi
newsreel	teleko'rsatuv
newsroom	Yangiliklar xonasida
newsstand	gazetada
newstart	yangi boshlang'ich
newt	yangi
newyear	NO TRANSLATION
nexus	nexus
nib	nib
nibble	nibble
nice	yaxshi
niche	joy
nichts	NO TRANSLATION
nick	nick
nickel	nikel
nickname	taxallus
nicotine	nikotin
niece	jiyani
nifty	uyqusiz
nigger	nigger
nigh	yaqin
night	kecha
nightcap	choyshab
nightclub	Tungi klub
nightfall	kechasi
nightgown	kechki ovqat
nightie	kecha
nightingale	bulbul
nightlife	kecha hayoti
nightly	kechalari
nightmare	kobus
nightmares	qorong'ulik
nightstand	shkafi
nightstick	kechqurun
nighttime	kecha
nihilism	nihilizm
nil	nil
nimble	tezkor
nimrod	nimrod
nincompoop	nincompoop
nine	to'qqiz
nineteen	o'n to'qqiz kishi
ninety	to'qson
ninja	ninja
ninny	to'qqiz
nintendo	nintendo
ninth	to'qqizinchi
nip	nip
nipper	nipper
nipple	ko'krak qafasi
nippy	nippy
nitrate	nitrat
nitro	nitro
nitrogen	azot
nitrous	azotli
nitwit	nitwit
nix	nix
no anticipation	kutish emas
no disgust	jirkanish yo'q
no emotion	his-tuyg'ular yo'q
no sentiment	his-tuyg'ular yo'q
no surprise	ajablantirmaydi
no trust	ishonch yo'q
nobility	zodagonlar
noble	oliyjanob
nobleman	zodagon
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	tungi
nod	nod
nodding	bosh qotirmoqda
node	tugunni tanlang
nodular	nodular
nodule	nodül
noggin	noggin
nohope	NO TRANSLATION
noir	noir
noise	shovqin
noisy	shovqinli
nomad	nomod
nomadic	ko'chmanchi
nomenclature	nomenklatura
nominal	nominal
nominate	nomzod ko'rsatish
nomination	nomzodlik
nominee	nomzod
nonce	nonce
nonchalant	nochalant
noncompliance	mos kelmaslik
nondescript	nondescript
nonexistent	mavjud emas
nonfat	nonfat
nonfiction	nofiction
nonpayment	to'lovsiz
nonresident	rezident bo'lmagan shaxs
nonsense	bema'nilik
nonsensical	nonsensical
nonviolent	zo'ravonliksiz
noob	chalasavod
noodle	noodle
nook	nook
noon	kunduzi
noose	nooz emas
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	norma
normal	normal
normalcy	normallik
normality	odatiylik
north	shimolga
northbound	shimolga
northeast	Shim
northern	Shimoliy
northwest	shimoli g'arbiy
northwestern	shimoli-g'arbda
noschool	NO TRANSLATION
nose	burun
nosebleed	burun bo'shlig'i
nosey	qiziquvchan
nosnow	nosnow
nostalgia	nostalji
nostalgic	nostaljik
nostress	NO TRANSLATION
nostril	burun teshigi
nosun	NO TRANSLATION
nosy	qiziquvchan
not negative	salbiy emas
not positive	ijobiy emas
notable	e'tiborga sazovor
notables	e'tiborlidir
notably	ayniqsa
notamorningperson	NO TRANSLATION
notary	notarius
notation	belgilar
notch	notch
notched	chig aning
note	Eslatma
notebook	notebook
noted	qayd etdi
noteworthy	e'tiborga sazovor
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	hech narsa yo'q
notice	ogohlantirish
noticeable	sezilarli
notification	xabarnoma
notify	xabar berish
notion	tushuncha
notional	ixtiyoriy
notoriety	mashhurlik
notorious	taniqli
notready	tayyormas
notwithstanding	Shunga qaramay,
nought	yo'q
noun	ism
nourish	oziqlantirish
nourishment	ovqatlanish
nouveau	NO TRANSLATION
novel	roman
novelist	roman muallifi
novelty	yangilik
novice	Ajam
nowadays	shu kunlarda
nowork	ish yo'q
noworries	hech qisi yo'q; tashvishga o'rin yo'q
noxious	zararli
nozzle	nozul
nuance	nuance
nuances	nuances
nuclear	yadroviy
nucleus	yadrosi
nude	yalang'och
nudge	yaltiroq
nudie	nudie
nudist	nudist
nudity	yalang'ochlik
nugget	nugget
nuisance	noqulaylik
nuke	nuke
nul	NO TRANSLATION
null	null
nullify	bekor qiladi
numb	uyqusizlik
number	raqami
numbering	raqamlash
numbers	raqamlar
numbness	uyqusizlik
numbskull	sonlar
numeral	raqam
numerator	numerator
numerical	raqamli
numerically	soni
numerous	ko'pchilik
nun	NO TRANSLATION
nunchucks	nunchucks
nunnery	nunnery
nuptials	nikohlar
nurse	hamshira
nursemaid	xizmatchi
nursery	bolalar bog'chasi
nursing	emizish
nurture	tarbiyalash
nut	yong'oq
nutcase	nutcase
nutcracker	qushqo'mrancha
nuthouse	nuthouse
nutmeg	yong'oq
nutrition	oziqlanish
nutritional	oziqlanish
nutritious	to'yimli
nutritive	oziqlantiruvchi
nuts	yong'oqlar
nutshell	qisqacha
nutty	nutty
nylon	neylon
nylong	NO TRANSLATION
nylons	neylon
nymph	nimaga
nymphomaniac	nymphomaniac
oaf	oaf
oak	eman
oar	oar
oasis	vohasi
oat	yulaf
oath	qasam
oatmeal	jo'xori
obedience	itoatkorlik
obedient	itoatkor
obediently	itoatkorlik bilan
obelisk	obelisk
obese	obez
obesity	semizlik
obey	itoat qiling
obi	obi
obit	obit
obituary	obituary
object	ob'ekt
objection	e'tiroz
objectionable	e'tiroz
objective	maqsadi
objectivity	ob'ektivlik
obligation	majburiyat
obligatory	majburiy
oblige	majburiyat
obliged	majbur
obliging	majburiyat
obligor	qarzdor
oblique	qiyshiq
obliterate	yo'q qilish
obliterated	yo'qolgan
obliteration	obliteratsiya
oblivion	oblivion
oblivious	unutilmas
oblong	uzunligi
obnoxious	jirkanch
oboe	oboe
obscene	odobsiz
obscenity	odobsizlik
obscure	qorong'i
obscured	yashirinib qolgan
obscurity	noaniqlik
observance	rioya qilish
observant	kuzatuvchi
observation	kuzatuv
observatory	rasadxona
observe	kuzating
observer	kuzatuvchi
observing	kuzatish
obsess	obsess
obsessed	obsesif
obsessing	takrorlash
obsession	ta'qib qilish
obsessive	obsesif
obsolescence	eskime
obsolete	eskirgan
obstacle	to'siq
obstetrician	akusher ayol
obstetrics	akusherlik
obstinate	itoatsiz
obstruct	to'siq qo'yish
obstruction	yo'lni to'sish
obstructive	obstruktiv
obtain	olish
obtainable	olish mumkin
obtuse	obtuse
obverse	oldida
obvious	aniq
ocarina	ocarina
occasion	Voqealar
occasional	vaqti-vaqti bilan
occasionally	vaqti-vaqti bilan
occipital	Oksipital
occlusion	oklüzyon
occult	yashirincha
occupancy	bo'sh joy
occupant	odam
occupation	ishg'ol
occupational	kasb-hunar
occupied	ishg'ol qilindi
occupier	ishg'ol qilgan
occupy	ishg'ol qilish
occupying	ishg'ol qilish
occur	paydo bo'ladi
occurrence	paydo bo'lishi
ocd	ocd
ocean	okean
oceanic	okeanik
octagon	sekundiga teng
octave	oktav
octopus	sakkizoyoq
ocular	ko'zlar
odd	g'alati
oddball	oddball
oddity	g'alati
odds	bahslar
ode	Ode
odious	g'azablangan
odometer	odometr
odor	hid
odyssey	odyssey
oedipal	otipal
oestrogen	ostrogen
oeuvre	NO TRANSLATION
offal	yopiq
offence	huquqbuzarlik
offend	xafa qilish
offended	xafa edi
offender	jinoyatchi
offense	huquqbuzarlik
offensive	tajovuzkor
offer	taklif
offered	taklif qildi
offering	taklif qilish
offhand	tashqarida
office	idora
officer	ofitser
offices	ofislari
official	rasmiy
officiate	amaldor
offing	o'chirish
offload	o'chirish
offset	ofset
offshoot	yarim himoyachi
offshore	offshor
offside	ofsayd
offspring	avlodlari
oft	oft
oftentimes	ko'pincha
ogre	ogre
ohdear	NO TRANSLATION
ohgod	NO TRANSLATION
ohno	Oh yo'q
ohshit	NO TRANSLATION
oil	yog '
oils	yog'lar
oily	yog'li
oink	okin
ointment	malham
okra	okra
old	qari
olden	Oldin
older	katta
oldie	Oldie
oldies	Oldies
olfactory	olfaktor
oligarchy	oligarxiya
olive	zaytun mevalari
omega	omega
omelet	omlet
omen	omen
omgomgomg	NO TRANSLATION
ominous	yomon narsa
omission	xatolik
omit	tashlamang
omitted	qoldirilgan
omnibus	hamma joyda
omnipotence	qodirlik
omnipotent	qudratli
omnipresent	hamma joyda
omniscient	omniscient
onboard	bortda
oncologist	onkolog
oncology	onkologiya
oncoming	kelgusi
one	biri
oneday	NO TRANSLATION
onedge	Qabul qilingan
onelove	bir muhabbat
oneness	Birlik
onerous	og'ir
oneself	o'z-o'zidan
ongoing	davom etayotgan
onion	piyoz
onset	boshlanishi
onslaught	hujum
onstage	sahnada
ontology	ontologiya
onus	ons
onward	oldinga
onyx	oniks
oodles	oodles
oomph	oomph
ooze	ooze
oozing	oozing
op	op
opacity	shaffoflik
opal	opal
opaque	shaffof emas
ope	ope
open	ochiq
opener	ochuvchi
opening	ochilish
openly	ochiq
openness	oshkoralik
opera	opera
operate	ishlaydi
operatic	operativ
operation	ishlatish
operational	operatsion
operations	operatsiyalar
operative	operativ
operator	operator
ophthalmic	oftalmik
ophthalmologist	oftalmolog
opiate	opiat
opinion	fikr
opinionated	fikrlashadi
opium	afyun
opponent	raqib
opportune	o'z vaqtida
opportunism	opportunizm
opportunity	imkoniyat
oppose	qarshi turish
opposed	qarshi chiqdi
opposing	qarshi
opposite	qarshi
opposites	qarshi
opposition	muxolifat
oppress	zulm qilish
oppressed	bosilgan
oppression	zo'ravonlik
oppressive	zolim
oppressor	zolim
ops	ops
opt	afzal
optic	optik
optical	optik
optics	optika
optimism	optimizm
optimist	optimist
optimistic	optimistik
optimum	tegmaslik
option	variantni tanlang
optional	ixtiyoriy
optionally	ixtiyoriy ravishda
options	imkoniyatlari
optometrist	optometrist
opulence	boylik
opulent	zakovatli
opus	opus
oracle	Oracle
oral	og'zaki
orange	apelsin
orange juice	apelsin sharbati
orangutan	orangutan
oration	Oraliq
orator	xodimi
oratory	ma'ruza
orb	orb
orbit	orbita
orbital	orbital
orbiting	orbiting
orbs	orbs
orc	ork
orchard	bog'i
orchestra	orkestr
orchid	orkide
ordained	belgilangan
ordeal	sinov
order	buyurtma
orderly	tartib bilan
ordinance	qaror
ordinary	oddiy
ordination	tartibga solish
ordnance	soqchilik
ore	javhari
oregano	oregano
organ	organ
organic	organik
organism	organizm
organist	organist
organization	tashkilot
organize	tashkil qilish
organized	tashkil etildi
organizer	tashkilotchilari
orgasm	orgazm
orgies	orgiyalar
orgy	orgy
orient	yo'nalish
oriental	oryantal
orientation	orientatsiya
orifice	orifis
origami	origami
origin	kelib chiqishi
original	original
originality	originallik
originate	kelib chiqadi
origination	kelib chiqishi
originator	muallifi
ornament	bezak
ornamental	bezak
ornamentation	bezak berish
ornamented	ornamented
ornate	xushbichim
ornery	ornery
orphan	etim
orphanage	etimxonalar
orphaned	etim qoldi
orthodontist	Ortodont
orthodox	pravoslav
orthodoxy	Ortodoxlik
orthogonal	ortogonal
orthopedic	ortopediya
oscillate	salqin
oscillating	salqin
oscillation	salınım
oscillatory	salınımlı
ostensible	ko'rinishi mumkin
ostensibly	ko'rinadi
ostentatious	ifodali
ostracized	ostracized
ostrich	tuyaqush
other	boshqa
otter	otter
otto	otto
ottoman	ottoman
ought	kerak
ounce	ons
oust	o'chirish
outage	uzilish
outback	orqaga qaytish
outbid	noqulay
outboard	tashqi tomondan
outbreak	epidemiya
outburst	portlash
outcast	tashqarida
outcome	natijasi
outcry	hayqiriq
outdated	eskirgan
outdo	tashqarida
outdoor	ochiq joy
outdoors	ochiq havoda
outer	tashqi
outfit	kiyim-kechak
outgoing	chiquvchi
outgrow	o'sishi
outgrowth	rivojlanish
outhouse	tashqarida
outing	sayohat qilish
outlandish	g'ayrioddiy
outlast	ortiqcha
outlaw	qonunsiz
outlet	chiqishi
outline	tasavvur qiling
outlines	belgilaydi
outlive	uzoq muddatli
outlook	versiya
outlying	tashqarida
outnumber	juda ko'p
outpatient	poliklinika
outpost	tashqarida
outpouring	chiqindi
output	chiqdi
outrage	g'azablanish
outraged	g'azablangan
outrageous	shafqatsiz
outrank	ortiqcha
outreach	tashviqot
outright	to'g'ridan-to'g'ri
outrun	tashqariga chiqish
outset	boshlanishi
outsider	begona
outskirts	chetlari
outsmart	outsmart
outspoken	ochiq-oydin
outstanding	ajoyib
outstretched	uzaygan
outward	tashqaridan
outwards	tashqaridan
outweigh	og'irlashadi
outwit	tajovuzkor
oval	tuxumsimon
ovary	tuxumdon
ovate	ovlash
ovation	ovatsiya qilish
oven	o'choq
overactive	haddan tashqari faol
overall	umumiy
overalls	maxsus kiyimlar
overbearing	ortiqcha
overburden	oshqozon
overcast	bulutli
overcharged	haddan tashqari to'langan
overcoat	pardoz
overcome	engish
overcoming	engib o'tish
overcrowded	olomon
overdo	ortiqcha
overdose	haddan tashqari doz
overdrive	overdrive
overdue	muddati o'tgan
overestimate	ortiqcha
overestimated	haddan ziyod ko'p
overflow	toshqin
overflowing	toshqin
overgrown	o'sgan
overgrowth	o'sishi
overhanging	ortiqcha
overhaul	ta'mirlash
overhead	yuk tashish
overhear	eshitish
overheated	qizib ketgan
overjoyed	mamnuniyat bilan
overkill	overkill
overlaid	qoplangan
overlap	qoplama
overlapping	o'zaro to'qnashuv
overlay	qoplama
overload	ortiqcha yuk
overlook	e'tibor bermaslik
overlord	ortiqcha
overlying	ustidagi
overpaid	ortiqcha to'langan
overpass	yuqori o'tish joyi
overplayed	haddan oshib ketgan
overpower	mag'lubiyat
overpowering	mag'lubiyatga uchradi
overpriced	overpriced
overprotective	haddan tashqari himoyasiz
overrated	overrated
overreact	haddan tashqari ta'sir
override	bekor qilish
overriding	bekor qilish
overrule	voz kechish
overrun	o'chirish
oversee	nazorat qiladi
overseer	nazoratchi
overshadow	ko'lga tushadi
oversight	nazorat qilish
oversized	katta o'lchamda
overslept	ortiqcha
overstate	haddan tashqari ko'p
overstock	ortiqcha oro bermay
overt	ochiq
overtake	o'tish
overtaken	erishildi
overthemoon	NO TRANSLATION
overthinker	takroran
overthinking	haddan ziyod ko'p o'ylamoq
overthrow	ag'darish
overtime	vaqt o'tgan sari
overtired	oshiqib ketdi
overture	qarama-qarshilik
overturn	devir
overview	umumiy nuqtai
overweight	ortiqcha vazn
overwhelm	g'azablangan
overwhelmed	g'azablangan
overwhelming	ezici
overworked	haddan tashqari ishlangan
overwrought	bosib olingan
overzealous	haddan ortiq
owe	qarzdor
owing	qarzdorlik
owl	boyo'g'li
owner	egasi
ownership	mulkchilik
ox	o'qlar
oxidation	Oksidlanish
oxide	oksidi
oxygen	kisloroddan iborat
oxymoron	oxymoron
oyster	ustritsa
ozone	ozon
pace	tezligi
pacemaker	yurak stimulyatori
pacific	tinch
pacified	tinchlantirildi
pacifier	emzik
pacifist	patsifist
pacify	tinchlantirish
pacing	pacing
pack	to'plami
package	to'plami
packaging	qadoqlash
packer	Packer
packet	paket
pact	bitim
pad	pad
padded	padded
padding	to'ldirish
paddle	paddle
paddle boat	paddle qayiq
paddock	padoks
paddy	paddy
padlock	qulf
padre	NO TRANSLATION
paean	bola
pagan	butparastlar
paganism	butparastlik
page	sahifa
pageant	tanlov
pager	pager
pagination	paginatsiya
paging	paging
pagoda	pagoda
pail	dumaloq
pain	og'riq
pained	og'riqli
painful	alamli
painfully	og'riqli tarzda
painkiller	og'riq qoldiruvchi
painless	og'riqsiz
pains	og'riqlari
painstaking	chidamli
paint	bo'yamoq
paintball	paintball
paintbrush	bo'yoqchalar
painted	bo'yalgan
painter	rassom
painting	rasm
pair	juftlik
paisley	paisley
pajama	pijama
pajamas	pijama
pal	pal
palace	saroyi
palatable	mazali
palate	tomga
pale	rangsiz
paleontology	paleontologiya
palette	palletlar
pall	pall
palladium	paladyum
pallet	sxemasidan
palliative	palyatif
palm	kaft
palmer	palmer
palomino	palomino
palpable	seziladi
palpitations	ko'payish
palsy	palsi
paltry	paltry
pamper	sharmanda qilish
pamphlet	broshyura
pan	pan
panacea	panacea
panache	shovqin
pancake	ko'zoynagi
pancakes	pankek
pancreas	oshqozon osti bezi
panda	panda
pandemic	pandemiya
pandemonium	pandemonium
pane	paneli
panel	paneli
pang	NO TRANSLATION
panhandle	panhandle
panic	vahima
panicattack	NO TRANSLATION
panicked	paniklangan
panicking	panicking
panicky	xavotirli
panier	NO TRANSLATION
panorama	panorama
panoramic	panoramik
pansy	pansy
pant	pantolon
pantheon	panteon
panther	panter
panties	panties
pantomime	pantomime
pantry	kiler
pants	shim
panty	panty
pantyhose	külotlu çoraplar
pap	papa
papa	papa
papacy	papa hokimiyati
papal	NO TRANSLATION
papaya	Papaya
paper	qog'oz
paperback	qog'ozli qog'oz
paperboy	qog'ozboshi
paperweight	qog'ozli vaznli
paperwork	hujjat ishi
paprika	qalampir
papyrus	papirus
par	NO TRANSLATION
parable	masal
parabola	parabola
parabolic	parabolik
parachute	parashyut
parade	parad
paradigm	paradigma
paradise	jannat
paradox	paradoks
paradoxical	paradoksal
paraffin	parafin
paragon	paragon
paragraph	paragraf
parakeet	parakeet
paralegal	paralegal
parallax	paralaks
parallel	parallel
parallelism	parallelizm
paralysis	falaj
paralyze	paralize qilish
paralyzed	falajlangan
paramedic	paramedik
paramedics	paramediklar
paramilitary	paramilitary
paramount	katta ahamiyatga ega
paranoia	paranoya
paranoid	paranoid
paranormal	paranormal
parapet	parapet
paraphernalia	paraphernalia
paraphrase	parafrazalash
paraplegic	paraplegic
parasite	parazit
parasitic	parazit
parasol	parasol
parcel	Uydagi hamma qavatlar
parcels	posilkalar
parched	qovurilgan
parchment	pergament
pardon	afv etish
pare	NO TRANSLATION
parenchyma	parenxima
parent	ota-ona
parentage	ota-ona
parental	ota-ona
parenthesis	NO TRANSLATION
parenthetical	parantezli
parenthood	ota-onalar
parenting	ota-ona
pariah	pariah
parietal	parietal
paring	parish
parish	parish
parity	tenglik
park	park
parka	parka
parking	otopark
parkinsons	parkinsonlar
parlance	parlance
parlay	parlay
parliament	parlament
parliamentary	parlament
parlor	zal
parmesan	parmesan
parody	parodiya
parole	shartli jazo
parquet	parket
parrot	to'tiqush
parry	parry
parse	ajralish
parsimonious	parsimonious
parsimony	noqulaylik
parsley	maydanoz
parson	parson
part	qism
partake	ishtirok etish
partial	qisman
partiality	tarafdorlik
partially	qisman
participant	ishtirokchi
participate	ishtirok etish
participation	ishtirok etish
particle	zarracha
particular	ayniqsa,
particularity	xususiyatlari
particulars	xususiyatlari
parting	ajratish
partisan	partizan
partisanship	partizanlik
partition	bo'linish
partly	qisman
partner	hamkori
partnership	hamkorlik
partridge	kekik
parts	ehtiyot qismlar
party	partiyasi
pas	NO TRANSLATION
pass	o'tish
passable	passiv
passage	o'tish
passageway	o'tish joyi
passe	NO TRANSLATION
passenger	yo'lovchi
passim	NO TRANSLATION
passing	o'tish
passion	ehtiros
passionate	ehtirosli
passive	passiv
passivity	passivlik
passkey	parol
passport	pasport
password	parol
past	o'tgan
pasta	makaron
paste	joylashtirish
pastel	pastel
pastime	dam olish
pastor	Pastor
pastrami	pastroqqa
pastry	xamir ovqati
pasture	yaylov
pasty	pirojnoe
pat	pat
patch	patch
patchwork	patchwork
pate	pate
patella	patella
patent	Patent
patented	patentlangan
paternal	otasi
paternity	Ota
path	yo'l
pathetic	achinarli
pathological	patologik
pathologist	patolog
pathology	patologiya
pathos	NO TRANSLATION
pathway	yo'l
patience	sabr
patient	bemor
patio	hovli
patriarch	patriarx
patriarchal	patriarxal
patrimony	meros
patriot	vatansever
patriotic	vatanparvarlik
patriotism	vatanparvarlik
patrol	patrul qilish
patrolman	patrulman
patron	xo'jayin
patronage	homiylik
patronising	homiylik
patronize	homiylik qilish
patronizing	homiylik
patter	patter
pattern	namuna
paucity	kamligi
pauper	pauper
pause	to'xtatib turish
pave	ochish
pavement	yulka
pavilion	pavilion
paving	slaydni yopish
paw	panjasi
pawn	piyon
pawnshop	lombard
pax	kishilar
pay	to'lash
payable	to'lanishi mumkin
payback	qayta to'lov
paycheck	ish haqi
payday	payday
payer	to'lovchi
payload	foydali yuk
payment	to'lov
payoff	to `lamoq
payout	to'lov
payphone	telefon
payroll	ish haqi
pea	no'xat
peace	tinchlik
peaceable	tinchlik
peaceful	tinch
peacefully	tinchlik bilan
peacekeeper	tinchlikparvar
peaceofmind	NO TRANSLATION
peacetime	tinchlik davrida
peach	shaftoli
peachy	shaftoli
peacock	tovus
peak	tepalik
peaked	tepada
peanut	yeryong'oq
peanuts	yerfıstığı
pear	nok
pearl	dur
pearly	marvarid
peas	no'xat
peasant	dehqon
peat	hijob
pebble	chigirtkalar
pecan	pecan
peck	pek
pecker	pecker
peculiar	o'ziga xos
peculiarities	xususiyatlari
peculiarity	o'ziga xoslik
peculiarly	o'zgacha
pecuniary	pul
pedal	o'tdim
pedantic	pedantik
peddle	Peddle
peddler	sotuvchi
pedestal	poydevor
pedestrian	piyoda
pediatric	pediatrik
pediatrician	pediatr
pediatrics	pediatriya
pedicure	pedikür
pedigree	nasl-nasab
pedometer	pedometr
pedophile	pedofil
pee	ishlating
peek	peek
peekaboo	peekaboo
peel	qobig'i
peep	chuqurroq
peeper	peeper
peephole	teshik
peer	tengdosh
peering	peering
peerless	tengsiz
peeved	ishqibozlar
peg	peg
pegs	qoziqlar
peice	NO TRANSLATION
pelagic	pelagik
pelican	pelikan
pellet	pelet
pelvic	pelvis
pelvis	tosda
pen	qalam
penal	penalti
penalty	jazo
penance	tavba qilish
penchant	chiroyli
