Word	sr
marred	оштетили
marriage	брак
married	ожењен
marrow	срж
marry	оженити се
marsh	марсх
marshal	маршал
marshmallow	марсхмаллов
mart	март
martial	мартиал
martingale	мартингале
martini	мартини
martyr	мученик
martyrdom	мартирдом
marvel	марвел
marvellous	дивно
marvelous	дивно
marvelously	чудесно
marzipan	NO TRANSLATION
mascara	маскаре
mascot	маскота
masculine	мужјак
masculinity	мужевност
mash	каша
mashed	пире
mask	маска
masked	маскиран
masks	маске
masochism	масокизам
masochist	масоцхист
mason	масон
masquerade	маскарада
mass	маса
massacre	масакр
massage	масажа
masses	масе
masseur	масер
masseuse	масер
massive	масивни
mast	јарбол
master	мајстор
masterful	мајстор
mastermind	мастерминд
masterpiece	ремек-дело
mastery	мајсторство
masturbate	мастурбирати
masturbation	мастурбација
mat	мат
matador	матадор
match	утакмица
matchbook	Матцхбоок
matching	подударање
matchmaker	Матцхмакер
mate	пријатељ
material	материјал
materialism	материјализам
materialist	материјалиста
materialistic	материјалистички
materiality	материјалност
materialize	материјализовати
materially	материјално
materials	материјали
materiel	материјал
maternal	мајка
maternity	материнство
math	математика
mathematical	математички
mathematician	математичар
mathematics	математика
matinee	матинее
mating	парење
matriculation	матрицулатион
matrimony	брак
matrix	матрица
matron	Матрон
matted	маттед
matter	материја
matting	маттинг
mattress	душек
maturation	зрелост
mature	зрео
maturity	зрелост
maudlin	маудлин
mausoleum	маузолеј
mauve	мауве
maverick	маверицк
maxim	маким
maximize	максимизирај
maximum	максимум
may	може
mayday	Први мај
mayflower	маифловер
mayhem	Злочин
mayonnaise	мајонез
mayor	градоначелник
maze	лабиринт
mead	меад
meadow	ливада
meager	скромно
meal	оброк
mean	значити
meander	меандер
meandering	меандеринг
meanie	меание
meaning	значење
meaningful	смислено
meaningless	бесмислено
meanness	зрелост
means	значи
meantime	Медјувремену
measles	ошпице
measurable	мерљив
measure	меру
measured	измерена
measurement	мерење
measuring	мерење
measuring cup	мерна чаша
measuring tape	трака за мерење
meat	месо
meatball	меатбалл
meathead	месо
meatloaf	месо
mechanic	механичар
mechanical	механички
mechanics	механике
mechanism	механизам
med	NO TRANSLATION
medal	медаља
medallion	медаљон
medallist	медаља
meddle	мешати се
meddling	мешање
media	медији
medial	медиал
median	медиан
mediate	посредовати
mediation	посредовање
mediator	медиатор
medic	медиц
medical	медицински
medicate	медицате
medication	лекови
medicinal	медицински
medicine	медицина
medieval	средњевековни
mediocre	медиоцре
mediocrity	медиоцрити
meditate	медитирајте
meditating	медитирање
meditation	медитација
meditative	медитативан
mediterranean	Медитеранска
medium	средња
medley	медлеи
meek	кротко
meet	сусрет
meeting	састанак
mega	мега
meh	мех
melancholic	меланхолични
melancholy	меланхолија
melee	мелее
mellow	меллов
melodious	мелодично
melodrama	мелодрама
melodramatic	мелодрамски
melody	мелодија
melon	диња
melt	растопити
meltdown	мелтдовн
melting	топљење
member	члан
membership	чланство
membrane	мембрана
memento	мементо
memo	Белешка
memoir	мемоир
memorabilia	меморабилиа
memorable	незаборавно
memorandum	меморандум
memorial	мемориал
memorials	мемориалс
memories	сећања
memoriesiwontforget	NO TRANSLATION
memorize	запамтите
memory	меморија
menace	претња
menacing	претећи
menagerie	менагерие
mend	поправи
mending	поправљање
menial	Мениал
meningitis	менингитис
meniscus	менискус
menopause	менопауза
menses	менс
menstrual	менструални
mental	ментални
mentalhealth	NO TRANSLATION
mentality	менталитет
menthol	ментол
mention	помени
mentor	ментор
menu	мени
meow	Мјау
mercantile	меркантил
mercenary	плаћеник
merchandise	роба
merchant	трговац
merciful	милосрдно
merciless	немилосрдно
mercurial	мерцуриал
mercury	жива
mercy	милост
mere	мере
merengue	Меренгуе
merge	споји се
merger	спајање
meridian	меридијан
meridional	меридионал
meringue	колач од беланаца
merit	заслуга
meritorious	мериториоус
mermaid	сирена
merriment	весеље
merry	весело
merrychristmas	NO TRANSLATION
mesa	меса
mescaline	мескалин
mesh	мрежа
meshes	мреже
mesmerized	месмеризован
mess	неред
message	порука
messedup	NO TRANSLATION
messenger	мессенгер
messiah	Месија
messy	у нереду
metabolic	метаболички
metabolism	метаболизам
metal	метал
metallic	металик
metallurgy	металургија
metamorphosis	метаморфоза
metaphor	метафора
metaphorical	метафорички
metaphysical	метафизички
metaphysics	метафизика
metastasis	метастазе
meteor	метеор
meteoric	метеориц
meteorite	метеорит
meteorological	метеоролошки
meteorology	метеорологија
meter	метар
meth	Мет
methadone	метадон
methane	метана
methanol	метанол
method	метода
methodical	методички
methodology	методологија
meticulous	прецизан
metime	метиме
metric	метрички
metrical	метрички
metrology	метрологија
metropolis	метропола
metropolitan	метропола
mettle	меттле
mew	мев
mezzanine	мезанин
mica	сљунка
mick	Мицк
micro	микро
microbe	микроб
microbiology	микробиологија
microchip	микрочип
microcosm	микрокозм
microfilm	микрофилм
microgram	микрограм
micrometer	микрометар
micron	микрон
microphone	микрофон
microscope	микроскоп
microscopic	микроскопски
microscopically	микроскопски
microscopy	микроскопија
microwave	микровална пећница
mid	средином
midair	мидаир
midday	среда
middle	средина
middleman	посредник
middleweight	средња
midget	мали
midland	Мидланд
midlife	средњи живот
midline	мидлине
midnight	понож
midshipman	мидсхипман
midst	средином
midsummer	полумјесец
midterm	мидтерм
midtown	Мидтовн
midway	на пола пута
midwife	бабица
midwifery	бабица
mien	NO TRANSLATION
miffed	миффед
mighty	моћан
mignon	мигнон
migraine	мигрена
migrate	мигрирати
migration	миграција
migratory	миграторно
mike	мике
mil	NO TRANSLATION
mild	благо
mildew	мембрана
mildness	благост
mile	миље
mileage	километража
milestone	прекретница
militant	милитантно
militants	милитантима
military	војска
militia	милиција
milk	млеко
milkman	милкман
milkshake	милксхаке
milky	млечно
mill	млин
millennium	миленијум
milligram	милиграм
millimeter	милиметар
million	милиона
millionaire	милионер
millionth	милионити
millstone	млин
mime	миме
mimic	мимик
mimicking	имитирајући
mimicry	мимикрија
mince	минце
mincemeat	минцемеат
mind	ум
minded	миндед
mindful	свестан
mindfulness	миндфулнесс
mindless	безумно
mine	мој
minefield	минско поље
miner	рудар
mineral	минерал
mineralogy	минералогија
mingle	мингле
mingled	међусобно
mini	мини
miniature	минијатурно
minibus	минибус
minim	NO TRANSLATION
minimal	минимално
minimize	минимизирати
minimized	минимизован
minimum	минимум
mining	Рударство
minion	поданик
minister	министар
ministerial	министарски
ministry	министарство
minivan	миниван
mink	минк
minnow	миннов
minor	минор
minority	мањина
minstrel	минстрел
mint	Нана
minty	минти
minuscule	минусцуле
minute	минута
minutiae	минијатуре
minx	минк
mir	NO TRANSLATION
miracle	чудо
miracles	чуда
miraculous	чудесан
mirage	мираге
mire	NO TRANSLATION
mirror	огледало
mirth	весеље
misappropriation	злоупотреба
misbehave	погрешно понашање
misbehavior	погрешно понашање
miscalculation	погрешно израчунавање
miscarriage	побачај
miscellaneous	Остало
miscellany	мисцелани
mischief	несташлук
mischievous	нелагодно
misconception	заблуда
misconduct	лоше понашање
misdemeanor	прекршај
misdirection	мисдирецтион
miser	мизер
miserable	бедан
miserably	очајнички
misery	беда
misfire	погрешно
misfit	мисфит
misfortune	несрећа
misguided	NO TRANSLATION
mishap	погрешно
misinformed	погрешно информисано
misinterpretation	погрешно тумачење
mislead	погрешно
misleading	погрешно
misled	заведен
mismanagement	лоше управљање
mismatch	неусклађеност
mismatched	неусклађен
misnomer	мисномер
misplace	мисплаце
misplaced	неупотребљив
misread	погрешно прочитано
misrepresent	погрешно представљање
misrepresentation	погрешно представљање
misrepresented	погрешно представљен
miss	Госпођица
missile	пројектил
missiles	ракете
missing	недостаје
missingyou	NO TRANSLATION
mission	мисија
missionary	мисионар
misspell	мисспелл
misstatement	погрешно приказивање
missy	мисси
mist	измаглица
mistake	грешка
mistaken	погрешно
mister	Господине
mistletoe	имма
mistreated	малтретирани
mistress	љубавница
mistrial	мистриал
mistrust	неповерење
misty	магловит
misunderstand	погрешно схватате
misunderstanding	неспоразум
misunderstood	погрешно схватио
misuse	злоупотреба
mite	мите
miter	митер
mitigate	ублажити
mitigating	ублажавање
mitigation	ублажавање
mitt	митт
mitten	NO TRANSLATION
mitzvah	митзвах
mix	мик
mixed	помешан
mixedemotions	помешане емоције
mixer	миксер
mixture	мешавина
mnemonic	мнемониц
moan	моан
moat	моат
mob	моб
mobile	мобилни
mobility	мобилност
mobilization	мобилизација
mobilize	мобилизирати
mobster	гангстер
mocha	моцха
mock	ругати се
mocked	испражњен
mockery	исмевана
mocking	моцкинг
mockingbird	моцкингбирд
mod	мод
modal	модал
modality	модалити
mode	мод
model	модел
modeler	моделер
modeling	моделирање
modem	модем
moderate	умерен
moderate anticipation	умерено очекивање
moderate disgust	умерено одуговлачење
moderate negative	умерено негативан
moderate positive	умерено позитиван
moderate surprise	умерено изненађење
moderate trust	умерено поверење
moderately	умерено
moderating	модерирање
moderation	модератион
moderator	модератор
modern	модеран
modernism	модернизам
modest	скромно
modesty	скромност
modicum	модикум
modifiable	модификован
modification	модификација
modified	модификован
modify	модификовати
modulate	модулате
modulation	модулација
module	модул
modulus	модул
mogul	могул
moiety	део
moist	влажан
moisture	влага
moisturizer	овлаживач
molar	молар
molasses	меласа
mold	калуп
molded	обликован
molding	моулдинг
moldy	плесни
mole	мол
molecular	молекуларно
molecule	молекула
molest	молест
molestation	злостављање
molester	молестер
molten	растопљен
mom	мама
moment	тренутак
momentary	тренутно
momentous	важан
momentum	моментум
momma	Момма
mommy	мама
monad	монад
monarch	монарх
monarchy	монархија
monastery	манастир
monastic	монашки
monetary	монетарни
money	новац
mongoloid	монголоид
mongoose	монгоосе
mongrel	монгрел
monitor	монитор
monk	монах
monkey	мајмун
mono	NO TRANSLATION
monochrome	монохроматски
monogamous	моногамна
monogamy	моногамија
monogram	монограм
monogrammed	монограмирано
monograph	монографија
monolayer	монолојер
monolith	монолит
monologue	монолог
monopolist	монополист
monopoly	монопол
monotonous	монотоно
monotony	монотонија
monoxide	моноксид
monsieur	Монсиеур
monsoon	монсун
monster	чудовиште
monstrosity	монстросити
monstrous	монструозно
montage	монтажа
monte	монте
month	месец дана
monthly	месечно
monument	споменик
monumental	монументално
moo	моо
mooch	мооцх
mood	расположење
moods	расположења
moody	Мооди
moon	месец
moonbeam	моонбеам
moonlight	месечина
moonlit	моонлит
moonshine	моонсхине
moonstruck	моонструцк
moonwalk	моонвалк
moor	моор
moored	мооред
mooring	привез
moorings	привези
moorland	моорланд
moose	лос
moot	моот
mooted	моотед
mop	крпа
mope	мопа
moped	мопед
moral	морално
morale	морале
morality	моралност
morals	морале
morass	морасс
moratorium	мораторијум
moray	Мораи
morbid	морбидно
morbidity	морбидитет
morbidness	морбидност
mores	морес
morgue	моргуе
moribund	морибунд
morn	морн
morning	јутро
moron	морон
moronic	морониц
morose	мросе
morph	морпх
morphine	морфијум
morphism	морфизам
morphology	морфологија
morrow	јутро
morsel	залез
mortal	смртно
mortality	смртност
mortar	малтер
mortgage	хипотека
mortgagee	хипотека
mortgagor	мортгагор
mortician	мртвач
mortification	мортифицатион
mortified	мортифиед
mortuary	мртвађа
mosaic	мозаик
mosey	Мосеи
mosque	џамија
mosquito	комарац
moss	мах
mossy	мосси
mote	NO TRANSLATION
motel	мотел
moth	мољац
mother	мајка
motherfucker	Јебем ти јебем
motherfucking	јебено јебено
motherhood	материнство
motherland	домовина
motherless	мајка
motherly	мајчински
motif	мотив
motion	кретање
motionless	непомично
motivate	мотивирати
motivating	мотивисање
motivation	мотивација
motivational	мотивациони
motive	мотив
motley	мотлеи
motor	моторни
motorbike	мотоцикл
motorboat	моторни брод
motorcade	моторцаде
motorcar	Мотор ауто
motorcycle	мотоцикл
motorist	моториста
motte	мотте
mottled	шарене
motto	мото
mould	калуп
mound	моунд
mount	моунт
mountain	планина
mountaineer	планинара
mountainous	планински
mountains	планине
mountaintop	врх планине
mourn	туговати
mournful	жалостан
mourning	жалости
mouse	миш
mousetrap	моусетрап
mousse	Моуссе
moustache	бркови
mousy	Моуси
mouth	уста
mouthful	уста
mouthpiece	устник
mouthwash	моутхвасх
movable	покретно
move	потез
movement	покрет
mover	мовер
movie	филм
movies	филмове
moving	кретање
movingforward	NO TRANSLATION
movingon	идемо даље
mow	Мов
mower	косилице
moxie	мокие
mozzarella	моззарелла
mri	мри
muchneeded	NO TRANSLATION
mucis	NO TRANSLATION
muck	муцк
mucked	муцк
mucous	слузокоже
mucus	слуз
mud	блато
muddle	муддле
muddled	муддлед
muddy	блатњав
muff	муфф
muffin	муффин
muffled	пригушен
muffler	муффлер
mug	шоља
mugger	муггер
mulberry	мулберри
mulch	мулч
mule	муле
mull	мулл
mullet	муллет
multilateral	мултилатерални
multimedia	мултимедија
multinational	мултинационална
multiple	више
multiple sclerosis	Мултипла склероза
multiplex	мултиплек
multiplication	множење
multiplicity	множина
multiplied	помножен
multiplier	мултипликатор
multiply	множи се
multitude	мноштво
mum	мама
mumble	мумбле
mumbo	мумбо
mummy	мумија
mumps	мумпс
munch	мунцх
munchies	мунцхиес
munchkin	мунцхкин
mundane	Мундане
municipal	општински
municipality	општина
mural	мурал
murder	убиство
murderer	убица
murderess	убица
murderous	убилачки
murky	мрачно
murmur	мурмур
muscle	мишић
muscular	мишићав
muse	муз
muses	музи
museum	музеј
mush	NO TRANSLATION
mushroom	гљива
mushy	мусхи
music	музика
musical	музички
musician	музичар
musing	мусинг
musk	мошус
musket	мускет
musketeer	мускетеер
muskrat	мускрат
muslin	муслин
muss	NO TRANSLATION
must	мора
mustang	мустанг
mustard	сенф
muster	збирка
musty	беди
mutable	променљив
mutant	мутант
mutate	мутирај
mutation	мутација
mute	немој
muted	пригушен
mutilate	мутилат
mutilated	похабљен
mutilation	мутилација
mutiny	побуна
mutt	мутт
mutter	NO TRANSLATION
mutton	муттон
mutual	међусобно
mutually	међусобно
muzzle	муззле
myfavorite	моје омиљено
myopia	миопиа
myopic	миопиц
myriad	мноштво
mysterious	мистериозно
mystery	Мистерија
mystic	мистик
mystical	мистично
mysticism	мистика
mystified	мистериозно
mystique	мистика
myth	мит
mythic	митски
mythical	митски
mythological	митолошки
mythology	митологија
nab	наб
nacho	нацхо
nada	NO TRANSLATION
nadir	надир
nag	NO TRANSLATION
nail	ноктију
nail gun	пиштољ за нокте
naive	наивни
naked	гола
nakedness	гола
namaste	NO TRANSLATION
name	име
named	назван
nameless	безимени
namesake	намесаке
naming	именовање
nana	нана
nanny	дадиља
nanometer	нанометар
nap	нап
napalm	напалм
nape	напе
napkin	салвета
napping	дремање
nappy	наппа
narcissism	нарцизизам
narcissist	нарцисоид
narcissistic	нарцисоидно
narcotic	наркотик
narrate	наррате
narration	нарација
narrative	наратив
narrator	приповедач
narrow	узак
narrowing	сужавање
nasal	назал
nascent	насмијани
nasty	гадно
natal	натал
nation	нација
national	национално
nationality	националност
nationwide	натионвиде
native	нативе
nativity	рођење
natural	природно
natural gas	природни гас
naturalist	натуралиста
naturalization	натурализација
naturalized	натурализован
naturally	природно
nature	природа
naught	ниста
naughty	наугхти
nausea	мучнина
nauseate	мучити
nauseating	мучнина
nauseous	мука
nautical	наутички
nautilus	наутилус
naval	морнарице
nave	наве
navel	пупка
navigable	пливајући
navigate	навигате
navigation	навигација
navigational	навигационо
navigator	навигатор
navy	морнарица
nay	NO TRANSLATION
nearsighted	близак
neat	уредан
neatly	уредно
nebula	небула
nebulae	небулае
nebulous	небулоус
necessarily	нужно
necessary	неопходно
necessitate	нужно
necessities	потребама
necessity	нужност
neck	врат
necklace	огрлица
necktie	кравата
necromancer	Некроманцер
necrosis	некроза
nectar	нектар
need	потреба
needalife	NO TRANSLATION
needed	потребно
needful	потребан
needit	NO TRANSLATION
needle	иглу
needlepoint	иглепоинт
needles	игле
needless	непотребно
needtoknow	треба да знају
needtorelax	NO TRANSLATION
needy	потребан
nefarious	нефариоус
negation	негација
negative	негативно
negativity	негативност
neglect	занемаривање
neglected	занемарен
neglecting	запостављајући
negligee	неглигее
negligence	немарност
negligent	немарно
negligently	NO TRANSLATION
negligible	занемарљив
negotiable	неготиабле
negotiate	преговарати
negotiation	преговарање
negotiator	преговарач
negro	негро
neigh	сусед
neighbor	комшија
neighborhood	комшилук
neighboring	сусједне
nemesis	немесис
neon	неон
neonatal	неонатални
neophyte	неофит
neoprene	неопрен
nephew	нећак
nepotism	непотизам
nerd	штребер
nerdy	нерди
nerve	нерв
nerves	нерви
nervous	нервозан
nervousness	нервоза
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	несс
nest	гнездо
nestle	нестле
nestling	нестајање
net	нет
nether	нетхер
netting	неттинг
nettle	коприва
network	мрежа
networking	умрежавање
neural	неурал
neuralgia	неуралгија
neurological	неуролошки
neurologist	неуролог
neurology	неурологија
neurosis	неуроза
neurosurgeon	неурохирург
neurosurgery	неурохирургија
neurotic	неуротик
neuter	неутер
neutral	неутрално
neutrality	неутралност
neutralize	неутралисати
neutron	неутрон
new	ново
new age	Ново доба
newbeginnings	NO TRANSLATION
newborn	новорођенче
newcomer	новинара
newday	Нови дан
newfound	невфоунд
newjob	NO TRANSLATION
newlife	Нови живот
newly	ново
newlywed	невливед
newme	невме
newness	новост
news	вести
newscast	невсцаст
newscaster	невсцастер
newsflash	невсфласх
newsletter	невслеттер
newsman	невсман
newspaper	новине
newspaperman	новинар
newsreel	невсреел
newsroom	невсроом
newsstand	киоск
newstart	Нови почетак
newt	невт
newyear	NO TRANSLATION
nexus	некус
nib	ниб
nibble	ниббле
nice	леп
niche	ниша
nichts	NO TRANSLATION
nick	ницк
nickel	никл
nickname	надимак
nicotine	никотин
niece	нећак
nifty	Чудно
nigger	црњо
nigh	близу
night	ноћ
nightcap	нигхтцап
nightclub	ноћни клуб
nightfall	ноћас
nightgown	нигхтговн
nightie	нигхтие
nightingale	Сладак
nightlife	ноћни зивот
nightly	ноћно
nightmare	ноћна мора
nightmares	ноћне море
nightstand	ноћни ормарић
nightstick	ноћни кош
nighttime	ноћу
nihilism	нихилизам
nil	нула
nimble	нимбле
nimrod	нимрод
nincompoop	нинцомпооп
nine	девет
nineteen	деветнаест
ninety	деведесет
ninja	Нинџа
ninny	нинни
nintendo	Нинтендо
ninth	девети
nip	нип
nipper	ниппер
nipple	брадавица
nippy	ниппи
nitrate	нитрат
nitro	нитро
nitrogen	азот
nitrous	нитро
nitwit	нитвит
nix	ник
no anticipation	нема предвиђања
no disgust	нема гнуса
no emotion	без емоција
no sentiment	нема расположења
no surprise	не изненађује
no trust	нема поверења
nobility	племство
noble	племенито
nobleman	племић
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	ноћни
nod	климати
nodding	Климну главом
node	чвор
nodular	нодуларни
nodule	нодуле
noggin	ноггин
nohope	NO TRANSLATION
noir	ноир
noise	бука
noisy	бучно
nomad	номад
nomadic	номадски
nomenclature	номенклатура
nominal	номинална
nominate	номинирати
nomination	номинација
nominee	номиновани
nonce	нонце
nonchalant	нонцхалант
noncompliance	неусклађеност
nondescript	ненесцрипт
nonexistent	не постоји
nonfat	нонфат
nonfiction	филозофија
nonpayment	неплаћање
nonresident	нерезидент
nonsense	глупости
nonsensical	Бесмислено
nonviolent	ненасилан
noob	тикван
noodle	ноодле
nook	ноок
noon	подне
noose	нос
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	норма
normal	нормално
normalcy	нормалност
normality	нормалност
north	север
northbound	сјеверно
northeast	североисток
northern	северно
northwest	северозапад
northwestern	сјеверозапад
noschool	NO TRANSLATION
nose	нос
nosebleed	носблеед
nosey	носи
nosnow	носнов
nostalgia	носталгија
nostalgic	носталгична
nostress	NO TRANSLATION
nostril	ноздрве
nosun	NO TRANSLATION
nosy	носи
not negative	не негативно
not positive	не позитивни
notable	значајан
notables	нотаблес
notably	нарочито
notamorningperson	NO TRANSLATION
notary	Бележник
notation	нотација
notch	изрез
notched	нотцхед
note	Белешка
notebook	свеска
noted	приметио
noteworthy	вреди поменути
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	ништа
notice	објава
noticeable	приметно
notification	обавештење
notify	обавестити
notion	појам
notional	номинално
notoriety	озлоглашеност
notorious	познати
notready	није спреман
notwithstanding	без обзира на то
nought	ниста
noun	именица
nourish	ноурисх
nourishment	исхрана
nouveau	NO TRANSLATION
novel	Роман
novelist	романописац
novelty	новост
novice	новинарке
nowadays	данас
nowork	нема посла
noworries	без бриге
noxious	штетан
nozzle	млазница
nuance	нијанса
nuances	нијанси
nuclear	нуклеарна
nucleus	језгро
nude	нуде
nudge	гурање
nudie	нудие
nudist	нудистички
nudity	голотиња
nugget	нуггет
nuisance	сметња
nuke	нуклеарка
nul	NO TRANSLATION
null	нула
nullify	нуллифи
numb	нумб
number	број
numbering	нумерисање
numbers	бројеви
numbness	нумбнесс
numbskull	нумбскулл
numeral	нумерал
numerator	нумератор
numerical	нумерички
numerically	нумерички
numerous	бројни
nun	NO TRANSLATION
nunchucks	нунцхуцкс
nunnery	самостан
nuptials	нуптиалс
nurse	медицинска сестра
nursemaid	нурсемаид
nursery	јаслице
nursing	нега
nurture	неговати
nut	нут
nutcase	нутцасе
nutcracker	нутцрацкер
nuthouse	нутхоусе
nutmeg	мушкатни орах
nutrition	исхрана
nutritional	нутритионал
nutritious	хранљиво
nutritive	нутритивно
nuts	ораси
nutshell	нутсхелл
nutty	сулудо
nylon	најлон
nylong	NO TRANSLATION
nylons	нилонс
nymph	нимфа
nymphomaniac	нимфоманац
oaf	оаф
oak	храст
oar	весло
oasis	оаза
oat	овса
oath	заклетва
oatmeal	овсена каша
obedience	послушност
obedient	послушни
obediently	беспоговорно
obelisk	обелиск
obese	гојазно
obesity	гојазност
obey	поштовати
obi	оби
obit	обит
obituary	небројено
object	објекат
objection	приговор
objectionable	спорно
objective	објективан
objectivity	објективност
obligation	обавеза
obligatory	обавезно
oblige	обавезати
obliged	обавезан
obliging	обавезујући
obligor	обвезник
oblique	коси
obliterate	обрисати
obliterated	избрисана
obliteration	облитератион
oblivion	заборав
oblivious	заборављен
oblong	подолговато
obnoxious	безобразно
oboe	обое
obscene	опсцен
obscenity	опсценост
obscure	нејасан
obscured	нејасан
obscurity	опскурност
observance	поштовање
observant	посматрач
observation	посматрање
observatory	опсерваторија
observe	посматрајте
observer	посматрач
observing	посматрање
obsess	опседнутост
obsessed	опседнут
obsessing	опседнутост
obsession	опсесија
obsessive	опсесивно
obsolescence	застарјела
obsolete	застарело
obstacle	препрека
obstetrician	породничар
obstetrics	породништво
obstinate	тврдоглава
obstruct	опструирати
obstruction	опструкција
obstructive	опструктивно
obtain	добити
obtainable	доступно
obtuse	обтусе
obverse	обрисе
obvious	очигледан
ocarina	оцарина
occasion	прилика
occasional	повремен
occasionally	повремено
occipital	окципитал
occlusion	оклузија
occult	окултно
occupancy	становање
occupant	станар
occupation	занимање
occupational	занимљиво
occupied	окупирана
occupier	окупатор
occupy	окупирати
occupying	окупира
occur	појавити
occurrence	појава
ocd	оцд
ocean	океан
oceanic	оцеанско
octagon	октагон
octave	октава
octopus	хоботница
ocular	очију
odd	чудно
oddball	оддбалл
oddity	чудесност
odds	квоте
ode	оде
odious	одвратан
odometer	одометар
odor	мирис
odyssey	одиссеи
oedipal	оедипал
oestrogen	естроген
oeuvre	NO TRANSLATION
offal	остатке
offence	прекршај
offend	увреде
offended	увређени
offender	преступник
offense	прекршај
offensive	офанзивно
offer	понуда
offered	понуђени
offering	нуде
offhand	оффханд
office	канцеларија
officer	официр
offices	канцеларије
official	званичник
officiate	службено
offing	оффинг
offload	оффлоад
offset	офсет
offshoot	оффсхоот
offshore	оффсхоре
offside	офсајд
offspring	потомство
oft	офт
oftentimes	обично
ogre	огре
ohdear	NO TRANSLATION
ohgod	NO TRANSLATION
ohno	о, не
ohshit	NO TRANSLATION
oil	уље
oils	уља
oily	масноће
oink	оинк
ointment	маст
okra	окра
old	стари
olden	олден
older	старији
oldie	олдие
oldies	олдиес
olfactory	олфацтори
oligarchy	олигархија
olive	маслине
omega	омега
omelet	омлет
omen	знак
omgomgomg	NO TRANSLATION
ominous	Злобно
omission	пропуст
omit	изоставити
omitted	изостављен
omnibus	омнибус
omnipotence	омнипотенција
omnipotent	свемогући
omnipresent	свеприсутан
omniscient	свезнајући
onboard	на броду
oncologist	онколог
oncology	онкологија
oncoming	долазећи
one	један
oneday	NO TRANSLATION
onedge	на ивици
onelove	једна љубав
oneness	јединство
onerous	претерано
oneself	себе
ongoing	у току, сталан
onion	лук
onset	почетак
onslaught	напад
onstage	на бини
ontology	онтологија
onus	онус
onward	даље
onyx	оник
oodles	оодлес
oomph	оомпх
ooze	оозе
oozing	оозинг
op	оп
opacity	непрозирност
opal	опал
opaque	непрозирно
ope	Опе
open	отворен
opener	отварач
opening	отварање
openly	отворено
openness	отвореност
opera	опера
operate	радити
operatic	операт
operation	операција
operational	оперативни
operations	операције
operative	оперативан
operator	оператор
ophthalmic	офталмолошки
ophthalmologist	офталмолог
opiate	опијат
opinion	мишљење
opinionated	мишљење
opium	опијум
opponent	противник
opportune	погодно
opportunism	опортунизам
opportunity	прилика
oppose	Против
opposed	против
opposing	супротстављање
opposite	супротно
opposites	супротности
opposition	опозиција
oppress	потлачити
oppressed	потлачени
oppression	угњетавање
oppressive	репресивна
oppressor	угњетач
ops	опс
opt	опт
optic	оптички
optical	оптички
optics	оптика
optimism	оптимизам
optimist	оптимиста
optimistic	оптимистичан
optimum	оптимално
option	опција
optional	опционо
optionally	по потреби
options	Опције
optometrist	оптометрист
opulence	богатство
opulent	богатство
opus	опус
oracle	орацле
oral	орално
orange	наранџаста
orange juice	сок од поморанџе
orangutan	орангутан
oration	оратион
orator	оратор
oratory	оратори
orb	орб
orbit	орбита
orbital	орбитал
orbiting	орбитира
orbs	орбс
orc	орц
orchard	воћњак
orchestra	оркестар
orchid	орхидеја
ordained	ордаинед
ordeal	тешко
order	наручи
orderly	уредно
ordinance	уредба
ordinary	обичан
ordination	ординација
ordnance	орднанце
ore	руда
oregano	оригано
organ	орган
organic	органски
organism	организма
organist	органиста
organization	организација
organize	организовати
organized	организован
organizer	организатор
orgasm	оргазам
orgies	оргије
orgy	оргија
orient	ориент
oriental	оријентални
orientation	оријентација
orifice	отвора
origami	оригами
origin	порекло
original	оригинал
originality	оригиналност
originate	порекло
origination	порекло
originator	оригинатор
ornament	орнамент
ornamental	украсно
ornamentation	орнаментатион
ornamented	украшен
ornate	орнате
ornery	орнери
orphan	сироче
orphanage	сиротиште
orphaned	сироче
orthodontist	ортодонт
orthodox	православан
orthodoxy	православље
orthogonal	ортогонално
orthopedic	ортопедски
oscillate	осцилирати
oscillating	осцилирајуће
oscillation	осцилација
oscillatory	осцилаторно
ostensible	примитивна
ostensibly	наводно
ostentatious	остентатиоус
ostracized	острацизед
ostrich	ној
other	други
otter	Видра
otto	отто
ottoman	отоман
ought	требало би
ounce	унца
oust	срушити
outage	нестанак
outback	Оутбацк
outbid	надмашити
outboard	ванбродски
outbreak	избијање
outburst	избацивање
outcast	Изгубљени
outcome	исход
outcry	непријатељ
outdated	застарело
outdo	превише
outdoor	на отвореном
outdoors	на отвореном
outer	спољашњи
outfit	оутфит
outgoing	одлазни
outgrow	превише
outgrowth	израстање
outhouse	оутхоусе
outing	оутинг
outlandish	изненадне
outlast	изнад
outlaw	забрањено
outlet	оутлет
outline	преглед
outlines	оутлинес
outlive	наџивети
outlook	изгледи
outlying	одавде
outnumber	изнад броја
outpatient	амбулантно
outpost	оутпост
outpouring	изливање
output	излаз
outrage	бесни
outraged	узнемирени
outrageous	изузетно
outrank	оутранк
outreach	оутреацх
outright	потпуно
outrun	Излази
outset	почетак
outsider	оутсидер
outskirts	периферије
outsmart	оутсмарт
outspoken	отворено
outstanding	изванредан
outstretched	испружен
outward	напољу
outwards	напољу
outweigh	превише
