Word	mn
mouthwash	Mouthwash
movable	хөдлөх
move	шилжих
movement	хөдөлгөөн
mover	Хөдөлгөөнт
movie	кино
movies	кино
moving	хөдөлж байна
movingforward	NO TRANSLATION
movingon	явж байна
mow	Үгүй ээ
mower	Mower
moxie	moxie
mozzarella	mozzarella
mri	mri
muchneeded	NO TRANSLATION
mucis	NO TRANSLATION
muck	Нугас
mucked	Муужсан
mucous	салс
mucus	салс
mud	шавар
muddle	саад тотгор
muddled	мулзайлт
muddy	шаварлаг
muff	Хөөрхий
muffin	маффин
muffled	Бясалгаад байна
muffler	дуу намсгагч
mug	аяган
mugger	хулгайч
mulberry	ялам
mulch	mulch
mule	луус
mull	Чөтгөр
mullet	mullet
multilateral	олон талт
multimedia	мультимедиа
multinational	олон үндэстэн
multiple	олон
multiple sclerosis	Олон склероз
multiplex	олон өнцөгт
multiplication	үржүүлэх
multiplicity	олон тооны
multiplied	үржүүлж байна
multiplier	үржүүлэгч
multiply	үржвэрлэх
multitude	олон
mum	Ээж ээ
mumble	бүдэрч байна
mumbo	mumbo
mummy	муми
mumps	гахай
munch	хутгана
munchies	munchies
munchkin	munchkin
mundane	ертөнц
municipal	хотын захиргаа
municipality	хотын захиргаа
mural	ханын зураг
murder	аллага
murderer	алуурчин
murderess	алуурчин
murderous	алуурчин
murky	Чимээгүй байна
murmur	гэж шивнэв
muscle	булчин
muscular	булчинлаг
muse	muse
muses	зөндөө байна
museum	музей
mush	NO TRANSLATION
mushroom	мөөг
mushy	mushy
music	хөгжим
musical	Хөгжим
musician	Хөгжимчин
musing	зангидах
musk	заарыг
musket	Мурк
musketeer	заарч
muskrat	булчин
muslin	Муслин
muss	NO TRANSLATION
must	заавал байх ёстой
mustang	Mustang
mustard	гич
muster	цуглуул
musty	барзгар
mutable	өөрчлөгдөх боломжтой
mutant	Мутант
mutate	мутаци
mutation	мутаци
mute	дуугүй байна
muted	дуугүй болсон
mutilate	mutilate
mutilated	алга болсон
mutilation	гэмтэл
mutiny	мутант
mutt	mutt
mutter	NO TRANSLATION
mutton	хонины мах
mutual	харилцан бие биенээ
mutually	харилцан адилгүй
muzzle	нүүрний
myfavorite	Миний дуртай
myopia	myopia
myopic	myopic
myriad	олон удаа
mysterious	нууцлаг
mystery	нууц юм
mystic	нууцлаг
mystical	нууцлаг байдал
mysticism	нууцлаг байдал
mystified	ичиж байна
mystique	нууцлаг байдал
myth	домог
mythic	домог
mythical	домог
mythological	домог
mythology	домог
nab	ав
nacho	nacho
nada	NO TRANSLATION
nadir	Дамир
nag	NO TRANSLATION
nail	хадаас
nail gun	хумсны буу
naive	naive
naked	нүцгэн байна
nakedness	нүцгэн байна
namaste	NO TRANSLATION
name	нэр
named	нэрлэсэн
nameless	нэргүй
namesake	нэрс
naming	нэрлэх
nana	Нана
nanny	эмч
nanometer	нанометр
nap	нойр авах
napalm	napalm
nape	nape
napkin	амны алчуур
napping	napping
nappy	нинжа
narcissism	мэдрэмж
narcissist	Уучлаарай
narcissistic	мэдрэмжтэй
narcotic	мансууруулах бодис
narrate	гэж хэлэв
narration	өгүүллэг
narrative	түүх
narrator	гэж хэлэв
narrow	нарийн
narrowing	нарийсах
nasal	хамрын
nascent	эхэлж байна
nasty	муухай
natal	нярав
nation	улс орон
national	үндэсний
nationality	иргэншил
nationwide	улсын хэмжээнд
native	уугуул
nativity	төрөлт
natural	байгалийн юм
natural gas	Байгалийн хий
naturalist	байгалийн үзэлтэн
naturalization	байгалийн байдал
naturalized	төрөлжсөн
naturally	байгалийн
nature	байгаль
naught	юу ч биш
naughty	дэггүй
nausea	дотор муухайрах
nauseate	тайвширдаг
nauseating	сэтгэл гутрал
nauseous	уйтгартай
nautical	далайн ус
nautilus	Nautilus
naval	тэнгисийн цэргийнхэн
nave	nave
navel	хүйс
navigable	далайд гарцгүй
navigate	залуурдах
navigation	навигацийн
navigational	хөтөч
navigator	navigator
navy	Тэнгисийн цэргийнхэн
nay	NO TRANSLATION
nearsighted	ойртсон
neat	цэвэр
neatly	цэвэрхэн
nebula	мананцар
nebulae	мананцар
nebulous	Ням гараг
necessarily	заавал байх ёстой
necessary	шаардлагатай
necessitate	зайлшгүй шаардлагатай
necessities	хэрэгцээ
necessity	хэрэгцээ
neck	хүзүү
necklace	зүүлт
necktie	зангиа
necromancer	Necromancer
necrosis	үхжил юм
nectar	нектар
need	хэрэгцээ
needalife	NO TRANSLATION
needed	хэрэгтэй
needful	хэрэгтэй байна
needit	NO TRANSLATION
needle	зүү
needlepoint	зүү тавих
needles	зүү
needless	шаардлагагүй
needtoknow	мэдэх хэрэгтэй
needtorelax	NO TRANSLATION
needy	хэрэгцээтэй
nefarious	муухай
negation	яллах
negative	сөрөг
negativity	сөрөг тал
neglect	үл хайхрах
neglected	үл тоомсорлосон
neglecting	үл тоомсорлох
negligee	Харамсалтай нь
negligence	хайхрамжгүй байдал
negligent	хайхрамжгүй
negligently	NO TRANSLATION
negligible	бага зэрэг
negotiable	тохиролцох боломжтой
negotiate	хэлэлцээр хийх
negotiation	хэлэлцээ хийх
negotiator	хэлэлцээр хийх
negro	НҮҮР
neigh	хөршүүд
neighbor	хөрш
neighborhood	хөрш
neighboring	хөрш зэргэлдээ
nemesis	nemesis
neon	Нойтон
neonatal	нярайн
neophyte	шинэчлэгдсэн
neoprene	neoprene
nephew	ач хүү
nepotism	nepotism
nerd	nerd
nerdy	Нохой
nerve	мэдрэл
nerves	мэдрэл
nervous	сандарч байна
nervousness	сэтгэлийн хямрал
nervouswreck	NO TRANSLATION
nervy	NO TRANSLATION
ness	Нес
nest	үүр
nestle	nestle
nestling	үүртэй
net	цэвэр
nether	nether
netting	үр дүнгийн тооцоолол
nettle	хамхуул
network	сүлжээ
networking	сүлжээ
neural	мэдрэлийн систем
neuralgia	neuralgia
neurological	мэдрэлийн систем
neurologist	мэдрэл судлаач
neurology	мэдрэлийн систем
neurosis	мэдрэлийн систем
neurosurgeon	мэдрэлийн мэс засалч
neurosurgery	мэдрэлийн мэс засал
neurotic	невроз
neuter	цэвэрлэгч
neutral	төвийг сахисан
neutrality	төвийг сахисан байдал
neutralize	саармагжуулах
neutron	нейтрон
new	шинэ
new age	шинэ эрин үе
newbeginnings	NO TRANSLATION
newborn	шинэ төрсөн
newcomer	шинэ гишүүн
newday	шинэ өдөр
newfound	шинэчилсэн
newjob	NO TRANSLATION
newlife	шинэ амьдрал
newly	шинэ
newlywed	шинээр гэрлэсэн
newme	шинэme
newness	шинэ зүйл
news	мэдээ
newscast	шинэ сэтгүүл
newscaster	шинэscaster
newsflash	newsflash
newsletter	сонин
newsman	Мэдээч
newspaper	сонин
newspaperman	сонин хэвлэл
newsreel	мэдээ
newsroom	мэдээллийн алба
newsstand	сэтгүүл
newstart	шинэ эхлэл
newt	шинэт
newyear	NO TRANSLATION
nexus	холбоо
nib	nib
nibble	nibble
nice	сайхан байна
niche	niche
nichts	NO TRANSLATION
nick	nick
nickel	никель
nickname	хоч нэр
nicotine	никотин
niece	Зууштай хүүхэд
nifty	сайхан байна
nigger	nigger
nigh	ойрхон байна
night	шөнө
nightcap	nightcap
nightclub	шөнийн цэнгээний газар
nightfall	шөнийн цагаар
nightgown	үдэшлэг
nightie	nightie
nightingale	үдэшлэг
nightlife	шөнийн амьдрал
nightly	шөнийн цагаар
nightmare	хар дарсан зүүд
nightmares	хар дарсан зүүд
nightstand	шөнийн цагаар
nightstick	шөнийн цохилт
nighttime	шөнө
nihilism	nihilism
nil	Үгүй
nimble	зангилаа
nimrod	nimrod
nincompoop	nincompoop
nine	есөн
nineteen	арван есдүгээр
ninety	ерэн
ninja	нинжа
ninny	Нинни
nintendo	nintendo
ninth	ес
nip	Нип
nipper	Ниппер
nipple	хөх
nippy	хөх
nitrate	нитрат
nitro	nitro
nitrogen	азотын
nitrous	нитроз
nitwit	nitwit
nix	үгүй
no anticipation	ямар ч таамаглал алга
no disgust	ямар ч жигшүүрт зүйл байхгүй
no emotion	сэтгэл хөдлөл байхгүй
no sentiment	ямар ч мэдрэмжгүй
no surprise	гайхах зүйл алга
no trust	итгэл биш байна
nobility	язгууртнууд
noble	сайхан байна
nobleman	язгууртан
nobodycares	NO TRANSLATION
nocomplaints	NO TRANSLATION
nocturnal	шөнө
nod	толгой дохио
nodding	зангидах
node	зангилаа
nodular	зангилаа
nodule	зангилаа
noggin	noggin
nohope	NO TRANSLATION
noir	noir
noise	дуу чимээ
noisy	дуу чимээтэй
nomad	Нүүдэлчин
nomadic	нүүдэлчин
nomenclature	нэр томъёо
nominal	нэрлэсэн
nominate	нэр дэвшүүлэх
nomination	нэр дэвшүүлэх
nominee	нэр дэвшигч
nonce	nonce
nonchalant	хараат бус
noncompliance	зөрчил
nondescript	тайлбаргүй
nonexistent	байхгүй байна
nonfat	nonfat
nonfiction	nonfiction
nonpayment	төлбөр төлөхгүй байх
nonresident	бус оршин суугч
nonsense	утгагүй
nonsensical	утгагүй
nonviolent	хүчирхийлэлгүй
noob	муу
noodle	гоймон
nook	nook
noon	үдээс хойш
noose	noose
nopoint	NO TRANSLATION
noregrets	NO TRANSLATION
norm	норм
normal	хэвийн байна
normalcy	хэвийн
normality	хэвийн
north	хойд хэсэг
northbound	хойд чиглэлд
northeast	зүүн хойд талд
northern	хойд хэсэг
northwest	баруун хойд
northwestern	баруун хойд хэсэг
noschool	NO TRANSLATION
nose	хамар
nosebleed	цус харвалт
nosey	Nosy
nosnow	nosnow
nostalgia	nostalgia
nostalgic	дурсамжтай
nostress	NO TRANSLATION
nostril	хамрын нүх
nosun	NO TRANSLATION
nosy	Nosy
not negative	сөрөг биш
not positive	эерэг биш
notable	мэдэгдэхүйц
notables	алдартай
notably	Ялангуяа
notamorningperson	NO TRANSLATION
notary	нотариат
notation	тэмдэглэгээ
notch	ховилын
notched	Бороо
note	тэмдэглэл
notebook	дэвтэр
noted	гэж тэмдэглэсэн
noteworthy	тэмдэглэлтэй байна
nothappy	NO TRANSLATION
nothingbetter	NO TRANSLATION
nothingness	юу ч биш
notice	мэдэгдэл
noticeable	мэдэгдэхүйц
notification	мэдэгдэл
notify	мэдэгдэх
notion	ойлголт
notional	нэр томъёо
notoriety	алдар нэр
notorious	мэдээжийн хэрэг
notready	бэлэн биш
notwithstanding	Гэсэн хэдий ч
nought	юу ч биш
noun	нэр томъёо
nourish	тэжээх
nourishment	тэжээл
nouveau	NO TRANSLATION
novel	роман
novelist	зохиолч
novelty	шинэлэг зүйл
novice	шинэхэн
nowadays	Одоогийн байдлаар
nowork	одоо ч гэсэн
noworries	санаа зоволтгүй
noxious	хортой
nozzle	цорго
nuance	ялгаагүй
nuances	ялгаатай байдал
nuclear	цөмийн
nucleus	цөм
nude	нүцгэн байна
nudge	Залруулга
nudie	nudie
nudist	nudist
nudity	нүцгэн байдал
nugget	nugget
nuisance	харамсалтай
nuke	Нук
nul	NO TRANSLATION
null	null
nullify	nullify
numb	зангираа
number	тоо
numbering	дугаарлалт
numbers	тоо
numbness	мэдээ алдах
numbskull	numbskull
numeral	тоо
numerator	тоонжуулагч
numerical	тоон
numerically	тоо
numerous	олон тооны
nun	NO TRANSLATION
nunchucks	nunchucks
nunnery	хийморь
nuptials	гэр бүл
nurse	сувилагч
nursemaid	сувилагч
nursery	үржүүлгийн газар
nursing	сувилахуй
nurture	асрах
nut	самар
nutcase	Нэмэлт
nutcracker	nutcracker
nuthouse	nuthouse
nutmeg	nutmeg
nutrition	тэжээл
nutritional	хоол тэжээл
nutritious	тэжээллэг
nutritive	тэжээл
nuts	самар
nutshell	товчхон байна
nutty	самар
nylon	Nylon
nylong	NO TRANSLATION
nylons	nylons
nymph	nymph
nymphomaniac	nymphomaniac
oaf	oaf
oak	царс
oar	oar
oasis	oasis
oat	овъёос
oath	тангараг өргөв
oatmeal	Oatmeal
obedience	дуулгавартай байдал
obedient	дуулгавартай
obediently	дуулгавартай байх
obelisk	obelisk
obese	таргалалт
obesity	таргалалт
obey	дуулгавартай дага
obi	obi
obit	obit
obituary	эмгэнэл
object	обьект
objection	татгалзсан
objectionable	татгалзах
objective	зорилго
objectivity	обьектив байдал
obligation	үүрэг хариуцлага
obligatory	заавал байх ёстой
oblige	шаардах
obliged	үүрэг хариуцлага
obliging	хүлээх
obligor	үүрэг гүйцэтгэгч
oblique	ташуу
obliterate	устгах
obliterated	устгасан
obliteration	устгах
oblivion	Алга болсон
oblivious	мартаж болохгүй
oblong	гонзгой
obnoxious	харамсалтай
oboe	oboe
obscene	садар самуун
obscenity	садар самуун явдал
obscure	харанхуй
obscured	харанхуй болсон
obscurity	харанхуй
observance	ажиглалт
observant	ажигла
observation	ажиглалт
observatory	ажиглалт
observe	ажиглах
observer	ажиглагч
observing	ажиглах
obsess	хайхрамжгүй
obsessed	сонирхолтой
obsessing	дуулгавартай байх
obsession	сэтгэл хөдлөл
obsessive	Ухаалаг
obsolescence	хоцролт
obsolete	хуучирсан
obstacle	саад бэрхшээл
obstetrician	эх барихын эмч
obstetrics	эх барихын тусламж
obstinate	сергент
obstruct	саад болж байна
obstruction	бөглөрөл
obstructive	obstructive
obtain	олж авах
obtainable	боломжтой болно
obtuse	мохоо
obverse	obverse
obvious	тод харагдаж байна
ocarina	ocarina
occasion	үйл явдал
occasional	хааяа нэг
occasionally	заримдаа
occipital	Дагзных
occlusion	бөглөрөл
occult	ид шид
occupancy	эзлэх байр
occupant	ажилтан
occupation	ажил мэргэжил
occupational	ажил мэргэжил
occupied	эзлэгдсэн
occupier	эзэн
occupy	эзэлж байна
occupying	эзэлж байна
occur	тохиолддог
occurrence	тохиолдол
ocd	ocd
ocean	далай
oceanic	далайн
octagon	octagon
octave	октав
octopus	наймаалж
ocular	нүдний
odd	сондгой
oddball	сондгой
oddity	сондгой байдал
odds	магадгүй
ode	ode
odious	ер бусын
odometer	odometer
odor	үнэр
odyssey	odyssey
oedipal	oedipal
oestrogen	эстроген
oeuvre	NO TRANSLATION
offal	гэдэс дотор
offence	гэмт хэрэг
offend	гомдох
offended	гомдох
offender	гэмт хэрэгтэн
offense	гэмт хэрэг
offensive	довтлох
offer	санал болго
offered	санал болгосон
offering	санал болгох
offhand	баруун гар тийш
office	оффис
officer	офицер
offices	оффисууд
official	албан тушаалтан
officiate	албан ёсоор
offing	Дуусах
offload	Ачаалал
offset	офсет
offshoot	Овог
offshore	офшор
offside	offside
offspring	үр удам
oft	олон
oftentimes	олон удаа
ogre	Огре
ohdear	NO TRANSLATION
ohgod	NO TRANSLATION
ohno	өө үгүй ​​ээ
ohshit	NO TRANSLATION
oil	газрын тос
oils	тос
oily	тослог
oink	oink
ointment	тос
okra	okra
old	хуучин байна
olden	хуучин байна
older	хөгшин
oldie	oldie
oldies	хуучин байна
olfactory	олзворлодог
oligarchy	олигархи
olive	чидун
omega	Омега
omelet	omelet
omen	omen
omgomgomg	NO TRANSLATION
ominous	Аймаар байна
omission	орхигдсон байна
omit	үгүй байна
omitted	орхигдсон байна
omnibus	omnibus
omnipotence	бүх хүч чадал
omnipotent	бүхнийг чадагч юм
omnipresent	omnipresent
omniscient	бүх талаараа
onboard	Онгоц
oncologist	oncologist
oncology	Хавдар судлалын
oncoming	Ирээдүйд
one	нэг
oneday	NO TRANSLATION
onedge	Баярлалаа
onelove	нэг хайр
oneness	нэгдмэл байдал
onerous	хэцүү
oneself	Өөрийгөө
ongoing	үргэлжилж байна
onion	сонгино
onset	эхлэл
onslaught	довтолгоонууд
onstage	тайзан дээр
ontology	онтологи
onus	onus
onward	урагшаа
onyx	оникс
oodles	хамгийн чухал нь
oomph	oomph
ooze	ooze
oozing	oozing
op	op
opacity	харагдах байдал
opal	opal
opaque	тунгалаг бус
ope	ope
open	нээлттэй байна
opener	онгойлгогч
opening	нээх
openly	нээлттэй байна
openness	нээлттэй байдал
opera	дуурь
operate	ажиллах
operatic	оператик
operation	үйл ажиллагаа
operational	үйл ажиллагаа
operations	үйл ажиллагаа
operative	үйл ажиллагаа
operator	оператор
ophthalmic	нүдний эмчилгээ
ophthalmologist	нүдний эмч
opiate	opiate
opinion	санал
opinionated	дүгнэлт хийсэн
opium	опиум
opponent	өрсөлдөгч
opportune	тохиромжтой цаг
opportunism	оппортунизм
opportunity	боломж
oppose	эсэргүүцэж байна
opposed	эсэргүүцэж байна
opposing	эсэргүүцэх
opposite	эсрэг байна
opposites	эсрэг талууд
opposition	сөрөг тал
oppress	дарангуйлал
oppressed	дарамталдаг
oppression	дарлал
oppressive	дарангуйлал
oppressor	дарангуйлагч
ops	ops
opt	татгалзах
optic	оптик
optical	оптик
optics	оптик
optimism	өөдрөг үзэл
optimist	өөдрөг үзэлтэй
optimistic	өөдрөг үзэлтэй
optimum	хамгийн оновчтой
option	сонголт
optional	Нэмэлт
optionally	сонголтоор
options	сонголтууд
optometrist	optometrist
opulence	сайхан чанар
opulent	сайхан байна
opus	opus
oracle	oracle
oral	аман
orange	жүрж
orange juice	жүржийн шүүс
orangutan	orangutan
oration	хэллэг
orator	хууран мэхлэгч
oratory	Дуу хөгжим
orb	Orb
orbit	тойрог зам
orbital	тойрог зам
orbiting	тойрог зам
orbs	Тоглоом
orc	orc
orchard	Orchard
orchestra	Оркестра
orchid	orchid
ordained	томилогдсон
ordeal	Хүнд хэцүү
order	захиалга
orderly	дэг журамтай
ordinance	ёслол
ordinary	энгийн
ordination	томилолт
ordnance	Ордон
ore	хүдэр
oregano	oregano
organ	эрхтэн
organic	органик
organism	организм
organist	organist
organization	байгууллага
organize	зохион байгуулах
organized	зохион байгуулсан
organizer	зохион байгуулагч
orgasm	Дур
orgies	orgies
orgy	Зохиолч
orient	чиг хандлага
oriental	дорнод
orientation	чиг хандлага
orifice	orifice
origami	тогоруу
origin	гарал үүсэл
original	эх
originality	анхдагч байдал
originate	гарал үүсэл
origination	гарал үүсэл
originator	Үүсгэгч
ornament	чимэглэл
ornamental	Гоёл чимэглэлийн
ornamentation	чимэглэл
ornamented	чимэглэлтэй
ornate	тансаг байдал
ornery	газар тариалан
orphan	өнчин
orphanage	асрамжийн газар
orphaned	өнчирсөн
orthodontist	orthodontist
orthodox	ортодокс
orthodoxy	Ортодокс
orthogonal	orthogonal
orthopedic	Ортопед
oscillate	хэлбэлзэл
oscillating	oscillating
oscillation	хэлбэлзэл
oscillatory	oscillatory
ostensible	объектив
ostensibly	яахав
ostentatious	үзэсгэлэнтэй
ostracized	Оюунчлал
ostrich	Тэмээн хяруул
other	бусад
otter	халиу
otto	Отто
ottoman	Осман
ought	хэрэгтэй
ounce	унци
oust	уналт
outage	таслалт
outback	дажгүй
outbid	Үүнээс гадна
outboard	Outboard
outbreak	дэгдэлтийн
outburst	довтлох
outcast	хөөх
outcome	үр дүн
outcry	Дуусах
outdated	хоцрогдсон
outdo	outdoors
outdoor	гадаа
outdoors	гадаа
outer	гадна талд
outfit	гоёлын хувцас
outgoing	гарч байгаа
outgrow	Дахиад
outgrowth	ургадаг
outhouse	гэр хороолол
outing	аялж байна
outlandish	гайхалтай
outlast	давж гарна
outlaw	хууль бус
outlet	гарц
outline	тойм
outlines	тоймууд
outlive	Уучлаарай
outlook	хэтийн төлөв
outlying	алслагдмал
outnumber	Маш олон
outpatient	амбулатори
outpost	Дотор нь
outpouring	Борлуулалт
output	гаралт
outrage	харгислал
outraged	гомдох
outrageous	хэрцгий
outrank	гажуудсан
outreach	хүрч очих
outright	тэр ч байтугай
outrun	Алдаж байна
outset	Эхлэл
outsider	гадны хүн
outskirts	захын газар
outsmart	outsmart
outspoken	илэн далангүй ярьдаг
outstanding	үлдэгдэл
outstretched	сунгасан
outward	гадна талд
outwards	гадна талд
outweigh	илүү байна
outwit	outwit
oval	зууван
ovary	өндгөвч
ovate	өндгөн эс
ovation	ovation
oven	зууханд
overactive	идэвхгүй болсон
overall	Ерөнхий
overalls	Ажлын хувцас
overbearing	Сул тал
overburden	хөрс хуулалт
overcast	бүрхэг
overcharged	хэтэрсэн
overcoat	пальто
overcome	даван туулах
overcoming	даван туулах
overcrowded	илүү их ачаалалтай
overdo	overdo
overdose	хэт их уусан
overdrive	overdrive
overdue	хугацаа хэтэрсэн
overestimate	overestimate
overestimated	overestimated
overflow	халих
overflowing	Бялхам юм
overgrown	overgrown
overgrowth	их хэмжээгээр нэмэгддэг
overhanging	overhanging
overhaul	шинэчлэл
overhead	нэмэлт зардал
overhear	Дуу хурааж байна
overheated	хэт халсан
overjoyed	баяртай байна
overkill	overkill
overlaid	overlaid
overlap	давхцаж байна
overlapping	давхацсан байна
overlay	overlay
overload	хэт ачаалалтай
overlook	хайхраагүй
overlord	давхцал
overlying	over
overpaid	илүү төлсөн
overpass	overpass
overplayed	overplayed
overpower	давж гардаг
overpowering	даван туулах чадвар
overpriced	хэт үнэтэй
overprotective	хэтэрхий найдвартай
overrated	overrated
overreact	дахин давтагдах
override	дарж байна
overriding	давуу тал
overrule	давж гардаг
overrun	Дууссан
oversee	хяналт тавих
overseer	харгалзагч
overshadow	Уурлаж байна
oversight	хяналт
oversized	том
overslept	хэтрэхгүй
overstate	илүүдэхгүй
overstock	overstock
overt	ил тод байна
overtake	гүйцэж түрүүлэх болно
overtaken	гүйцсэн
overthemoon	NO TRANSLATION
overthinker	overthinker
overthinking	overthinking
overthrow	ялах
overtime	цаг хугацаа өнгөрөх тусам
overtired	overtired
overture	overture
overturn	уналт
overview	тойм
overweight	илүүдэл жинтэй
overwhelm	даван туулах нь
overwhelmed	дарамталдаг
overwhelming	дэндүү их
overworked	хэт их хөдөлмөрлөсөн
overwrought	даван туулах чадвар
overzealous	хэтэрхий их
owe	өртэй
owing	учир нь
owl	шар шувуу
owner	эзэн
ownership	өмчлөл
ox	үхэр
oxidation	исэлдэлт
oxide	оксид
oxygen	хүчилтөрөгч
oxymoron	oxymoron
oyster	хясаа
ozone	Озон
pace	хурд
pacemaker	зүрхний аппарат
pacific	pacific
pacified	тайвширсан
pacifier	хөх
pacifist	pacifist
pacify	тайвшир
pacing	pacing
pack	багц
package	багц
packaging	сав баглаа боодол
packer	пакер
packet	пакет
pact	Гэрээ
pad	дэвсгэр
padded	padded
padding	Дэвсгэр
paddle	сэлүүр
paddle boat	сэлүүр завь
paddock	paddock
paddy	тариа
padlock	цоож
padre	NO TRANSLATION
paean	paean
pagan	паган
paganism	пагонизм
page	хуудас
pageant	хуудас
pager	пейжер
pagination	үржил шим
paging	paging
pagoda	пагодаг
pail	хувин
pain	өвдөлт
pained	өвчтэй байсан
painful	өвдөлт
painfully	өвдөж байна
painkiller	өвчин намдаагч
painless	өвдөлтгүй
pains	өвдөлт
painstaking	сэтгэл хөдлөл
paint	будаг
paintball	paintball
paintbrush	бийр
painted	будсан
painter	зураач
painting	зураг
pair	хос
paisley	paisley
pajama	pajama
pajamas	унтлагын өмд цамц
pal	pal
palace	ордон
palatable	хөгжилтэй
palate	тагнай
pale	цайвар
paleontology	палеонтологи
palette	палетт
pall	палл
palladium	палладин
pallet	паллет
palliative	хөнгөвчлөх
palm	далдуу мод
palmer	Палмер
palomino	паломино
palpable	тайвширдаг
palpitations	зүрх дэлсэх
palsy	саа
paltry	тайвширч байна
pamper	хулдах
pamphlet	товхимол
pan	тогоо
panacea	хордлого
panache	Панаха
pancake	Хуушуур
pancakes	бин
pancreas	нойр булчирхай юм
panda	панда
pandemic	цартахал
pandemonium	хууран мэхлэлт
pane	панел
panel	самбар
pang	NO TRANSLATION
panhandle	Саваа
panic	үймээн самуун
panicattack	NO TRANSLATION
panicked	сандарч байна
panicking	түгжигдсэн
panicky	сандарч байна
panier	NO TRANSLATION
panorama	панорама
panoramic	Панорамик
pansy	Панси
pant	хацар
pantheon	pantheon
panther	panther
panties	дотуур хувцас
pantomime	pantomime
pantry	зоогийн газар
pants	өмд
panty	panty
pantyhose	pantyhose
pap	pap
papa	papa
papacy	papacy
papal	NO TRANSLATION
papaya	гуа
paper	цаас
paperback	цаасан
paperboy	paperboy
paperweight	paperweight
paperwork	бичиг баримт
paprika	paprika
papyrus	бичмэл
par	NO TRANSLATION
parable	сургаалт зүйрлэл
parabola	parabola
parabolic	параболик
parachute	шүхэр
parade	парад
paradigm	парадигмент
paradise	диваажин
paradox	парадокс
paradoxical	парадоксик
paraffin	парафин
paragon	Парагон
paragraph	догол мөр
parakeet	parakeet
paralegal	paralegal
parallax	parallax
parallel	Зэрэгцээ
parallelism	паралелизм
paralysis	саажилттай
paralyze	саатал
paralyzed	саажилттай
paramedic	paramedic
paramedics	эмч нар
paramilitary	paramilitary
paramount	хамгийн чухал зүйл
paranoia	paranoia
paranoid	паранойд
paranormal	paranormal
parapet	парапет
paraphernalia	эд зүйлс
paraphrase	нэр томъёо
paraplegic	paraplegic
parasite	шимэгчид
parasitic	паритик
parasol	шүхэр
parcel	боодол
parcels	боодол
parched	хатаж байна
parchment	илгэн
pardon	уучлалт гуйж байна
pare	NO TRANSLATION
parenchyma	parenchyma
parent	Эцэг эх
parentage	эцэг эхчүүд
parental	эцэг эх
parenthesis	NO TRANSLATION
parenthetical	англи хэл дээр
parenthood	эцэг эхчүүд
parenting	эцэг эхчүүд
pariah	парада
parietal	паралетал
paring	тарих
parish	parish
parity	тэнцвэр
park	парк
parka	парка
parking	зогсоол
parkinsons	Паркинсонууд
parlance	parlance
parlay	parlay
parliament	парламент
parliamentary	парламент
parlor	зочны өрөө
parmesan	parmesan
parody	пароди
parole	тэнсэн суллах
parquet	паркет
parrot	тоть
parry	Дан
parse	иш татах
parsimonious	тодорхойлсон
parsimony	Уучлаарай
parsley	яншуй
parson	Парсон
part	хэсэг
partake	хүртэх
partial	хэсэгчилсэн байдлаар
partiality	хэсэгчилсэн байдал
partially	хэсэгчилсэн байдлаар
participant	оролцогч
participate	оролцох
participation	оролцоо
particle	бөөм
particular	тодорхой
particularity	онцгой байдал
particulars	мэдээлэл
parting	салах
partisan	нам
partisanship	хувь хүн
partition	хуваалт
partly	зарим талаараа
partner	түнш
partnership	нөхөрлөл
partridge	талбайнууд
parts	эд анги
party	нам
pas	NO TRANSLATION
pass	дамжуулалт
passable	нэвтрүүлэх боломжтой
passage	ишлэл
passageway	дамжин өнгөрөх
passe	NO TRANSLATION
passenger	зорчигч
passim	NO TRANSLATION
passing	өнгөрч байна
passion	хүсэл тэмүүлэл
passionate	сэтгэл хөдлөлөө
passive	идэвхгүй
passivity	идэвхгүй байдал
passkey	Passkey
passport	паспорт
password	нууц үг
past	өнгөрсөн
pasta	гоймон
paste	оо
pastel	цайвар
pastime	зугаа цэнгэл
pastor	пастор
pastrami	pastrami
pastry	боов
pasture	бэлчээр
pasty	бэлчээр
pat	алгадах
patch	засварлах
patchwork	салаа
pate	пейт
patella	Пателла
patent	патент
patented	патентлагдсан
paternal	Эцэг эх
paternity	эцэг эх
path	зам
pathetic	харамсалтай
pathological	эмгэг
pathologist	эмчлэгч
pathology	эмгэг
pathos	NO TRANSLATION
pathway	зам
patience	тэвчээр
patient	өвчтөн
patio	хашаа
patriarch	патриарх
patriarchal	эцэгчлэл
patrimony	эмзэг газар
patriot	эх оронч
patriotic	эх оронч
patriotism	эх оронч үзэл
patrol	эргүүл хийх
patrolman	харуулын хүн
patron	ивээн тэтгэгч
patronage	ивээн тэтгэгч
patronising	ивээн тэтгэх
patronize	ивээн тэтгэдэг
patronizing	ивээн тэтгэх
patter	Үзэгчид
pattern	хэв маяг
paucity	дутагдал
pauper	Паперер
pause	pause
pave	засах
pavement	хучилт
pavilion	павилион
paving	хучилттай
paw	тавхай
pawn	ломбард
pawnshop	Барьцаалан зээлдүүлэх үйлчилгээ
pax	pax
pay	төлөх
payable	төлөх боломжтой
payback	буцааж төлөх
paycheck	цалин хөлс
payday	цалин
payer	төлбөр төлөгч
payload	төлбөрийн хэмжээ
payment	төлбөр
payoff	төлбөр төлнө
payout	төлөх
payphone	телефон утас
